Date,pc_ratio
2011-08-12,1.2343
2011-08-15,1.3336999999999999
2011-08-16,1.3573
2011-08-17,1.3151
2011-08-18,1.3009
2011-08-19,1.3213
2011-08-22,1.2179
2011-08-23,1.5192
2011-08-24,1.5051
2011-08-25,1.5335999999999999
2011-08-26,1.5346
2011-08-29,1.5623
2011-08-30,1.5304
2011-08-31,1.5263
2011-09-01,1.5516
2011-09-02,1.51
2011-09-05,1.51
2011-09-06,1.5408
2011-09-07,1.5013999999999998
2011-09-08,1.5084
2011-09-09,1.4969000000000001
2011-09-12,1.4965
2011-09-13,1.4824
2011-09-14,1.4743
2011-09-15,1.4703
2011-09-16,1.4474
2011-09-19,1.3218
2011-09-20,1.6498
2011-09-21,1.6120999999999999
2011-09-22,1.5676
2011-09-23,1.5758999999999999
2011-09-26,1.5156
2011-09-27,1.5194
2011-09-28,1.5375
2011-09-29,1.5495999999999999
2011-09-30,1.5133999999999999
2011-10-03,1.5063
2011-10-04,1.5087000000000002
2011-10-05,1.5171000000000001
2011-10-06,1.4543
2011-10-07,1.4413
2011-10-10,1.444
2011-10-11,1.4414
2011-10-12,1.4276
2011-10-13,1.4266
2011-10-14,1.4455
2011-10-17,1.4176
2011-10-18,1.4243000000000001
2011-10-19,1.4061
2011-10-20,1.4119
2011-10-21,1.3944
2011-10-24,1.3914
2011-10-25,1.4358
2011-10-26,1.4221
2011-10-27,1.4351
2011-10-28,1.4163999999999999
2011-10-31,1.4261
2011-11-01,1.4279
2011-11-02,1.4321
2011-11-03,1.4322
2011-11-04,1.3934
2011-11-07,1.4055
2011-11-08,1.4083
2011-11-09,1.4157
2011-11-10,1.4238
2011-11-11,1.4318
2011-11-14,1.4271
2011-11-15,1.443
2011-11-16,1.4325999999999999
2011-11-17,1.4462
2011-11-18,1.4491
2011-11-21,1.4511
2011-11-22,1.4497
2011-11-23,1.4304000000000001
2011-11-24,1.4304000000000001
2011-11-25,1.4318
2011-11-28,1.4168
2011-11-29,1.4061
2011-11-30,1.3776
2011-12-01,1.3598
2011-12-02,1.3542
2011-12-05,1.323
2011-12-06,1.3108
2011-12-07,1.3038
2011-12-08,1.3142
2011-12-09,1.3146
2011-12-12,1.3213
2011-12-13,1.3212
2011-12-14,1.2963
2011-12-15,1.2925
2011-12-16,1.2998
2011-12-19,1.1892
2011-12-20,1.2983
2011-12-21,1.2728
2011-12-22,1.2610999999999999
2011-12-23,1.2617
2011-12-26,5
2011-12-27,1.2738
2011-12-28,1.2621
2011-12-29,1.2681
2011-12-30,1.2683
2012-01-02,10
2012-01-03,1.2461
2012-01-04,1.1897
2012-01-05,1.212
2012-01-06,1.1994
2012-01-09,1.1784
2012-01-10,1.1913
2012-01-11,1.1967
2012-01-12,1.1941
2012-01-13,1.2006000000000001
2012-01-16,60
2012-01-17,1.2025000000000001
2012-01-18,1.1996
2012-01-19,1.22
2012-01-20,1.2516
2012-01-23,1.0883
2012-01-24,1.3537
2012-01-25,1.4172
2012-01-26,1.4456
2012-01-27,1.4818
2012-01-30,1.4841
2012-01-31,1.4854
2012-02-01,1.4692
2012-02-02,1.5208
2012-02-03,1.5335
2012-02-06,1.5848
2012-02-07,1.5676
2012-02-08,1.5834000000000001
2012-02-09,1.5614
2012-02-10,1.579
2012-02-13,1.5590000000000002
2012-02-14,1.5676999999999999
2012-02-15,1.5831
2012-02-16,1.5453000000000001
2012-02-17,1.5318
2012-02-20,3.0392
2012-02-21,1.6893
2012-02-22,1.4686
2012-02-23,1.49
2012-02-24,1.4422
2012-02-27,1.4912
2012-02-28,1.4841
2012-02-29,1.4828000000000001
2012-03-01,1.4811
2012-03-02,1.4663
2012-03-05,1.4487
2012-03-06,1.4259
2012-03-07,1.4394
2012-03-08,1.4071
2012-03-09,1.4043
2012-03-12,1.4094
2012-03-13,1.3944
2012-03-14,1.343
2012-03-15,1.3388
2012-03-16,1.3518
2012-03-19,1.5304
2012-03-20,1.3369
2012-03-21,1.294
2012-03-22,1.3199
2012-03-23,1.4163000000000001
2012-03-26,1.4409
2012-03-27,1.4584
2012-03-28,1.4909
2012-03-29,1.5239
2012-03-30,1.5274
2012-04-02,1.5239
2012-04-03,1.5518999999999998
2012-04-04,1.5318
2012-04-05,1.4699
2012-04-06,1.4699
2012-04-09,1.4262000000000001
2012-04-10,1.4021
2012-04-11,1.3916
2012-04-12,1.4029
2012-04-13,1.3974
2012-04-16,1.395
2012-04-17,1.4094
2012-04-18,1.3972
2012-04-19,1.3879000000000001
2012-04-20,1.3601
2012-04-23,1.2898
2012-04-24,1.4333
2012-04-25,1.4317
2012-04-26,1.4303
2012-04-27,1.4296
2012-04-30,1.4586000000000001
2012-05-01,1.4828000000000001
2012-05-02,1.4663
2012-05-03,1.4961
2012-05-04,1.5228000000000002
2012-05-07,1.4994
2012-05-08,1.5006
2012-05-09,1.4918
2012-05-10,1.4471
2012-05-11,1.4191
2012-05-14,1.3664
2012-05-15,1.3852
2012-05-16,1.3543
2012-05-17,1.3435000000000001
2012-05-18,1.3389
2012-05-21,1.1929
2012-05-22,1.3286
2012-05-23,1.3321
2012-05-24,1.317
2012-05-25,1.3024
2012-05-28,1.3024
2012-05-29,1.3096
2012-05-30,1.3041
2012-05-31,1.2854999999999999
2012-06-01,1.2451
2012-06-04,1.2454
2012-06-05,1.2351
2012-06-06,1.2488
2012-06-07,1.2199
2012-06-08,1.2175
2012-06-11,1.1996
2012-06-12,1.1908
2012-06-13,1.1891
2012-06-14,1.1825
2012-06-15,1.1571
2012-06-18,0.9358
2012-06-19,1.2628
2012-06-20,1.2028
2012-06-21,1.2787
2012-06-22,1.3207
2012-06-25,1.2955999999999999
2012-06-26,1.2721
2012-06-27,1.251
2012-06-28,1.2484
2012-06-29,1.2238
2012-07-02,1.2165
2012-07-03,1.2246
2012-07-04,1.2246
2012-07-05,1.1576
2012-07-06,1.1722
2012-07-09,1.1855
2012-07-10,1.1821
2012-07-11,1.1713
2012-07-12,1.1656
2012-07-13,1.1621
2012-07-16,1.1706
2012-07-17,1.167
2012-07-18,1.1616
2012-07-19,1.1832
2012-07-20,1.1783
2012-07-23,1.0906
2012-07-24,1.3411
2012-07-25,1.3264
2012-07-26,1.3296999999999999
2012-07-27,1.3134000000000001
2012-07-30,1.3181
2012-07-31,1.3007
2012-08-01,1.3174000000000001
2012-08-02,1.3364
2012-08-03,1.3286
2012-08-06,1.3563
2012-08-07,1.3057
2012-08-08,1.3106
2012-08-09,1.2859
2012-08-10,1.2961
2012-08-13,1.2817
2012-08-14,1.2846
2012-08-15,1.2730000000000001
2012-08-16,1.2843
2012-08-17,1.2583
2012-08-20,1.3584
2012-08-21,1.2394
2012-08-22,1.2107999999999999
2012-08-23,1.2122
2012-08-24,1.1998
2012-08-27,1.1886
2012-08-28,1.182
2012-08-29,1.1732
2012-08-30,1.1718
2012-08-31,1.1758
2012-09-03,1.1758
2012-09-04,1.1533
2012-09-05,1.172
2012-09-06,1.1662
2012-09-07,1.1677
2012-09-10,1.1792
2012-09-11,1.1691
2012-09-12,1.1723
2012-09-13,1.1514
2012-09-14,1.1461000000000001
2012-09-17,1.1629
2012-09-18,1.1741
2012-09-19,1.1795
2012-09-20,1.1829
2012-09-21,1.1965
2012-09-24,1.1413
2012-09-25,1.074
2012-09-26,1.0629
2012-09-27,1.0566
2012-09-28,1.0602
2012-10-01,1.0727
2012-10-02,1.0765
2012-10-03,1.0836
2012-10-04,1.0951
2012-10-05,1.0974
2012-10-08,1.0909
2012-10-09,1.0799
2012-10-10,1.0822
2012-10-11,1.0804
2012-10-12,1.0677
2012-10-15,1.0638
2012-10-16,1.0552
2012-10-17,1.0589
2012-10-18,1.0552
2012-10-19,1.0555
2012-10-22,1.0604
2012-10-23,1.1142
2012-10-24,1.1464
2012-10-25,1.1493
2012-10-26,1.1482999999999999
2012-10-29,1.1482999999999999
2012-10-30,1.1482999999999999
2012-10-31,1.1421000000000001
2012-11-01,1.1413
2012-11-02,1.1357
2012-11-05,1.1398
2012-11-06,1.1269
2012-11-07,1.1212
2012-11-08,1.1228
2012-11-09,1.1251
2012-11-12,1.1163
2012-11-13,1.1182
2012-11-14,1.1022
2012-11-15,1.0969
2012-11-16,1.0768
2012-11-19,0.9956
2012-11-20,1.0493999999999999
2012-11-21,1.0216
2012-11-22,1.0216
2012-11-23,1.0233
2012-11-26,1.0209
2012-11-27,1.0074
2012-11-28,1.0109
2012-11-29,0.9736
2012-11-30,0.9773
2012-12-03,0.9868
2012-12-04,0.9824
2012-12-05,0.9851
2012-12-06,0.9531
2012-12-07,0.9734
2012-12-10,0.9714
