Date,pc_ratio
2011-08-12,0.4091
2011-08-15,0.4214
2011-08-16,0.4506
2011-08-17,0.4511
2011-08-18,0.4307
2011-08-19,0.4354
2011-08-22,0.199
2011-08-23,0.2818
2011-08-24,0.2663
2011-08-25,0.2827
2011-08-26,0.3055
2011-08-29,0.2848
2011-08-30,0.3016
2011-08-31,0.3012
2011-09-01,0.2672
2011-09-02,0.2678
2011-09-05,0.2678
2011-09-06,0.3294
2011-09-07,0.3188
2011-09-08,0.3188
2011-09-09,0.3188
2011-09-12,0.3188
2011-09-13,0.3929
2011-09-14,0.3939
2011-09-15,0.3943
2011-09-16,0.3964
2011-09-19,0.3933
2011-09-20,0.3388
2011-09-21,0.3391
2011-09-22,0.3509
2011-09-23,0.3509
2011-09-26,0.3538
2011-09-27,0.3469
2011-09-28,0.3465
2011-09-29,0.4608
2011-09-30,0.5002
2011-10-03,0.5002
2011-10-04,0.5379
2011-10-05,0.5369
2011-10-06,0.5384
2011-10-07,0.5299
2011-10-10,0.5299
2011-10-11,0.5286
2011-10-12,0.5306
2011-10-13,0.5386
2011-10-14,0.5488
2011-10-17,0.5528
2011-10-18,0.5643
2011-10-19,0.5709
2011-10-20,0.5763
2011-10-21,0.5756
2011-10-24,0.5038
2011-10-25,0.6309
2011-10-26,0.6386
2011-10-27,0.6074
2011-10-28,0.5659
2011-10-31,0.5659
2011-11-01,0.5659
2011-11-02,0.5644
2011-11-03,0.6388
2011-11-04,0.6392
2011-11-07,0.6467
2011-11-08,0.6473
2011-11-09,0.6461
2011-11-10,0.6586
2011-11-11,0.6586
2011-11-14,0.6586
2011-11-15,0.6589
2011-11-16,0.6579
2011-11-17,0.6573
2011-11-18,0.6884
2011-11-21,0.6948
2011-11-22,0.6394
2011-11-23,0.6364
2011-11-24,0.6364
2011-11-25,0.6452
2011-11-28,0.6457
2011-11-29,0.6142
2011-11-30,0.6253
2011-12-01,0.6324
2011-12-02,0.6233
2011-12-05,0.6307
2011-12-06,0.6278
2011-12-07,0.6295
2011-12-08,0.6246
2011-12-09,0.6248
2011-12-12,0.6323
2011-12-13,0.6464
2011-12-14,0.6455
2011-12-15,0.6506
2011-12-16,0.6506
2011-12-19,0.6188
2011-12-20,0.6818
2011-12-21,0.6598
2011-12-22,0.6598
2011-12-23,0.6602
2011-12-26,0.6602
2011-12-27,0.6602
2011-12-28,0.6208
2011-12-29,0.6223
2011-12-30,0.6223
2012-01-02,0.6223
2012-01-03,0.622
2012-01-04,0.6243
2012-01-05,0.6246
2012-01-06,0.6189
2012-01-09,0.6238
2012-01-10,0.6232
2012-01-11,0.6226
2012-01-12,0.6226
2012-01-13,0.6259
2012-01-16,0.6259
2012-01-17,0.6436
2012-01-18,0.6448
2012-01-19,0.6464
2012-01-20,0.6488
2012-01-23,0.809
2012-01-24,0.58
2012-01-25,0.6631
2012-01-26,0.6633
2012-01-27,0.6694
2012-01-30,0.6802
2012-01-31,0.7409
2012-02-01,0.7268
2012-02-02,0.6392
2012-02-03,0.6409
2012-02-06,0.642
2012-02-07,0.6689
2012-02-08,0.6689
2012-02-09,0.6689
2012-02-10,0.6689
2012-02-13,0.7513
2012-02-14,0.7513
2012-02-15,0.7979
2012-02-16,0.9083
2012-02-17,0.9036
2012-02-20,0.9036
2012-02-21,1.0471
2012-02-22,1.1863
2012-02-23,1.147
2012-02-24,1.1124
2012-02-27,0.4113
2012-02-28,0.4116
2012-02-29,0.4459
2012-03-01,0.475
2012-03-02,0.4938
2012-03-05,0.4934
2012-03-06,0.4949
2012-03-07,0.4945
2012-03-08,0.4973
2012-03-09,0.4936
2012-03-12,0.5037
2012-03-13,0.5024
2012-03-14,0.5024
2012-03-15,0.503
2012-03-16,0.5061
2012-03-19,0.5251
2012-03-20,0.4318
2012-03-21,0.5062
2012-03-22,0.4651
2012-03-23,0.4956
2012-03-26,0.4952
2012-03-27,0.4719
2012-03-28,0.4934
2012-03-29,0.5453
2012-03-30,0.5441
2012-04-02,0.5579
2012-04-03,0.5583
2012-04-04,0.6114
2012-04-05,0.625
2012-04-06,0.001
2012-04-09,0.6329
2012-04-10,0.6337
2012-04-11,0.6853
2012-04-12,0.7211
2012-04-13,0.7206
2012-04-16,0.7112
2012-04-17,0.7039
2012-04-18,0.7039
2012-04-19,0.7026
2012-04-20,0.7314
2012-04-23,0.7423
2012-04-24,0.5554
2012-04-25,0.623
2012-04-26,0.7502
2012-04-27,0.6701
2012-04-30,0.6774
2012-05-01,0.7449
2012-05-02,0.7014
2012-05-03,0.7005
2012-05-04,0.6653
2012-05-07,0.6086
2012-05-08,0.6092
2012-05-09,0.6889
2012-05-10,0.6889
2012-05-11,0.6843
2012-05-14,0.7431
2012-05-15,0.7443
2012-05-16,0.7733
2012-05-17,0.7699
2012-05-18,0.7655
2012-05-21,0.5464
2012-05-22,0.6295
2012-05-23,0.6258
2012-05-24,0.6166
2012-05-25,0.615
2012-05-28,0.615
2012-05-29,0.615
2012-05-30,0.7959
2012-05-31,0.6856
2012-06-01,0.6847
2012-06-04,0.6856
2012-06-05,0.7714
2012-06-06,0.7718
2012-06-07,0.8023
2012-06-08,0.7981
2012-06-11,0.8069
2012-06-12,0.7947
2012-06-13,0.8564
2012-06-14,0.8091
2012-06-15,0.8722
2012-06-18,0.8563
2012-06-19,0.7828
2012-06-20,0.785
2012-06-21,0.8052
2012-06-22,0.8001
2012-06-25,0.8298
2012-06-26,0.8399
2012-06-27,0.8393
2012-06-28,0.8414
2012-06-29,0.8496
2012-07-02,0.8565
2012-07-03,0.8388
2012-07-04,0.8388
2012-07-05,0.834
2012-07-06,0.8288
2012-07-09,0.8278
2012-07-10,0.8207
2012-07-11,0.821
2012-07-12,0.821
2012-07-13,0.8324
2012-07-16,0.8363
2012-07-17,0.8361
2012-07-18,0.8361
2012-07-19,0.8439
2012-07-20,0.8408
2012-07-23,0.5166
2012-07-24,1.2259
2012-07-25,1.1853
2012-07-26,1.1833
2012-07-27,1.1964
2012-07-30,1.1561
2012-07-31,0.5433
2012-08-01,0.5424
2012-08-02,0.5369
2012-08-03,0.5876
2012-08-06,0.5819
2012-08-07,0.5814
2012-08-08,0.5814
2012-08-09,0.5847
2012-08-10,0.5881
2012-08-13,0.6094
2012-08-14,0.6091
2012-08-15,0.6098
2012-08-16,0.6152
2012-08-17,0.6102
2012-08-20,0.8165
2012-08-21,0.426
2012-08-22,0.4303
2012-08-23,0.4254
2012-08-24,0.4392
2012-08-27,0.4428
2012-08-28,0.4511
2012-08-29,0.4619
