Date,pc_ratio
2018-03-02,0.0397
2018-03-05,0.0397
2018-03-06,0.0397
2018-03-07,0.0397
2018-03-08,0.0397
2018-03-09,0.0397
2018-03-12,0.0281
2018-03-13,0.0301
2018-03-14,0.034
2018-03-15,0.034
2018-03-16,0.0299
2018-03-19,0.0336
2018-03-20,0.0334
2018-03-21,0.0334
2018-03-22,0.0334
2018-03-23,0.0334
2018-03-26,0.0323
2018-03-27,0.0312
2018-03-28,0.0311
2018-03-29,0.052
2018-03-30,0.052
2018-04-02,0.0537
2018-04-03,0.0537
2018-04-04,0.0571
2018-04-05,0.0554
2018-04-06,0.0554
2018-04-09,0.0554
2018-04-10,0.0537
2018-04-11,0.0537
2018-04-12,0.0561
2018-04-13,0.0561
2018-04-16,0.0563
2018-04-17,0.0563
2018-04-18,0.0558
2018-04-19,0.056
2018-04-20,0.0508
2018-04-23,0.0456
2018-04-24,0.0406
2018-04-25,0.0404
2018-04-26,0.0417
2018-04-27,0.0416
2018-04-30,0.0414
2018-05-01,0.0449
2018-05-02,0.0448
2018-05-03,0.044
2018-05-04,0.044
2018-05-07,0.0423
2018-05-08,0.0405
2018-05-09,0.04
2018-05-10,0.0399
2018-05-11,0.0399
2018-05-14,0.0399
2018-05-15,0.0146
2018-05-16,0.0175
2018-05-17,0.016
2018-05-18,0.0173
2018-05-21,0.0179
2018-05-22,0.0178
2018-05-23,0.0191
2018-05-24,0.0189
2018-05-25,0.0187
2018-05-28,0.0187
2018-05-29,0.0195
2018-05-30,0.0189
2018-05-31,0.0187
2018-06-01,0.0187
2018-06-04,0.0188
2018-06-05,0.0197
2018-06-06,0.0197
2018-06-07,0.0197
2018-06-08,0.0198
2018-06-11,0.0233
2018-06-12,0.0412
2018-06-13,0.0653
2018-06-14,0.0666
2018-06-15,0.0667
2018-06-18,0.0698
2018-06-19,0.0705
2018-06-20,0.0704
2018-06-21,0.0705
2018-06-22,0.0688
2018-06-25,0.0689
2018-06-26,0.0702
2018-06-27,0.0709
2018-06-28,0.0709
2018-06-29,0.0707
2018-07-02,0.0712
2018-07-03,0.0712
2018-07-04,0.0712
2018-07-05,0.0691
2018-07-06,0.0718
2018-07-09,0.074
2018-07-10,0.0759
2018-07-11,0.0772
2018-07-12,0.0861
2018-07-13,0.0869
2018-07-16,0.087
2018-07-17,0.0845
2018-07-18,0.1058
2018-07-19,0.1058
2018-07-20,0.1063
2018-07-23,0.1192
2018-07-24,0.1203
2018-07-25,0.1204
2018-07-26,0.1206
2018-07-27,0.1206
2018-07-30,0.1206
2018-07-31,0.1206
2018-08-01,0.121
2018-08-02,0.121
2018-08-03,0.121
2018-08-06,0.1212
2018-08-07,0.1212
2018-08-08,0.126
2018-08-09,0.1259
2018-08-10,0.126
2018-08-13,0.1269
2018-08-14,0.1232
2018-08-15,0.1234
2018-08-16,0.1232
2018-08-17,0.1232
2018-08-20,0.1188
2018-08-21,0.1198
2018-08-22,0.1198
2018-08-23,0.1208
2018-08-24,0.1212
2018-08-27,0.1215
2018-08-28,0.1215
2018-08-29,0.1214
2018-08-30,0.1218
2018-08-31,0.121
2018-09-03,0.121
2018-09-04,0.1216
2018-09-05,0.1159
2018-09-06,0.1159
2018-09-07,0.1161
2018-09-10,0.1162
2018-09-11,0.1162
2018-09-12,0.1164
2018-09-13,0.1172
2018-09-14,0.1172
2018-09-17,0.1172
2018-09-18,0.1169
2018-09-19,0.1169
2018-09-20,0.1188
2018-09-21,0.1195
2018-09-24,0.0997
2018-09-25,0.0835
2018-09-26,0.0825
2018-09-27,0.0822
2018-09-28,0.0819
2018-10-01,0.078
2018-10-02,0.0679
2018-10-03,0.068
2018-10-04,0.068
2018-10-05,0.0861
2018-10-08,0.0861
2018-10-09,0.086
2018-10-10,0.0983
2018-10-11,0.0983
2018-10-12,0.1262
2018-10-15,0.1291
2018-10-16,0.4379
2018-10-17,0.6955
2018-10-18,0.9166
2018-10-19,0.9234
2018-10-22,0.8319
2018-10-23,0.5842
2018-10-24,0.5578
2018-10-25,0.4456
2018-10-26,0.4028
2018-10-29,0.3931
2018-10-30,0.3934
2018-10-31,0.3979
2018-11-01,0.3977
2018-11-02,0.3971
2018-11-05,0.3979
2018-11-06,0.3966
2018-11-07,0.3966
2018-11-08,0.3956
2018-11-09,0.3937
2018-11-12,0.4054
2018-11-13,0.4099
2018-11-14,0.4106
2018-11-15,0.4071
2018-11-16,0.4126
2018-11-19,0.4105
2018-11-20,0.2449
2018-11-21,0.2431
2018-11-22,0.2431
2018-11-23,0.2449
2018-11-26,0.2449
2018-11-27,0.2449
2018-11-28,0.2566
2018-11-29,0.2566
2018-11-30,0.2566
2018-12-03,0.2603
2018-12-04,0.2657
2018-12-05,0.2657
2018-12-06,0.2657
2018-12-07,0.2657
2018-12-10,0.2657
2018-12-11,0.2657
2018-12-12,0.2742
2018-12-13,0.2739
2018-12-14,0.2834
2018-12-17,0.2796
2018-12-18,0.2921
2018-12-19,0.2952
2018-12-20,0.2922
2018-12-21,0.2744
2018-12-24,0.1928
2018-12-25,0.1928
2018-12-26,0.1722
2018-12-27,0.3311
2018-12-28,0.3963
2018-12-31,0.3937
2019-01-01,0.3937
2019-01-02,0.3937
2019-01-03,0.4767
2019-01-04,0.4934
2019-01-07,0.4934
2019-01-08,0.5066
2019-01-09,0.505
2019-01-10,0.4952
2019-01-11,0.4792
2019-01-14,0.48
2019-01-15,0.5059
2019-01-16,0.5352
2019-01-17,0.537
2019-01-18,0.5501
2019-01-21,0.5501
2019-01-22,0.555
2019-01-23,0.4674
2019-01-24,0.4395
2019-01-25,0.4467
2019-01-28,0.0185
2019-01-29,0.0188
2019-01-30,0.0172
2019-01-31,0.0182
2019-02-01,0.0182
2019-02-04,0.0182
2019-02-05,0.0181
2019-02-06,0.0211
2019-02-07,0.0229
2019-02-08,0.0229
2019-02-11,0.0322
2019-02-12,0.0323
2019-02-13,0.0323
2019-02-14,0.0349
2019-02-15,0.0349
2019-02-18,0.0349
2019-02-19,0.0349
2019-02-20,0.0322
2019-02-21,0.0322
2019-02-22,0.0322
2019-02-25,0.0322
2019-02-26,0.0333
2019-02-27,0.0293
2019-02-28,0.0294
2019-03-01,0.0294
2019-03-04,0.0294
2019-03-05,0.0294
2019-03-06,0.0316
2019-03-07,0.0317
2019-03-08,0.0318
2019-03-11,0.0318
2019-03-12,0.032
2019-03-13,0.032
2019-03-14,0.0324
2019-03-15,0.0325
2019-03-18,0.0328
2019-03-19,0.0251
2019-03-20,0.0252
2019-03-21,0.0252
2019-03-22,0.0252
2019-03-25,0.0253
2019-03-26,0.0253
2019-03-27,0.0253
2019-03-28,0.0253
2019-03-29,0.0249
2019-04-01,0.0249
2019-04-02,0.0208
2019-04-03,0.0187
2019-04-04,0.0186
2019-04-05,0.0188
2019-04-08,0.0188
2019-04-09,0.0188
2019-04-10,0.0188
2019-04-11,0.0188
2019-04-12,0.0189
2019-04-15,0.0189
2019-04-16,0.0189
2019-04-17,0.0187
2019-04-18,0.0187
2019-04-19,0.0187
2019-04-22,0.0164
2019-04-23,0.0167
2019-04-24,0.0163
2019-04-25,0.0162
2019-04-26,0.0162
2019-04-29,0.0162
2019-04-30,0.0163
2019-05-01,0.0153
2019-05-02,0.0153
2019-05-03,0.0153
2019-05-06,0.0153
2019-05-07,0.0153
2019-05-08,0.0153
2019-05-09,0.0145
2019-05-10,0.0145
2019-05-13,0.0145
2019-05-14,0.0131
2019-05-15,0.0131
2019-05-16,0.0099
2019-05-17,0.0099
2019-05-20,0.0097
2019-05-21,0.0097
2019-05-22,0.0097
2019-05-23,0.0097
2019-05-24,0.0097
2019-05-27,0.0097
2019-05-28,0.0097
2019-05-29,0.0102
2019-05-30,0.0099
2019-05-31,0.0099
2019-06-03,0.0099
2019-06-04,0.0099
2019-06-05,0.0099
2019-06-06,0.0099
2019-06-07,0.0099
2019-06-10,0.01
2019-06-11,0.01
2019-06-12,0.01
2019-06-13,0.0081
2019-06-14,0.0081
2019-06-17,0.011
2019-06-18,0.0114
2019-06-19,0.0116
2019-06-20,0.0116
2019-06-21,0.0116
2019-06-24,0.0116
2019-06-25,0.0047
2019-06-26,0.0029
2019-06-27,0.0021
2019-06-28,0.0029
2019-07-01,0.0029
2019-07-02,0.003
2019-07-03,0.003
2019-07-04,0.003
2019-07-05,0.003
2019-07-08,0.003
2019-07-09,0.003
2019-07-10,0.003
2019-07-11,0.003
2019-07-12,0.003
2019-07-15,0.0034
2019-07-16,0.0034
2019-07-17,0.0034
2019-07-18,0.0034
2019-07-19,0.0034
2019-07-22,0.0034
2019-07-23,0.0058
2019-07-24,0.0058
2019-07-25,0.0058
2019-07-26,0.0058
2019-07-29,0.0058
2019-07-30,0.0058
2019-07-31,0.0058
2019-08-01,0.0058
2019-08-02,0.0058
2019-08-05,0.0058
2019-08-06,0.0058
2019-08-07,0.0058
2019-08-08,0.0059
2019-08-09,0.0059
2019-08-12,0.0059
2019-08-13,0.0059
2019-08-14,0.0059
2019-08-15,0.0059
2019-08-16,0.0059
2019-08-19,0.0061
2019-08-20,0.0061
2019-08-21,0.0061
2019-08-22,0.0061
2019-08-23,0.0061
2019-08-26,0.0061
2019-08-27,0.0061
2019-08-28,0.0139
2019-08-29,0.0138
2019-08-30,0.0139
2019-09-02,0.0139
2019-09-03,0.0144
2019-09-04,0.0142
2019-09-05,0.0146
2019-09-06,0.0146
2019-09-09,0.0112
2019-09-10,0.0113
2019-09-11,0.0114
2019-09-12,0.0114
2019-09-13,0.0114
2019-09-16,0.0114
2019-09-17,0.0112
2019-09-18,0.0113
2019-09-19,0.0113
2019-09-20,0.011
2019-09-23,0.0095
2019-09-24,0.4325
2019-09-25,0.4325
2019-09-26,0.4325
2019-09-27,0.4325
2019-09-30,0.4325
2019-10-01,0.4325
2019-10-02,0.4333
2019-10-03,0.4333
2019-10-04,0.4333
2019-10-07,0.4333
2019-10-08,0.4333
2019-10-09,1.0216
2019-10-10,1.0216
2019-10-11,1.0117
2019-10-14,1.0117
2019-10-15,1.0117
2019-10-16,1.0117
2019-10-17,1.0136
2019-10-18,1.0136
2019-10-21,1.0117
2019-10-22,2.3825
2019-10-23,2.35
2019-10-24,2.3288
2019-10-25,2.3288
2019-10-28,2.3288
2019-10-29,2.4414
2019-10-30,2.4414
2019-10-31,2.4505
2019-11-01,2.4615
2019-11-04,2.4615
2019-11-05,2.3668
2019-11-06,2.3565
2019-11-07,2.3262
2019-11-08,2.2678
2019-11-11,2.2678
2019-11-12,2.053
2019-11-13,2.0646
2019-11-14,2.1294
2019-11-15,2.1294
2019-11-18,2.8798
2019-11-19,1.9198
2019-11-20,1.8839000000000001
2019-11-21,1.891
2019-11-22,1.8839000000000001
2019-11-25,1.8699
2019-11-26,1.8357999999999999
2019-11-27,1.7711000000000001
2019-11-28,1.7711000000000001
2019-11-29,1.7936
2019-12-02,1.7936
2019-12-03,1.7872
2019-12-04,1.7483
2019-12-05,1.7241
2019-12-06,1.1111
2019-12-09,1.1022
2019-12-10,1.1071
2019-12-11,1.0806
2019-12-12,1.1372
2019-12-13,1.123
2019-12-16,1.1485
2019-12-17,1.0735999999999999
2019-12-18,1.0909
2019-12-19,1.0663
2019-12-20,1.0579
2019-12-23,1.1076
2019-12-24,0.3684
2019-12-25,0.3684
2019-12-26,0.374
2019-12-27,0.374
2019-12-30,0.374
2019-12-31,0.5606
2020-01-01,0.5606
2020-01-02,0.5606
2020-01-03,0.5522
2020-01-06,1.1832
2020-01-07,1.4123999999999999
2020-01-08,1.4123999999999999
2020-01-09,1.1655
2020-01-10,1.2202
2020-01-13,1.2238
2020-01-14,1.1267
2020-01-15,1.1192
2020-01-16,2.3803
2020-01-17,2.3803
2020-01-20,2.3803
2020-01-21,2.6614
2020-01-22,1.6759
2020-01-23,1.6759
2020-01-24,1.7713999999999999
2020-01-27,1.8599999999999999
2020-01-28,1.85
2020-01-29,1.8317
2020-01-30,1.8317
2020-01-31,1.6518000000000002
2020-02-03,1.6372
2020-02-04,1.6372
2020-02-05,1.6087
2020-02-06,1.6087
2020-02-07,1.6
2020-02-10,1.6
2020-02-11,1.6
2020-02-12,1.6
2020-02-13,1.6
2020-02-14,1.6
2020-02-17,1.6
2020-02-18,1.6
2020-02-19,1.6
2020-02-20,1.6581000000000001
2020-02-21,1.6524999999999999
2020-02-24,1.5508
2020-02-25,0.5727
2020-02-26,0.5575
2020-02-27,0.6106
2020-02-28,0.6106
2020-03-02,0.6106
2020-03-03,0.6106
2020-03-04,0.6106
2020-03-05,0.6106
2020-03-06,0.6195
2020-03-09,0.6195
2020-03-10,0.6741
2020-03-11,0.7466
2020-03-12,0.7568
2020-03-13,0.7708
2020-03-16,0.7361
