Date,pc_ratio
2012-10-17,1.9149
2012-10-18,1.9149
2012-10-19,1.9149
2012-10-22,1.9149
2012-10-23,1.8085
2012-10-24,1.8085
2012-10-25,1.8085
2012-10-26,1.8085
2012-10-29,1.8085
2012-10-30,1.8085
2012-10-31,1.8085
2012-11-01,1.8085
2012-11-02,1.8085
2012-11-05,1.4913
2012-11-06,1.4913
2012-11-07,1.4913
2012-11-08,1.4913
2012-11-09,1.4913
2012-11-12,1.4913
2012-11-13,1.4913
2012-11-14,1.4913
2012-11-15,1.4913
2012-11-16,1.6038000000000001
2012-11-19,0.4717
2012-11-20,0.0566
2012-11-21,0.0566
2012-11-22,0.0566
2012-11-23,0.0566
2012-11-26,0.0566
2012-11-27,0.0566
2012-11-28,0.0566
2012-11-29,0.0566
2012-11-30,0.0566
2012-12-03,0.0566
2012-12-04,0.1321
2012-12-05,0.1029
2012-12-06,0.1029
2012-12-07,0.1029
2012-12-10,0.1029
2012-12-11,0.1029
2012-12-12,0.1029
2012-12-13,0.1029
2012-12-14,0.1029
2012-12-17,0.1029
2012-12-18,0.1029
2012-12-19,0.1029
2012-12-20,0.1029
2012-12-21,0.1029
2012-12-24,0.1029
2012-12-25,0.1029
2012-12-26,0.1029
2012-12-27,0.1029
2012-12-28,0.1029
2012-12-31,0.1029
2013-01-01,0.1029
2013-01-02,0.1029
2013-01-03,0.1029
2013-01-04,0.1029
2013-01-07,0.0794
2013-01-08,0.0806
2013-01-09,0.0806
2013-01-10,0.0806
2013-01-11,0.0806
2013-01-14,0.0806
2013-01-15,0.0806
2013-01-16,0.0806
2013-01-17,0.0694
2013-01-18,0.0694
2013-01-21,0.0694
2013-01-22,0.1042
2013-01-23,0.1087
2013-01-24,0.1087
2013-01-25,0.1087
2013-01-28,0.1087
2013-01-29,0.1087
2013-01-30,0.1515
2013-01-31,0.1515
2013-02-01,0.1515
2013-02-04,0.1515
2013-02-05,0.1515
2013-02-06,0.1515
2013-02-07,0.2728
2013-02-08,0.2728
2013-02-11,0.2728
2013-02-12,0.2728
2013-02-13,0.3104
2013-02-14,0.2308
2013-02-15,0.2308
2013-02-18,0.2308
2013-02-19,0.3214
2013-02-20,0.3214
2013-02-21,0.3214
2013-02-22,0.3214
2013-02-25,0.3214
2013-02-26,0.3214
2013-02-27,0.3214
2013-02-28,0.3214
2013-03-01,0.1071
2013-03-04,0.0789
2013-03-05,0.0789
2013-03-06,0.0789
2013-03-07,0.0789
2013-03-08,0.0789
2013-03-11,0.0789
2013-03-12,0.0789
2013-03-13,0.0789
2013-03-14,0.0789
2013-03-15,0.0789
2013-03-18,0.0789
2013-03-19,0.0789
2013-03-20,0.0789
2013-03-21,0.0976
2013-03-22,0.0976
2013-03-25,0.0976
2013-03-26,0.0976
2013-03-27,0.0976
2013-03-28,0.0976
2013-03-29,0.0976
2013-04-01,0.0976
2013-04-02,0.0976
2013-04-03,0.0976
2013-04-04,0.3414
2013-04-05,0.3414
2013-04-08,0.0378
2013-04-09,0.0378
2013-04-10,0.0378
2013-04-11,0.0373
2013-04-12,0.0373
2013-04-15,0.0373
2013-04-16,0.0373
2013-04-17,0.0373
2013-04-18,0.0452
2013-04-19,0.0452
2013-04-22,0.008
2013-04-23,0.0082
2013-04-24,0.0082
2013-04-25,0.0081
2013-04-26,0.0081
2013-04-29,0.0081
2013-04-30,0.0108
2013-05-01,0.0108
2013-05-02,0.0108
2013-05-03,0.0108
2013-05-06,0.0108
2013-05-07,0.0143
2013-05-08,0.0351
2013-05-09,0.0351
2013-05-10,0.0336
2013-05-13,0.0336
2013-05-14,0.0328
2013-05-15,0.0328
2013-05-16,0.0328
2013-05-17,0.0328
2013-05-20,0.0367
2013-05-21,0.1512
2013-05-22,0.1512
2013-05-23,0.1512
2013-05-24,0.1512
2013-05-27,0.1512
2013-05-28,0.1512
2013-05-29,0.1512
2013-05-30,0.1512
2013-05-31,0.1512
2013-06-03,0.1512
2013-06-04,0.1461
2013-06-05,0.1461
2013-06-06,0.1461
2013-06-07,0.1461
2013-06-10,0.1461
2013-06-11,0.1461
2013-06-12,0.1461
2013-06-13,0.0373
2013-06-14,0.0371
2013-06-17,0.0371
2013-06-18,0.0371
2013-06-19,0.0371
2013-06-20,0.0371
2013-06-21,0.0371
2013-06-24,0.0193
2013-06-25,0.0198
2013-06-26,0.0214
2013-06-27,0.0378
2013-06-28,0.0376
2013-07-01,0.0376
2013-07-02,0.0369
2013-07-03,0.0369
2013-07-04,0.0369
2013-07-05,0.0369
2013-07-08,0.0364
2013-07-09,0.0364
2013-07-10,0.0362
2013-07-11,0.0358
2013-07-12,0.0398
2013-07-15,0.0548
2013-07-16,0.0571
2013-07-17,0.0571
2013-07-18,0.0571
2013-07-19,0.0623
2013-07-22,0.0634
2013-07-23,0.0376
2013-07-24,0.2164
2013-07-25,0.2164
2013-07-26,0.2164
2013-07-29,0.2164
2013-07-30,0.2164
2013-07-31,0.2164
2013-08-01,0.2126
2013-08-02,0.2794
2013-08-05,0.2794
2013-08-06,0.2794
2013-08-07,0.2794
2013-08-08,0.2794
2013-08-09,0.297
2013-08-12,0.2962
2013-08-13,0.2962
2013-08-14,0.2978
2013-08-15,0.3019
2013-08-16,0.3019
2013-08-19,0.3101
2013-08-20,0.2097
2013-08-21,0.2097
2013-08-22,0.2276
2013-08-23,0.2276
2013-08-26,0.2276
2013-08-27,0.2276
2013-08-28,0.2276
2013-08-29,0.2256
2013-08-30,0.2256
2013-09-02,0.2256
2013-09-03,0.2256
2013-09-04,0.2256
2013-09-05,0.2256
2013-09-06,0.2256
2013-09-09,0.2256
2013-09-10,0.5808
2013-09-11,0.5808
2013-09-12,0.5826
2013-09-13,0.5826
2013-09-16,0.6359
2013-09-17,0.6359
2013-09-18,0.6336
2013-09-19,0.6389
2013-09-20,0.6389
2013-09-23,0.6389
2013-09-24,0.4566
2013-09-25,0.4558
2013-09-26,0.4558
2013-09-27,0.4558
2013-09-30,0.4558
2013-10-01,0.4788
2013-10-02,0.4788
2013-10-03,0.4754
2013-10-04,0.4754
2013-10-07,0.4705
2013-10-08,0.4705
2013-10-09,0.4705
2013-10-10,0.4705
2013-10-11,0.4788
2013-10-14,0.4788
2013-10-15,0.4788
2013-10-16,0.4624
2013-10-17,0.4624
2013-10-18,0.4624
2013-10-21,0.4633
2013-10-22,0.0702
2013-10-23,0.0702
2013-10-24,0.0743
2013-10-25,0.1209
2013-10-28,0.1209
2013-10-29,0.1201
2013-10-30,0.1201
2013-10-31,0.1201
2013-11-01,0.1201
2013-11-04,0.1201
2013-11-05,0.1828
2013-11-06,0.1781
2013-11-07,0.1759
2013-11-08,0.201
2013-11-11,0.201
2013-11-12,0.199
2013-11-13,0.1985
2013-11-14,0.202
2013-11-15,0.1768
2013-11-18,1.2963
2013-11-19,0.5518
2013-11-20,0.5948
2013-11-21,0.5848
2013-11-22,0.5848
2013-11-25,0.5848
2013-11-26,0.6154
2013-11-27,0.6667
2013-11-28,0.6667
2013-11-29,0.9311
2013-12-02,0.9311
2013-12-03,1.0519
2013-12-04,1.0519
2013-12-05,1.0519
2013-12-06,1.0519
2013-12-09,1.0519
2013-12-10,1.0519
2013-12-11,1.1781
2013-12-12,1.2466
2013-12-13,1.3151
2013-12-16,1.3151
2013-12-17,1.3151
2013-12-18,1.3836
2013-12-19,1.8875
2013-12-20,2.0125
2013-12-23,1.35
2013-12-24,3.56
2013-12-25,3.56
2013-12-26,2.9667
2013-12-27,3.0333
2013-12-30,2.9355
2013-12-31,2.9355
2014-01-01,2.9355
2014-01-02,2.1708
2014-01-03,1.6056
2014-01-06,1.6056
2014-01-07,1.6056
2014-01-08,1.662
2014-01-09,1.5069
2014-01-10,1.5069
2014-01-13,1.4865
2014-01-14,1.4865
2014-01-15,1.6622
2014-01-16,1.6836
2014-01-17,1.6836
2014-01-20,1.6836
2014-01-21,1.4937
2014-01-22,1.5384
2014-01-23,1.5384
2014-01-24,1.3636
2014-01-27,1.4203999999999999
2014-01-28,1.4203999999999999
2014-01-29,1.3889
2014-01-30,1.3889
2014-01-31,1.3889
2014-02-03,1.3889
2014-02-04,0.6579
2014-02-05,0.6579
2014-02-06,0.6579
2014-02-07,0.6579
2014-02-10,0.6283
2014-02-11,0.4781
2014-02-12,0.543
2014-02-13,0.7556
2014-02-14,0.7556
2014-02-17,0.7556
2014-02-18,0.7556
2014-02-19,0.7556
2014-02-20,0.7556
2014-02-21,0.7556
2014-02-24,0.6274
2014-02-25,0.5619
2014-02-26,0.5478
2014-02-27,0.5478
2014-02-28,0.5478
2014-03-03,0.5478
2014-03-04,0.5478
2014-03-05,0.5478
2014-03-06,0.5478
2014-03-07,0.5478
2014-03-10,0.5478
2014-03-11,0.5978
2014-03-12,0.5946
2014-03-13,0.5914
2014-03-14,0.5914
2014-03-17,0.5851
2014-03-18,0.5851
2014-03-19,0.5851
2014-03-20,0.7979
2014-03-21,0.8244
2014-03-24,0.8511
2014-03-25,0.9196
2014-03-26,0.9196
2014-03-27,0.9143
2014-03-28,0.9143
2014-03-31,0.9143
2014-04-01,0.9143
2014-04-02,1.06
2014-04-03,1.06
2014-04-04,0.9085
2014-04-07,0.8431
2014-04-08,0.8431
2014-04-09,2.0476
2014-04-10,2.1905
2014-04-11,2.3492
2014-04-14,2.2698
2014-04-15,2.2698
2014-04-16,2.2698
2014-04-17,2.2698
2014-04-18,2.2698
2014-04-21,2.1905
2014-04-22,1.9167
2014-04-23,2.45
2014-04-24,2.45
2014-04-25,2.45
2014-04-28,2.45
2014-04-29,2.4833
2014-04-30,2.4833
2014-05-01,2.4833
2014-05-02,2.4833
2014-05-05,2.4833
2014-05-06,2.8
2014-05-07,2.8
2014-05-08,2.8
2014-05-09,2.8
2014-05-12,3.05
2014-05-13,3.05
2014-05-14,3.05
2014-05-15,3.4167
2014-05-16,3.4167
2014-05-19,3.0429
2014-05-20,4.3235
2014-05-21,4.3235
2014-05-22,4.3235
2014-05-23,4.3235
2014-05-26,4.3235
2014-05-27,4.3235
2014-05-28,4.3235
2014-05-29,4.2
2014-05-30,4.2
2014-06-02,4.2
2014-06-03,3.7693
2014-06-04,2.4098
2014-06-05,1.7294
2014-06-06,1.7529
2014-06-09,1.7529
2014-06-10,1.6932
2014-06-11,1.6932
2014-06-12,1.6932
2014-06-13,1.6742
2014-06-16,1.6742
2014-06-17,1.9214
2014-06-18,1.9214
2014-06-19,1.9214
2014-06-20,1.9214
2014-06-23,2.0941
2014-06-24,1.7143000000000002
2014-06-25,2.125
2014-06-26,1.9428999999999998
