Date,pc_ratio
2014-02-13,10
2014-02-14,10
2014-02-17,10
2014-02-18,10
2014-02-19,11
2014-02-20,11
2014-02-21,1.4723
2014-02-24,1.4723
2014-02-25,1.75
2014-02-26,1.8889
2014-02-27,1.8889
2014-02-28,1.8889
2014-03-03,3.3056
2014-03-04,1.6901000000000002
2014-03-05,1.0256
2014-03-06,1.0256
2014-03-07,1.2308
2014-03-10,1.3898
2014-03-11,1.2891
2014-03-12,1.2891
2014-03-13,1.3047
2014-03-14,1.3047
2014-03-17,1.2946
2014-03-18,1.2836
2014-03-19,1.0424
2014-03-20,1.08
2014-03-21,1.1371
2014-03-24,1.8343
2014-03-25,1.7816
2014-03-26,1.7816
2014-03-27,1.7816
2014-03-28,1.7713999999999999
2014-03-31,1.7713999999999999
2014-04-01,1.7713999999999999
2014-04-02,1.7713999999999999
2014-04-03,1.7943
2014-04-04,1.6421000000000001
2014-04-07,1.6421000000000001
2014-04-08,1.6421000000000001
2014-04-09,1.6145
2014-04-10,1.6200999999999999
2014-04-11,1.6369
2014-04-14,1.6778
2014-04-15,1.6778
2014-04-16,1.6684999999999999
2014-04-17,1.8204
2014-04-18,1.8204
2014-04-21,1.8875
2014-04-22,1.1444
2014-04-23,1.1444
2014-04-24,1.1564
2014-04-25,1.1676
2014-04-28,1.1676
2014-04-29,1.1676
2014-04-30,1.1788
2014-05-01,1.1844000000000001
2014-05-02,1.1639
2014-05-05,1.1585
2014-05-06,1.1585
2014-05-07,1.1639
2014-05-08,1.1639
2014-05-09,1.459
2014-05-12,1.459
2014-05-13,1.5628
2014-05-14,1.6131
2014-05-15,1.6649
2014-05-16,1.5516
2014-05-19,0.2734
2014-05-20,0.2651
2014-05-21,0.2724
2014-05-22,0.2718
2014-05-23,0.3146
2014-05-26,0.3146
2014-05-27,0.3464
2014-05-28,0.3661
2014-05-29,0.3664
2014-05-30,0.3713
2014-06-02,0.3709
2014-06-03,0.3713
2014-06-04,0.3723
2014-06-05,0.3799
2014-06-06,0.3799
2014-06-09,0.3898
2014-06-10,0.3939
2014-06-11,0.3939
2014-06-12,0.3939
2014-06-13,0.3938
2014-06-16,0.3938
2014-06-17,0.3939
2014-06-18,0.3913
2014-06-19,0.396
2014-06-20,0.3966
2014-06-23,0.4099
2014-06-24,0.3975
2014-06-25,0.3983
2014-06-26,0.4031
2014-06-27,0.4031
2014-06-30,0.4031
2014-07-01,0.4031
2014-07-02,0.4014
2014-07-03,0.4014
2014-07-04,0.4014
2014-07-07,0.4106
2014-07-08,0.4106
2014-07-09,0.4106
2014-07-10,0.4056
2014-07-11,0.4042
2014-07-14,0.4038
2014-07-15,0.4047
2014-07-16,0.3956
2014-07-17,0.3956
2014-07-18,0.3993
2014-07-21,0.4006
2014-07-22,0.3584
2014-07-23,0.3607
2014-07-24,0.3459
2014-07-25,0.3476
2014-07-28,0.3476
2014-07-29,0.3431
2014-07-30,0.3608
2014-07-31,0.3679
2014-08-01,0.3708
2014-08-04,0.3708
2014-08-05,0.3693
2014-08-06,0.3708
2014-08-07,0.3708
2014-08-08,0.3708
2014-08-11,0.3693
2014-08-12,0.3693
2014-08-13,0.3693
2014-08-14,0.3694
2014-08-15,0.3698
2014-08-18,0.3694
2014-08-19,0.3581
2014-08-20,0.3604
2014-08-21,0.3604
2014-08-22,0.3604
2014-08-25,0.3596
2014-08-26,0.3596
2014-08-27,0.3596
2014-08-28,0.3699
2014-08-29,0.4058
2014-09-01,0.4058
2014-09-02,0.4023
2014-09-03,0.4023
2014-09-04,0.3996
2014-09-05,0.4079
2014-09-08,0.4078
2014-09-09,0.4076
2014-09-10,0.4072
2014-09-11,0.4072
2014-09-12,0.4072
2014-09-15,0.4082
2014-09-16,0.4084
2014-09-17,0.4084
2014-09-18,0.413
2014-09-19,0.4141
2014-09-22,0.4212
2014-09-23,0.3316
2014-09-24,0.3316
2014-09-25,0.3326
2014-09-26,0.3335
2014-09-29,0.3433
2014-09-30,0.3434
2014-10-01,0.3431
2014-10-02,0.3429
2014-10-03,0.3438
2014-10-06,0.3443
2014-10-07,0.3451
2014-10-08,0.3501
2014-10-09,0.3497
2014-10-10,0.3506
2014-10-13,0.3506
2014-10-14,0.3493
2014-10-15,0.3423
2014-10-16,0.3429
2014-10-17,0.3429
2014-10-20,0.3403
2014-10-21,0.3403
2014-10-22,0.3586
2014-10-23,0.3713
2014-10-24,0.3706
2014-10-27,0.3714
2014-10-28,0.3761
2014-10-29,0.3761
2014-10-30,0.3814
2014-10-31,0.1988
2014-11-03,0.2015
2014-11-04,0.3911
2014-11-05,0.3911
2014-11-06,0.397
2014-11-07,0.397
2014-11-10,0.3979
2014-11-11,0.3993
2014-11-12,0.3993
2014-11-13,0.3993
2014-11-14,0.3998
2014-11-17,0.4045
2014-11-18,0.4045
2014-11-19,0.4024
2014-11-20,0.4068
2014-11-21,0.4091
2014-11-24,0.4096
2014-11-25,0.414
2014-11-26,0.4358
2014-11-27,0.4358
2014-11-28,0.4369
2014-12-01,0.448
2014-12-02,0.4495
2014-12-03,0.4531
2014-12-04,0.4726
2014-12-05,0.4894
2014-12-08,0.4852
2014-12-09,0.5486
2014-12-10,0.5691
2014-12-11,0.5682
2014-12-12,0.5753
2014-12-15,0.5929
2014-12-16,0.6036
2014-12-17,0.7221
2014-12-18,0.7764
2014-12-19,0.7776
2014-12-22,0.7423
2014-12-23,4.3543
2014-12-24,4.3281
2014-12-25,4.3281
2014-12-26,4.3633
2014-12-29,4.4571
2014-12-30,4.5259
2014-12-31,2.488
2015-01-01,2.488
2015-01-02,2.4665
2015-01-05,2.4687
2015-01-06,2.9935
2015-01-07,1.5266
2015-01-08,1.5266
2015-01-09,1.5274
2015-01-12,1.517
2015-01-13,1.517
2015-01-14,1.517
2015-01-15,1.5188000000000001
2015-01-16,1.5045
2015-01-19,1.5045
2015-01-20,1.5249000000000001
2015-01-21,1.3914
2015-01-22,1.3914
2015-01-23,1.3825
2015-01-26,1.3825
2015-01-27,1.3718
2015-01-28,1.3718
2015-01-29,1.3771
2015-01-30,1.3841
2015-02-02,1.3841
2015-02-03,1.3841
2015-02-04,1.3884
2015-02-05,1.3871
2015-02-06,1.3871
2015-02-09,1.3871
2015-02-10,1.3754
2015-02-11,1.3754
2015-02-12,1.3754
2015-02-13,1.3754
2015-02-16,1.3754
