Date,pc_ratio
2011-08-12,0.2917
2011-08-15,0.2917
2011-08-16,0.2917
2011-08-17,0.2917
2011-08-18,0.2917
2011-08-19,0.2917
2011-08-22,0.2917
2011-08-23,0.2917
2011-08-24,0.2917
2011-08-25,0.2917
2011-08-26,0.2917
2011-08-29,0.2917
2011-08-30,0.2917
2011-08-31,0.2917
2011-09-01,0.2917
2011-09-02,0.2917
2011-09-05,0.2917
2011-09-06,0.1591
2011-09-07,0.1591
2011-09-08,0.1591
2011-09-09,0.1591
2011-09-12,0.1591
2011-09-13,0.0228
2011-09-14,0.0228
2011-09-15,0.0228
2011-09-16,0.0228
2011-09-19,0.0267
2011-09-20,0.0267
2011-09-21,0.0267
2011-09-22,0.0267
2011-09-23,0.04
2011-09-26,0.04
2011-09-27,0.04
2011-09-28,0.04
2011-09-29,0.0341
2011-09-30,0.0341
2011-10-03,0.0341
2011-10-04,0.0306
2011-10-05,0.0254
2011-10-06,0.0254
2011-10-07,0.0254
2011-10-10,0.0254
2011-10-11,0.0254
2011-10-12,0.0254
2011-10-13,0.0254
2011-10-14,0.0254
2011-10-17,0.0254
2011-10-18,0.0254
2011-10-19,0.0331
2011-10-20,0.0331
2011-10-21,0.0331
2011-10-24,0.0411
2011-10-25,0.0238
2011-10-26,0.1309
2011-10-27,0.1279
2011-10-28,0.117
2011-10-31,0.117
2011-11-01,0.117
2011-11-02,0.3474
2011-11-03,0.4737
2011-11-04,0.2647
2011-11-07,0.2406
2011-11-08,0.2133
2011-11-09,0.2796
2011-11-10,0.327
2011-11-11,0.3886
2011-11-14,0.4693
2011-11-15,0.4693
2011-11-16,0.4693
2011-11-17,0.4693
2011-11-18,0.6798
2011-11-21,0.7143
2011-11-22,1.1716
2011-11-23,1.1716
2011-11-24,1.1716
2011-11-25,1.1629
2011-11-28,1.1629
2011-11-29,1.1629
2011-11-30,0.9874
2011-12-01,0.9515
2011-12-02,0.9515
2011-12-05,0.9515
2011-12-06,0.9235
2011-12-07,0.8647
2011-12-08,0.8647
2011-12-09,0.8647
2011-12-12,0.8647
2011-12-13,0.8448
2011-12-14,0.8448
2011-12-15,0.8448
2011-12-16,0.8921
2011-12-19,0.8771
2011-12-20,0.6509
2011-12-21,0.7101
2011-12-22,0.7273
2011-12-23,0.7273
2011-12-26,0.7273
2011-12-27,0.0059
2011-12-28,0.0059
2011-12-29,0.0059
2011-12-30,0.0059
2012-01-02,0.0059
2012-01-03,0.0065
2012-01-04,0.0065
2012-01-05,0.0065
2012-01-06,0.0065
2012-01-09,0.0065
2012-01-10,0.0065
2012-01-11,0.0065
2012-01-12,0.0065
2012-01-13,0.0066
2012-01-16,0.0066
2012-01-17,0.0066
2012-01-18,0.0066
2012-01-19,0.0066
2012-01-20,0.0066
2012-01-23,0.0066
2012-01-24,0.7857
2012-01-25,0.7404
2012-01-26,0.7404
2012-01-27,0.7596
2012-01-30,0.693
2012-01-31,0.7018
2012-02-01,0.7018
2012-02-02,0.6956
2012-02-03,0.6896
2012-02-06,0.8633
2012-02-07,0.8633
2012-02-08,0.8633
2012-02-09,0.8633
2012-02-10,0.84
2012-02-13,0.976
2012-02-14,0.976
2012-02-15,0.976
2012-02-16,1.1280000000000001
2012-02-17,1.1280000000000001
2012-02-20,1.1280000000000001
2012-02-21,1.1653
2012-02-22,1.1736
2012-02-23,1.1452
2012-02-24,1.1452
2012-02-27,1.1181
2012-02-28,1.1008
2012-02-29,1.1008
2012-03-01,1.1008
2012-03-02,1.1008
2012-03-05,1.1008
2012-03-06,1.0365
2012-03-07,1.0365
2012-03-08,1.0438
2012-03-09,1.0511
2012-03-12,1.0435
2012-03-13,0.8834
2012-03-14,0.9863
2012-03-15,1.0274
2012-03-16,1.1905000000000001
2012-03-19,1.1905000000000001
2012-03-20,1.5567
2012-03-21,1.1185
2012-03-22,1.1185
2012-03-23,1.1706
2012-03-26,1.208
2012-03-27,1.208
2012-03-28,1.1984
2012-03-29,1.1103
2012-03-30,1.1103
2012-04-02,1.1103
2012-04-03,1.1103
2012-04-04,1.1022
2012-04-05,1.1095
2012-04-06,1.1095
2012-04-09,1.1095
2012-04-10,1.1095
2012-04-11,1.1095
2012-04-12,1.1014
2012-04-13,1.1014
2012-04-16,1.1602999999999999
2012-04-17,1.1602999999999999
2012-04-18,1
2012-04-19,1
2012-04-20,1.0201
2012-04-23,1.2258
2012-04-24,0.2941
2012-04-25,0.3448
2012-04-26,0.3409
2012-04-27,0.4546
2012-04-30,0.4546
2012-05-01,0.4301
2012-05-02,0.4301
2012-05-03,0.4211
2012-05-04,0.4211
2012-05-07,0.3636
2012-05-08,0.339
2012-05-09,0.3814
2012-05-10,0.4831
2012-05-11,0.4831
2012-05-14,0.4223
2012-05-15,0.4223
2012-05-16,0.4071
2012-05-17,0.3974
2012-05-18,0.3974
2012-05-21,0.3974
2012-05-22,0.4627
2012-05-23,0.5333
2012-05-24,0.4559
2012-05-25,0.4559
2012-05-28,0.4559
2012-05-29,0.4559
2012-05-30,0.3796
2012-05-31,0.3688
2012-06-01,0.3862
2012-06-04,0.3188
2012-06-05,0.3813
2012-06-06,0.2328
2012-06-07,0.2319
2012-06-08,0.2693
2012-06-11,0.3946
2012-06-12,0.4033
2012-06-13,0.4033
2012-06-14,0.4033
2012-06-15,0.4011
2012-06-18,0.5384
2012-06-19,0.5644
2012-06-20,0.5509
2012-06-21,0.7365
2012-06-22,0.7151
2012-06-25,0.9179
2012-06-26,1
2012-06-27,0.9926
2012-06-28,0.9926
2012-06-29,0.9926
2012-07-02,0.9853
2012-07-03,0.9926
2012-07-04,0.9926
2012-07-05,0.9853
2012-07-06,0.9504
2012-07-09,0.9571
2012-07-10,0.9571
2012-07-11,0.8993
2012-07-12,0.8993
2012-07-13,0.8993
2012-07-16,0.8428
2012-07-17,0.8428
2012-07-18,0.7929
2012-07-19,0.7988
2012-07-20,0.7988
2012-07-23,1.0744
2012-07-24,0.4875
2012-07-25,0.525
2012-07-26,0.525
2012-07-27,0.525
2012-07-30,0.4941
2012-07-31,0.1528
2012-08-01,0.155
2012-08-02,0.1528
2012-08-03,0.1532
2012-08-06,0.155
2012-08-07,0.153
2012-08-08,0.1841
2012-08-09,0.1836
2012-08-10,0.1836
2012-08-13,0.1836
2012-08-14,0.2232
2012-08-15,0.2232
2012-08-16,0.2232
2012-08-17,0.2232
2012-08-20,0.3171
2012-08-21,0.2836
2012-08-22,0.2988
2012-08-23,0.2988
2012-08-24,0.2979
2012-08-27,0.2979
2012-08-28,0.2979
2012-08-29,0.2917
2012-08-30,0.2917
2012-08-31,0.2899
2012-09-03,0.2899
2012-09-04,0.287
2012-09-05,0.287
2012-09-06,0.3769
2012-09-07,0.3598
2012-09-10,0.3548
2012-09-11,0.3603
2012-09-12,0.3883
2012-09-13,0.3883
2012-09-14,0.3838
2012-09-17,0.3838
2012-09-18,0.3787
2012-09-19,0.3787
2012-09-20,0.3767
2012-09-21,0.3953
2012-09-24,0.5399
2012-09-25,0.4306
2012-09-26,0.4375
2012-09-27,0.436
2012-09-28,0.436
2012-10-01,0.436
2012-10-02,0.4483
2012-10-03,0.4483
2012-10-04,0.4333
2012-10-05,0.4319
2012-10-08,0.4502
2012-10-09,0.4534
2012-10-10,0.4534
2012-10-11,0.4551
2012-10-12,0.4872
2012-10-15,0.5353
2012-10-16,0.5353
2012-10-17,0.5353
2012-10-18,0.5256
2012-10-19,0.5481
2012-10-22,0.4984
2012-10-23,0.4
2012-10-24,0.4
2012-10-25,0.3633
2012-10-26,0.3667
2012-10-29,0.3667
2012-10-30,0.3667
2012-10-31,0.3667
2012-11-01,0.3667
2012-11-02,0.3667
2012-11-05,0.3654
2012-11-06,0.3323
2012-11-07,0.303
2012-11-08,0.3361
2012-11-09,0.3443
2012-11-12,0.3869
2012-11-13,0.3848
2012-11-14,0.3859
2012-11-15,0.3876
2012-11-16,0.3913
2012-11-19,0.3788
2012-11-20,0.3839
2012-11-21,0.3839
2012-11-22,0.3839
2012-11-23,0.3839
2012-11-26,0.3777
2012-11-27,0.3777
2012-11-28,0.3708
2012-11-29,0.3697
2012-11-30,0.3631
2012-12-03,0.3631
2012-12-04,0.3706
2012-12-05,0.3735
2012-12-06,0.4611
2012-12-07,0.4611
2012-12-10,0.4611
2012-12-11,0.4698
2012-12-12,0.4901
2012-12-13,0.4793
2012-12-14,0.4753
2012-12-17,0.4753
2012-12-18,0.4727
2012-12-19,0.4766
2012-12-20,0.4766
2012-12-21,0.489
2012-12-24,0.5347
2012-12-25,0.5347
2012-12-26,0.4172
2012-12-27,0.4261
2012-12-28,0.4796
2012-12-31,0.4824
2013-01-01,0.4824
2013-01-02,0.5589
2013-01-03,0.5893
2013-01-04,0.5663
2013-01-07,0.5538
2013-01-08,0.5538
2013-01-09,0.5087
2013-01-10,0.4849
2013-01-11,0.4849
2013-01-14,0.4849
2013-01-15,0.4849
2013-01-16,0.4862
2013-01-17,0.5171
2013-01-18,0.4946
2013-01-21,0.4946
2013-01-22,0.5463
2013-01-23,0.1841
2013-01-24,0.1841
2013-01-25,0.1686
2013-01-28,0.1686
2013-01-29,0.1914
2013-01-30,0.2
2013-01-31,0.1973
2013-02-01,0.1973
2013-02-04,0.1962
2013-02-05,0.1962
2013-02-06,0.2141
2013-02-07,0.213
