Date,pcf
2002-12-16,2.3004
2002-12-17,2.2955
2002-12-18,2.2953
2002-12-19,2.3548
2002-12-20,2.4404
2002-12-23,2.4769
2002-12-24,2.5439
2002-12-25,2.5072
2002-12-26,2.5023
2002-12-27,2.4946
2002-12-30,2.5751
2002-12-31,4.1898
2003-01-01,4.1898
2003-01-02,3.7823
2003-01-03,3.8398
2003-01-06,4.7912
2003-01-07,4.895
2003-01-08,4.9886
2003-01-09,5.2374
2003-01-10,5.0562
2003-01-13,5.0999
2003-01-14,5.172
2003-01-15,5.2812
2003-01-16,5.3938
2003-01-17,5.174
2003-01-20,5.2286
2003-01-21,5.1891
2003-01-22,5.3684
2003-01-23,5.1841
2003-01-24,5.016
2003-01-27,4.876
2003-01-28,4.8208
2003-01-29,4.9108
2003-01-30,4.8741
2003-01-31,4.9352
2003-02-03,4.9242
2003-02-04,5.1792
2003-02-05,5.1377
2003-02-06,5.1152
2003-02-07,5.1313
2003-02-10,5.2478
2003-02-11,5.3392
2003-02-12,5.4839
2003-02-13,5.4734
2003-02-14,5.2631
2003-02-17,5.3798
2003-02-18,5.4159
2003-02-19,5.3149
2003-02-20,5.2774
2003-02-21,5.4294
2003-02-24,5.4499
2003-02-25,5.4767
2003-02-26,5.4228
2003-02-27,5.3471
2003-02-28,5.4894
2003-03-03,5.5011
2003-03-04,5.5206
2003-03-05,5.5733
2003-03-06,5.4592
2003-03-07,5.3983
2003-03-10,5.2791
2003-03-11,5.3184000000000005
2003-03-12,5.3272
2003-03-13,5.3901
2003-03-14,5.2893
2003-03-17,5.3773
2003-03-18,5.4518
2003-03-19,5.4257
2003-03-20,5.5136
2003-03-21,5.5442
2003-03-24,5.4753
2003-03-25,5.5559
2003-03-26,5.6293
2003-03-27,5.6641
2003-03-28,5.4581
2003-03-31,5.9166
2003-04-01,5.9338
2003-04-02,5.8403
2003-04-03,5.9884
2003-04-04,6.0539
2003-04-07,6.0243
2003-04-08,5.986
2003-04-09,5.9669
2003-04-10,5.9727
2003-04-11,6.0015
2003-04-14,6.1016
2003-04-15,6.0923
2003-04-16,6.1948
2003-04-17,6.2371
2003-04-18,6.2371
2003-04-21,6.5578
2003-04-22,6.6452
2003-04-23,6.912
2003-04-24,6.7262
2003-04-25,6.8809000000000005
2003-04-28,6.3711
2003-04-29,6.5484
2003-04-30,6.6414
2003-05-01,6.6649
2003-05-02,6.9304
2003-05-05,6.8599
2003-05-06,6.7043
2003-05-07,6.6974
2003-05-08,6.7092
2003-05-09,6.8530999999999995
2003-05-12,6.6315
2003-05-13,6.6198
2003-05-14,6.6193
2003-05-15,6.3146
2003-05-16,6.3246
2003-05-19,6.1258
2003-05-20,6.123
2003-05-21,6.2566
2003-05-22,6.473
2003-05-23,6.4147
2003-05-26,6.5105
2003-05-27,6.5112
2003-05-28,6.5635
2003-05-29,6.572
2003-05-30,6.5929
2003-06-02,6.7542
2003-06-03,6.741
2003-06-04,6.6937
2003-06-05,6.7554
2003-06-06,6.8378
2003-06-09,6.8377
2003-06-10,6.9466
2003-06-11,6.9647
2003-06-12,7.0229
2003-06-13,7.1724
2003-06-16,7.1916
2003-06-17,7.4732
2003-06-18,7.4226
2003-06-19,7.5792
2003-06-20,7.6676
2003-06-23,7.7075
2003-06-24,7.7476
2003-06-25,7.8503
2003-06-26,7.4142
2003-06-27,7.3465
2003-06-30,8.4684
2003-07-01,8.5003
2003-07-02,8.4776
2003-07-03,8.2609
2003-07-04,8.374
2003-07-07,8.3782
2003-07-08,8.2613
2003-07-09,8.2911
2003-07-10,8.1343
2003-07-11,8.186
2003-07-14,8.2177
2003-07-15,8.0363
2003-07-16,8.0983
2003-07-17,8.224
2003-07-18,8.3081
2003-07-21,8.2915
2003-07-22,8.3279
2003-07-23,8.4043
2003-07-24,8.305
2003-07-25,8.2136
2003-07-28,8.1634
2003-07-29,8.2252
2003-07-30,8.2805
2003-07-31,8.0537
2003-08-01,8.0362
2003-08-04,8.0056
2003-08-05,7.9825
2003-08-06,8.0132
2003-08-07,7.9521
2003-08-08,7.9705
2003-08-11,7.7834
2003-08-12,7.8118
2003-08-13,7.9319
2003-08-14,7.8817
2003-08-15,7.8063
2003-08-18,7.8603
2003-08-19,7.5679
2003-08-20,7.5182
2003-08-21,7.7335
2003-08-22,7.4962
2003-08-25,7.6637
2003-08-26,7.7681000000000004
2003-08-27,7.807
2003-08-28,7.8118
2003-08-29,7.8888
2003-09-01,7.7839
2003-09-02,7.9059
2003-09-03,8.0373
2003-09-04,8.0423
2003-09-05,8.1731
2003-09-08,8.2283
2003-09-09,8.0166
2003-09-10,8.2506
2003-09-11,8.3885
2003-09-12,8.4922
2003-09-15,8.5807
2003-09-16,8.7119
2003-09-17,8.6608
2003-09-18,8.6503
2003-09-19,8.6013
2003-09-22,8.7587
2003-09-23,8.823
2003-09-24,9.0269
2003-09-25,8.8709
2003-09-26,8.8374
2003-09-29,8.8971
2003-09-30,6.4613
2003-10-01,6.4773
2003-10-02,6.5134
2003-10-03,6.5304
2003-10-06,6.523
2003-10-07,6.4991
2003-10-08,6.5751
2003-10-09,6.6874
2003-10-10,6.7558
2003-10-13,6.7439
2003-10-14,6.7277000000000005
2003-10-15,6.7334
2003-10-16,6.6234
2003-10-17,6.6365
2003-10-20,6.7099
2003-10-21,6.8149
2003-10-22,6.7187
2003-10-23,6.6616
2003-10-24,6.7564
2003-10-27,6.7241
2003-10-28,6.7903
2003-10-29,6.9015
2003-10-30,6.872
2003-10-31,6.7999
2003-11-03,6.9455
2003-11-04,7.0341
2003-11-05,7.0975
2003-11-06,7.1099
2003-11-07,7.073
2003-11-10,7.0294
2003-11-11,6.8719
2003-11-12,6.8884
2003-11-13,6.9521
2003-11-14,6.9673
2003-11-17,6.8475
2003-11-18,6.895
2003-11-19,6.8873999999999995
2003-11-20,6.8119
2003-11-21,6.9051
2003-11-24,6.9607
2003-11-25,7.0407
2003-11-26,7.0657
2003-11-27,6.8777
2003-11-28,6.8707
2003-12-01,6.9397
2003-12-02,7.0967
2003-12-03,7.0753
2003-12-04,7.0334
2003-12-05,7.2054
2003-12-08,7.1392
2003-12-09,7.2786
2003-12-10,7.1452
2003-12-11,7.1547
2003-12-12,7.2042
2003-12-15,7.1306
2003-12-16,7.154
2003-12-17,7.2538
2003-12-18,7.4734
2003-12-19,7.4147
2003-12-22,7.6838
2003-12-23,7.7181
2003-12-24,7.8316
2003-12-25,7.8316
2003-12-26,8.0485
2003-12-29,8.2059
2003-12-30,8.278
2003-12-31,7.3669
2004-01-01,7.3669
2004-01-02,7.6541
2004-01-05,8.0955
2004-01-06,8.2777
2004-01-07,8.2159
2004-01-08,8.2062
2004-01-09,8.4361
2004-01-12,8.1921
2004-01-13,8.3245
2004-01-14,8.2621
2004-01-15,8.2055
2004-01-16,8.2688
2004-01-19,8.6049
2004-01-20,8.5337
2004-01-21,8.301
2004-01-22,8.2299
2004-01-23,8.1308
2004-01-26,8.3422
2004-01-27,8.3114
2004-01-28,8.1714
2004-01-29,7.9190000000000005
2004-01-30,7.8349
2004-02-02,7.678
2004-02-03,7.8733
2004-02-04,7.779
2004-02-05,7.4369
2004-02-06,7.3862
2004-02-09,7.5839
2004-02-10,7.089
2004-02-11,7.2534
2004-02-12,7.4643
2004-02-13,7.5512
2004-02-16,7.7573
2004-02-17,7.7605
2004-02-18,7.7773
2004-02-19,7.842
2004-02-20,7.9853
2004-02-23,8.3433
2004-02-24,8.2668
2004-02-25,8.0621
2004-02-26,8.1857
2004-02-27,8.0654
2004-03-01,8.3239
2004-03-02,8.3253
2004-03-03,8.2247
2004-03-04,8.1562
2004-03-05,7.9543
2004-03-08,7.9163
2004-03-09,8.1898
2004-03-10,8.3328
2004-03-11,8.2052
2004-03-12,8.2625
2004-03-15,8.0708
2004-03-16,8.092
2004-03-17,8.222
2004-03-18,8.273
2004-03-19,8.3897
2004-03-22,8.2945
2004-03-23,8.2622
2004-03-24,8.1251
2004-03-25,8.117
2004-03-26,7.9642
2004-03-29,7.7619
2004-03-30,7.9698
2004-03-31,9.7813
2004-04-01,9.8018
2004-04-02,9.8079
2004-04-05,9.8079
2004-04-06,9.780100000000001
2004-04-07,9.8904
2004-04-08,9.9124
2004-04-09,9.9124
2004-04-12,9.817
2004-04-13,9.8903
2004-04-14,9.7444
2004-04-15,9.6349
2004-04-16,9.5231
2004-04-19,9.2636
2004-04-20,9.1122
2004-04-21,8.8416
2004-04-22,8.8407
2004-04-23,9.192
2004-04-26,9.1778
2004-04-27,9.1329
2004-04-28,8.9418
2004-04-29,8.7526
2004-04-30,8.5664
2004-05-03,8.524000000000001
2004-05-04,8.5858
2004-05-05,8.5946
2004-05-06,8.3858
2004-05-07,7.9411000000000005
2004-05-10,7.3054
2004-05-11,7.7598
2004-05-12,7.7199
2004-05-13,7.5314
2004-05-14,7.5319
2004-05-17,7.1698
2004-05-18,7.2546
2004-05-19,7.5858
2004-05-20,7.5234
2004-05-21,7.6171
2004-05-24,7.8482
2004-05-25,7.8482
2004-05-26,7.9821
2004-05-27,8.0656
2004-05-28,8.0289
2004-05-31,8.0205
2004-06-01,8.1644
2004-06-02,8.2678
2004-06-03,8.1073
2004-06-04,7.8645
2004-06-07,7.9308
2004-06-08,7.9378
2004-06-09,7.6599
2004-06-10,7.6093
2004-06-11,7.553
2004-06-14,7.3724
2004-06-15,7.6081
2004-06-16,7.7627
2004-06-17,7.7975
2004-06-18,8.0552
