Date,pcf
2009-03-10,6.5999
2009-03-11,6.6093
2009-03-12,6.6747
2009-03-13,6.736
2009-03-16,6.8654
2009-03-17,6.9432
2009-03-18,6.8236
2009-03-19,6.86
2009-03-20,6.7968
2009-03-23,7.0371
2009-03-24,7.0609
2009-03-25,7.1187
2009-03-26,7.1036
2009-03-27,7.1599
2009-03-30,6.8678
2009-03-31,6.3827
2009-04-01,6.5129
2009-04-02,6.6350999999999996
2009-04-03,6.5885
2009-04-06,6.5801
2009-04-07,6.5494
2009-04-08,6.6083
2009-04-09,6.7427
2009-04-10,6.7429
2009-04-13,6.8861
2009-04-14,6.9122
2009-04-15,6.8588000000000005
2009-04-16,7.0011
2009-04-17,6.9655000000000005
2009-04-20,6.7766
2009-04-21,6.8821
2009-04-22,6.895
2009-04-23,6.9097
2009-04-24,6.8452
2009-04-27,6.6416
2009-04-28,6.6392
2009-04-29,6.8928
2009-04-30,6.8897
2009-05-01,6.8317
2009-05-04,7.1944
2009-05-05,7.2696
2009-05-06,7.2984
2009-05-07,7.4171
2009-05-08,7.6278
2009-05-11,7.6002
2009-05-12,7.6251
2009-05-13,7.484
2009-05-14,7.6218
2009-05-15,7.8153
2009-05-18,8.0716
2009-05-19,8.05
2009-05-20,8.0531
2009-05-21,8.0234
2009-05-22,8.0178
2009-05-25,8.2206
2009-05-26,8.2841
2009-05-27,8.0483
2009-05-28,8.1708
2009-05-29,8.2271
2009-06-01,8.7073
2009-06-02,8.7076
2009-06-03,8.5798
2009-06-04,8.6151
2009-06-05,8.6991
2009-06-08,8.6011
2009-06-09,8.6655
2009-06-10,8.6603
2009-06-11,8.6884
2009-06-12,8.7248
2009-06-15,8.6442
2009-06-16,8.7126
2009-06-17,8.496
2009-06-18,8.7012
2009-06-19,8.7887
2009-06-22,8.5902
2009-06-23,8.5061
2009-06-24,8.5506
2009-06-25,8.6741
2009-06-26,8.8526
2009-06-29,8.8207
2009-06-30,8.1317
2009-07-01,8.1258
2009-07-02,7.986
2009-07-03,8.0536
2009-07-06,8.044
2009-07-07,7.9928
2009-07-08,7.8701
2009-07-09,7.853
2009-07-10,7.807
2009-07-13,7.968
2009-07-14,8.04
2009-07-15,8.2721
2009-07-16,8.3514
2009-07-17,8.4364
2009-07-20,8.546
2009-07-21,8.5248
2009-07-22,8.4509
2009-07-23,8.4968
2009-07-24,8.412
2009-07-27,8.3666
2009-07-28,8.3083
2009-07-29,8.3205
2009-07-30,8.3719
2009-07-31,8.3325
2009-08-03,8.5154
2009-08-04,8.5318
2009-08-05,8.5429
2009-08-06,8.4588
2009-08-07,8.4419
2009-08-10,8.4677
2009-08-11,8.2981
2009-08-12,8.4195
2009-08-13,8.5231
2009-08-14,8.3858
2009-08-17,8.2171
2009-08-18,8.3142
2009-08-19,8.2921
2009-08-20,8.4222
2009-08-21,8.4771
2009-08-24,8.365
2009-08-25,8.395199999999999
2009-08-26,8.3861
2009-08-27,8.2729
2009-08-28,8.2524
2009-08-31,8.073
2009-09-01,7.9719
2009-09-02,7.9552
2009-09-03,8.0815
2009-09-04,8.1779
2009-09-07,8.1664
2009-09-08,8.1635
2009-09-09,8.1871
2009-09-10,8.2342
2009-09-11,8.3352
2009-09-14,8.2729
2009-09-15,8.2669
2009-09-16,8.4857
2009-09-17,8.5407
2009-09-18,8.5565
2009-09-21,8.5612
2009-09-22,8.62
2009-09-23,8.7108
2009-09-24,8.6679
2009-09-25,8.638
2009-09-28,8.7195
2009-09-29,8.7463
2009-09-30,8.2945
2009-10-01,8.1854
2009-10-02,8.1084
2009-10-05,8.2332
2009-10-06,8.3509
2009-10-07,8.3869
2009-10-08,8.382
2009-10-09,8.4268
2009-10-12,8.4237
2009-10-13,8.4854
2009-10-14,8.4853
2009-10-15,8.4496
2009-10-16,8.5141
2009-10-19,8.5617
2009-10-20,8.598
2009-10-21,8.556799999999999
2009-10-22,8.6146
2009-10-23,8.7129
2009-10-26,8.6013
2009-10-27,8.5648
2009-10-28,8.444
2009-10-29,8.5647
2009-10-30,8.405100000000001
2009-11-02,8.393
2009-11-03,8.3656
2009-11-04,8.8559
2009-11-05,8.9377
2009-11-06,8.899000000000001
2009-11-09,9.1441
2009-11-10,9.3688
2009-11-11,9.3276
2009-11-12,9.237
2009-11-13,9.3199
2009-11-16,9.4207
2009-11-17,9.3202
2009-11-18,9.2666
2009-11-19,9.1165
2009-11-20,9.1776
2009-11-23,9.3062
2009-11-24,9.2371
2009-11-25,9.2081
2009-11-26,9.0237
2009-11-27,9.1725
2009-11-30,9.1775
2009-12-01,9.9243
2009-12-02,9.9487
2009-12-03,9.8362
2009-12-04,9.9063
2009-12-07,9.8781
2009-12-08,9.7804
2009-12-09,9.8618
2009-12-10,10.0452
2009-12-11,10.2717
2009-12-14,10.3406
2009-12-15,10.3281
2009-12-16,10.347
2009-12-17,10.3091
2009-12-18,10.2838
2009-12-21,10.3214
2009-12-22,10.2426
2009-12-23,10.2508
2009-12-24,10.3141
2009-12-25,10.3141
2009-12-28,10.3416
2009-12-29,10.4116
2009-12-30,10.4477
2009-12-31,9.1792
2010-01-01,9.1792
2010-01-04,9.315
2010-01-05,9.3678
2010-01-06,9.5317
2010-01-07,9.703
2010-01-08,9.8014
2010-01-11,9.9391
2010-01-12,9.9262
2010-01-13,9.9229
2010-01-14,9.9665
2010-01-15,9.968
2010-01-18,10.0349
2010-01-19,10.0601
2010-01-20,10.0037
2010-01-21,9.8237
2010-01-22,9.6972
2010-01-25,9.75
2010-01-26,9.6644
2010-01-27,9.4237
2010-01-28,9.2422
2010-01-29,9.4374
2010-02-01,9.4129
2010-02-02,9.4625
2010-02-03,9.3184
2010-02-04,9.0507
2010-02-05,8.8854
2010-02-08,8.9504
2010-02-09,8.9886
2010-02-10,9.0909
2010-02-11,9.1866
2010-02-12,9.2409
2010-02-15,9.233
2010-02-16,9.3939
2010-02-17,9.4354
2010-02-18,9.4194
2010-02-19,9.3631
2010-02-22,9.4327
2010-02-23,9.3372
2010-02-24,9.3324
2010-02-25,9.2514
2010-02-26,9.4045
2010-03-01,9.3814
2010-03-02,9.3678
2010-03-03,9.3163
2010-03-04,9.4049
2010-03-05,9.6463
2010-03-08,9.6916
2010-03-09,9.5941
2010-03-10,9.559
2010-03-11,9.5336
2010-03-12,9.5488
2010-03-15,9.4949
2010-03-16,9.4298
2010-03-17,9.3435
2010-03-18,9.3302
2010-03-19,9.2121
2010-03-22,9.157
2010-03-23,9.1661
2010-03-24,9.1337
2010-03-25,9.108
2010-03-26,9.0357
2010-03-29,9.054
2010-03-30,9.2116
2010-03-31,9.8688
2010-04-01,10.0171
2010-04-02,10.0171
2010-04-05,10.1458
2010-04-06,10.1765
2010-04-07,10.224
2010-04-08,10.17
2010-04-09,10.2288
2010-04-12,10.1735
2010-04-13,10.1365
2010-04-14,10.1851
2010-04-15,10.056
2010-04-16,9.9514
2010-04-19,9.9294
2010-04-20,9.9463
2010-04-21,10.0016
2010-04-22,10.0602
2010-04-23,10.0419
2010-04-26,10.0573
2010-04-27,9.9518
2010-04-28,9.7931
2010-04-29,9.9141
2010-04-30,10.0348
2010-05-03,10.0149
2010-05-04,9.8928
2010-05-05,9.7263
2010-05-06,9.6134
2010-05-07,9.405
2010-05-10,9.7474
2010-05-11,9.7274
2010-05-12,9.8396
2010-05-13,9.7423
2010-05-14,9.6171
2010-05-17,9.6087
2010-05-18,9.4886
2010-05-19,9.3433
2010-05-20,9.1712
2010-05-21,9.2758
2010-05-24,9.4991
2010-05-25,9.2103
2010-05-26,9.482
2010-05-27,9.5436
2010-05-28,9.6714
2010-05-31,9.749
2010-06-01,9.5834
2010-06-02,9.6475
2010-06-03,9.677
2010-06-04,9.4981
2010-06-07,9.4085
2010-06-08,9.4231
2010-06-09,9.5722
2010-06-10,9.7683
2010-06-11,9.8363
2010-06-14,9.925
2010-06-15,10.0703
2010-06-16,10.1993
2010-06-17,10.2753
2010-06-18,10.3611
2010-06-21,10.3581
2010-06-22,10.2119
2010-06-23,10.2058
2010-06-24,10.0389
2010-06-25,10.2147
2010-06-28,10.2299
2010-06-29,10.0031
2010-06-30,10.643
2010-07-01,10.5443
2010-07-02,10.8063
2010-07-05,10.7498
2010-07-06,10.894
2010-07-07,11.0334
2010-07-08,11.1849
2010-07-09,11.1543
2010-07-12,11.0722
2010-07-13,11.223700000000001
2010-07-14,11.2284
2010-07-15,11.3491
2010-07-16,11.3962
2010-07-19,11.3042
2010-07-20,11.4256
2010-07-21,11.6767
2010-07-22,11.8442
2010-07-23,11.871
2010-07-26,11.9658
2010-07-27,12.036
2010-07-28,11.8701
2010-07-29,11.9247
2010-07-30,11.9204
2010-08-02,12.1803
