Date,pcf
2005-03-09,9.4555
2005-03-10,9.3963
2005-03-11,9.4104
2005-03-14,9.4114
2005-03-15,9.5062
2005-03-16,9.3522
2005-03-17,9.4067
2005-03-18,9.3841
2005-03-21,9.3175
2005-03-22,9.2846
2005-03-23,9.1729
2005-03-24,9.1907
2005-03-25,9.1907
2005-03-28,9.1907
2005-03-29,9.2132
2005-03-30,9.1804
2005-03-31,8.8603
2005-04-01,8.854
2005-04-04,8.2665
2005-04-05,8.341
2005-04-06,8.3675
2005-04-07,8.4848
2005-04-08,8.4352
2005-04-11,8.3753
2005-04-12,8.3076
2005-04-13,8.3538
2005-04-14,8.3162
2005-04-15,8.0936
2005-04-18,8.3642
2005-04-19,8.4741
2005-04-20,8.5757
2005-04-21,8.754
2005-04-22,8.8752
2005-04-25,8.9001
2005-04-26,8.8458
2005-04-27,8.737
2005-04-28,8.755700000000001
2005-04-29,8.7343
2005-05-02,8.811
2005-05-03,8.8074
2005-05-04,8.9269
2005-05-05,8.9269
2005-05-06,9.1542
2005-05-09,9.2148
2005-05-10,9.1444
2005-05-11,9.1114
2005-05-12,9.1961
2005-05-13,9.287
2005-05-16,9.3369
2005-05-17,9.3244
2005-05-18,9.5232
2005-05-19,9.549900000000001
2005-05-20,9.5125
2005-05-23,9.5615
2005-05-24,9.5695
2005-05-25,9.4323
2005-05-26,9.5009
2005-05-27,9.533
2005-05-30,9.5419
2005-05-31,9.5178
2005-06-01,9.8117
2005-06-02,9.7684
2005-06-03,9.7398
2005-06-06,9.6395
2005-06-07,9.7603
2005-06-08,9.729
2005-06-09,9.667300000000001
2005-06-10,9.7639
2005-06-13,9.8086
2005-06-14,9.8901
2005-06-15,9.8239
2005-06-16,9.9097
2005-06-17,9.8829
2005-06-20,9.8811
2005-06-21,9.9616
2005-06-22,10.0359
2005-06-23,10.0547
2005-06-24,10.0547
2005-06-27,9.8113
2005-06-28,9.8543
2005-06-29,9.9491
2005-06-30,12.5688
2005-07-01,12.6122
2005-07-04,12.6396
2005-07-05,12.6842
2005-07-06,12.7881
2005-07-07,12.5905
2005-07-08,12.8292
2005-07-11,13.0029
2005-07-12,12.9275
2005-07-13,13.0806
2005-07-14,13.1045
2005-07-15,13.1114
2005-07-18,13.0851
2005-07-19,13.3067
2005-07-20,13.1422
2005-07-21,12.4032
2005-07-22,12.2467
2005-07-25,12.1918
2005-07-26,12.241
2005-07-27,12.4352
2005-07-28,12.5574
2005-07-29,12.5163
2005-08-01,12.4523
2005-08-02,12.5688
2005-08-03,12.5665
2005-08-04,12.4694
2005-08-05,12.394
2005-08-08,12.4911
2005-08-09,12.6168
2005-08-10,12.7744
2005-08-11,12.5871
2005-08-12,12.5894
2005-08-15,12.5265
2005-08-16,12.4569
2005-08-17,12.3575
2005-08-18,12.3289
2005-08-19,12.4637
2005-08-22,12.49
2005-08-23,12.4409
2005-08-24,12.3883
2005-08-25,12.294599999999999
2005-08-26,12.1896
2005-08-29,12.2398
2005-08-30,12.2935
2005-08-31,12.4089
2005-09-01,12.4012
2005-09-02,12.3808
2005-09-05,12.4624
2005-09-06,12.5361
2005-09-07,12.5803
2005-09-08,12.5259
2005-09-09,12.657399999999999
2005-09-12,12.6857
2005-09-13,12.977
2005-09-14,13.0053
2005-09-15,13.0008
2005-09-16,12.9634
2005-09-19,13.0257
2005-09-20,13.113
2005-09-21,12.9691
2005-09-22,12.9929
2005-09-23,13.0031
2005-09-26,13.1345
2005-09-27,13.0575
2005-09-28,13.0665
2005-09-29,13.0552
2005-09-30,12.9265
2005-10-03,13.0821
2005-10-04,13.0876
2005-10-05,12.9353
2005-10-06,12.7255
2005-10-07,12.6218
2005-10-10,12.7013
2005-10-11,12.7752
2005-10-12,12.7311
2005-10-13,12.5302
2005-10-14,12.5346
2005-10-17,12.5843
2005-10-18,12.6196
2005-10-19,12.4054
2005-10-20,12.0687
2005-10-21,11.9804
2005-10-24,12.135
2005-10-25,12.1626
2005-10-26,12.2277
2005-10-27,12.0467
2005-10-28,12.0621
2005-10-31,12.475
2005-11-01,12.592
2005-11-02,12.6141
2005-11-03,12.7741
2005-11-04,12.8326
2005-11-07,12.7738
2005-11-08,12.744
2005-11-09,12.7716
2005-11-10,12.7793
2005-11-11,12.9368
2005-11-14,12.9875
2005-11-15,12.8443
2005-11-16,12.7297
2005-11-17,12.848700000000001
2005-11-18,12.8939
2005-11-21,12.9407
2005-11-22,12.933
2005-11-23,13.0355
2005-11-24,13.019
2005-11-25,13.0917
2005-11-28,12.9837
2005-11-29,12.927
2005-11-30,12.8421
2005-12-01,13.048
2005-12-02,13.1087
2005-12-05,13.177
