Date,pcf
2005-05-06,4.8034
2005-05-09,4.8396
2005-05-10,4.8144
2005-05-11,4.8263
2005-05-12,4.7761
2005-05-13,4.6803
2005-05-16,4.6803
2005-05-17,4.6803
2005-05-18,4.7497
2005-05-19,4.7788
2005-05-20,4.8117
2005-05-23,4.7757
2005-05-24,4.8088999999999995
2005-05-25,4.8054
2005-05-26,4.8749
2005-05-27,4.8832
2005-05-30,4.9027
2005-05-31,4.8539
2005-06-01,5.0941
2005-06-02,5.1255
2005-06-03,5.1136
2005-06-06,5.1283
2005-06-07,5.1497
2005-06-08,5.1985
2005-06-09,5.1909
2005-06-10,5.2699
2005-06-13,5.2469
2005-06-14,5.3112
2005-06-15,5.2946
2005-06-16,5.3196
2005-06-17,5.3642
2005-06-20,5.3581
2005-06-21,5.3563
2005-06-22,5.3463
2005-06-23,5.4222
2005-06-24,5.4801
2005-06-27,5.4288
2005-06-28,5.5055
2005-06-29,5.5195
2005-06-30,4.9324
2005-07-01,4.9782
2005-07-04,5.0674
2005-07-05,5.0527
2005-07-06,5.1642
2005-07-07,5.0423
2005-07-08,5.2026
2005-07-11,5.184
2005-07-12,5.1391
2005-07-13,5.163
2005-07-14,5.1573
2005-07-15,5.0924
2005-07-18,5.0917
2005-07-19,5.1072
2005-07-20,5.0595
2005-07-21,5.07
2005-07-22,5.1249
2005-07-25,5.1741
2005-07-26,5.167
2005-07-27,5.1613
2005-07-28,5.1629
2005-07-29,5.2036
2005-08-01,5.1929
2005-08-02,5.2562999999999995
2005-08-03,5.3029
2005-08-04,5.2524
2005-08-05,5.2204
2005-08-08,5.3057
2005-08-09,5.356
2005-08-10,5.3453
2005-08-11,5.3751
2005-08-12,5.3688
2005-08-15,5.3751
2005-08-16,5.3122
2005-08-17,5.2841000000000005
2005-08-18,5.2793
2005-08-19,5.3739
2005-08-22,5.4421
2005-08-23,5.452
2005-08-24,5.4123
2005-08-25,5.406
2005-08-26,5.4065
2005-08-29,5.4355
2005-08-30,5.4434000000000005
2005-08-31,5.4904
2005-09-01,5.5567
2005-09-02,5.5262
2005-09-05,5.5044
2005-09-06,5.5694
2005-09-07,5.5249
2005-09-08,5.4837
2005-09-09,5.5077
2005-09-12,5.5557
2005-09-13,5.504
2005-09-14,5.538
2005-09-15,5.5901
2005-09-16,5.5872
2005-09-19,5.6532
2005-09-20,5.6872
2005-09-21,5.699
2005-09-22,5.7122
2005-09-23,5.6393
2005-09-26,5.5892
2005-09-27,5.5974
2005-09-28,5.6632
2005-09-29,5.7166
2005-09-30,6.7812
2005-10-03,6.8055
2005-10-04,6.7565
2005-10-05,6.6445
2005-10-06,6.3725
2005-10-07,6.3687000000000005
2005-10-10,6.3613
2005-10-11,6.4021
2005-10-12,6.3805
2005-10-13,6.1093
2005-10-14,6.042
2005-10-17,6.1238
2005-10-18,5.9421
2005-10-19,5.756
2005-10-20,5.9297
2005-10-21,5.8675
2005-10-24,6.0181
2005-10-25,6.0565
2005-10-26,6.149
2005-10-27,6.075
2005-10-28,6.0268
2005-10-31,6.241
2005-11-01,6.1663
2005-11-02,6.204
2005-11-03,6.4333
2005-11-04,6.4144
2005-11-07,6.4056
2005-11-08,6.3454
2005-11-09,6.3759
2005-11-10,6.3296
2005-11-11,6.2753
2005-11-14,6.3447
2005-11-15,6.3138
2005-11-16,6.2218
2005-11-17,6.3574
2005-11-18,6.3689
2005-11-21,6.3993
2005-11-22,6.4947
2005-11-23,6.4636
2005-11-24,6.4233
2005-11-25,6.4948
2005-11-28,6.4392
2005-11-29,6.4524
2005-11-30,6.4022
2005-12-01,6.5295
2005-12-02,6.6234
2005-12-05,6.6303
2005-12-06,6.6486
2005-12-07,6.7444
2005-12-08,6.6911000000000005
2005-12-09,6.7316
2005-12-12,6.7
2005-12-13,6.7504
2005-12-14,6.7620000000000005
2005-12-15,6.6454
2005-12-16,6.5803
2005-12-19,6.4962
2005-12-20,6.5868
2005-12-21,6.6030999999999995
2005-12-22,6.6246
2005-12-23,6.6186
2005-12-26,6.6186
2005-12-27,6.6187000000000005
2005-12-28,6.6584
2005-12-29,6.6702
2005-12-30,6.6668
2006-01-02,8.0429
2006-01-03,8.1309
2006-01-04,8.1902
2006-01-05,8.1646
2006-01-06,8.2222
2006-01-09,8.2418
2006-01-10,8.1956
2006-01-11,8.207
2006-01-12,8.3107
2006-01-13,8.2165
2006-01-16,8.3171
2006-01-17,8.2873
2006-01-18,8.1944
2006-01-19,8.3701
2006-01-20,8.4666
2006-01-23,8.3652
2006-01-24,8.4457
2006-01-25,8.4511
2006-01-26,8.4493
2006-01-27,8.6607
2006-01-30,8.7835
2006-01-31,8.6944
2006-02-01,8.7941
2006-02-02,8.7613
2006-02-03,8.6188
2006-02-06,8.7807
2006-02-07,8.6263
2006-02-08,8.5597
2006-02-09,8.6442
2006-02-10,8.6372
2006-02-13,8.5206
2006-02-14,8.4121
2006-02-15,8.5613
2006-02-16,8.6074
2006-02-17,8.715
2006-02-20,8.8589
2006-02-21,8.895
2006-02-22,8.8339
2006-02-23,8.8914
2006-02-24,9.0284
2006-02-27,9.0015
2006-02-28,8.8791
2006-03-01,8.9643
2006-03-02,8.9807
2006-03-03,9.0772
2006-03-06,9.0146
2006-03-07,8.9496
2006-03-08,8.854
2006-03-09,8.888
2006-03-10,8.8612
2006-03-13,8.9223
2006-03-14,8.9366
2006-03-15,8.9726
2006-03-16,9.0719
2006-03-17,9.1834
2006-03-20,9.1823
2006-03-21,9.0652
2006-03-22,9.191
2006-03-23,9.3378
2006-03-24,9.4218
2006-03-27,9.4321
2006-03-28,9.4022
2006-03-29,9.5487
2006-03-30,9.6422
2006-03-31,8.4163
2006-04-03,8.4809
2006-04-04,8.3108
2006-04-05,8.41
2006-04-06,8.505
2006-04-07,8.4721
2006-04-10,8.5914
2006-04-11,8.5675
2006-04-12,8.455400000000001
2006-04-13,8.455400000000001
2006-04-14,8.455400000000001
2006-04-17,8.455400000000001
2006-04-18,8.6001
2006-04-19,8.6581
2006-04-20,8.8641
2006-04-21,8.8564
2006-04-24,8.9701
2006-04-25,8.8837
2006-04-26,8.8887
2006-04-27,8.6631
2006-04-28,8.5846
2006-05-01,8.5846
2006-05-02,8.7283
2006-05-03,8.8
2006-05-04,8.9067
2006-05-05,8.9457
2006-05-08,8.8444
2006-05-09,8.9446
2006-05-10,8.9276
2006-05-11,8.878
2006-05-12,8.6086
2006-05-15,8.1922
2006-05-16,8.1966
2006-05-17,8.1966
2006-05-18,7.7476
2006-05-19,7.7299
2006-05-22,7.3868
2006-05-23,7.9198
2006-05-24,7.6674
2006-05-25,7.6674
2006-05-26,7.973
2006-05-29,8.1533
2006-05-30,7.9205
2006-05-31,7.8765
2006-06-01,8.2831
2006-06-02,8.4558
2006-06-05,8.4558
2006-06-06,8.1986
2006-06-07,8.1409
2006-06-08,7.6455
2006-06-09,7.8198
2006-06-12,7.6015
2006-06-13,7.3042
2006-06-14,7.3325
2006-06-15,7.7623
2006-06-16,7.6298
2006-06-19,7.6421
2006-06-20,7.5521
2006-06-21,7.5715
2006-06-22,7.6937
2006-06-23,7.9144
2006-06-26,7.8802
2006-06-27,8.0934
2006-06-28,7.9804
2006-06-29,8.0876
2006-06-30,8.4896
2006-07-03,8.5727
2006-07-04,8.6375
2006-07-05,8.4678
2006-07-06,8.6235
2006-07-07,8.7233
2006-07-10,8.6341
2006-07-11,8.6172
2006-07-12,8.782399999999999
2006-07-13,8.6911
2006-07-14,8.5832
2006-07-17,8.4231
2006-07-18,8.28
2006-07-19,8.3123
2006-07-20,8.3958
2006-07-21,8.2245
2006-07-24,8.2585
2006-07-25,8.5491
2006-07-26,8.5615
2006-07-27,8.7094
2006-07-28,8.6129
2006-07-31,8.6077
2006-08-01,8.6338
2006-08-02,8.7612
2006-08-03,8.6291
2006-08-04,8.6149
2006-08-07,8.6522
2006-08-08,8.6606
2006-08-09,8.6175
2006-08-10,8.4912
2006-08-11,8.475999999999999
2006-08-14,8.4134
2006-08-15,8.5071
2006-08-16,8.5288
2006-08-17,8.4359
2006-08-18,8.4894
2006-08-21,8.6641
2006-08-22,8.6697
2006-08-23,8.7614
2006-08-24,8.7016
2006-08-25,8.6966
2006-08-28,8.6511
2006-08-29,8.5293
2006-08-30,8.643
2006-08-31,8.6225
2006-09-01,8.9568
2006-09-04,9.083
2006-09-05,9.1263
2006-09-06,8.9201
2006-09-07,8.8392
2006-09-08,8.8105
2006-09-11,8.484
2006-09-12,8.522
2006-09-13,8.6264
2006-09-14,8.6053
2006-09-15,8.5151
2006-09-18,8.5974
2006-09-19,8.6449
2006-09-20,8.5887
2006-09-21,8.3971
2006-09-22,8.3681
2006-09-25,8.0582
2006-09-26,8.3049
2006-09-27,8.4729
2006-09-28,8.5087
2006-09-29,8.4879
2006-10-02,7.3904
2006-10-03,7.2216
2006-10-04,7.286
2006-10-05,7.4212
2006-10-06,7.4046
2006-10-09,7.4837
2006-10-10,7.5579
2006-10-11,7.5325
2006-10-12,7.6307
2006-10-13,7.7762
2006-10-16,7.8965
2006-10-17,7.8628
2006-10-18,7.9525
2006-10-19,8.0119
2006-10-20,8.0405
2006-10-23,7.9338999999999995
2006-10-24,7.9831
2006-10-25,7.969
2006-10-26,8.1393
2006-10-27,8.1408
2006-10-30,8.0288
2006-10-31,8.0757
2006-11-01,8.1414
2006-11-02,8.0666
2006-11-03,8.1871
2006-11-06,8.3707
2006-11-07,8.2878
2006-11-08,8.3021
2006-11-09,8.3787
2006-11-10,8.2976
2006-11-13,8.3073
2006-11-14,8.3828
2006-11-15,8.4421
2006-11-16,8.5025
2006-11-17,8.2259
2006-11-20,8.3057
2006-11-21,8.4113
2006-11-22,8.388
2006-11-23,8.3133
2006-11-24,8.3179
2006-11-27,8.2126
2006-11-28,8.1012
2006-11-29,8.285
2006-11-30,8.4611
2006-12-01,8.4499
2006-12-04,8.4933
2006-12-05,8.5504
2006-12-06,8.5073
2006-12-07,8.5081
2006-12-08,8.5473
2006-12-11,8.5684
2006-12-12,8.6336
2006-12-13,8.5925
2006-12-14,8.7535
2006-12-15,8.8245
