Date,pcf
2005-05-16,8.0615
2005-05-17,8.0972
2005-05-18,8.0858
2005-05-19,8.1477
2005-05-20,8.2091
2005-05-23,8.2994
2005-05-24,8.2899
2005-05-25,8.2987
2005-05-26,8.1983
2005-05-27,8.2751
2005-05-30,8.2394
2005-05-31,8.1754
2005-06-01,8.2061
2005-06-02,8.341
2005-06-03,8.4463
2005-06-06,8.4463
2005-06-07,8.4379
2005-06-08,8.4468
2005-06-09,8.453
2005-06-10,8.411200000000001
2005-06-13,8.4269
2005-06-14,8.5221
2005-06-15,8.5722
2005-06-16,8.642
2005-06-17,8.6955
2005-06-20,8.6496
2005-06-21,8.6831
2005-06-22,8.681799999999999
2005-06-23,8.6564
2005-06-24,8.54
2005-06-27,8.636800000000001
2005-06-28,8.4773
2005-06-29,8.5518
2005-06-30,9.5173
2005-07-01,9.4834
2005-07-04,9.5416
2005-07-05,9.6242
2005-07-06,9.6589
2005-07-07,9.6109
2005-07-08,9.5984
2005-07-11,9.6935
2005-07-12,9.7444
2005-07-13,9.7983
2005-07-14,9.7983
2005-07-15,9.8086
2005-07-18,9.8344
2005-07-19,9.7348
2005-07-20,9.7584
2005-07-21,9.7341
2005-07-22,9.771
2005-07-25,9.8233
2005-07-26,9.9008
2005-07-27,9.9118
2005-07-28,9.9023
2005-07-29,9.9059
2005-08-01,9.8547
2005-08-02,9.7904
2005-08-03,9.7524
2005-08-04,9.7875
2005-08-05,9.7517
2005-08-08,9.6903
2005-08-09,9.6874
2005-08-10,9.6334
2005-08-11,9.6458
2005-08-12,9.6881
2005-08-15,9.6911
2005-08-16,9.5615
2005-08-17,9.6117
2005-08-18,9.5873
2005-08-19,9.563
2005-08-22,9.6682
2005-08-23,9.684
2005-08-24,9.6403
2005-08-25,9.6253
2005-08-26,9.505
2005-08-29,9.3288
2005-08-30,9.4205
2005-08-31,9.4305
2005-09-01,9.4044
2005-09-02,9.4435
2005-09-05,9.4129
2005-09-06,9.3767
2005-09-07,9.3838
2005-09-08,9.4322
2005-09-09,9.4343
2005-09-12,9.3617
2005-09-13,9.3817
2005-09-14,9.4841
2005-09-15,9.5061
2005-09-16,9.5666
2005-09-19,9.5125
2005-09-20,9.4627
2005-09-21,9.536
2005-09-22,9.4677
2005-09-23,9.4762
2005-09-26,9.425
2005-09-27,9.479800000000001
2005-09-28,9.5331
2005-09-29,9.4983
2005-09-30,9.1404
2005-10-03,9.1493
2005-10-04,9.1738
2005-10-05,9.1132
2005-10-06,9.0342
2005-10-07,9.0212
2005-10-10,9.0703
2005-10-11,9.0491
2005-10-12,9.1282
2005-10-13,8.9585
2005-10-14,8.9163
2005-10-17,8.9177
2005-10-18,8.8972
2005-10-19,8.7808
2005-10-20,8.7372
2005-10-21,8.6118
2005-10-24,8.6118
2005-10-25,8.6942
2005-10-26,8.776
2005-10-27,8.7208
2005-10-28,8.6629
2005-10-31,8.746
2005-11-01,8.7399
2005-11-02,8.6902
2005-11-03,8.8107
2005-11-04,8.8128
2005-11-07,8.791
2005-11-08,8.786200000000001
2005-11-09,8.7099
2005-11-10,8.654
2005-11-11,8.6275
2005-11-14,8.6833
2005-11-15,8.7746
2005-11-16,8.8686
2005-11-17,8.8352
2005-11-18,8.8223
2005-11-21,8.855
2005-11-22,8.8271
2005-11-23,8.7637
2005-11-24,8.7814
2005-11-25,8.7971
2005-11-28,8.5642
2005-11-29,8.5386
2005-11-30,8.548
2005-12-01,8.4883
2005-12-02,8.5098
2005-12-05,8.413
2005-12-06,8.3028
2005-12-07,8.3128
2005-12-08,8.3081
2005-12-09,8.165
2005-12-12,8.1408
2005-12-13,8.1878
2005-12-14,8.2194
2005-12-15,8.3263
2005-12-16,8.4802
2005-12-19,8.5904
2005-12-20,8.5992
2005-12-21,8.5817
2005-12-22,8.5232
2005-12-23,8.54
2005-12-26,8.54
2005-12-27,8.54
2005-12-28,8.6469
2005-12-29,8.6933
2005-12-30,8.739
2006-01-02,8.739
2006-01-03,8.739
2006-01-04,8.6434
2006-01-05,8.6461
2006-01-06,8.6055
2006-01-09,8.604800000000001
2006-01-10,8.6268
2006-01-11,8.6481
2006-01-12,8.6221
2006-01-13,8.5642
2006-01-16,8.5142
2006-01-17,8.4989
2006-01-18,8.4356
2006-01-19,8.5249
2006-01-20,8.4396
2006-01-23,8.3291
2006-01-24,8.3651
2006-01-25,8.3624
2006-01-26,8.3844
2006-01-27,8.4317
2006-01-30,8.414
2006-01-31,8.4213
2006-02-01,8.4445
2006-02-02,8.5895
2006-02-03,8.5157
2006-02-06,8.5157
2006-02-07,8.4711
2006-02-08,8.3854
2006-02-09,8.3973
2006-02-10,8.3641
2006-02-13,8.3661
2006-02-14,8.3488
2006-02-15,8.2843
2006-02-16,8.2125
2006-02-17,8.3129
2006-02-20,8.4086
2006-02-21,8.3727
2006-02-22,8.4871
2006-02-23,8.4299
2006-02-24,8.3827
2006-02-27,8.2644
2006-02-28,8.3734
2006-03-01,8.3413
2006-03-02,8.3613
2006-03-03,8.3626
2006-03-06,8.4171
2006-03-07,8.5003
2006-03-08,8.487
2006-03-09,8.5089
2006-03-10,8.5501
2006-03-13,8.6047
