Date,pcf
2005-06-06,8.6194
2005-06-07,8.6444
2005-06-08,8.6171
2005-06-09,8.6535
2005-06-10,8.6792
2005-06-13,8.7396
2005-06-14,8.6552
2005-06-15,8.7976
2005-06-16,8.7651
2005-06-17,8.8471
2005-06-20,8.8417
2005-06-21,8.8512
2005-06-22,9.0029
2005-06-23,8.973700000000001
2005-06-24,8.8432
2005-06-27,8.7778
2005-06-28,8.8432
2005-06-29,8.8452
2005-06-30,6.2488
2005-07-01,6.3195
2005-07-04,6.3838
2005-07-05,6.326
2005-07-06,6.3506
2005-07-07,6.2594
2005-07-08,6.3456
2005-07-11,6.3365
2005-07-12,6.4283
2005-07-13,6.4898
2005-07-14,6.4895
2005-07-15,6.4621
2005-07-18,6.3897
2005-07-19,6.4324
2005-07-20,6.4617
2005-07-21,6.3998
2005-07-22,6.3434
2005-07-25,6.3887
2005-07-26,6.4532
2005-07-27,6.5176
2005-07-28,6.5829
2005-07-29,6.6591000000000005
2005-08-01,6.7117
2005-08-02,6.8549
2005-08-03,6.7432
2005-08-04,6.7506
2005-08-05,6.7623999999999995
2005-08-08,6.8811
2005-08-09,6.8665
2005-08-10,6.7929
2005-08-11,6.7671
2005-08-12,6.7137
2005-08-15,6.7137
2005-08-16,6.7942
2005-08-17,6.7298
2005-08-18,6.6328
2005-08-19,6.6256
2005-08-22,6.6716
2005-08-23,6.6693
2005-08-24,6.6672
2005-08-25,6.6464
2005-08-26,6.7173
2005-08-29,6.7620000000000005
2005-08-30,6.8171
2005-08-31,6.8373
2005-09-01,6.9962
2005-09-02,7.0188
2005-09-05,6.9343
2005-09-06,6.9902
2005-09-07,6.9932
2005-09-08,6.9321
2005-09-09,7.0599
2005-09-12,7.1597
2005-09-13,7.1541
2005-09-14,7.1946
2005-09-15,7.3142
2005-09-16,7.4182
2005-09-19,7.6234
2005-09-20,7.5965
2005-09-21,7.5247
2005-09-22,7.5241
2005-09-23,7.4677
2005-09-26,7.5469
2005-09-27,7.6108
2005-09-28,7.5005
2005-09-29,7.4931
2005-09-30,6.7173
2005-10-03,6.8462
2005-10-04,6.809
2005-10-05,6.6867
2005-10-06,6.4548
2005-10-07,6.4343
2005-10-10,6.4017
2005-10-11,6.5178
2005-10-12,6.4435
2005-10-13,6.1667
2005-10-14,6.1053
2005-10-17,6.1584
2005-10-18,6.1813
2005-10-19,6.0187
2005-10-20,6.1326
2005-10-21,6.1158
2005-10-24,6.1504
2005-10-25,6.2271
2005-10-26,6.1559
2005-10-27,6.0445
2005-10-28,6.0794
2005-10-31,6.1487
2005-11-01,6.1487
2005-11-02,6.359
2005-11-03,6.4758
2005-11-04,6.5017
2005-11-07,6.4534
2005-11-08,6.3924
2005-11-09,6.4026
2005-11-10,6.4063
2005-11-11,6.4063
2005-11-14,6.4501
2005-11-15,6.3846
2005-11-16,6.3649000000000004
2005-11-17,6.4848
2005-11-18,6.4652
2005-11-21,6.3652
2005-11-22,6.3251
2005-11-23,6.3843
2005-11-24,6.3873
2005-11-25,6.3997
2005-11-28,6.4529
2005-11-29,6.4514
2005-11-30,6.4912
2005-12-01,6.5295
2005-12-02,6.636
2005-12-05,6.5913
2005-12-06,6.5291
2005-12-07,6.5827
2005-12-08,6.5553
2005-12-09,6.5396
2005-12-12,6.5464
2005-12-13,6.5259
2005-12-14,6.614
2005-12-15,6.5699
2005-12-16,6.5869
2005-12-19,6.5922
2005-12-20,6.6905
2005-12-21,6.7186
2005-12-22,6.7188
2005-12-23,6.7668
2005-12-26,6.7668
2005-12-27,6.8399
2005-12-28,6.7698
2005-12-29,6.8141
2005-12-30,6.7292
2006-01-02,14.8311
2006-01-03,15.2038
2006-01-04,15.6406
2006-01-05,15.5479
2006-01-06,15.6882
2006-01-09,15.6472
2006-01-10,15.3979
2006-01-11,15.6706
2006-01-12,15.5326
2006-01-13,15.2314
2006-01-16,15.4725
2006-01-17,15.4225
2006-01-18,15.254
2006-01-19,15.6318
2006-01-20,15.6891
2006-01-23,15.7777
2006-01-24,15.6192
2006-01-25,15.8076
2006-01-26,15.6103
2006-01-27,15.6759
2006-01-30,15.7232
2006-01-31,15.2161
2006-02-01,15.312
2006-02-02,15.2025
2006-02-03,14.8202
2006-02-06,15.288499999999999
2006-02-07,15.3608
2006-02-08,15.2582
2006-02-09,15.2869
2006-02-10,15.0641
2006-02-13,15.0041
2006-02-14,15.0933
2006-02-15,15.166
2006-02-16,14.9134
2006-02-17,15.4421
2006-02-20,15.6742
2006-02-21,15.6111
2006-02-22,15.5414
2006-02-23,15.5855
2006-02-24,15.8286
2006-02-27,15.9531
2006-02-28,15.3382
2006-03-01,15.6983
2006-03-02,15.8676
2006-03-03,15.725999999999999
2006-03-06,15.887
2006-03-07,15.4774
2006-03-08,15.0805
2006-03-09,15.0798
2006-03-10,14.9809
2006-03-13,14.9829
2006-03-14,14.7009
2006-03-15,15.0083
2006-03-16,15.4007
2006-03-17,15.4385
2006-03-20,15.3808
2006-03-21,15.2751
2006-03-22,15.2048
2006-03-23,15.4424
2006-03-24,15.4822
2006-03-27,15.6787
2006-03-28,15.4307
2006-03-29,15.4288
2006-03-30,15.6238
2006-03-31,21.9906
2006-04-03,22.385
2006-04-04,22.3844
2006-04-05,22.2029
2006-04-06,22.3977
2006-04-07,22.7112
2006-04-10,22.6981
2006-04-11,22.5654
2006-04-12,22.7174
2006-04-13,22.8439
2006-04-14,22.8439
2006-04-17,22.8439
2006-04-18,23.2237
2006-04-19,23.1624
2006-04-20,23.7538
2006-04-21,24.1535
2006-04-24,24.51
2006-04-25,24.4292
2006-04-26,24.6363
2006-04-27,23.936
2006-04-28,24.0215
2006-05-01,24.0215
2006-05-02,23.9341
2006-05-03,23.9341
2006-05-04,24.3474
2006-05-05,24.5034
2006-05-08,24.7393
2006-05-09,24.3351
2006-05-10,24.1804
2006-05-11,25.1414
2006-05-12,24.7475
2006-05-15,23.9502
2006-05-16,23.7443
2006-05-17,22.9961
2006-05-18,22.8751
2006-05-19,22.7074
2006-05-22,21.4804
2006-05-23,21.8031
2006-05-24,20.9902
2006-05-25,21.4261
2006-05-26,21.615
2006-05-29,21.5869
2006-05-30,21.2912
2006-05-31,21.1005
2006-06-01,18.1961
2006-06-02,18.7053
2006-06-05,18.8072
2006-06-06,18.3004
2006-06-07,18.2303
2006-06-08,17.7554
2006-06-09,17.4639
2006-06-12,16.9696
2006-06-13,16.3552
2006-06-14,16.2809
2006-06-15,16.2809
2006-06-16,16.3347
2006-06-19,16.8587
2006-06-20,16.835
2006-06-21,16.9041
2006-06-22,16.8048
2006-06-23,16.9089
2006-06-26,17.2373
2006-06-27,18.1476
2006-06-28,18.4433
2006-06-29,18.3309
2006-06-30,13.9338
2006-07-03,13.955400000000001
2006-07-04,14.0724
2006-07-05,13.79
2006-07-06,14.2217
2006-07-07,14.5739
2006-07-10,14.72
2006-07-11,14.568999999999999
2006-07-12,14.7599
2006-07-13,14.1717
2006-07-14,14.1345
2006-07-17,13.9155
2006-07-18,14.1478
2006-07-19,14.2085
2006-07-20,14.7446
2006-07-21,14.6735
2006-07-24,14.7658
2006-07-25,14.8884
2006-07-26,14.9782
2006-07-27,15.5213
2006-07-28,15.5074
2006-07-31,15.5027
2006-08-01,15.2111
2006-08-02,15.0276
2006-08-03,14.5295
2006-08-04,14.7418
2006-08-07,14.5726
2006-08-08,14.5082
2006-08-09,14.8687
2006-08-10,14.5167
2006-08-11,14.0688
2006-08-14,14.1853
2006-08-15,14.1853
2006-08-16,14.3993
2006-08-17,14.2249
2006-08-18,14.3219
2006-08-21,14.3039
2006-08-22,14.4144
2006-08-23,14.4006
2006-08-24,14.1623
2006-08-25,14.0139
2006-08-28,13.9147
2006-08-29,14.2677
2006-08-30,14.4741
2006-08-31,14.2725
2006-09-01,14.3447
2006-09-04,14.8877
2006-09-05,14.9531
2006-09-06,14.8183
2006-09-07,14.6277
2006-09-08,14.479
2006-09-11,14.335
2006-09-12,14.5661
2006-09-13,14.7607
2006-09-14,14.5744
2006-09-15,14.5557
2006-09-18,14.7017
2006-09-19,14.5904
2006-09-20,14.3883
2006-09-21,14.3008
2006-09-22,14.1559
2006-09-25,14.276
2006-09-26,14.2622
2006-09-27,14.193
2006-09-28,14.2892
2006-09-29,14.1445
2006-10-02,9.031
2006-10-03,8.9634
2006-10-04,9.033
2006-10-05,9.2092
2006-10-06,9.1962
2006-10-09,9.3098
2006-10-10,9.4884
2006-10-11,9.5363
2006-10-12,9.6828
2006-10-13,9.7219
2006-10-16,9.7425
2006-10-17,9.5464
2006-10-18,9.7471
2006-10-19,9.788499999999999
2006-10-20,9.6737
2006-10-23,9.6073
2006-10-24,9.6043
2006-10-25,9.6667
2006-10-26,9.7522
2006-10-27,9.6218
2006-10-30,9.4658
2006-10-31,9.4736
2006-11-01,9.4736
2006-11-02,9.4627
2006-11-03,9.5454
2006-11-06,9.746
2006-11-07,9.9519
2006-11-08,9.9063
2006-11-09,9.9322
2006-11-10,9.7844
2006-11-13,9.7874
2006-11-14,9.7987
2006-11-15,9.6208
2006-11-16,9.7105
2006-11-17,9.665
2006-11-20,9.6448
2006-11-21,9.7591
2006-11-22,9.9281
2006-11-23,9.8897
2006-11-24,9.8419
2006-11-27,9.8285
2006-11-28,9.7771
2006-11-29,10.0004
2006-11-30,9.9273
2006-12-01,9.9873
2006-12-04,10.2973
2006-12-05,10.5095
2006-12-06,10.4535
2006-12-07,10.5336
2006-12-08,10.4758
2006-12-11,10.4425
2006-12-12,10.4088
2006-12-13,10.4257
2006-12-14,10.5174
2006-12-15,10.5775
2006-12-18,10.6517
2006-12-19,10.333
2006-12-20,10.2504
2006-12-21,10.2637
2006-12-22,10.0841
2006-12-25,10.0841
2006-12-26,10.0841
2006-12-27,10.313
2006-12-28,10.2644
2006-12-29,10.2134
2007-01-01,10.2134
2007-01-02,7.6871
2007-01-03,7.6956
2007-01-04,7.5738
2007-01-05,7.3936
2007-01-08,7.3783
2007-01-09,7.3885
2007-01-10,7.2783
2007-01-11,7.4762
2007-01-12,7.5606
2007-01-15,7.7645
2007-01-16,7.7349
2007-01-17,7.75
2007-01-18,8.0327
2007-01-19,8.0834
2007-01-22,7.9709
2007-01-23,8.0058
2007-01-24,7.9936
2007-01-25,7.9179
2007-01-26,7.9423
2007-01-29,7.9936
2007-01-30,7.9826
2007-01-31,8.13
2007-02-01,8.2775
2007-02-02,8.2259
2007-02-05,8.2251
2007-02-06,8.18
2007-02-07,8.1707
2007-02-08,7.9445
2007-02-09,7.9743
2007-02-12,7.8034
2007-02-13,7.9636
2007-02-14,7.9668
2007-02-15,7.9365
2007-02-16,7.9006
2007-02-19,8.034
2007-02-20,7.9503
2007-02-21,8.0393
2007-02-22,8.1878
2007-02-23,8.1568
2007-02-26,8.0758
2007-02-27,7.7429
2007-02-28,7.531
2007-03-01,7.1586
2007-03-02,7.2289
2007-03-05,7.0831
2007-03-06,7.1577
2007-03-07,7.0832
2007-03-08,7.3549
2007-03-09,7.3124
2007-03-12,7.3146
2007-03-13,7.2542
2007-03-14,7.3303
2007-03-15,7.3424
2007-03-16,7.4071
2007-03-19,7.5587
2007-03-20,7.5304
2007-03-21,7.624
2007-03-22,7.7724
2007-03-23,7.8564
2007-03-26,7.7456
2007-03-27,7.783
2007-03-28,7.6873000000000005
2007-03-29,7.8467
2007-03-30,7.883
2007-04-02,6.5292
2007-04-03,6.6212
2007-04-04,6.6384
2007-04-05,6.6478
2007-04-06,6.6478
2007-04-09,6.6478
2007-04-10,6.7307
2007-04-11,6.7768
2007-04-12,6.6967
2007-04-13,6.7177
2007-04-16,6.8007
2007-04-17,6.7692
2007-04-18,6.796
2007-04-19,6.7344
2007-04-20,6.8565000000000005
2007-04-23,6.8481
2007-04-24,6.7691
2007-04-25,6.7292
2007-04-26,6.7127
2007-04-27,6.7303
2007-04-30,6.7620000000000005
2007-05-01,6.7620000000000005
2007-05-02,6.8063
2007-05-03,6.8063
2007-05-04,6.9658999999999995
2007-05-07,6.9303
2007-05-08,6.7918
2007-05-09,6.8023
2007-05-10,6.6943
2007-05-11,6.7129
2007-05-14,6.7507
2007-05-15,6.6646
2007-05-16,6.6113
2007-05-17,6.5437
2007-05-18,6.6152999999999995
2007-05-21,6.728
2007-05-22,6.8611
2007-05-23,6.718
2007-05-24,6.7377
2007-05-25,6.6762
2007-05-28,6.7529
2007-05-29,6.7963000000000005
2007-05-30,6.7405
2007-05-31,6.8629999999999995
2007-06-01,7.5738
2007-06-04,7.5855
2007-06-05,7.619
2007-06-06,7.4336
2007-06-07,7.4336
2007-06-08,7.3499
2007-06-11,7.4382
2007-06-12,7.3454
2007-06-13,7.4437
2007-06-14,7.5453
2007-06-15,7.682
2007-06-18,7.66
2007-06-19,7.6492
2007-06-20,7.5478
2007-06-21,7.449
2007-06-22,7.5595
2007-06-25,7.539
2007-06-26,7.6484
2007-06-27,7.5156
2007-06-28,7.6587
2007-06-29,7.5863
2007-07-02,8.4156
2007-07-03,8.5648
2007-07-04,8.6133
2007-07-05,8.5831
2007-07-06,8.7519
2007-07-09,8.6953
2007-07-10,8.5477
2007-07-11,8.5625
2007-07-12,8.5653
2007-07-13,8.5934
2007-07-16,8.561
2007-07-17,8.5046
2007-07-18,8.469899999999999
2007-07-19,8.6032
2007-07-20,8.537
2007-07-23,8.7152
2007-07-24,8.6112
2007-07-25,8.5864
2007-07-26,8.3537
2007-07-27,8.2634
2007-07-30,8.2505
2007-07-31,8.3934
2007-08-01,8.2514
2007-08-02,8.25
2007-08-03,8.1339
2007-08-06,8.0053
2007-08-07,8.1077
2007-08-08,8.0976
2007-08-09,7.9768
2007-08-10,7.7291
2007-08-13,7.9555
2007-08-14,7.856
2007-08-15,7.856
2007-08-16,7.4381
2007-08-17,7.5441
2007-08-20,7.5714
2007-08-21,7.493
2007-08-22,7.8504000000000005
2007-08-23,7.9161
2007-08-24,8.0158
2007-08-27,7.9543
2007-08-28,7.8593
2007-08-29,7.9817
2007-08-30,7.8181
2007-08-31,8.0644
2007-09-03,8.0958
2007-09-04,8.1509
2007-09-05,7.997
2007-09-06,7.9322
2007-09-07,7.8512
2007-09-10,7.7085
2007-09-11,7.7657
2007-09-12,7.9521
2007-09-13,8.0935
2007-09-14,8.0045
2007-09-17,8.0245
2007-09-18,8.109
2007-09-19,8.4367
2007-09-20,8.4403
2007-09-21,8.3697
2007-09-24,8.2449
2007-09-25,8.1449
2007-09-26,8.1626
2007-09-27,8.1426
2007-09-28,8.0729
2007-10-01,9.7453
2007-10-02,9.9378
2007-10-03,9.8512
2007-10-04,9.8346
2007-10-05,9.8982
2007-10-08,9.9192
2007-10-09,10.183
2007-10-10,10.1283
2007-10-11,10.325
2007-10-12,10.2466
2007-10-15,10.3381
2007-10-16,10.1385
2007-10-17,10.1998
2007-10-18,9.9911
2007-10-19,10.1038
2007-10-22,10.0566
2007-10-23,10.3355
2007-10-24,10.2672
2007-10-25,10.342
2007-10-26,10.3228
2007-10-29,10.4211
2007-10-30,10.3454
2007-10-31,10.2956
2007-11-01,10.2956
2007-11-02,10.1167
2007-11-05,10.0986
2007-11-06,10.1007
2007-11-07,9.9298
2007-11-08,9.8169
2007-11-09,9.668
2007-11-12,9.4969
2007-11-13,9.6742
2007-11-14,9.5248
2007-11-15,9.354800000000001
2007-11-16,9.3538
2007-11-19,9.3785
2007-11-20,9.4516
2007-11-21,9.3503
2007-11-22,9.4345
2007-11-23,9.4413
