Date,pcf
2017-06-14,20.8023
2017-06-15,20.6577
2017-06-16,20.7908
2017-06-19,20.9319
2017-06-20,20.6409
2017-06-21,20.6166
2017-06-22,20.799
2017-06-23,21.0604
2017-06-26,21.0966
2017-06-27,21.147
2017-06-28,21.4495
2017-06-29,21.39
2017-06-30,20.802
2017-07-03,20.7967
2017-07-04,20.8658
2017-07-05,20.7742
2017-07-06,20.7956
2017-07-07,20.7997
2017-07-10,20.9277
2017-07-11,20.6467
2017-07-12,20.7941
2017-07-13,20.9278
2017-07-14,21.1038
2017-07-17,21.1205
2017-07-18,21.1272
2017-07-19,21.3254
2017-07-20,21.443
2017-07-21,21.3663
2017-07-24,21.2953
2017-07-25,21.3576
2017-07-26,21.2734
2017-07-27,21.3435
2017-07-28,21.3927
2017-07-31,8.3432
2017-08-01,8.383
2017-08-02,8.3702
2017-08-03,8.3452
2017-08-04,8.3247
2017-08-07,8.3029
2017-08-08,8.3016
2017-08-09,8.2831
2017-08-10,8.2025
2017-08-11,8.1864
2017-08-14,8.2367
2017-08-15,8.1756
2017-08-16,8.1976
2017-08-17,8.2051
2017-08-18,8.1904
2017-08-21,8.2005
2017-08-22,8.2478
2017-08-23,8.2765
2017-08-24,8.3121
2017-08-25,8.3171
2017-08-28,8.3212
2017-08-29,8.3145
2017-08-30,8.2665
2017-08-31,8.3582
2017-09-01,8.5079
2017-09-04,8.4836
2017-09-05,8.463
2017-09-06,8.5258
2017-09-07,8.5622
2017-09-08,8.5438
2017-09-11,8.5902
2017-09-12,8.6418
2017-09-13,8.6021
2017-09-14,8.6297
2017-09-15,8.6464
2017-09-18,8.6591
2017-09-19,8.6415
2017-09-20,8.7244
2017-09-21,8.7034
2017-09-22,8.7284
2017-09-25,8.738
2017-09-26,8.6829
2017-09-27,8.7867
2017-09-28,8.7182
2017-09-29,8.7072
2017-10-02,8.3618
2017-10-03,8.3712
2017-10-04,8.3922
2017-10-05,8.3862
2017-10-06,8.3491
2017-10-09,8.3421
2017-10-10,8.4041
2017-10-11,8.402
2017-10-12,8.3983
2017-10-13,8.4357
2017-10-16,8.3969
2017-10-17,8.3853
2017-10-18,8.4322
2017-10-19,8.4709
2017-10-20,8.395
2017-10-23,8.3683
2017-10-24,8.3836
2017-10-25,8.2799
2017-10-26,8.2717
2017-10-27,8.2668
2017-10-30,8.3203
2017-10-31,8.8656
2017-11-01,8.8665
2017-11-02,8.9174
2017-11-03,8.9491
2017-11-06,8.9898
2017-11-07,8.992
2017-11-08,9.0209
2017-11-09,9.0412
2017-11-10,9.0331
2017-11-13,8.9151
2017-11-14,8.8244
2017-11-15,8.8006
2017-11-16,8.8557
2017-11-17,8.8321
2017-11-20,8.8477
2017-11-21,8.9141
2017-11-22,8.935
2017-11-23,8.9369
2017-11-24,8.9716
2017-11-27,8.9156
2017-11-28,8.849
2017-11-29,8.7988
2017-11-30,8.8134
2017-12-01,9.0146
2017-12-04,8.9884
2017-12-05,8.981
2017-12-06,8.9227
2017-12-07,8.9408
2017-12-08,8.9559
2017-12-11,8.9633
2017-12-12,8.9541
2017-12-13,8.974
2017-12-14,8.9124
2017-12-15,8.9426
2017-12-18,8.9717
2017-12-19,8.9393
2017-12-20,8.9824
2017-12-21,9.0856
2017-12-22,9.0496
2017-12-25,9.0506
2017-12-26,9.0866
2017-12-27,9.1335
2017-12-28,9.2719
2017-12-29,9.3008
2018-01-01,9.4186
2018-01-02,9.501
2018-01-03,9.4347
2018-01-04,9.479
2018-01-05,9.5466
2018-01-08,9.5123
2018-01-09,9.4904
2018-01-10,9.4311
2018-01-11,9.4147
2018-01-12,9.4458
2018-01-15,9.5536
2018-01-16,9.5144
2018-01-17,9.4903
2018-01-18,9.4631
2018-01-19,9.5098
2018-01-22,9.5095
2018-01-23,9.5186
2018-01-24,9.5358
2018-01-25,9.5363
2018-01-26,9.5189
2018-01-29,9.4368
2018-01-30,9.3693
2018-01-31,8.5032
2018-02-01,8.4506
2018-02-02,8.2471
2018-02-05,8.0293
2018-02-06,8.0104
2018-02-07,7.9856
2018-02-08,7.8006
2018-02-09,7.784
2018-02-12,7.8863
2018-02-13,7.8881
2018-02-14,7.9757
2018-02-15,8.0359
2018-02-16,8.0488
2018-02-19,8.0269
2018-02-20,7.9923
2018-02-21,8.0043
2018-02-22,7.9738
2018-02-23,8.0565
2018-02-26,8.0736
2018-02-27,8.0276
2018-02-28,7.8762
2018-03-01,7.8154
2018-03-02,7.7780000000000005
2018-03-05,7.8009
2018-03-06,7.8465
2018-03-07,7.7703
2018-03-08,7.8246
2018-03-09,7.9058
2018-03-12,7.9254999999999995
2018-03-13,7.8887
2018-03-14,7.8918
2018-03-15,7.8345
2018-03-16,7.8388
2018-03-19,7.7735
2018-03-20,7.792
2018-03-21,7.9001
2018-03-22,7.7675
2018-03-23,7.7311
2018-03-26,7.7467
2018-03-27,7.7279
2018-03-28,7.7028
2018-03-29,7.805
2018-03-30,7.8048
2018-04-02,7.8161000000000005
2018-04-03,7.8678
2018-04-04,7.8503
2018-04-05,7.9714
2018-04-06,7.8995
2018-04-09,7.9432
2018-04-10,8.0211
2018-04-11,8.0451
2018-04-12,8.0285
2018-04-13,8.0275
2018-04-16,8.0602
2018-04-17,8.0924
2018-04-18,8.1702
2018-04-19,8.1193
2018-04-20,8.0661
2018-04-23,8.0414
2018-04-24,8.0017
2018-04-25,7.99
2018-04-26,8.0647
2018-04-27,8.0935
2018-04-30,8.3789
2018-05-01,8.33
2018-05-02,8.3658
2018-05-03,8.33
2018-05-04,8.4114
2018-05-07,8.4596
2018-05-08,8.4089
2018-05-09,8.5181
2018-05-10,8.5746
2018-05-11,8.6359
2018-05-14,8.7065
2018-05-15,8.5703
2018-05-16,8.6333
2018-05-17,8.6608
2018-05-18,8.609
2018-05-21,8.6269
2018-05-22,8.6654
2018-05-23,8.5768
2018-05-24,8.55
2018-05-25,8.4734
2018-05-28,8.4187
2018-05-29,8.3629
2018-05-30,8.5215
2018-05-31,8.5247
2018-06-01,8.5832
2018-06-04,8.6053
2018-06-05,8.5851
2018-06-06,8.6769
2018-06-07,8.6444
2018-06-08,8.656
2018-06-11,8.6657
2018-06-12,8.6827
2018-06-13,8.6829
2018-06-14,8.673
2018-06-15,8.559
2018-06-18,8.6005
2018-06-19,8.5153
2018-06-20,8.58
2018-06-21,8.4706
