Date,pcf
2016-12-29,5.1906
2016-12-30,5.2078
2017-01-02,13.5254
2017-01-03,13.4557
2017-01-04,13.5367
2017-01-05,13.6138
2017-01-06,13.5662
2017-01-09,13.4367
2017-01-10,13.4755
2017-01-11,13.372
2017-01-12,13.6217
2017-01-13,13.7724
2017-01-16,13.6463
2017-01-17,13.6439
2017-01-18,13.7317
2017-01-19,13.5699
2017-01-20,13.8377
2017-01-23,13.7757
2017-01-24,13.9438
2017-01-25,14.1688
2017-01-26,14.1913
2017-01-27,14.1037
2017-01-30,14.0045
2017-01-31,14.2127
2017-02-01,14.2846
2017-02-02,14.456
2017-02-03,14.4319
2017-02-06,14.2169
2017-02-07,14.192
2017-02-08,14.2332
2017-02-09,14.189
2017-02-10,14.1953
2017-02-13,14.2815
2017-02-14,14.2443
2017-02-15,14.2962
2017-02-16,14.455
2017-02-17,14.3433
2017-02-20,14.355
2017-02-21,14.3988
2017-02-22,14.3308
2017-02-23,14.3983
2017-02-24,14.1882
2017-02-27,14.1128
2017-02-28,14.2866
2017-03-01,14.4165
2017-03-02,14.278
2017-03-03,14.331
2017-03-06,14.3149
2017-03-07,14.3339
2017-03-08,14.3019
2017-03-09,14.3434
2017-03-10,14.4435
2017-03-13,14.575099999999999
2017-03-14,14.5014
2017-03-15,14.5341
2017-03-16,14.7834
2017-03-17,14.7345
2017-03-20,14.7186
2017-03-21,14.6733
2017-03-22,14.5816
2017-03-23,14.723
2017-03-24,14.716
2017-03-27,14.7276
2017-03-28,14.7706
2017-03-29,14.6425
2017-03-30,14.6189
2017-03-31,9.7749
2017-04-03,9.6312
2017-04-04,9.5882
2017-04-05,9.5685
2017-04-06,9.5727
2017-04-07,9.564
2017-04-10,9.5591
2017-04-11,9.5715
2017-04-12,9.6361
2017-04-13,9.609
2017-04-14,9.609
2017-04-17,9.6579
2017-04-18,9.5588
2017-04-19,9.6237
2017-04-20,9.5174
2017-04-21,9.4641
2017-04-24,9.8771
2017-04-25,10.0308
2017-04-26,10.0379
2017-04-27,10.1521
2017-04-28,10.2323
2017-05-01,10.2604
2017-05-02,10.332
2017-05-03,10.3258
2017-05-04,10.3526
2017-05-05,10.4019
2017-05-08,10.3334
2017-05-09,10.3663
2017-05-10,10.2979
2017-05-11,10.2717
2017-05-12,10.3423
2017-05-15,10.386
2017-05-16,10.4373
2017-05-17,10.3342
2017-05-18,10.2071
2017-05-19,10.3284
2017-05-22,10.3673
2017-05-23,10.4772
2017-05-24,10.4432
2017-05-25,10.475999999999999
2017-05-26,10.4491
2017-05-29,10.4104
2017-05-30,10.4125
2017-05-31,10.4766
2017-06-01,10.3441
2017-06-02,10.433
2017-06-05,10.3633
2017-06-06,10.3362
2017-06-07,10.3473
2017-06-08,10.3314
2017-06-09,10.3951
2017-06-12,10.2496
2017-06-13,10.3756
2017-06-14,10.4085
2017-06-15,10.1957
2017-06-16,10.3408
2017-06-19,10.4102
2017-06-20,10.2933
2017-06-21,10.2852
2017-06-22,10.3625
2017-06-23,10.3873
2017-06-26,10.3701
2017-06-27,10.349
2017-06-28,10.4558
2017-06-29,10.4383
2017-06-30,7.4392
2017-07-03,7.5184
2017-07-04,7.4461
2017-07-05,7.4940999999999995
2017-07-06,7.5049
2017-07-07,7.5004
2017-07-10,7.5359
2017-07-11,7.5204
2017-07-12,7.6745
2017-07-13,7.6916
2017-07-14,7.7398
2017-07-17,7.7157
2017-07-18,7.5917
2017-07-19,7.5964
2017-07-20,7.5882
2017-07-21,7.514
2017-07-24,7.4658
2017-07-25,7.4939
2017-07-26,7.5283
2017-07-27,7.4981
2017-07-28,7.5397
2017-07-31,7.5158000000000005
2017-08-01,7.5852
2017-08-02,7.5754
2017-08-03,7.5655
2017-08-04,7.5594
2017-08-07,7.5771
2017-08-08,7.5773
2017-08-09,7.5245999999999995
2017-08-10,7.4842
2017-08-11,7.4108
2017-08-14,7.5228
2017-08-15,7.4824
2017-08-16,7.5058
2017-08-17,7.4475999999999996
2017-08-18,7.4089
2017-08-21,7.4211
2017-08-22,7.4766
2017-08-23,7.5003
2017-08-24,7.4926
2017-08-25,7.5053
2017-08-28,7.5123999999999995
2017-08-29,7.4842
2017-08-30,7.5048
2017-08-31,7.5637
2017-09-01,7.6238
2017-09-04,7.6119
2017-09-05,7.5879
2017-09-06,7.5655
2017-09-07,7.6268
2017-09-08,7.6195
2017-09-11,7.6618
2017-09-12,7.7280999999999995
2017-09-13,7.6944
2017-09-14,7.7045
2017-09-15,7.728
2017-09-18,7.7657
2017-09-19,7.7586
2017-09-20,7.7731
2017-09-21,7.7872
2017-09-22,7.8172
2017-09-25,7.7669
2017-09-26,7.6837
2017-09-27,7.7276
2017-09-28,7.7694
2017-09-29,7.8101
2017-10-02,9.6575
2017-10-03,9.7624
2017-10-04,9.8023
2017-10-05,9.785
2017-10-06,9.7394
2017-10-09,9.7515
2017-10-10,9.7958
2017-10-11,9.7963
2017-10-12,9.7638
2017-10-13,9.7546
2017-10-16,9.7093
2017-10-17,9.6431
2017-10-18,9.6986
2017-10-19,9.7347
2017-10-20,9.839
2017-10-23,9.7655
2017-10-24,9.681000000000001
2017-10-25,9.6652
2017-10-26,9.6101
2017-10-27,9.6047
2017-10-30,9.5962
2017-10-31,9.6283
2017-11-01,9.5891
2017-11-02,9.6122
2017-11-03,9.5915
2017-11-06,9.6042
