Date,pcf
2005-04-14,8.0741
2005-04-15,7.8968
2005-04-18,7.6992
2005-04-19,7.7066
2005-04-20,7.6689
2005-04-21,7.6936
2005-04-22,7.743
2005-04-25,7.786
2005-04-26,7.7558
2005-04-27,7.6425
2005-04-28,7.5974
2005-04-29,7.5852
2005-05-02,7.6502
2005-05-03,7.6866
2005-05-04,7.723
2005-05-05,7.7742
2005-05-06,7.7943999999999996
2005-05-09,7.7676
2005-05-10,7.7039
2005-05-11,7.6952
2005-05-12,7.7293
2005-05-13,7.7378
2005-05-16,7.7145
2005-05-17,7.6918
2005-05-18,7.8219
2005-05-19,7.8672
2005-05-20,7.8701
2005-05-23,7.9446
2005-05-24,7.925
2005-05-25,7.9121
2005-05-26,7.994
2005-05-27,8.0082
2005-05-30,8.0708
2005-05-31,8.0453
2005-06-01,7.6915
2005-06-02,7.6954
2005-06-03,7.6645
2005-06-06,7.6371
2005-06-07,7.7479
2005-06-08,7.7358
2005-06-09,7.7440999999999995
2005-06-10,7.7858
2005-06-13,7.8177
2005-06-14,7.8068
2005-06-15,7.7402
2005-06-16,7.796
2005-06-17,7.838
2005-06-20,7.8085
2005-06-21,7.8426
2005-06-22,7.8595
2005-06-23,7.8732
2005-06-24,7.7755
2005-06-27,7.7017
2005-06-28,7.7569
2005-06-29,7.8022
2005-06-30,41.6604
2005-07-01,41.9349
2005-07-04,41.9902
2005-07-05,41.8184
2005-07-06,41.9528
2005-07-07,41.2218
2005-07-08,41.8328
2005-07-11,42.4183
2005-07-12,42.3391
2005-07-13,42.5531
2005-07-14,42.731700000000004
2005-07-15,42.8653
2005-07-18,42.9232
2005-07-19,43.3964
2005-07-20,43.5164
2005-07-21,43.8795
2005-07-22,43.9258
2005-07-25,43.9834
2005-07-26,43.9955
2005-07-27,45.7531
2005-07-28,46.1213
2005-07-29,46.0715
2005-08-01,46.3315
2005-08-02,46.705799999999996
2005-08-03,46.6721
2005-08-04,46.2448
2005-08-05,45.8128
2005-08-08,45.9211
2005-08-09,46.5789
2005-08-10,47.3548
2005-08-11,47.0093
2005-08-12,46.8488
2005-08-15,46.7234
2005-08-16,46.3947
2005-08-17,46.2597
2005-08-18,46.0613
2005-08-19,46.7675
2005-08-22,46.9104
2005-08-23,46.6586
2005-08-24,46.6576
2005-08-25,46.108
2005-08-26,45.4721
2005-08-29,45.7048
2005-08-30,45.5237
2005-08-31,45.6591
2005-09-01,48.1541
2005-09-02,46.9307
2005-09-05,47.589
2005-09-06,48.1491
2005-09-07,48.3465
2005-09-08,48.4015
2005-09-09,48.5428
2005-09-12,48.3962
2005-09-13,47.5769
2005-09-14,47.6701
2005-09-15,47.6198
2005-09-16,48.3654
2005-09-19,47.7997
2005-09-20,48.1534
2005-09-21,47.3253
2005-09-22,45.5973
2005-09-23,45.9198
2005-09-26,46.8996
2005-09-27,46.6435
2005-09-28,47.3794
2005-09-29,47.124
2005-09-30,47.124
2005-10-03,47.124
2005-10-04,47.124
2005-10-05,47.124
