Date,pcf
2016-10-28,0.8139
2016-10-31,0.8114
2016-11-01,2.6767
2016-11-02,2.6431
2016-11-03,2.6409000000000002
2016-11-04,2.6235
2016-11-07,2.6386
2016-11-08,2.6505
2016-11-09,2.6193999999999997
2016-11-10,2.5629999999999997
2016-11-11,2.5213
2016-11-14,2.4920999999999998
2016-11-15,2.5094
2016-11-16,2.4666
2016-11-17,2.4845
2016-11-18,2.4341
2016-11-21,2.4561
2016-11-22,2.4596
2016-11-23,2.4399
2016-11-24,2.4508
2016-11-25,2.4634
2016-11-28,2.442
2016-11-29,2.4626
2016-11-30,2.4688
2016-12-01,2.3006
2016-12-02,2.2931
2016-12-05,2.3231
2016-12-06,2.3919
2016-12-07,2.4193
2016-12-08,2.4418
2016-12-09,2.4309
2016-12-12,2.4523
2016-12-13,2.496
2016-12-14,2.4698
2016-12-15,2.452
2016-12-16,2.468
2016-12-19,2.4565
2016-12-20,2.455
2016-12-21,2.4557
2016-12-22,2.4502
2016-12-23,2.4602
2016-12-26,2.4602
2016-12-27,2.4609
2016-12-28,2.4349
2016-12-29,2.4519
2016-12-30,2.4718
2017-01-02,3.1306
2017-01-03,3.1141
2017-01-04,3.1322
2017-01-05,3.1859
2017-01-06,3.1986
2017-01-09,3.1819
2017-01-10,3.1768
2017-01-11,3.1209
2017-01-12,3.1764
2017-01-13,3.2046
2017-01-16,3.1612
2017-01-17,3.1843
2017-01-18,3.1805
2017-01-19,3.1574
2017-01-20,3.1773
2017-01-23,3.167
2017-01-24,3.201
2017-01-25,3.2596
2017-01-26,3.2253
2017-01-27,3.2329
2017-01-30,3.1788
2017-01-31,3.1962
2017-02-01,3.1867
2017-02-02,3.2264
2017-02-03,3.2412
2017-02-06,3.1867
2017-02-07,3.1584
2017-02-08,3.1598
2017-02-09,3.1854
2017-02-10,3.1481
2017-02-13,3.1771
2017-02-14,3.1749
2017-02-15,3.2038
2017-02-16,3.2228
2017-02-17,3.1902
2017-02-20,3.1942
2017-02-21,3.1794000000000002
2017-02-22,3.1506
2017-02-23,3.1712
2017-02-24,3.1466
2017-02-27,3.1654
2017-02-28,3.2032
2017-03-01,3.2560000000000002
2017-03-02,3.2345
2017-03-03,3.2773
2017-03-06,3.2891
2017-03-07,3.2838
2017-03-08,3.2941
2017-03-09,3.3544
2017-03-10,3.3872999999999998
2017-03-13,3.3862
2017-03-14,3.3427
2017-03-15,3.3677
2017-03-16,3.4677
2017-03-17,3.4955
2017-03-20,3.4905
2017-03-21,3.5109
2017-03-22,3.5172
2017-03-23,3.5452
2017-03-24,3.5489
2017-03-27,3.5723000000000003
2017-03-28,3.6003
2017-03-29,3.5526
2017-03-30,3.5624000000000002
2017-03-31,3.5465
2017-04-03,3.487
2017-04-04,3.511
2017-04-05,3.528
2017-04-06,3.5642
2017-04-07,3.5511
2017-04-10,3.5027
2017-04-11,3.501
2017-04-12,3.4775
2017-04-13,3.4641
2017-04-14,3.4641
2017-04-17,3.4766
2017-04-18,3.4698
2017-04-19,3.5167
2017-04-20,3.5377
2017-04-21,3.5139
2017-04-24,3.7108
2017-04-25,3.7406
2017-04-26,3.7199
2017-04-27,3.686
2017-04-28,3.7007
2017-05-01,3.7102
2017-05-02,3.7418
2017-05-03,3.7509
2017-05-04,3.8283
2017-05-05,3.8895
2017-05-08,3.8581
2017-05-09,3.8202
2017-05-10,3.8165
2017-05-11,3.7554
2017-05-12,3.7858
2017-05-15,3.8279
2017-05-16,3.8703
2017-05-17,3.819
2017-05-18,3.7706
2017-05-19,3.8523
2017-05-22,3.8486000000000002
2017-05-23,3.8918
2017-05-24,3.8754999999999997
2017-05-25,3.8968
2017-05-26,3.8714
2017-05-29,3.8634
2017-05-30,3.8578
2017-05-31,3.8797
2017-06-01,3.5983
2017-06-02,3.6247
2017-06-05,3.8429
2017-06-06,3.8458
2017-06-07,3.6248
2017-06-08,3.6365
2017-06-09,3.6356
2017-06-12,3.6227
2017-06-13,3.6323
2017-06-14,3.6199
2017-06-15,3.5547
2017-06-16,3.5881
2017-06-19,3.6104000000000003
2017-06-20,3.5622
2017-06-21,3.5638
2017-06-22,3.5572
2017-06-23,3.542
2017-06-26,3.5638
2017-06-27,3.5784000000000002
2017-06-28,3.6393
2017-06-29,3.6009
2017-06-30,3.301
2017-07-03,3.3468999999999998
2017-07-04,3.3283
2017-07-05,3.3136
2017-07-06,3.3308
2017-07-07,3.2676
2017-07-10,3.2716
2017-07-11,3.2622999999999998
2017-07-12,3.2938
2017-07-13,3.3204000000000002
2017-07-14,3.3277
2017-07-17,3.33
2017-07-18,3.321
2017-07-19,3.3186
2017-07-20,3.3491
2017-07-21,3.3115
2017-07-24,3.3176
2017-07-25,3.354
2017-07-26,3.3619
2017-07-27,3.3816
2017-07-28,3.3878
2017-07-31,3.3862
2017-08-01,3.419
2017-08-02,3.4062
2017-08-03,3.4261
2017-08-04,3.4227
2017-08-07,3.4403
2017-08-08,3.4406
2017-08-09,3.3952
2017-08-10,3.3483
2017-08-11,3.3064
2017-08-14,3.365
2017-08-15,3.3518
2017-08-16,3.368
2017-08-17,3.3411
2017-08-18,3.3246
2017-08-21,3.3334
2017-08-22,3.3348
2017-08-23,3.3251
2017-08-24,3.3296
2017-08-25,3.3443
2017-08-28,3.3487
2017-08-29,3.3349
2017-08-30,3.3236
2017-08-31,3.3415
2017-09-01,3.3262
2017-09-04,3.309
2017-09-05,3.2926
2017-09-06,3.2797
2017-09-07,3.2936
2017-09-08,3.2999
2017-09-11,3.3538
2017-09-12,3.3458
2017-09-13,3.3468
2017-09-14,3.3313
2017-09-15,3.3373
2017-09-18,3.3441
2017-09-19,3.3646
2017-09-20,3.3381
2017-09-21,3.3246
2017-09-22,3.3423
2017-09-25,3.2854
2017-09-26,3.2472
2017-09-27,3.303
2017-09-28,3.303
2017-09-29,3.3298
2017-10-02,3.2106
2017-10-03,3.2157999999999998
2017-10-04,3.1204
2017-10-05,3.192
2017-10-06,3.1898
2017-10-09,3.204
2017-10-10,3.1931
2017-10-11,3.2404
2017-10-12,3.2388
2017-10-13,3.2284
2017-10-16,3.1938
2017-10-17,3.1919
2017-10-18,3.2265
2017-10-19,3.2251
2017-10-20,3.2164
2017-10-23,3.1807
2017-10-24,3.2043
2017-10-25,3.2021
2017-10-26,3.2337
2017-10-27,3.1521
2017-10-30,3.2435
2017-10-31,3.2729
2017-11-01,3.2611
2017-11-02,3.2648
2017-11-03,3.2157999999999998
2017-11-06,3.1935000000000002
2017-11-07,3.1722
2017-11-08,3.1732
2017-11-09,3.1624
2017-11-10,3.1604
2017-11-13,3.1372
2017-11-14,3.1417
2017-11-15,3.1616
2017-11-16,3.1737
2017-11-17,3.1527
2017-11-20,3.1454
2017-11-21,3.1269
2017-11-22,3.1532999999999998
2017-11-23,3.1761
2017-11-24,3.2086
2017-11-27,3.2046
2017-11-28,3.2141
2017-11-29,3.2535
2017-11-30,3.2535
2017-12-01,3.175
2017-12-04,3.206
2017-12-05,3.2005
2017-12-06,3.1757
2017-12-07,3.1981
2017-12-08,3.209
2017-12-11,3.2143
