Date,pcf
2005-05-20,5.7434
2005-05-23,5.7743
2005-05-24,5.7509
2005-05-25,5.7498000000000005
2005-05-26,5.8036
2005-05-27,5.7962
2005-05-30,5.802
2005-05-31,5.7871
2005-06-01,5.8955
2005-06-02,5.9039
2005-06-03,5.8729
2005-06-06,5.8374
2005-06-07,5.8866
2005-06-08,5.8766
2005-06-09,5.8509
2005-06-10,5.8946
2005-06-13,5.9241
2005-06-14,5.9182
2005-06-15,5.8972999999999995
2005-06-16,5.8972
2005-06-17,5.9475999999999996
2005-06-20,5.9097
2005-06-21,5.9483
2005-06-22,5.9589
2005-06-23,5.9738
2005-06-24,5.9175
2005-06-27,5.8602
2005-06-28,5.9117
2005-06-29,5.9616
2005-06-30,6.4465
2005-07-01,6.5098
2005-07-04,6.5069
2005-07-05,6.4908
2005-07-06,6.5341000000000005
2005-07-07,6.4449
2005-07-08,6.5689
2005-07-11,6.6024
2005-07-12,6.5891
2005-07-13,6.6349
2005-07-14,6.6772
2005-07-15,6.6781
2005-07-18,6.6614
2005-07-19,6.7507
2005-07-20,6.7391
2005-07-21,6.7456
2005-07-22,6.7331
2005-07-25,6.7623
2005-07-26,6.7645
2005-07-27,6.7809
2005-07-28,6.8238
2005-07-29,6.8126999999999995
2005-08-01,6.8176
2005-08-02,6.8879
2005-08-03,6.8763
2005-08-04,6.8224
2005-08-05,6.7659
2005-08-08,6.7964
2005-08-09,6.871
2005-08-10,6.9245
2005-08-11,6.8956
2005-08-12,6.848
2005-08-15,6.8345
2005-08-16,6.799
2005-08-17,6.7881
2005-08-18,6.7747
2005-08-19,6.8595
2005-08-22,6.8594
2005-08-23,6.7885
2005-08-24,6.7712
2005-08-25,6.7022
2005-08-26,6.6511
2005-08-29,6.6772
2005-08-30,6.6742
2005-08-31,6.7462
2005-09-01,6.7922
2005-09-02,6.7625
2005-09-05,6.7951
2005-09-06,6.8585
2005-09-07,6.8805
2005-09-08,6.8532
2005-09-09,6.8945
2005-09-12,6.8945
2005-09-13,6.8357
2005-09-14,6.8547
2005-09-15,6.8656
2005-09-16,6.9133
2005-09-19,6.911
2005-09-20,6.9492
2005-09-21,6.85
2005-09-22,6.8165
2005-09-23,6.8571
2005-09-26,6.9899000000000004
2005-09-27,6.9616
2005-09-28,7.0421
2005-09-29,7.0148
2005-09-30,6.8876
2005-10-03,6.92
2005-10-04,6.9574
2005-10-05,6.8736
2005-10-06,6.7874
2005-10-07,6.7779
2005-10-10,6.7891
2005-10-11,6.8135
2005-10-12,6.7597000000000005
2005-10-13,6.6884
2005-10-14,6.7003
2005-10-17,6.714
2005-10-18,6.6733
2005-10-19,6.5418
2005-10-20,6.5684000000000005
2005-10-21,6.5343
2005-10-24,6.6199
2005-10-25,6.5847
2005-10-26,6.605
2005-10-27,6.4849
2005-10-28,6.4702
2005-10-31,6.6352
2005-11-01,6.6323
2005-11-02,6.622
2005-11-03,6.737
2005-11-04,6.7354
2005-11-07,6.7398
2005-11-08,6.7307
2005-11-09,6.6966
2005-11-10,6.6882
2005-11-11,6.7718
2005-11-14,6.7923
2005-11-15,6.7872
2005-11-16,6.7401
2005-11-17,6.7604
2005-11-18,6.8102
2005-11-21,6.8566
2005-11-22,6.8544
2005-11-23,6.8945
2005-11-24,6.8577
2005-11-25,6.8772
2005-11-28,6.84
2005-11-29,6.8591
2005-11-30,6.8302
2005-12-01,6.9399999999999995
2005-12-02,6.9825
2005-12-05,6.9666
2005-12-06,7.0056
2005-12-07,6.9841
2005-12-08,7.0004
2005-12-09,6.9873
2005-12-12,7.0032
2005-12-13,7.0327
2005-12-14,7.0062
2005-12-15,7.0044
2005-12-16,7.0464
2005-12-19,7.012
2005-12-20,7.0238
2005-12-21,7.0928
2005-12-22,7.091
2005-12-23,7.099
2005-12-26,7.099
2005-12-27,7.1182
2005-12-28,7.0995
2005-12-29,7.1244
2005-12-30,7.0436
2006-01-02,8.6221
2006-01-03,8.6626
2006-01-04,8.7736
2006-01-05,8.7681
2006-01-06,8.8257
2006-01-09,8.8422
2006-01-10,8.8189
2006-01-11,8.8716
2006-01-12,8.8764
2006-01-13,8.8044
2006-01-16,8.814
2006-01-17,8.7311
2006-01-18,8.6632
2006-01-19,8.74
2006-01-20,8.6653
