Date,pcf
2017-06-14,15.2411
2017-06-15,14.6646
2017-06-16,14.6982
2017-06-19,14.8031
2017-06-20,14.49
2017-06-21,14.6367
2017-06-22,14.609
2017-06-23,14.848700000000001
2017-06-26,14.9186
2017-06-27,14.800699999999999
2017-06-28,14.7248
2017-06-29,14.5092
2017-06-30,13.9093
2017-07-03,13.8276
2017-07-04,13.76
2017-07-05,13.6464
2017-07-06,13.6527
2017-07-07,13.4955
2017-07-10,13.5572
2017-07-11,13.4343
2017-07-12,13.8161
2017-07-13,13.9596
2017-07-14,14.3356
2017-07-17,14.5223
2017-07-18,14.3572
2017-07-19,14.613
2017-07-20,14.6085
2017-07-21,14.6719
2017-07-24,14.7477
2017-07-25,14.6085
2017-07-26,14.7082
2017-07-27,14.7315
2017-07-28,14.7598
2017-07-31,14.5632
2017-08-01,14.4985
2017-08-02,14.461500000000001
2017-08-03,14.4336
2017-08-04,14.3871
2017-08-07,14.7459
2017-08-08,14.787
2017-08-09,14.5064
2017-08-10,14.5264
2017-08-11,14.2619
2017-08-14,14.5447
2017-08-15,14.4144
2017-08-16,14.691
2017-08-17,14.7257
2017-08-18,14.6888
2017-08-21,14.7604
2017-08-22,14.8697
2017-08-23,14.8999
2017-08-24,15.0083
2017-08-25,15.1395
2017-08-28,15.1017
2017-08-29,15.1454
2017-08-30,15.0052
2017-08-31,15.1854
2017-09-01,15.2
2017-09-04,15.0164
2017-09-05,15.0573
2017-09-06,14.8961
2017-09-07,14.978
2017-09-08,14.8349
2017-09-11,14.8804
2017-09-12,14.8408
2017-09-13,14.6316
2017-09-14,14.6145
2017-09-15,14.4772
2017-09-18,14.4509
2017-09-19,14.4056
2017-09-20,14.4711
2017-09-21,14.3923
2017-09-22,14.4804
2017-09-25,14.3501
2017-09-26,14.0382
2017-09-27,13.8275
2017-09-28,13.8281
2017-09-29,13.9982
2017-10-02,14.3528
2017-10-03,14.4539
2017-10-04,14.7028
2017-10-05,14.7242
2017-10-06,14.6872
2017-10-09,14.6378
2017-10-10,14.9576
2017-10-11,15.1073
2017-10-12,15.2722
2017-10-13,15.5142
2017-10-16,15.6181
2017-10-17,15.3316
2017-10-18,15.2823
2017-10-19,15.2572
2017-10-20,15.0353
2017-10-23,14.9942
2017-10-24,14.9254
2017-10-25,14.6944
2017-10-26,14.5135
2017-10-27,14.5871
2017-10-30,14.8249
2017-10-31,14.693999999999999
2017-11-01,14.8568
2017-11-02,14.9108
2017-11-03,14.7385
2017-11-06,14.8091
2017-11-07,14.9175
2017-11-08,14.9862
2017-11-09,14.8595
2017-11-10,14.6934
2017-11-13,14.2895
2017-11-14,14.347
2017-11-15,14.317
2017-11-16,14.6872
2017-11-17,15.137
2017-11-20,15.2602
2017-11-21,15.4953
2017-11-22,15.5426
2017-11-23,15.3312
2017-11-24,15.3448
2017-11-27,15.5155
2017-11-28,15.7847
2017-11-29,15.8429
2017-11-30,15.6988
2017-12-01,14.5715
2017-12-04,14.7799
2017-12-05,14.788499999999999
2017-12-06,14.294
2017-12-07,14.0598
2017-12-08,14.0172
2017-12-11,14.0312
2017-12-12,13.7391
2017-12-13,13.9489
2017-12-14,14.2165
2017-12-15,14.3812
2017-12-18,15.3005
2017-12-19,15.3826
2017-12-20,15.4616
2017-12-21,15.477
2017-12-22,15.582699999999999
2017-12-25,15.524000000000001
2017-12-26,15.5848
2017-12-27,16.0365
2017-12-28,16.0369
2017-12-29,16.2215
2018-01-01,17.3091
2018-01-02,17.1699
2018-01-03,17.1426
2018-01-04,17.4167
2018-01-05,17.4846
2018-01-08,17.3943
2018-01-09,17.4515
2018-01-10,17.2323
2018-01-11,17.0422
2018-01-12,17.1342
2018-01-15,17.321
2018-01-16,17.6607
2018-01-17,17.8342
2018-01-18,18.0688
2018-01-19,17.8235
2018-01-22,18.1051
2018-01-23,18.411
2018-01-24,18.7001
2018-01-25,18.9571
2018-01-26,18.6361
2018-01-29,18.2024
2018-01-30,17.7884
2018-01-31,17.9509
2018-02-01,17.9081
2018-02-02,17.3806
2018-02-05,16.9014
2018-02-06,16.6563
