Date,pcf
2005-07-25,13.0517
2005-07-26,13.1022
2005-07-27,13.2124
2005-07-28,13.2124
2005-07-29,13.2245
2005-08-01,13.2639
2005-08-02,13.4528
2005-08-03,13.4655
2005-08-04,13.5037
2005-08-05,13.4175
2005-08-08,13.1736
2005-08-09,13.1309
2005-08-10,13.3688
2005-08-11,13.4988
2005-08-12,13.4086
2005-08-15,13.4086
2005-08-16,13.3657
2005-08-17,13.5353
2005-08-18,13.462
2005-08-19,13.4316
2005-08-22,13.3677
2005-08-23,13.1404
2005-08-24,13.1055
2005-08-25,13.1942
2005-08-26,13.2456
2005-08-29,13.1631
2005-08-30,13.3507
2005-08-31,13.6685
2005-09-01,13.1413
2005-09-02,13.1539
2005-09-05,13.1736
2005-09-06,13.2024
2005-09-07,13.2024
2005-09-08,13.3841
2005-09-09,13.3789
2005-09-12,13.5191
2005-09-13,13.6105
2005-09-14,13.6019
2005-09-15,13.7649
2005-09-16,13.8902
2005-09-19,13.9694
2005-09-20,14.082699999999999
2005-09-21,14.4744
2005-09-22,14.0009
2005-09-23,14.0047
2005-09-26,14.4286
2005-09-27,14.5402
2005-09-28,14.6623
2005-09-29,14.74
2005-09-30,14.6926
2005-10-03,14.8254
2005-10-04,15.0277
2005-10-05,14.9226
2005-10-06,14.6162
2005-10-07,14.5488
2005-10-10,14.526
2005-10-11,14.631
2005-10-12,14.631
2005-10-13,14.3456
2005-10-14,14.0794
2005-10-17,14.0558
2005-10-18,13.9186
2005-10-19,13.6706
2005-10-20,13.6135
2005-10-21,13.8286
2005-10-24,13.5882
2005-10-25,13.6817
2005-10-26,13.6435
2005-10-27,13.3659
2005-10-28,13.1629
2005-10-31,13.5108
2005-11-01,13.612400000000001
2005-11-02,13.8164
2005-11-03,13.8164
2005-11-04,13.8164
2005-11-07,14.0533
2005-11-08,14.2239
2005-11-09,14.1991
2005-11-10,14.2445
2005-11-11,14.5007
2005-11-14,14.5474
2005-11-15,14.5474
2005-11-16,14.729
2005-11-17,14.8105
2005-11-18,14.8696
2005-11-21,14.705400000000001
2005-11-22,14.5844
2005-11-23,14.758
2005-11-24,14.9162
2005-11-25,15.1143
2005-11-28,15.3299
2005-11-29,15.2743
2005-11-30,15.0472
2005-12-01,15.4018
2005-12-02,15.4479
2005-12-05,15.2438
2005-12-06,15.2301
2005-12-07,15.3795
2005-12-08,15.4275
2005-12-09,15.6603
2005-12-12,15.762
2005-12-13,15.9679
2005-12-14,15.9486
2005-12-15,15.8401
2005-12-16,16.0439
2005-12-19,16.2195
2005-12-20,16.1105
2005-12-21,16.1298
2005-12-22,16.1763
2005-12-23,15.983
2005-12-26,15.6809
2005-12-27,15.5016
2005-12-28,15.4662
2005-12-29,15.5873
2005-12-30,15.6991
2006-01-02,15.5753
2006-01-03,15.8284
2006-01-04,16.0092
2006-01-05,15.9739
2006-01-06,16.0458
2006-01-09,15.9984
2006-01-10,15.7549
2006-01-11,15.7549
2006-01-12,15.5947
2006-01-13,15.6006
2006-01-16,15.4701
2006-01-17,15.4819
2006-01-18,15.4162
2006-01-19,16.2761
2006-01-20,16.4224
2006-01-23,16.2936
2006-01-24,16.4277
2006-01-25,16.6112
2006-01-26,16.6112
2006-01-27,16.9054
2006-01-30,16.8721
2006-01-31,17.0116
2006-02-01,16.8829
2006-02-02,16.8173
2006-02-03,16.6589
2006-02-06,17.0492
2006-02-07,17.2247
2006-02-08,17.1479
2006-02-09,17.1479
2006-02-10,17.2576
2006-02-13,17.3701
2006-02-14,17.2314
2006-02-15,17.2072
2006-02-16,17.2351
2006-02-17,17.0059
2006-02-20,17.1245
2006-02-21,17.2272
2006-02-22,17.2899
2006-02-23,17.2678
2006-02-24,17.2161
2006-02-27,17.3796
2006-02-28,17.4781
2006-03-01,17.7851
2006-03-02,17.8521
2006-03-03,17.8169
2006-03-06,18.3717
2006-03-07,17.4421
2006-03-08,17.1232
2006-03-09,17.2239
2006-03-10,17.5562
2006-03-13,17.5959
2006-03-14,17.5739
2006-03-15,17.5739
2006-03-16,17.7648
2006-03-17,17.7587
2006-03-20,17.9336
2006-03-21,17.8541
2006-03-22,17.7831
2006-03-23,17.7838
2006-03-24,17.9325
2006-03-27,18.0796
2006-03-28,18.1086
2006-03-29,18.2981
2006-03-30,18.4813
2006-03-31,18.6384
2006-04-03,19.1295
2006-04-04,19.2794
2006-04-05,19.4253
2006-04-06,19.4253
2006-04-07,19.1367
2006-04-10,19.2794
2006-04-11,19.2794
2006-04-12,18.7382
2006-04-13,18.4952
2006-04-14,18.4952
2006-04-17,19.0406
2006-04-18,19.4726
2006-04-19,19.5394
2006-04-20,19.7878
2006-04-21,19.7889
2006-04-24,19.5785
2006-04-25,19.161
2006-04-26,19.6278
2006-04-27,19.4524
2006-04-28,19.4738
2006-05-01,19.7737
2006-05-02,20.0745
2006-05-03,20.1384
2006-05-04,20.2988
2006-05-05,20.3402
2006-05-08,20.535800000000002
2006-05-09,20.6393
2006-05-10,20.776699999999998
2006-05-11,20.5025
2006-05-12,20.1982
2006-05-15,19.4254
2006-05-16,19.5288
2006-05-17,20.0036
2006-05-18,18.6893
2006-05-19,17.9327
2006-05-22,17.1452
2006-05-23,17.7252
2006-05-24,17.3066
2006-05-25,17.4252
2006-05-26,17.6987
2006-05-29,17.7958
2006-05-30,17.7017
2006-05-31,17.1266
2006-06-01,17.6792
2006-06-02,18.3396
2006-06-05,17.9507
2006-06-06,17.4827
2006-06-07,17.0351
2006-06-08,16.1771
2006-06-09,17.1151
2006-06-12,16.588
2006-06-13,15.8032
2006-06-14,15.4788
2006-06-15,16.5864
2006-06-16,17.159
2006-06-19,17.3905
2006-06-20,17.0843
2006-06-21,17.4411
2006-06-22,17.8848
2006-06-23,18.1013
2006-06-26,17.4791
2006-06-27,17.7188
2006-06-28,17.6851
2006-06-29,17.7772
2006-06-30,18.5452
2006-07-03,18.6831
2006-07-04,18.6732
2006-07-05,19.0491
2006-07-06,18.8235
2006-07-07,18.3471
2006-07-10,18.6578
2006-07-11,18.5476
2006-07-12,19.0916
2006-07-13,18.9664
2006-07-14,18.6578
2006-07-17,18.005
2006-07-18,17.8818
2006-07-19,17.4933
2006-07-20,18.0354
2006-07-21,17.5973
2006-07-24,17.8038
2006-07-25,18.3417
2006-07-26,18.7227
2006-07-27,18.9363
2006-07-28,18.8035
2006-07-31,18.9086
2006-08-01,18.8879
2006-08-02,19.0656
2006-08-03,19.126
2006-08-04,19.0239
2006-08-07,18.9625
2006-08-08,19.2754
2006-08-09,19.5074
2006-08-10,19.5486
2006-08-11,19.6764
2006-08-14,19.8753
2006-08-15,19.8753
2006-08-16,20.1533
2006-08-17,20.222
2006-08-18,20.2563
2006-08-21,20.3655
2006-08-22,20.3321
2006-08-23,20.1574
2006-08-24,20.3598
2006-08-25,20.4317
2006-08-28,20.5102
2006-08-29,20.647
2006-08-30,20.6941
2006-08-31,20.6204
2006-09-01,20.9308
2006-09-04,21.1993
2006-09-05,21.1575
2006-09-06,21.1931
2006-09-07,21.0568
2006-09-08,21.1047
2006-09-11,20.4524
2006-09-12,20.6814
2006-09-13,21.0683
2006-09-14,21.2258
2006-09-15,21.2867
2006-09-18,21.3945
2006-09-19,21.1617
2006-09-20,21.3561
2006-09-21,21.6214
2006-09-22,21.5421
2006-09-25,21.4447
2006-09-26,21.7101
2006-09-27,21.7939
2006-09-28,21.8555
2006-09-29,21.9634
2006-10-02,21.9634
2006-10-03,21.647100000000002
2006-10-04,21.3596
2006-10-05,21.7018
2006-10-06,21.7307
2006-10-09,21.7214
2006-10-10,21.7471
2006-10-11,21.7457
2006-10-12,22.1033
2006-10-13,22.4285
2006-10-16,22.7493
2006-10-17,22.6143
2006-10-18,22.6142
2006-10-19,22.4224
2006-10-20,22.4039
2006-10-23,22.2421
2006-10-24,22.2421
2006-10-25,22.2421
2006-10-26,22.4011
2006-10-27,22.7232
2006-10-30,22.927599999999998
2006-10-31,22.8176
2006-11-01,22.9387
2006-11-02,23.0488
2006-11-03,23.0745
2006-11-06,23.1989
2006-11-07,23.2008
2006-11-08,23.0642
2006-11-09,23.2088
2006-11-10,23.4677
2006-11-13,23.6413
2006-11-14,23.768
2006-11-15,23.815
2006-11-16,23.8658
2006-11-17,23.6684
2006-11-20,23.6595
2006-11-21,23.9707
2006-11-22,24.072
2006-11-23,24.0664
2006-11-24,24.0831
2006-11-27,24.1095
2006-11-28,23.7774
2006-11-29,23.8295
2006-11-30,23.971
2006-12-01,24.2688
2006-12-04,24.3063
2006-12-05,24.393
2006-12-06,24.3743
2006-12-07,24.4438
2006-12-08,24.1587
2006-12-11,23.5158
2006-12-12,22.8592
2006-12-13,23.1296
2006-12-14,23.6703
2006-12-15,23.9078
2006-12-18,24.1277
2006-12-19,23.555
2006-12-20,23.4575
2006-12-21,23.5563
2006-12-22,23.4665
2006-12-25,23.4665
2006-12-26,23.9209
2006-12-27,24.2136
2006-12-28,24.2123
2006-12-29,24.1677
2007-01-01,24.1677
2007-01-02,23.848
2007-01-03,23.8759
2007-01-04,23.697400000000002
2007-01-05,23.7235
2007-01-08,23.3794
2007-01-09,23.2431
2007-01-10,22.9478
2007-01-11,23.3405
