Date,pcf
1999-12-31,6.4454
2000-01-03,6.633
2000-01-04,6.7259
2000-01-05,6.7259
2000-01-06,6.8145
2000-01-07,6.8145
2000-01-10,6.8145
2000-01-11,6.8145
2000-01-12,7.271
2000-01-13,7.2617
2000-01-14,7.5287
2000-01-17,7.6618
2000-01-18,7.6582
2000-01-19,7.6777999999999995
2000-01-20,7.8205
2000-01-21,8.2623
2000-01-24,8.0116
2000-01-25,7.4483
2000-01-26,7.5933
2000-01-27,7.7069
2000-01-28,7.8708
2000-01-31,7.9809
2000-02-01,7.8857
2000-02-02,8.0576
2000-02-03,8.0093
2000-02-04,7.9891
2000-02-07,8.042
2000-02-08,8.083
2000-02-09,8.0162
2000-02-10,8.0143
2000-02-11,7.6462
2000-02-14,8.0442
2000-02-15,8.2348
2000-02-16,8.2094
2000-02-17,8.4933
2000-02-18,8.7544
2000-02-21,8.9912
2000-02-22,9.0991
2000-02-23,9.1934
2000-02-24,9.0598
2000-02-25,8.8964
2000-02-28,8.6616
2000-02-29,8.607099999999999
2000-03-01,8.3754
2000-03-02,8.6099
2000-03-03,8.4902
2000-03-06,8.8105
2000-03-07,8.8283
2000-03-08,8.7225
2000-03-09,8.6758
2000-03-10,8.5784
2000-03-13,8.5375
2000-03-14,8.6357
2000-03-15,8.6699
2000-03-16,9.0086
2000-03-17,9.0086
2000-03-20,9.1559
2000-03-21,9.1748
2000-03-22,9.1743
2000-03-23,9.1743
2000-03-24,8.892900000000001
2000-03-27,8.5833
2000-03-28,8.8867
2000-03-29,8.9237
2000-03-30,8.9419
2000-03-31,8.7916
2000-04-03,8.7815
2000-04-04,8.5729
2000-04-05,8.5402
2000-04-06,8.6046
2000-04-07,8.5497
2000-04-10,8.4394
2000-04-11,8.6414
2000-04-12,8.6347
2000-04-13,8.5672
2000-04-14,8.8056
2000-04-17,8.8639
2000-04-18,8.9945
2000-04-19,9.2598
2000-04-20,9.1781
2000-04-21,9.0172
2000-04-24,8.8138
2000-04-25,8.8554
2000-04-26,8.8614
2000-04-27,8.9826
2000-04-28,9.2516
2000-05-01,9.3227
2000-05-02,9.0422
2000-05-03,9.0545
2000-05-04,8.9366
2000-05-05,9.0192
2000-05-08,8.6651
2000-05-09,8.4474
2000-05-10,8.6146
2000-05-11,8.3039
2000-05-12,7.9398
2000-05-15,7.6946
2000-05-16,7.5808
2000-05-17,7.747
2000-05-18,7.8584
2000-05-19,8.134
2000-05-22,8.0017
2000-05-23,8.0835
2000-05-24,7.7454
2000-05-25,7.6209
2000-05-26,6.9799
2000-05-29,6.4519
2000-05-30,6.4519
2000-05-31,5.7503
2000-06-01,5.2856
2000-06-02,5.3902
2000-06-05,5.2897
2000-06-06,5.1179
2000-06-07,5.1589
2000-06-08,5.0935
2000-06-09,4.9843
2000-06-12,5.1585
2000-06-13,5.2551
2000-06-14,5.2105
2000-06-15,5.3469999999999995
2000-06-16,5.3469999999999995
2000-06-19,5.3257
2000-06-20,5.4857
2000-06-21,5.6728
2000-06-22,5.4644
