Date,pcf
2005-07-28,7.1227
2005-07-29,7.1285
2005-08-01,7.11
2005-08-02,7.1403
2005-08-03,7.2107
2005-08-04,7.2205
2005-08-05,7.2527
2005-08-08,7.2361
2005-08-09,7.2205
2005-08-10,7.242
2005-08-11,7.2469
2005-08-12,7.2527
2005-08-15,7.2879
2005-08-16,7.2948
2005-08-17,7.2772
2005-08-18,7.2263
2005-08-19,7.2889
2005-08-22,7.3124
2005-08-23,7.2967
2005-08-24,7.243
2005-08-25,7.197
2005-08-26,7.1774000000000004
2005-08-29,7.1677
2005-08-30,7.2058
2005-08-31,7.2919
2005-09-01,7.3097
2005-09-02,7.2863
2005-09-05,7.3567
2005-09-06,7.3909
2005-09-07,7.3723
2005-09-08,7.3684
2005-09-09,7.3733
2005-09-12,7.3117
2005-09-13,7.3322
2005-09-14,7.3391
2005-09-15,7.3899
2005-09-16,7.3625
2005-09-19,7.3586
2005-09-20,7.4046
2005-09-21,7.3811
2005-09-22,7.3528
2005-09-23,7.4026
2005-09-26,7.4339
2005-09-27,7.4378
2005-09-28,7.4388
2005-09-29,7.476
2005-09-30,7.5034
2005-10-03,7.4721
2005-10-04,7.4779
2005-10-05,7.5611
2005-10-06,7.562
2005-10-07,7.4946
2005-10-10,7.5082
2005-10-11,7.518
2005-10-12,7.4897
2005-10-13,7.4241
2005-10-14,7.4613
2005-10-17,7.4408
2005-10-18,7.4124
2005-10-19,7.3156
2005-10-20,7.3332
2005-10-21,7.3195
2005-10-24,7.3616
2005-10-25,7.3821
2005-10-26,7.3352
2005-10-27,7.2227
2005-10-28,7.2002
2005-10-31,7.2775
2005-11-01,7.3019
2005-11-02,7.3146
2005-11-03,7.3107
2005-11-04,7.3107
2005-11-07,7.3488
2005-11-08,7.3733
2005-11-09,7.4163
2005-11-10,7.3919
2005-11-11,7.4682
2005-11-14,7.4574
2005-11-15,7.4427
2005-11-16,7.4535
2005-11-17,7.4515
2005-11-18,7.4691
2005-11-21,7.4682
2005-11-22,7.4564
2005-11-23,7.4946
2005-11-24,7.5513
2005-11-25,7.5747
2005-11-28,7.5679
2005-11-29,7.5884
2005-11-30,7.5219000000000005
2005-12-01,7.5542
2005-12-02,7.5552
2005-12-05,7.5816
2005-12-06,7.6491
2005-12-07,7.6892
2005-12-08,7.6784
2005-12-09,7.6735
2005-12-12,7.6764
2005-12-13,7.6579
2005-12-14,7.6872
2005-12-15,7.7781
2005-12-16,7.7566
2005-12-19,7.7449
2005-12-20,7.7136
2005-12-21,7.9111
2005-12-22,7.9395
2005-12-23,8.0167
2005-12-26,8.0167
2005-12-27,8.0079
2005-12-28,7.7497
2005-12-29,8.0034
2005-12-30,8.0112
2006-01-02,10.0547
2006-01-03,10.1762
2006-01-04,10.2474
2006-01-05,10.2634
2006-01-06,10.2892
2006-01-09,10.4316
2006-01-10,10.3788
2006-01-11,10.4869
2006-01-12,10.3874
2006-01-13,10.4095
2006-01-16,10.4279
2006-01-17,10.3751
2006-01-18,10.3015
2006-01-19,10.2744
2006-01-20,10.2315
2006-01-23,10.2278
2006-01-24,10.1873
2006-01-25,10.2094
2006-01-26,10.2266
2006-01-27,10.202
2006-01-30,10.202
2006-01-31,10.2057
2006-02-01,10.3125
2006-02-02,10.1971
2006-02-03,10.2278
2006-02-06,10.2781
2006-02-07,10.8
2006-02-08,10.8552
2006-02-09,10.8319
2006-02-10,10.8675
2006-02-13,10.8896
2006-02-14,10.9313
2006-02-15,10.978
2006-02-16,11.0161
2006-02-17,11.0296
2006-02-20,11.0197
2006-02-21,11.0799
2006-02-22,11.1241
2006-02-23,11.1437
2006-02-24,11.1904
2006-02-27,11.2248
2006-02-28,11.0995
2006-03-01,11.149
2006-03-02,11.1098
2006-03-03,11.1049
2006-03-06,11.2618
2006-03-07,11.2177
2006-03-08,11.2079
2006-03-09,11.2434
2006-03-10,11.306
2006-03-13,11.4752
2006-03-14,11.5647
2006-03-15,11.7952
2006-03-16,11.7216
2006-03-17,11.7069
2006-03-20,11.7192
2006-03-21,11.7363
2006-03-22,11.7792
2006-03-23,11.7707
2006-03-24,11.8111
2006-03-27,11.7915
2006-03-28,11.7486
2006-03-29,11.8602
2006-03-30,11.9521
2006-03-31,12.4501
2006-04-03,12.4732
2006-04-04,12.4232
2006-04-05,12.4963
2006-04-06,12.463
2006-04-07,12.5296
2006-04-10,12.5232
2006-04-11,12.4642
2006-04-12,12.436
2006-04-13,12.4745
2006-04-14,12.4745
2006-04-17,12.4745
2006-04-18,12.4476
2006-04-19,12.5142
2006-04-20,12.4706
2006-04-21,12.4681
2006-04-24,12.4899
2006-04-25,12.3732
2006-04-26,12.354
2006-04-27,12.7285
2006-04-28,12.6754
2006-05-01,12.6754
2006-05-02,12.6661
2006-05-03,12.6196
2006-05-04,12.6555
2006-05-05,12.5957
2006-05-08,12.6369
2006-05-09,12.5944
2006-05-10,12.5705
2006-05-11,12.5652
2006-05-12,12.4616
2006-05-15,12.3845
2006-05-16,12.1959
2006-05-17,12.0179
2006-05-18,11.9024
2006-05-19,11.8107
2006-05-22,11.7337
2006-05-23,11.7855
2006-05-24,11.7988
2006-05-25,11.8333
