Date,pcf
2005-07-04,7.7813
2005-07-05,7.6593
2005-07-06,7.6132
2005-07-07,7.3731
2005-07-08,7.4536
2005-07-11,7.4683
2005-07-12,7.5644
2005-07-13,7.7156
2005-07-14,7.7488
2005-07-15,7.6474
2005-07-18,7.606
2005-07-19,7.5713
2005-07-20,7.6032
2005-07-21,7.5804
2005-07-22,7.5804
2005-07-25,7.7453
2005-07-26,7.7065
2005-07-27,7.8058
2005-07-28,7.8804
2005-07-29,7.9649
2005-08-01,7.9597
2005-08-02,8.1097
2005-08-03,8.1582
2005-08-04,8.1084
2005-08-05,8.0959
2005-08-08,8.0783
2005-08-09,8.0212
2005-08-10,8.0512
2005-08-11,8.0054
2005-08-12,8.0054
2005-08-15,7.9458
2005-08-16,7.8406
2005-08-17,7.8191
2005-08-18,7.9045
2005-08-19,8.022
2005-08-22,8.1578
2005-08-23,8.155
2005-08-24,8.2147
2005-08-25,8.1585
2005-08-26,8.2264
2005-08-29,8.1789
2005-08-30,8.1861
2005-08-31,8.2451
2005-09-01,8.3816
2005-09-02,8.3534
2005-09-05,8.3297
2005-09-06,8.294599999999999
2005-09-07,8.3399
2005-09-08,8.4469
2005-09-09,8.3918
2005-09-12,8.37
2005-09-13,8.2875
2005-09-14,8.3435
2005-09-15,8.2706
2005-09-16,8.2421
2005-09-19,8.2788
2005-09-20,8.4681
2005-09-21,8.4445
2005-09-22,8.5095
2005-09-23,8.4608
2005-09-26,8.4477
2005-09-27,8.4652
2005-09-28,8.4788
2005-09-29,8.4353
2005-09-30,5.8537
2005-10-03,5.7655
2005-10-04,5.729
2005-10-05,5.7501
2005-10-06,5.6947
2005-10-07,5.6746
2005-10-10,5.6532
2005-10-11,5.6657
2005-10-12,5.6802
2005-10-13,5.6348
2005-10-14,5.5743
2005-10-17,5.5354
2005-10-18,5.5183
2005-10-19,5.4046
2005-10-20,5.3901
2005-10-21,5.4332
2005-10-24,5.4332
2005-10-25,5.3359
2005-10-26,5.4314
2005-10-27,5.4359
2005-10-28,5.3991
2005-10-31,5.4081
2005-11-01,5.5028
2005-11-02,5.5687999999999995
2005-11-03,5.6312
2005-11-04,5.6501
2005-11-07,5.6059
2005-11-08,5.5431
2005-11-09,5.5469
2005-11-10,5.5324
2005-11-11,5.5104
2005-11-14,5.4974
2005-11-15,5.469
2005-11-16,5.4021
2005-11-17,5.3853
2005-11-18,5.4597
2005-11-21,5.4312000000000005
2005-11-22,5.4472
2005-11-23,5.4196
2005-11-24,5.4254
2005-11-25,5.4317
2005-11-28,5.4001
2005-11-29,5.5355
2005-11-30,5.4936
2005-12-01,5.4371
2005-12-02,5.4335
2005-12-05,5.4335
2005-12-06,5.5902
2005-12-07,5.7704
2005-12-08,5.7633
