Date,pcf
2019-03-28,244.0966
2019-03-29,243.3684
2019-04-01,76.8966
2019-04-02,74.7576
2019-04-03,75.7056
2019-04-04,79.5565
2019-04-05,79.3049
2019-04-08,76.4826
2019-04-09,77.7154
2019-04-10,76.6247
2019-04-11,75.2816
2019-04-12,75.1852
2019-04-15,73.5699
2019-04-16,74.9402
2019-04-17,76.9794
2019-04-18,75.1107
2019-04-19,75.1003
2019-04-22,73.9417
2019-04-23,73.8259
2019-04-24,73.5893
2019-04-25,71.7468
2019-04-26,71.8799
2019-04-29,71.5193
2019-04-30,71.7815
2019-05-01,5.6625
2019-05-02,5.5748
2019-05-03,5.549
2019-05-06,5.4558
2019-05-07,5.244
2019-05-08,5.2001
2019-05-09,5.061
2019-05-10,5.1741
2019-05-13,5.0525
2019-05-14,5.2334
2019-05-15,5.1845
2019-05-16,5.1566
2019-05-17,5.1231
2019-05-20,5.1666
2019-05-21,5.0378
2019-05-22,4.8994
2019-05-23,4.9544
2019-05-24,5.0642
2019-05-27,5.0601
2019-05-28,5.1675
2019-05-29,5.2855
2019-05-30,5.5824
2019-05-31,5.692
2019-06-03,5.6644
2019-06-04,5.7514
2019-06-05,5.7945
2019-06-06,5.7367
2019-06-07,5.9303
2019-06-10,5.9638
2019-06-11,5.8216
2019-06-12,5.8566
2019-06-13,5.6445
2019-06-14,5.6611
2019-06-17,5.768
2019-06-18,5.9245
2019-06-19,5.957
2019-06-20,6.0152
2019-06-21,5.9612
2019-06-24,6.049
2019-06-25,6.099
2019-06-26,6.0385
2019-06-27,6.1068
2019-06-28,6.1558
2019-07-01,5.4862
2019-07-02,5.515
2019-07-03,5.4702
2019-07-04,5.5021
2019-07-05,5.4832
2019-07-08,5.3459
2019-07-09,5.2469
2019-07-10,5.3565
2019-07-11,5.4315999999999995
2019-07-12,5.2307
2019-07-15,5.2745
2019-07-16,5.3187999999999995
2019-07-17,5.441
2019-07-18,5.5407
2019-07-19,5.5586
2019-07-22,5.4728
2019-07-23,5.5302
2019-07-24,5.4428
2019-07-25,5.5155
2019-07-26,5.5776
2019-07-29,5.6701
2019-07-30,5.692
2019-07-31,5.6563
2019-08-01,5.6371
2019-08-02,5.5301
2019-08-05,5.4573
2019-08-06,5.5677
2019-08-07,5.5207
2019-08-08,5.625
2019-08-09,5.5912
2019-08-12,5.5367
2019-08-13,5.5436
2019-08-14,5.4994
2019-08-15,5.3941
2019-08-16,5.3531
2019-08-19,5.2394
2019-08-20,5.2258
2019-08-21,5.1987
2019-08-22,5.1608
2019-08-23,5.2758
2019-08-26,5.2167
2019-08-27,5.1317
2019-08-28,4.9776
2019-08-29,4.9986
2019-08-30,5.0099
2019-09-02,5.1045
2019-09-03,5.1767
2019-09-04,5.3082
2019-09-05,5.2945
2019-09-06,5.2026
2019-09-09,5.2495
2019-09-10,5.2588
2019-09-11,5.3238
2019-09-12,5.4177
2019-09-13,5.4428
2019-09-16,5.3831
2019-09-17,5.3406
2019-09-18,5.3938
2019-09-19,5.2743
2019-09-20,5.2281
2019-09-23,5.2294
2019-09-24,5.3588000000000005
2019-09-25,5.4131
2019-09-26,5.3882
2019-09-27,5.5722000000000005
2019-09-30,5.467
2019-10-01,5.3493
2019-10-02,5.3421
2019-10-03,5.3159
2019-10-04,5.3495
2019-10-07,5.2313
2019-10-08,5.1493
2019-10-09,4.996
2019-10-10,4.9731
2019-10-11,4.9556000000000004
2019-10-14,4.6592
2019-10-15,4.7523
2019-10-16,4.711
2019-10-17,4.7658000000000005
2019-10-18,5.0067
2019-10-21,4.8941
2019-10-22,4.9415
2019-10-23,5.0967
2019-10-24,5.1282
2019-10-25,5.1184
2019-10-28,5.1345
2019-10-29,5.1238
2019-10-30,5.0815
2019-10-31,5.0643
2019-11-01,5.0673
2019-11-04,5.1293
2019-11-05,5.1143
2019-11-06,5.1417
2019-11-07,5.2876
2019-11-08,5.2411
2019-11-11,5.2278
2019-11-12,5.2632
2019-11-13,5.3478
2019-11-14,5.2682
2019-11-15,5.3707
2019-11-18,5.4602
2019-11-19,5.5143
2019-11-20,5.4940999999999995
2019-11-21,5.4946
2019-11-22,5.4672
2019-11-25,5.3689
2019-11-26,5.376
2019-11-27,5.2789
2019-11-28,5.3602
2019-11-29,5.3595
2019-12-02,5.4166
2019-12-03,5.3333
2019-12-04,5.3734
2019-12-05,5.4053
2019-12-06,5.3911
2019-12-09,5.348
2019-12-10,5.3218
2019-12-11,5.3152
2019-12-12,5.4571
2019-12-13,5.4389
2019-12-16,5.4411
2019-12-17,5.4023
2019-12-18,5.3484
2019-12-19,5.3334
2019-12-20,5.3604
2019-12-23,5.4016
2019-12-24,5.4473
2019-12-25,5.4505
2019-12-26,5.4766
2019-12-27,5.4602
2019-12-30,5.5233
2019-12-31,3.2091
2020-01-01,3.2091
2020-01-02,3.2507
2020-01-03,3.1797
2020-01-06,3.1192
2020-01-07,3.152
2020-01-08,3.1755
2020-01-09,3.3627000000000002
2020-01-10,3.3787
2020-01-13,3.4218
2020-01-14,3.4444
2020-01-15,3.4322
2020-01-16,3.4454000000000002
2020-01-17,3.4275
2020-01-20,3.4462
2020-01-21,3.4582
2020-01-22,3.443
2020-01-23,3.4277
2020-01-24,3.4118
2020-01-27,3.3417
2020-01-28,3.3364
2020-01-29,3.3252
2020-01-30,3.3201
2020-01-31,3.2873
2020-02-03,3.2892
2020-02-04,3.3791
2020-02-05,3.3811
2020-02-06,3.3781
2020-02-07,3.3193
2020-02-10,3.2557
2020-02-11,3.2913
2020-02-12,3.297
2020-02-13,3.3067
2020-02-14,3.2876
2020-02-17,3.3048
