Date,pe
2012-01-23,18.0125
2012-01-24,17.8812
2012-01-25,17.9291
2012-01-26,18.2007
2012-01-27,18.0388
2012-01-30,17.8919
2012-01-31,18.1737
2012-02-01,18.5862
2012-02-02,18.7215
2012-02-03,19.0278
2012-02-06,18.9049
2012-02-07,19.0015
2012-02-08,18.9998
2012-02-09,19.1001
2012-02-10,19.0446
2012-02-13,19.3291
2012-02-14,19.2056
2012-02-15,19.6347
2012-02-16,19.464
2012-02-17,19.6095
2012-02-20,19.9327
2012-02-21,19.7829
2012-02-22,19.5917
2012-02-23,19.5618
2012-02-24,19.7329
2012-02-27,19.4699
2012-02-28,19.6427
2012-02-29,19.752
2012-03-01,19.8453
2012-03-02,19.8106
2012-03-05,19.6905
2012-03-06,19.1665
2012-03-07,19.246
2012-03-08,19.3452
2012-03-09,19.7188
2012-03-12,19.6605
2012-03-13,19.8683
2012-03-14,19.8267
2012-03-15,19.8018
2012-03-16,19.8412
2012-03-19,19.7292
2012-03-20,19.6543
2012-03-21,19.595
2012-03-22,19.3709
2012-03-23,19.3796
2012-03-26,19.5947
2012-03-27,19.2959
2012-03-28,19.3678
2012-03-29,18.9377
2012-03-30,19.3037
2012-04-02,19.7592
2012-04-03,19.9062
2012-04-04,19.3847
2012-04-05,19.3847
2012-04-06,19.3847
2012-04-09,19.3847
2012-04-10,19.0256
2012-04-11,19.0313
2012-04-12,19.3372
2012-04-13,19.1526
2012-04-16,19.2555
2012-04-17,19.4433
2012-04-18,19.4679
2012-04-19,19.603
2012-04-20,19.5705
2012-04-23,19.1987
2012-04-24,19.3473
2012-04-25,19.4281
2012-04-26,19.362
2012-04-27,19.4805
2012-04-30,19.5635
2012-05-01,19.6766
2012-05-02,19.6217
2012-05-03,19.8111
2012-05-04,19.8111
2012-05-07,19.5254
2012-05-08,19.3704
2012-05-09,19.0098
2012-05-10,19.1639
2012-05-11,19.1694
2012-05-14,18.7518
2012-05-15,18.5956
2012-05-16,18.4928
2012-05-17,18.4928
2012-05-18,18.4928
2012-05-21,18.4092
2012-05-22,18.6971
2012-05-23,18.2981
2012-05-24,18.4635
2012-05-25,18.5667
2012-05-28,18.5667
