Date,pe
2015-12-31,24.9402
2016-01-01,24.9402
2016-01-04,24.5925
2016-01-05,24.6843
2016-01-06,24.4732
2016-01-07,24.3623
2016-01-08,24.4414
2016-01-11,23.4461
2016-01-12,23.0787
2016-01-13,22.2503
2016-01-14,21.2082
2016-01-15,21.1976
2016-01-18,21.3447
2016-01-19,21.8904
2016-01-20,20.8191
2016-01-21,20.6925
2016-01-22,20.8161
2016-01-25,21.3737
2016-01-26,21.3635
2016-01-27,21.66
2016-01-28,22.0268
2016-01-29,22.0327
2016-02-01,21.6932
2016-02-02,21.9831
2016-02-03,22.1652
2016-02-04,22.6708
2016-02-05,22.4229
2016-02-08,22.0326
2016-02-09,21.5644
2016-02-10,21.7077
2016-02-11,21.0681
2016-02-12,21.1694
2016-02-15,21.2739
2016-02-16,21.4303
2016-02-17,21.62
2016-02-18,21.7841
2016-02-19,21.8869
2016-02-22,22.0614
2016-02-23,22.1326
2016-02-24,21.995
2016-02-25,22.1103
2016-02-26,22.096
2016-02-29,22.2605
2016-03-01,22.3588
2016-03-02,22.2468
2016-03-03,22.3178
2016-03-04,22.4631
2016-03-07,22.7795
2016-03-08,22.8748
2016-03-09,23.0058
2016-03-10,23.6714
2016-03-11,23.7019
2016-03-14,22.7406
2016-03-15,23.3138
2016-03-16,23.7582
2016-03-17,24.7659
2016-03-18,24.6087
2016-03-21,26.222
2016-03-22,25.8164
2016-03-23,25.8032
2016-03-24,26.2426
2016-03-25,26.2426
2016-03-28,26.3412
2016-03-29,26.4992
2016-03-30,26.4412
2016-03-31,19.8015
2016-04-01,19.8431
2016-04-04,19.9589
2016-04-05,20.2322
2016-04-06,19.645
2016-04-07,19.8035
2016-04-08,19.8219
2016-04-11,19.3441
2016-04-12,19.4177
2016-04-13,19.7037
2016-04-14,19.7264
2016-04-15,19.8018
2016-04-18,20.1796
2016-04-19,20.5382
2016-04-20,20.3659
2016-04-21,20.1564
2016-04-22,20.0966
2016-04-25,20.0966
2016-04-26,20.0966
2016-04-27,20.0966
2016-04-28,20.0966
2016-04-29,20.0966
2016-05-02,20.0966
2016-05-03,20.0966
2016-05-04,20.0966
2016-05-05,20.0966
2016-05-06,20.0966
2016-05-09,20.0966
2016-05-10,20.0966
2016-05-11,19.2658
2016-05-12,19.3444
2016-05-13,19.2803
2016-05-16,18.849
2016-05-17,19.129
