Date,pe
2005-06-06,12.1471
2005-06-07,12.1823
2005-06-08,12.1439
2005-06-09,12.1951
2005-06-10,12.2313
2005-06-13,12.3165
2005-06-14,12.1976
2005-06-15,12.3982
2005-06-16,12.3525
2005-06-17,12.468
2005-06-20,12.4603
2005-06-21,12.4738
2005-06-22,12.6875
2005-06-23,12.6464
2005-06-24,12.4625
2005-06-27,12.3704
2005-06-28,12.4625
2005-06-29,12.4654
2005-06-30,10.0835
2005-07-01,10.1975
2005-07-04,10.3013
2005-07-05,10.2081
2005-07-06,10.2478
2005-07-07,10.1006
2005-07-08,10.2396
2005-07-11,10.2249
2005-07-12,10.3731
2005-07-13,10.4724
2005-07-14,10.4719
2005-07-15,10.4277
2005-07-18,10.3108
2005-07-19,10.3797
2005-07-20,10.427
2005-07-21,10.3271
2005-07-22,10.2361
2005-07-25,10.3092
2005-07-26,10.4133
2005-07-27,10.5172
2005-07-28,10.6226
2005-07-29,10.7456
2005-08-01,10.830400000000001
2005-08-02,11.0614
2005-08-03,10.8813
2005-08-04,10.8933
2005-08-05,10.9123
2005-08-08,11.1038
2005-08-09,11.0802
2005-08-10,10.961500000000001
2005-08-11,10.9198
2005-08-12,10.8337
2005-08-15,10.8337
2005-08-16,10.9635
2005-08-17,10.8597
2005-08-18,10.7031
2005-08-19,10.6915
2005-08-22,10.7657
2005-08-23,10.762
2005-08-24,10.7585
2005-08-25,10.725
2005-08-26,10.8395
2005-08-29,10.9117
2005-08-30,11.0006
2005-08-31,11.0331
2005-09-01,11.4025
2005-09-02,11.4392
2005-09-05,11.3016
2005-09-06,11.3927
2005-09-07,11.3975
2005-09-08,11.2978
2005-09-09,11.5062
2005-09-12,11.6689
2005-09-13,11.6598
2005-09-14,11.7258
2005-09-15,11.9206
2005-09-16,12.0901
2005-09-19,12.4245
2005-09-20,12.3807
2005-09-21,12.2638
2005-09-22,12.2627
2005-09-23,12.1709
2005-09-26,12.2999
2005-09-27,12.404
2005-09-28,12.2242
2005-09-29,12.2122
2005-09-30,11.7498
