Date,pe
2016-12-29,16.8216
2016-12-30,16.8775
2017-01-02,17.1238
2017-01-03,17.0356
2017-01-04,17.1381
2017-01-05,17.2358
2017-01-06,17.1755
2017-01-09,17.0115
2017-01-10,17.0606
2017-01-11,16.9297
2017-01-12,17.2457
2017-01-13,17.4365
2017-01-16,17.2768
2017-01-17,17.2739
2017-01-18,17.385
2017-01-19,17.1801
2017-01-20,17.5192
2017-01-23,17.4407
2017-01-24,17.6535
2017-01-25,17.9384
2017-01-26,17.9669
2017-01-27,17.8559
2017-01-30,17.7304
2017-01-31,17.994
2017-02-01,18.085
2017-02-02,18.3021
2017-02-03,18.2715
2017-02-06,17.9994
2017-02-07,17.9677
2017-02-08,18.0199
2017-02-09,17.964
2017-02-10,17.9719
2017-02-13,18.0811
2017-02-14,18.034
2017-02-15,18.0997
2017-02-16,18.3007
2017-02-17,18.1593
2017-02-20,18.1742
2017-02-21,18.2296
2017-02-22,18.1435
2017-02-23,18.229
2017-02-24,17.963
2017-02-27,17.8675
2017-02-28,17.9932
2017-03-01,18.0226
2017-03-02,17.8496
2017-03-03,17.9158
2017-03-06,17.8956
2017-03-07,17.9194
2017-03-08,17.8794
2017-03-09,17.9312
2017-03-10,18.0564
2017-03-13,18.2209
2017-03-14,18.1288
2017-03-15,18.1698
2017-03-16,18.4814
2017-03-17,18.4202
2017-03-20,18.4003
2017-03-21,18.3438
2017-03-22,18.2291
2017-03-23,18.4058
2017-03-24,18.397100000000002
2017-03-27,18.4116
2017-03-28,18.4653
2017-03-29,18.3051
2017-03-30,18.2757
2017-03-31,15.0934
2017-04-03,14.8716
2017-04-04,14.8052
2017-04-05,14.7748
2017-04-06,14.7813
2017-04-07,14.7678
2017-04-10,14.7603
2017-04-11,14.7794
2017-04-12,14.8792
2017-04-13,14.8374
2017-04-14,14.8374
2017-04-17,14.9128
2017-04-18,14.7598
2017-04-19,14.86
2017-04-20,15.1014
2017-04-21,15.0167
2017-04-24,15.6721
2017-04-25,15.916
2017-04-26,15.9273
2017-04-27,15.6759
2017-04-28,15.7998
2017-05-01,15.8432
2017-05-02,15.9537
2017-05-03,15.9441
2017-05-04,15.9856
2017-05-05,16.0616
2017-05-08,15.9559
2017-05-09,16.0067
2017-05-10,15.9011
2017-05-11,15.8605
2017-05-12,15.9696
2017-05-15,16.0371
2017-05-16,16.1163
2017-05-17,15.9571
2017-05-18,15.7609
2017-05-19,15.9482
2017-05-22,16.0082
2017-05-23,16.1779
2017-05-24,16.1255
2017-05-25,16.176
2017-05-26,16.1346
2017-05-29,16.0748
2017-05-30,16.078
2017-05-31,16.1908
2017-06-01,16.1134
2017-06-02,16.252
2017-06-05,16.1434
2017-06-06,16.1012
2017-06-07,16.1185
2017-06-08,16.0937
2017-06-09,16.1929
2017-06-12,15.84
2017-06-13,16.0346
2017-06-14,16.0855
2017-06-15,15.7567
2017-06-16,15.9808
2017-06-19,16.0881
2017-06-20,15.907399999999999
2017-06-21,15.8949
2017-06-22,16.0144
2017-06-23,16.0528
2017-06-26,16.0261
2017-06-27,15.9936
2017-06-28,16.1586
2017-06-29,16.1316
2017-06-30,15.471
2017-07-03,15.6357
2017-07-04,15.4854
2017-07-05,15.5853
2017-07-06,15.6077
2017-07-07,15.5983
2017-07-10,15.6721
2017-07-11,15.64
2017-07-12,15.9604
2017-07-13,15.9959
2017-07-14,16.0963
2017-07-17,16.0462
2017-07-18,15.7881
2017-07-19,15.7981
2017-07-20,15.781
2017-07-21,15.6267
2017-07-24,15.5265
2017-07-25,15.5848
2017-07-26,15.6564
2017-07-27,15.5935
2017-07-28,15.68
2017-07-31,15.6305
2017-08-01,15.7747
2017-08-02,15.7543
2017-08-03,15.7336
2017-08-04,15.721
2017-08-07,15.7578
2017-08-08,15.7584
2017-08-09,15.6487
2017-08-10,15.5647
2017-08-11,15.412
2017-08-14,15.6449
2017-08-15,15.5609
2017-08-16,15.6096
2017-08-17,15.4886
2017-08-18,15.4081
2017-08-21,15.4335
2017-08-22,15.5488
2017-08-23,15.5981
2017-08-24,15.5813
2017-08-25,15.6171
2017-08-28,15.6319
2017-08-29,15.5731
2017-08-30,15.6161
2017-08-31,15.8092
2017-09-01,15.9986
2017-09-04,15.973700000000001
2017-09-05,15.9233
2017-09-06,15.8764
2017-09-07,16.005
2017-09-08,15.9897
2017-09-11,16.0784
2017-09-12,16.2176
2017-09-13,16.1469
2017-09-14,16.168
2017-09-15,16.2173
2017-09-18,16.2964
2017-09-19,16.2817
2017-09-20,16.312
2017-09-21,16.3416
2017-09-22,16.4046
2017-09-25,16.2989
2017-09-26,16.1243
2017-09-27,16.2165
2017-09-28,16.3042
2017-09-29,16.3896
2017-10-02,17.9556
2017-10-03,18.1505
2017-10-04,18.2247
2017-10-05,18.1925
2017-10-06,18.1078
2017-10-09,18.1302
2017-10-10,18.2126
2017-10-11,18.2136
2017-10-12,18.1531
2017-10-13,18.136
2017-10-16,18.0518
2017-10-17,17.9286
2017-10-18,18.0319
2017-10-19,18.099
2017-10-20,18.2929
2017-10-23,18.1562
2017-10-24,17.9992
2017-10-25,17.9699
2017-10-26,17.8674
2017-10-27,17.8574
2017-10-30,17.8415
2017-10-31,17.9012
2017-11-01,17.8283
2017-11-02,17.8713
2017-11-03,17.8327
2017-11-06,17.8563
2017-11-07,17.7761
2017-11-08,17.7661
2017-11-09,17.5552
2017-11-10,17.5199
2017-11-13,17.4043
2017-11-14,17.281
2017-11-15,17.2384
2017-11-16,17.4279
2017-11-17,17.165399999999998
2017-11-20,17.1859
2017-11-21,17.4021
2017-11-22,17.3056
2017-11-23,17.435
2017-11-24,17.5089
2017-11-27,17.3919
2017-11-28,17.4138
2017-11-29,17.2767
2017-11-30,17.3725
2017-12-01,17.1473
2017-12-04,17.3105
2017-12-05,17.2262
2017-12-06,17.0777
2017-12-07,17.0263
2017-12-08,17.1161
2017-12-11,17.172
2017-12-12,17.3261
2017-12-13,17.2615
2017-12-14,17.1801
2017-12-15,16.9298
2017-12-18,17.3156
2017-12-19,17.2338
2017-12-20,17.2565
2017-12-21,17.3415
2017-12-22,17.3534
2017-12-25,17.3534
2017-12-26,17.3647
2017-12-27,17.3921
2017-12-28,17.363
2017-12-29,17.3817
2018-01-01,17.955
2018-01-02,17.9994
2018-01-03,18.1281
2018-01-04,18.3927
2018-01-05,18.4965
2018-01-08,18.449
2018-01-09,18.5086
2018-01-10,18.5974
2018-01-11,18.7587
2018-01-12,18.8111
2018-01-15,19.0196
2018-01-16,18.9483
2018-01-17,18.9971
2018-01-18,19.0161
2018-01-19,19.0624
2018-01-22,19.1347
2018-01-23,19.2451
2018-01-24,19.3058
2018-01-25,19.197
2018-01-26,19.2556
2018-01-29,19.1422
2018-01-30,19.0831
2018-01-31,19.0641
2018-02-01,19.1546
2018-02-02,18.8268
2018-02-05,18.3369
2018-02-06,17.8319
2018-02-07,18.225
2018-02-08,17.6755
2018-02-09,17.4961
2018-02-12,17.7321
2018-02-13,17.9091
2018-02-14,18.2495
2018-02-15,18.4297
2018-02-16,18.6542
2018-02-19,18.4685
2018-02-20,18.4643
2018-02-21,18.5271
2018-02-22,18.4554
2018-02-23,18.3905
2018-02-26,18.5069
2018-02-27,18.3802
2018-02-28,18.2383
2018-03-01,17.7345
2018-03-02,17.3327
2018-03-05,17.6163
2018-03-06,17.852899999999998
2018-03-07,17.8489
2018-03-08,18.0442
2018-03-09,18.1626
2018-03-12,18.2017
2018-03-13,18.1268
2018-03-14,18.229
2018-03-15,18.3646
2018-03-16,18.114
2018-03-19,17.8588
2018-03-20,17.8395
2018-03-21,17.7696
2018-03-22,17.3314
2018-03-23,17.2912
2018-03-26,17.2241
2018-03-27,17.3353
2018-03-28,17.2
2018-03-29,17.3064
2018-03-30,17.3064
2018-04-02,18.1293
2018-04-03,17.806
2018-04-04,17.5574
2018-04-05,17.8891
2018-04-06,17.8013
2018-04-09,17.8533
2018-04-10,18.176
2018-04-11,17.8736
2018-04-12,17.7779
2018-04-13,17.8368
2018-04-16,17.8366
2018-04-17,18.1459
2018-04-18,18.294
2018-04-19,18.3685
2018-04-20,18.3969
2018-04-23,18.4437
2018-04-24,18.2956
2018-04-25,17.9702
2018-04-26,18.038
2018-04-27,17.9756
2018-04-30,17.7323
2018-05-01,17.5083
2018-05-02,17.5751
2018-05-03,17.4612
2018-05-04,17.6202
2018-05-07,17.8334
2018-05-08,17.9846
2018-05-09,18.2467
2018-05-10,18.3144
2018-05-11,18.3495
2018-05-14,18.3556
2018-05-15,17.8993
2018-05-16,17.8401
2018-05-17,18.2583
2018-05-18,18.2902
2018-05-21,18.425
2018-05-22,18.4419
2018-05-23,17.9892
2018-05-24,17.9549
2018-05-25,17.8865
2018-05-28,17.7053
