Date,pe
2005-08-03,11.9908
2005-08-04,11.9836
2005-08-05,11.9213
2005-08-08,11.906
2005-08-09,11.8389
2005-08-10,11.9443
2005-08-11,11.9949
2005-08-12,11.9781
2005-08-15,11.9897
2005-08-16,11.9902
2005-08-17,12.0362
2005-08-18,11.8395
2005-08-19,11.7815
2005-08-22,11.8597
2005-08-23,11.7031
2005-08-24,11.6458
2005-08-25,11.6378
2005-08-26,11.6836
2005-08-29,11.6009
2005-08-30,11.6728
2005-08-31,11.6676
2005-09-01,11.8417
2005-09-02,11.8996
2005-09-05,11.8992
2005-09-06,11.8848
2005-09-07,11.9338
2005-09-08,11.8981
2005-09-09,11.8992
2005-09-12,11.9207
2005-09-13,11.8543
2005-09-14,11.8332
2005-09-15,11.8004
2005-09-16,11.7442
2005-09-19,11.7442
2005-09-20,11.8562
2005-09-21,11.8209
2005-09-22,11.7659
2005-09-23,11.7306
2005-09-26,11.8214
2005-09-27,11.7776
2005-09-28,11.8317
2005-09-29,11.9372
2005-09-30,11.9346
2005-10-03,11.9566
2005-10-04,11.9645
2005-10-05,11.830400000000001
2005-10-06,11.6214
2005-10-07,11.630700000000001
2005-10-10,11.6329
2005-10-11,11.6329
2005-10-12,11.4336
2005-10-13,11.4611
2005-10-14,11.3874
2005-10-17,11.3943
2005-10-18,11.4322
2005-10-19,11.2649
2005-10-20,11.2544
2005-10-21,11.2994
2005-10-24,11.2047
2005-10-25,11.2097
2005-10-26,11.2044
2005-10-27,11.12
2005-10-28,11.0287
2005-10-31,11.1438
2005-11-01,11.3201
2005-11-02,11.3344
2005-11-03,11.3735
2005-11-04,11.3299
2005-11-07,11.1977
2005-11-08,11.1852
2005-11-09,11.2618
2005-11-10,11.2762
2005-11-11,11.376
2005-11-14,11.2761
2005-11-15,11.2537
2005-11-16,11.232
2005-11-17,11.3201
2005-11-18,11.4144
2005-11-21,11.4003
2005-11-22,11.38
2005-11-23,11.5671
2005-11-24,11.614
2005-11-25,11.6007
2005-11-28,11.5947
2005-11-29,11.5177
2005-11-30,11.4508
2005-12-01,11.502
2005-12-02,11.5589
2005-12-05,11.5433
2005-12-06,11.4629
2005-12-07,11.544
2005-12-08,11.404
2005-12-09,11.443
2005-12-12,11.4799
2005-12-13,11.4134
2005-12-14,11.446
2005-12-15,11.5014
2005-12-16,11.4931
2005-12-19,11.5798
2005-12-20,11.5664
2005-12-21,11.6155
2005-12-22,11.624
2005-12-23,11.667
2005-12-26,11.667
2005-12-27,11.667
2005-12-28,11.6266
2005-12-29,11.6221
2005-12-30,11.5276
2006-01-02,10.1397
2006-01-03,10.1593
2006-01-04,10.3026
2006-01-05,10.3305
2006-01-06,10.3971
2006-01-09,10.5447
2006-01-10,10.5613
2006-01-11,10.5853
2006-01-12,10.628
2006-01-13,10.6573
2006-01-16,10.6172
2006-01-17,10.5302
2006-01-18,10.4951
2006-01-19,10.6107
2006-01-20,10.5634
2006-01-23,10.458
2006-01-24,10.5455
2006-01-25,10.5781
2006-01-26,10.568200000000001
2006-01-27,10.714
2006-01-30,10.714
2006-01-31,10.714
2006-02-01,10.6819
2006-02-02,10.6538
2006-02-03,10.4918
2006-02-06,10.5447
2006-02-07,10.5586
2006-02-08,10.4895
2006-02-09,10.496
2006-02-10,10.4984
2006-02-13,10.4626
2006-02-14,10.5247
2006-02-15,10.5295
2006-02-16,10.5506
2006-02-17,10.5326
2006-02-20,10.6052
2006-02-21,10.585
2006-02-22,10.5627
2006-02-23,10.6869
2006-02-24,10.706
2006-02-27,10.7585
2006-02-28,10.7143
2006-03-01,10.7161
2006-03-02,10.7681
2006-03-03,10.7479
