Date,pe
2005-04-06,15.6053
2005-04-07,15.659
2005-04-08,15.6497
2005-04-11,15.6421
2005-04-12,15.5785
2005-04-13,15.6366
2005-04-14,15.6873
2005-04-15,15.6562
2005-04-18,15.4113
2005-04-19,15.5525
2005-04-20,15.3933
2005-04-21,15.3582
2005-04-22,15.3811
2005-04-25,15.3459
2005-04-26,15.3871
2005-04-27,15.1912
2005-04-28,15.2154
2005-04-29,15.2688
2005-05-02,15.4122
2005-05-03,15.4329
2005-05-04,15.6098
2005-05-05,15.6098
2005-05-06,15.6798
2005-05-09,15.6209
2005-05-10,15.4159
2005-05-11,15.4248
2005-05-12,15.5028
2005-05-13,15.4914
2005-05-16,15.4914
2005-05-17,15.4961
2005-05-18,15.6247
2005-05-19,15.6788
2005-05-20,15.6833
2005-05-23,15.732099999999999
2005-05-24,15.8427
2005-05-25,15.8856
2005-05-26,15.9938
2005-05-27,16.0506
2005-05-30,16.0469
2005-05-31,15.9689
2005-06-01,16.004
2005-06-02,16.0562
2005-06-03,16.0133
2005-06-06,15.9572
2005-06-07,16.0841
2005-06-08,16.0858
2005-06-09,16.1011
2005-06-10,16.0924
2005-06-13,16.1575
2005-06-14,16.1624
2005-06-15,16.1241
2005-06-16,16.1271
2005-06-17,16.1447
2005-06-20,16.0845
2005-06-21,16.2249
2005-06-22,16.2081
2005-06-23,16.1711
2005-06-24,16.0447
2005-06-27,15.9669
2005-06-28,16.0141
2005-06-29,16.1504
2005-06-30,15.8921
2005-07-01,15.9561
2005-07-04,15.9767
2005-07-05,15.9795
2005-07-06,16.0404
2005-07-07,15.8965
2005-07-08,16.058
2005-07-11,16.1779
2005-07-12,16.1086
2005-07-13,16.2819
2005-07-14,16.4165
2005-07-15,16.4351
2005-07-18,16.4379
2005-07-19,16.4783
2005-07-20,16.5477
2005-07-21,16.503
2005-07-22,16.515
2005-07-25,16.5455
2005-07-26,16.5909
2005-07-27,16.7
2005-07-28,16.8332
2005-07-29,16.813
2005-08-01,16.8388
2005-08-02,16.9927
2005-08-03,16.9587
2005-08-04,16.8563
2005-08-05,16.8432
2005-08-08,16.9105
2005-08-09,16.9204
2005-08-10,17.0416
2005-08-11,17.0195
2005-08-12,16.939
2005-08-15,16.9045
2005-08-16,16.9121
2005-08-17,16.8976
2005-08-18,16.8132
2005-08-19,16.9183
2005-08-22,16.8869
2005-08-23,16.7359
2005-08-24,16.6632
2005-08-25,16.5258
2005-08-26,16.4068
2005-08-29,16.4586
2005-08-30,16.4772
2005-08-31,16.5991
2005-09-01,16.6912
2005-09-02,16.6339
2005-09-05,16.6679
2005-09-06,16.8439
2005-09-07,17.0256
2005-09-08,17.0189
2005-09-09,17.0747
2005-09-12,17.1365
2005-09-13,17.0543
2005-09-14,17.1535
2005-09-15,17.2049
2005-09-16,17.3531
2005-09-19,17.334
2005-09-20,17.414
2005-09-21,17.2286
2005-09-22,17.1682
2005-09-23,17.2883
2005-09-26,17.4536
2005-09-27,17.4481
2005-09-28,17.5773
2005-09-29,17.4696
2005-09-30,16.9735
2005-10-03,17.2362
2005-10-04,17.3162
2005-10-05,17.2696
2005-10-06,17.0551
2005-10-07,17.0731
2005-10-10,17.0784
2005-10-11,17.1162
2005-10-12,16.9954
2005-10-13,16.8575
2005-10-14,16.8586
2005-10-17,16.8957
2005-10-18,17.0366
2005-10-19,16.7223
2005-10-20,16.8829
2005-10-21,16.7983
2005-10-24,16.9495
2005-10-25,17.0135
2005-10-26,17.0914
2005-10-27,16.9574
2005-10-28,16.8469
2005-10-31,17.2473
2005-11-01,17.3982
2005-11-02,17.4443
2005-11-03,17.6885
2005-11-04,17.6661
2005-11-07,17.783
2005-11-08,17.7826
2005-11-09,17.7415
2005-11-10,17.7537
2005-11-11,18.014
2005-11-14,17.931
2005-11-15,17.9593
2005-11-16,17.83
2005-11-17,17.9708
2005-11-18,18.2107
2005-11-21,18.2768
2005-11-22,18.3201
2005-11-23,18.3801
2005-11-24,18.3336
2005-11-25,18.394
2005-11-28,18.1994
2005-11-29,18.227899999999998
2005-11-30,18.1449
2005-12-01,18.5056
2005-12-02,18.6236
2005-12-05,18.6132
2005-12-06,18.6871
2005-12-07,18.6512
2005-12-08,18.5952
2005-12-09,18.6081
2005-12-12,18.6058
2005-12-13,18.637
2005-12-14,18.4826
2005-12-15,18.337
2005-12-16,18.4239
2005-12-19,18.5308
2005-12-20,18.4913
2005-12-21,18.5714
2005-12-22,18.4842
2005-12-23,18.4409
2005-12-26,18.4409
2005-12-27,18.5673
2005-12-28,18.5976
2005-12-29,18.7504
2005-12-30,18.6634
2006-01-02,17.939799999999998
2006-01-03,18.0528
2006-01-04,18.2859
2006-01-05,18.2402
2006-01-06,18.2733
2006-01-09,18.2607
2006-01-10,18.1505
2006-01-11,18.369
2006-01-12,18.4746
2006-01-13,18.4843
2006-01-16,18.5618
2006-01-17,18.4486
2006-01-18,18.3142
2006-01-19,18.4176
2006-01-20,18.2461
2006-01-23,18.257
2006-01-24,18.2323
2006-01-25,18.1966
2006-01-26,18.3585
2006-01-27,18.4245
2006-01-30,18.4563
2006-01-31,18.5191
2006-02-01,18.5746
2006-02-02,18.4735
2006-02-03,18.6026
2006-02-06,18.6069
2006-02-07,18.5994
2006-02-08,18.5856
2006-02-09,18.6855
2006-02-10,18.6601
2006-02-13,18.7153
2006-02-14,18.7
2006-02-15,18.4816
2006-02-16,18.7278
2006-02-17,18.7498
2006-02-20,18.8409
2006-02-21,18.9672
2006-02-22,19.0644
2006-02-23,18.929
2006-02-24,18.864
2006-02-27,18.9624
2006-02-28,18.7268
2006-03-01,18.9516
2006-03-02,18.8463
2006-03-03,18.8315
2006-03-06,18.8298
2006-03-07,18.699
2006-03-08,18.6202
2006-03-09,18.6817
