Date,pe
2005-07-25,12.473700000000001
2005-07-26,12.5147
2005-07-27,12.5162
2005-07-28,12.532
2005-07-29,12.5084
2005-08-01,12.5178
2005-08-02,12.5226
2005-08-03,12.4816
2005-08-04,12.4296
2005-08-05,12.3115
2005-08-08,12.291
2005-08-09,12.4123
2005-08-10,12.5698
2005-08-11,12.5052
2005-08-12,12.365
2005-08-15,12.3508
2005-08-16,12.3367
2005-08-17,12.3067
2005-08-18,12.2705
2005-08-19,12.3477
2005-08-22,12.3808
2005-08-23,12.2925
2005-08-24,12.2453
2005-08-25,12.1224
2005-08-26,12.0878
2005-08-29,12.1177
2005-08-30,12.113
2005-08-31,12.2086
2005-09-01,12.1972
2005-09-02,12.2004
2005-09-05,12.2667
2005-09-06,12.3707
2005-09-07,12.396
2005-09-08,12.4133
2005-09-09,12.4369
2005-09-12,12.4574
2005-09-13,12.3896
2005-09-14,12.4054
2005-09-15,12.4007
2005-09-16,12.4858
2005-09-19,12.4858
2005-09-20,12.563
2005-09-21,12.3881
2005-09-22,12.2699
2005-09-23,12.3266
2005-09-26,12.5036
2005-09-27,12.4595
2005-09-28,12.5808
2005-09-29,12.5178
2005-09-30,12.8556
2005-10-03,13.0211
2005-10-04,13.103
2005-10-05,13.0018
2005-10-06,12.8588
2005-10-07,12.8122
2005-10-10,12.7962
2005-10-11,12.7785
2005-10-12,12.6451
2005-10-13,12.5728
2005-10-14,12.6853
2005-10-17,12.6853
2005-10-18,12.675699999999999
2005-10-19,12.4652
2005-10-20,12.5455
2005-10-21,12.4604
2005-10-24,12.568
2005-10-25,12.5359
2005-10-26,12.5857
2005-10-27,12.3977
2005-10-28,12.3881
2005-10-31,12.661200000000001
2005-11-01,12.6853
2005-11-02,12.7913
2005-11-03,12.8572
2005-11-04,12.8315
2005-11-07,12.9054
2005-11-08,12.9568
2005-11-09,13.0002
2005-11-10,13.111
2005-11-11,13.2781
2005-11-14,13.3038
2005-11-15,13.3022
2005-11-16,13.2299
2005-11-17,13.299
2005-11-18,13.3777
2005-11-21,13.397
2005-11-22,13.4295
2005-11-23,13.4954
2005-11-24,13.4343
2005-11-25,13.46
2005-11-28,13.4713
2005-11-29,13.5582
2005-11-30,13.5224
2005-12-01,13.727
2005-12-02,13.8232
2005-12-05,13.7879
2005-12-06,13.9323
2005-12-07,13.9082
2005-12-08,13.897
2005-12-09,13.8874
2005-12-12,13.9611
2005-12-13,13.966
2005-12-14,13.9194
2005-12-15,13.998
2005-12-16,14.1408
2005-12-19,14.1248
2005-12-20,14.1151
2005-12-21,14.221
2005-12-22,14.1937
2005-12-23,14.2306
2005-12-26,14.2306
2005-12-27,14.2787
2005-12-28,14.2354
2005-12-29,14.3044
2005-12-30,14.16
2006-01-02,12.2094
2006-01-03,12.2217
2006-01-04,12.3026
2006-01-05,12.2519
2006-01-06,12.3246
2006-01-09,12.3822
2006-01-10,12.2464
2006-01-11,12.3122
2006-01-12,12.3273
2006-01-13,12.1463
2006-01-16,12.1504
2006-01-17,12.049
2006-01-18,11.9283
2006-01-19,12.0092
2006-01-20,11.868
2006-01-23,11.8611
2006-01-24,11.868
2006-01-25,12.0202
2006-01-26,12.2176
2006-01-27,12.352
2006-01-30,12.3589
2006-01-31,12.3397
2006-02-01,12.5015
2006-02-02,12.3945
2006-02-03,12.448
2006-02-06,12.4905
2006-02-07,12.538499999999999
2006-02-08,12.5741
2006-02-09,12.7318
2006-02-10,12.6921
2006-02-13,12.7853
2006-02-14,12.8278
2006-02-15,12.8319
2006-02-16,12.886800000000001
2006-02-17,12.9362
2006-02-20,12.9622
2006-02-21,12.9389
2006-02-22,13.0061
2006-02-23,12.9732
2006-02-24,12.9745
2006-02-27,13.0609
2006-02-28,12.8193
2006-03-01,12.8724
2006-03-02,12.7615
2006-03-03,12.6957
2006-03-06,12.8053
2006-03-07,12.7299
2006-03-08,12.5984
2006-03-09,12.7094
2006-03-10,12.8122
2006-03-13,12.8916
2006-03-14,12.9355
2006-03-15,13.0108
2006-03-16,13.0067
2006-03-17,13.0095
2006-03-20,13.1136
2006-03-21,13.1602
2006-03-22,13.2095
2006-03-23,13.2726
2006-03-24,13.2726
2006-03-27,13.2095
2006-03-28,13.1328
2006-03-29,13.152
2006-03-30,13.2369
2006-03-31,12.4806
2006-04-03,12.5404
2006-04-04,12.4337
2006-04-05,12.4376
2006-04-06,12.4584
2006-04-07,12.4298
2006-04-10,12.4454
2006-04-11,12.2268
2006-04-12,12.2151
2006-04-13,12.1943
2006-04-14,12.1943
2006-04-17,12.1943
2006-04-18,12.1487
2006-04-19,12.3439
2006-04-20,12.4792
2006-04-21,12.5873
2006-04-24,12.4988
2006-04-25,12.4949
2006-04-26,12.5274
2006-04-27,12.4819
2006-04-28,12.342600000000001
2006-05-01,12.342600000000001
2006-05-02,12.3244
2006-05-03,12.193
2006-05-04,12.2489
2006-05-05,12.4077
2006-05-08,12.4571
2006-05-09,12.4701
2006-05-10,12.3673
2006-05-11,12.271
2006-05-12,11.9574
2006-05-15,11.8351
2006-05-16,11.8572
2006-05-17,11.4942
2006-05-18,11.4916
2006-05-19,11.5215
2006-05-22,11.0274
2006-05-23,11.3084
2006-05-24,11.2075
2006-05-25,11.2956
2006-05-26,11.4642
2006-05-29,11.4667
2006-05-30,11.1653
2006-05-31,11.3153
2006-06-01,11.3403
2006-06-02,11.307
2006-06-05,11.2253
2006-06-06,11.0072
2006-06-07,11.1335
2006-06-08,10.8196
2006-06-09,10.9816
2006-06-12,10.8489
2006-06-13,10.6129
2006-06-14,10.641
2006-06-15,10.9204
2006-06-16,10.84
2006-06-19,10.937
2006-06-20,10.9689
2006-06-21,11.0276
2006-06-22,11.0977
2006-06-23,11.0709
2006-06-26,11.0327
2006-06-27,10.901299999999999
2006-06-28,10.9025
2006-06-29,11.1169
2006-06-30,10.9931
2006-07-03,11.0413
2006-07-04,11.066
2006-07-05,10.9166
2006-07-06,11.0191
2006-07-07,10.9364
2006-07-10,10.9722
2006-07-11,10.8586
2006-07-12,10.9216
2006-07-13,10.7599
2006-07-14,10.5846
2006-07-17,10.5308
2006-07-18,10.537
2006-07-19,10.8413
2006-07-20,10.8844
2006-07-21,10.8092
2006-07-24,11.0642
2006-07-25,11.0137
2006-07-26,11.0482
2006-07-27,11.1677
2006-07-28,11.2798
2006-07-31,11.2404
2006-08-01,11.1147
2006-08-02,11.2576
2006-08-03,11.1344
2006-08-04,11.2601
2006-08-07,11.1147
2006-08-08,11.0938
2006-08-09,11.1578
2006-08-10,11.0999
2006-08-11,11.0975
2006-08-14,11.2145
2006-08-15,11.3525
2006-08-16,11.4202
2006-08-17,11.4559
2006-08-18,11.4436
2006-08-21,11.3894
2006-08-22,11.4276
2006-08-23,11.3599
2006-08-24,11.4473
2006-08-25,11.4892
2006-08-28,11.5779
2006-08-29,11.6001
2006-08-30,11.6641
2006-08-31,11.659
2006-09-01,11.7163
2006-09-04,11.7902
2006-09-05,11.7434
2006-09-06,11.6201
2006-09-07,11.5561
2006-09-08,11.5869
2006-09-11,11.5721
2006-09-12,11.7458
2006-09-13,11.8013
2006-09-14,11.8173
2006-09-15,11.9282
2006-09-18,11.9147
2006-09-19,11.7964
2006-09-20,11.967600000000001
2006-09-21,11.9984
2006-09-22,11.8826
2006-09-25,11.9036
2006-09-26,12.0933
2006-09-27,12.1192
2006-09-28,12.1192
2006-09-29,12.1512
2006-10-02,12.9987
2006-10-03,12.9776
2006-10-04,13.0661
2006-10-05,13.1097
2006-10-06,13.1163
2006-10-09,12.829
2006-10-10,12.887
2006-10-11,12.8986
2006-10-12,12.9619
2006-10-13,12.9438
2006-10-16,12.9386
2006-10-17,12.7567
2006-10-18,12.8367
2006-10-19,12.8522
2006-10-20,12.8212
2006-10-23,12.9154
2006-10-24,12.9128
2006-10-25,12.9025
2006-10-26,12.8612
2006-10-27,12.7864
2006-10-30,12.718
2006-10-31,12.6754
2006-11-01,12.678
2006-11-02,12.6471
2006-11-03,12.7129
2006-11-06,12.8896
2006-11-07,12.9631
2006-11-08,12.9683
2006-11-09,12.8703
2006-11-10,12.854800000000001
2006-11-13,12.8909
2006-11-14,12.8741
2006-11-15,12.9773
2006-11-16,12.9451
2006-11-17,12.8819
2006-11-20,12.8728
2006-11-21,12.8844
2006-11-22,12.8509
2006-11-23,12.8057
2006-11-24,12.7245
2006-11-27,12.5258
2006-11-28,12.5168
2006-11-29,12.6251
2006-11-30,12.5257
2006-12-01,12.3321
2006-12-04,12.3681
2006-12-05,12.4529
2006-12-06,12.4143
2006-12-07,12.4298
2006-12-08,12.4182
2006-12-11,12.5133
2006-12-12,12.6212
2006-12-13,12.7986
2006-12-14,12.9374
2006-12-15,12.9669
2006-12-18,12.9489
2006-12-19,12.9168
2006-12-20,13.0004
2006-12-21,12.9734
2006-12-22,12.8898
2006-12-25,12.8898
2006-12-26,12.8898
2006-12-27,13.0672
2006-12-28,13.0518
2006-12-29,13.0132
2007-01-01,13.0132
2007-01-02,12.800699999999999
2007-01-03,12.8132
2007-01-04,12.8144
2007-01-05,12.6894
2007-01-08,12.6582
2007-01-09,12.7569
2007-01-10,12.6582
2007-01-11,12.8507
2007-01-12,12.9382
2007-01-15,12.9931
2007-01-16,12.9981
2007-01-17,13.0156
2007-01-18,13.0256
2007-01-19,13.0619
2007-01-22,12.9631
2007-01-23,12.9419
2007-01-24,13.0394
2007-01-25,12.9482
2007-01-26,12.8682
2007-01-29,12.8832
2007-01-30,12.9457
2007-01-31,12.8769
2007-02-01,13.0031
2007-02-02,13.0644
2007-02-05,13.0444
2007-02-06,13.0856
2007-02-07,13.1519
2007-02-08,13.0369
2007-02-09,13.1231
2007-02-12,13.0069
2007-02-13,13.0631
2007-02-14,13.1106
2007-02-15,13.1094
2007-02-16,13.0669
2007-02-19,13.1619
2007-02-20,13.1506
2007-02-21,13.1856
2007-02-22,13.1906
2007-02-23,13.2131
2007-02-26,13.2194
2007-02-27,12.9007
2007-02-28,12.6836
2007-03-01,12.4335
2007-03-02,12.4897
2007-03-05,12.3947
2007-03-06,12.421
2007-03-07,12.5159
2007-03-08,12.6959
2007-03-09,12.7533
2007-03-12,12.7821
2007-03-13,12.6709
2007-03-14,12.3972
2007-03-15,12.7021
2007-03-16,12.732099999999999
2007-03-19,13.0557
2007-03-20,13.2619
2007-03-21,13.2881
2007-03-22,13.4868
2007-03-23,13.6005
2007-03-26,13.4418
2007-03-27,13.3981
2007-03-28,13.3193
2007-03-29,13.4893
2007-03-30,13.4605
2007-04-02,13.5837
2007-04-03,13.7056
2007-04-04,13.7533
2007-04-05,13.8011
2007-04-06,13.8011
2007-04-09,13.8011
2007-04-10,13.9556
2007-04-11,13.8953
2007-04-12,13.7961
2007-04-13,13.9204
2007-04-16,14.2408
2007-04-17,14.2609
2007-04-18,14.2383
2007-04-19,14.1805
2007-04-20,14.3627
2007-04-23,14.3275
2007-04-24,14.2559
2007-04-25,14.364
2007-04-26,14.3363
2007-04-27,14.2572
2007-04-30,14.2584
2007-05-01,14.2584
2007-05-02,14.2559
2007-05-03,14.369
2007-05-04,14.4243
2007-05-07,14.4293
2007-05-08,14.3012
2007-05-09,14.2471
2007-05-10,14.1303
2007-05-11,14.2031
2007-05-14,14.1466
2007-05-15,14.1931
2007-05-16,14.0775
2007-05-17,14.1177
2007-05-18,14.1881
2007-05-21,14.1843
2007-05-22,14.2672
2007-05-23,14.2911
2007-05-24,14.1592
2007-05-25,14.1918
2007-05-28,14.2434
2007-05-29,14.2572
2007-05-30,14.2182
2007-05-31,14.3433
2007-06-01,14.3225
2007-06-04,14.3363
2007-06-05,14.2637
2007-06-06,14.056
2007-06-07,13.9809
2007-06-08,13.9572
2007-06-11,14.0422
2007-06-12,13.9722
2007-06-13,13.9872
2007-06-14,14.1924
2007-06-15,14.3838
2007-06-18,14.355
2007-06-19,14.315
2007-06-20,14.3488
2007-06-21,14.4906
2007-06-22,14.4817
2007-06-25,14.4296
2007-06-26,14.3724
2007-06-27,14.2898
2007-06-28,14.4042
