Date,pe
2016-10-28,4.8792
2016-10-31,4.8589
2016-11-01,16.0228
2016-11-02,15.8216
2016-11-03,15.8089
2016-11-04,15.7045
2016-11-07,15.795
2016-11-08,15.8662
2016-11-09,15.6798
2016-11-10,15.3422
2016-11-11,15.0928
2016-11-14,14.9181
2016-11-15,15.0213
2016-11-16,14.8084
2016-11-17,14.9156
2016-11-18,14.613199999999999
2016-11-21,14.7455
2016-11-22,14.7666
2016-11-23,14.6564
2016-11-24,14.7216
2016-11-25,14.7978
2016-11-28,14.669
2016-11-29,14.7927
2016-11-30,14.8294
2016-12-01,14.7594
2016-12-02,14.7113
2016-12-05,14.9042
2016-12-06,15.3455
2016-12-07,15.521
2016-12-08,15.6657
2016-12-09,15.5954
2016-12-12,15.7331
2016-12-13,16.0133
2016-12-14,15.8453
2016-12-15,15.7309
2016-12-16,15.8339
2016-12-19,15.7597
2016-12-20,15.77
2016-12-21,15.7747
2016-12-22,15.7395
2016-12-23,15.8033
2016-12-26,15.8033
2016-12-27,15.8077
2016-12-28,15.6412
2016-12-29,15.7503
2016-12-30,15.8778
2017-01-02,18.0403
2017-01-03,17.9452
2017-01-04,18.0496
2017-01-05,18.3585
2017-01-06,18.417
2017-01-09,18.3202
2017-01-10,18.2909
2017-01-11,17.969
2017-01-12,18.2887
2017-01-13,18.4511
2017-01-16,18.2011
2017-01-17,18.3342
2017-01-18,18.3123
2017-01-19,18.1796
2017-01-20,18.2943
2017-01-23,18.2349
2017-01-24,18.4296
2017-01-25,18.7667
2017-01-26,18.5691
2017-01-27,18.6134
2017-01-30,18.3017
2017-01-31,18.391
2017-02-01,18.3361
2017-02-02,18.565
2017-02-03,18.6501
2017-02-06,18.3366
2017-02-07,18.1734
2017-02-08,18.1815
2017-02-09,18.3289
2017-02-10,18.1145
2017-02-13,18.2811
2017-02-14,18.2687
2017-02-15,18.4349
2017-02-16,18.5441
2017-02-17,18.3568
2017-02-20,18.3796
2017-02-21,18.2944
2017-02-22,18.1942
2017-02-23,18.3132
2017-02-24,18.1711
2017-02-27,18.2799
2017-02-28,18.4981
2017-03-01,19.3081
2017-03-02,19.1804
2017-03-03,19.4343
2017-03-06,19.5047
2017-03-07,19.4732
2017-03-08,19.5341
2017-03-09,19.8915
2017-03-10,20.0871
2017-03-13,20.0802
2017-03-14,19.8223
2017-03-15,19.9708
2017-03-16,20.5635
2017-03-17,20.7282
2017-03-20,20.6987
2017-03-21,20.8195
2017-03-22,20.8571
2017-03-23,21.0233
2017-03-24,21.0449
2017-03-27,21.1839
2017-03-28,21.3501
2017-03-29,21.067
2017-03-30,21.1252
2017-03-31,20.6081
2017-04-03,20.2627
2017-04-04,20.4197
2017-04-05,20.5184
2017-04-06,20.7292
2017-04-07,20.6529
2017-04-10,20.3513
2017-04-11,20.3409
2017-04-12,20.2045
2017-04-13,20.1266
2017-04-14,20.1266
2017-04-17,20.1995
2017-04-18,20.1598
2017-04-19,20.4325
2017-04-20,20.5546
2017-04-21,20.4158
2017-04-24,21.5604
2017-04-25,21.7331
2017-04-26,21.6129
2017-04-27,21.4161
2017-04-28,21.5012
2017-05-01,21.534
2017-05-02,21.7175
2017-05-03,21.7703
2017-05-04,22.2193
2017-05-05,22.5749
2017-05-08,22.3928
2017-05-09,22.1725
2017-05-10,22.1487
2017-05-11,21.7941
2017-05-12,21.9704
2017-05-15,22.2148
2017-05-16,22.4608
2017-05-17,22.1631
2017-05-18,21.8827
2017-05-19,22.3566
2017-05-22,22.3348
2017-05-23,22.5858
2017-05-24,22.4913
2017-05-25,22.6144
2017-05-26,22.4673
2017-05-29,22.4211
2017-05-30,22.3881
2017-05-31,22.5121
2017-06-01,17.3048
2017-06-02,17.4318
2017-06-05,16.3036
2017-06-06,16.3159
2017-06-07,17.4324
2017-06-08,17.4886
2017-06-09,17.4839
2017-06-12,17.4223
2017-06-13,17.4533
2017-06-14,17.3937
2017-06-15,17.0801
2017-06-16,17.2409
2017-06-19,17.3478
2017-06-20,17.1163
2017-06-21,17.124
2017-06-22,17.0921
2017-06-23,17.0191
2017-06-26,17.1239
2017-06-27,17.1942
2017-06-28,17.4863
2017-06-29,17.3015
2017-06-30,16.7584
2017-07-03,16.9911
2017-07-04,16.8968
2017-07-05,16.822400000000002
2017-07-06,16.8681
2017-07-07,16.7326
2017-07-10,16.7531
2017-07-11,16.7058
2017-07-12,16.8669
2017-07-13,17.0033
2017-07-14,17.0405
2017-07-17,17.0523
2017-07-18,17.0061
2017-07-19,16.9939
2017-07-20,17.1501
2017-07-21,16.9576
2017-07-24,16.9887
2017-07-25,17.1752
2017-07-26,17.2156
2017-07-27,17.3167
2017-07-28,17.3481
2017-07-31,17.3457
2017-08-01,17.5141
2017-08-02,17.4482
2017-08-03,17.55
2017-08-04,17.533
2017-08-07,17.622700000000002
2017-08-08,17.6243
2017-08-09,17.392
2017-08-10,17.1519
2017-08-11,16.9373
2017-08-14,17.2371
2017-08-15,17.1695
2017-08-16,17.2526
2017-08-17,17.1148
2017-08-18,17.0303
2017-08-21,17.0754
2017-08-22,17.0825
2017-08-23,17.0327
2017-08-24,17.056
2017-08-25,17.1313
2017-08-28,17.154
2017-08-29,17.0832
2017-08-30,17.0254
2017-08-31,17.1171
2017-09-01,16.8543
2017-09-04,16.7668
2017-09-05,16.6839
2017-09-06,16.6185
2017-09-07,16.6892
2017-09-08,16.7207
2017-09-11,16.9941
2017-09-12,16.9536
2017-09-13,16.9587
2017-09-14,16.8797
2017-09-15,16.9102
2017-09-18,16.9448
2017-09-19,17.0485
2017-09-20,16.9145
2017-09-21,16.846
2017-09-22,16.9359
2017-09-25,16.6472
2017-09-26,16.454
2017-09-27,16.7365
2017-09-28,16.7364
2017-09-29,16.8723
2017-10-02,16.4439
2017-10-03,16.4805
2017-10-04,15.9997
2017-10-05,16.3611
2017-10-06,16.3525
2017-10-09,16.4242
2017-10-10,16.3775
2017-10-11,16.6267
2017-10-12,16.6145
2017-10-13,16.561
2017-10-16,16.3716
2017-10-17,16.3658
2017-10-18,16.5384
2017-10-19,16.5312
2017-10-20,16.4771
2017-10-23,16.2912
2017-10-24,16.4101
2017-10-25,16.3967
2017-10-26,16.5628
2017-10-27,16.1482
2017-10-30,16.6196
2017-10-31,16.7716
2017-11-01,16.7114
2017-11-02,16.7299
2017-11-03,16.4729
2017-11-06,16.3611
2017-11-07,16.2384
2017-11-08,16.247
2017-11-09,16.1849
2017-11-10,16.1689
2017-11-13,16.0565
2017-11-14,16.0765
2017-11-15,16.1834
2017-11-16,16.2477
2017-11-17,16.1397
2017-11-20,16.0926
2017-11-21,15.9931
2017-11-22,16.1275
2017-11-23,16.2391
2017-11-24,16.4035
2017-11-27,16.3829
2017-11-28,16.4475
2017-11-29,16.6544
2017-11-30,16.6542
2017-12-01,16.3689
2017-12-04,16.5181
2017-12-05,16.488
2017-12-06,16.3627
2017-12-07,16.4933
2017-12-08,16.5494
2017-12-11,16.5808
2017-12-12,16.4748
2017-12-13,16.4452
2017-12-14,16.3466
2017-12-15,16.321
2017-12-18,16.5629
2017-12-19,16.524
2017-12-20,16.5781
2017-12-21,16.7097
2017-12-22,16.4722
2017-12-25,16.4722
2017-12-26,16.5153
2017-12-27,16.5146
2017-12-28,16.4637
2017-12-29,16.476
2018-01-01,16.0362
2018-01-02,16.1361
2018-01-03,16.1629
2018-01-04,16.5862
2018-01-05,16.6805
2018-01-08,16.5773
2018-01-09,16.5616
2018-01-10,16.6897
2018-01-11,16.836
2018-01-12,17.134
2018-01-15,17.3222
2018-01-16,17.3631
2018-01-17,17.2919
2018-01-18,17.2256
2018-01-19,17.2682
2018-01-22,17.504
2018-01-23,17.5507
2018-01-24,17.5916
2018-01-25,17.8425
2018-01-26,17.7338
2018-01-29,17.5425
2018-01-30,17.3974
2018-01-31,17.4939
2018-02-01,17.4374
2018-02-02,17.0856
2018-02-05,16.8143
2018-02-06,16.2896
2018-02-07,16.5162
2018-02-08,16.1125
2018-02-09,15.8898
2018-02-12,16.1458
2018-02-13,16.0397
2018-02-14,16.16
2018-02-15,16.3015
2018-02-16,16.4515
2018-02-19,16.3306
2018-02-20,16.3993
2018-02-21,16.2573
2018-02-22,16.3505
2018-02-23,16.2877
2018-02-26,16.398
2018-02-27,16.3398
2018-02-28,16.163
2018-03-01,15.8721
2018-03-02,15.7006
2018-03-05,15.8202
2018-03-06,15.8886
2018-03-07,15.9188
2018-03-08,15.9069
2018-03-09,15.9609
2018-03-12,16.0269
2018-03-13,16.0658
2018-03-14,15.9763
2018-03-15,15.9107
2018-03-16,15.9958
2018-03-19,15.889
2018-03-20,15.8398
2018-03-21,15.7521
2018-03-22,15.5637
2018-03-23,15.4858
2018-03-26,15.5947
2018-03-27,15.678
2018-03-28,15.7672
2018-03-29,15.7662
2018-03-30,15.7662
2018-04-02,15.1321
2018-04-03,14.9861
2018-04-04,14.9663
2018-04-05,15.2365
2018-04-06,15.1889
2018-04-09,15.3533
2018-04-10,15.4421
2018-04-11,15.4506
2018-04-12,15.3961
2018-04-13,15.4603
2018-04-16,15.5111
2018-04-17,15.5245
2018-04-18,15.6505
2018-04-19,15.6716
2018-04-20,15.5983
2018-04-23,15.5965
2018-04-24,15.4918
2018-04-25,15.3746
2018-04-26,15.3628
2018-04-27,15.3943
2018-04-30,15.4417
2018-05-01,15.3235
2018-05-02,15.4199
2018-05-03,15.3412
2018-05-04,15.408
2018-05-07,15.4431
2018-05-08,15.4007
2018-05-09,15.4817
2018-05-10,15.5691
2018-05-11,15.7017
2018-05-14,15.7189
2018-05-15,15.5188
2018-05-16,15.2378
2018-05-17,15.3848
2018-05-18,15.0671
2018-05-21,14.9733
2018-05-22,15.1262
2018-05-23,14.857
2018-05-24,14.8006
2018-05-25,14.4232
2018-05-28,14.2762
2018-05-29,13.8203
2018-05-30,13.9856
2018-05-31,13.8992
2018-06-01,14.0601
2018-06-04,14.2527
2018-06-05,14.0952
2018-06-06,14.3885
2018-06-07,14.5253
2018-06-08,14.3232
2018-06-11,14.6207
2018-06-12,14.6122
2018-06-13,14.5175
2018-06-14,14.4478
2018-06-15,14.2327
2018-06-18,14.1315
2018-06-19,14.0603
2018-06-20,14.1352
2018-06-21,14.0251
2018-06-22,14.206
2018-06-25,13.9895
2018-06-26,13.9972
2018-06-27,13.9476
2018-06-28,13.8395
2018-06-29,14.0233
2018-07-02,14.556000000000001
2018-07-03,14.7635
2018-07-04,14.9201
2018-07-05,15.179
2018-07-06,15.3194
2018-07-09,15.3873
2018-07-10,15.2032
2018-07-11,14.9666
2018-07-12,14.9663
2018-07-13,14.8942
2018-07-16,14.9191
2018-07-17,14.8778
2018-07-18,14.8617
2018-07-19,14.7802
2018-07-20,14.9168
2018-07-23,14.931000000000001
2018-07-24,15.0187
2018-07-25,14.8787
2018-07-26,14.9683
2018-07-27,15.0834
2018-07-30,15.1543
2018-07-31,15.1818
2018-08-01,15.023
2018-08-02,14.7938
2018-08-03,14.8362
2018-08-06,14.7729
2018-08-07,14.8974
2018-08-08,14.871
2018-08-09,14.822
2018-08-10,14.3811
2018-08-13,14.2355
2018-08-14,14.1569
2018-08-15,13.8935
2018-08-16,14.0523
2018-08-17,14.0501
2018-08-20,14.1434
2018-08-21,14.3779
2018-08-22,14.5064
2018-08-23,14.4573
2018-08-24,14.5432
2018-08-27,14.6966
2018-08-28,14.6833
2018-08-29,14.6526
2018-08-30,14.4559
2018-08-31,14.3245
2018-09-03,14.0318
2018-09-04,13.9705
2018-09-05,13.9712
2018-09-06,13.8325
2018-09-07,13.6922
2018-09-10,13.8742
2018-09-11,13.8666
2018-09-12,13.8898
2018-09-13,14.0069
2018-09-14,14.0449
2018-09-17,14.1503
2018-09-18,14.2356
2018-09-19,14.2718
2018-09-20,14.5311
2018-09-21,14.5438
2018-09-24,14.4476
2018-09-25,14.4069
2018-09-26,14.4067
2018-09-27,14.3256
2018-09-28,14.0241
2018-10-01,13.6184
2018-10-02,13.4661
2018-10-03,13.5272
2018-10-04,13.4621
2018-10-05,13.3814
2018-10-08,13.2884
2018-10-09,13.3798
2018-10-10,13.3367
2018-10-11,13.1155
2018-10-12,12.9527
2018-10-15,13.0332
2018-10-16,13.2356
2018-10-17,13.0735
2018-10-18,12.8595
2018-10-19,12.8677
2018-10-22,12.7092
2018-10-23,12.578
2018-10-24,12.4268
2018-10-25,12.5571
2018-10-26,12.5025
2018-10-29,12.6732
2018-10-30,12.6191
2018-10-31,12.6877
2018-11-01,12.8458
2018-11-02,12.9019
2018-11-05,12.9544
2018-11-06,12.9641
2018-11-07,13.3827
2018-11-08,13.3516
2018-11-09,13.1943
2018-11-12,13.0009
2018-11-13,13.1648
2018-11-14,13.1569
2018-11-15,13.1072
2018-11-16,13.165
2018-11-19,13.1722
2018-11-20,12.931799999999999
2018-11-21,13.0315
2018-11-22,12.9421
2018-11-23,12.8835
2018-11-26,13.1398
2018-11-27,13.0596
2018-11-28,13.054
2018-11-29,13.1654
2018-11-30,13.0727
2018-12-03,13.3181
2018-12-04,13.1653
2018-12-05,13.0846
2018-12-06,12.7583
2018-12-07,12.8468
2018-12-10,12.6019
2018-12-11,12.6728
2018-12-12,12.9486
2018-12-13,13.0568
2018-12-14,12.9654
2018-12-17,12.9333
2018-12-18,12.7691
2018-12-19,12.9446
2018-12-20,12.7194
2018-12-21,12.6378
2018-12-24,12.5523
2018-12-25,12.4896
2018-12-26,12.483
2018-12-27,12.2913
2018-12-28,12.5248
2018-12-31,12.2352
2019-01-01,12.2352
2019-01-02,12.1752
2019-01-03,12.2109
2019-01-04,12.5238
2019-01-07,12.6236
2019-01-08,12.6826
2019-01-09,12.7305
2019-01-10,12.8525
2019-01-11,12.8264
2019-01-14,12.7352
2019-01-15,12.741
2019-01-16,12.7988
2019-01-17,12.7556
2019-01-18,12.9651
2019-01-21,12.9321
2019-01-22,12.901
2019-01-23,13.0069
2019-01-24,12.9995
2019-01-25,13.1117
2019-01-28,12.9852
2019-01-29,13.0384
2019-01-30,12.9649
2019-01-31,12.9799
2019-02-01,12.8945
2019-02-04,12.7753
2019-02-05,12.916
2019-02-06,12.8911
2019-02-07,12.6387
2019-02-08,12.5036
2019-02-11,12.5578
2019-02-12,12.6461
2019-02-13,12.616
2019-02-14,12.5607
2019-02-15,12.7854
2019-02-18,12.8797
2019-02-19,12.8826
2019-02-20,12.9682
2019-02-21,12.9921
2019-02-22,12.9964
2019-02-25,13.0127
2019-02-26,13.0451
2019-02-27,13.0712
2019-02-28,13.1953
2019-03-01,13.6107
2019-03-04,13.5284
2019-03-05,13.5009
2019-03-06,13.5916
2019-03-07,13.4217
2019-03-08,13.2464
2019-03-11,13.3042
2019-03-12,13.3635
2019-03-13,13.4927
2019-03-14,13.5211
2019-03-15,13.7313
2019-03-18,13.8644
2019-03-19,13.9838
2019-03-20,13.8742
2019-03-21,13.7898
2019-03-22,13.4498
2019-03-25,13.4712
2019-03-26,13.3969
2019-03-27,13.4542
2019-03-28,13.3267
2019-03-29,13.4042
2019-04-01,13.8965
2019-04-02,13.8802
2019-04-03,14.1075
2019-04-04,14.1769
2019-04-05,14.1566
2019-04-08,14.0926
2019-04-09,14.0692
2019-04-10,14.0275
2019-04-11,14.1062
2019-04-12,14.2185
2019-04-15,14.2477
2019-04-16,14.209
2019-04-17,14.2896
2019-04-18,14.2433
2019-04-19,14.2433
2019-04-22,14.2578
2019-04-23,14.1132
2019-04-24,13.9944
2019-04-25,14.0251
2019-04-26,14.0675
2019-04-29,14.1127
2019-04-30,14.2296
2019-05-01,14.2721
2019-05-02,14.0048
2019-05-03,13.9953
2019-05-06,13.8874
2019-05-07,13.7413
2019-05-08,13.7368
2019-05-09,13.5731
2019-05-10,13.6267
2019-05-13,13.532399999999999
2019-05-14,13.6092
2019-05-15,13.682
2019-05-16,13.854
2019-05-17,13.7989
2019-05-20,13.6906
2019-05-21,13.7771
2019-05-22,13.729
