Date,pe
2005-05-20,12.5369
2005-05-23,12.6043
2005-05-24,12.5531
2005-05-25,12.5508
2005-05-26,12.6683
2005-05-27,12.652
2005-05-30,12.6648
2005-05-31,12.6323
2005-06-01,12.8858
2005-06-02,12.8996
2005-06-03,12.8318
2005-06-06,12.8076
2005-06-07,12.9157
2005-06-08,12.8936
2005-06-09,12.8373
2005-06-10,12.9332
2005-06-13,12.998
2005-06-14,12.9849
2005-06-15,12.9391
2005-06-16,12.939
2005-06-17,13.0496
2005-06-20,12.9664
2005-06-21,13.0509
2005-06-22,13.0743
2005-06-23,13.1069
2005-06-24,12.9835
2005-06-27,12.8578
2005-06-28,12.9707
2005-06-29,13.0803
2005-06-30,11.5777
2005-07-01,11.6479
2005-07-04,11.6428
2005-07-05,11.614
2005-07-06,11.6914
2005-07-07,11.5319
2005-07-08,11.7537
2005-07-11,11.8136
2005-07-12,11.7899
2005-07-13,11.8719
2005-07-14,11.9475
2005-07-15,11.9491
2005-07-18,11.9193
2005-07-19,12.0791
2005-07-20,12.0583
2005-07-21,12.07
2005-07-22,12.0475
2005-07-25,12.087
2005-07-26,12.0909
2005-07-27,12.1201
2005-07-28,12.197
2005-07-29,12.1771
2005-08-01,12.1866
2005-08-02,12.3124
2005-08-03,12.2916
2005-08-04,12.1952
2005-08-05,12.0943
2005-08-08,12.1487
2005-08-09,12.2822
2005-08-10,12.3777
2005-08-11,12.326
2005-08-12,12.2409
2005-08-15,12.2169
2005-08-16,12.1534
2005-08-17,12.1338
2005-08-18,12.11
2005-08-19,12.2615
2005-08-22,12.2614
2005-08-23,12.1346
2005-08-24,12.1038
2005-08-25,11.9803
2005-08-26,11.889
2005-08-29,11.9357
2005-08-30,11.9303
2005-08-31,12.052
2005-09-01,12.127
2005-09-02,12.0741
2005-09-05,12.1322
2005-09-06,12.2454
2005-09-07,12.2847
2005-09-08,12.2359
2005-09-09,12.3097
2005-09-12,12.3096
2005-09-13,12.2048
2005-09-14,12.2531
2005-09-15,12.2725
2005-09-16,12.3577
2005-09-19,12.3536
2005-09-20,12.422
2005-09-21,12.2446
2005-09-22,12.1847
2005-09-23,12.2574
2005-09-26,12.4948
2005-09-27,12.4441
2005-09-28,12.588
2005-09-29,12.5391
2005-09-30,12.0628
2005-10-03,12.1195
2005-10-04,12.185
2005-10-05,12.0383
2005-10-06,11.8873
2005-10-07,11.8706
2005-10-10,11.8902
2005-10-11,11.933
2005-10-12,11.8387
2005-10-13,11.7139
2005-10-14,11.7347
2005-10-17,11.7587
2005-10-18,11.6875
2005-10-19,11.4572
2005-10-20,11.5038
2005-10-21,11.444
2005-10-24,11.594
2005-10-25,11.5322
2005-10-26,11.5678
2005-10-27,11.3574
2005-10-28,11.3317
2005-10-31,11.6206
2005-11-01,11.6156
2005-11-02,11.5975
2005-11-03,11.7989
2005-11-04,11.7961
2005-11-07,11.8038
2005-11-08,11.8036
2005-11-09,11.7439
2005-11-10,11.7291
2005-11-11,11.8758
2005-11-14,11.9117
2005-11-15,11.9027
2005-11-16,11.8202
2005-11-17,11.8557
2005-11-18,11.9431
2005-11-21,12.0244
2005-11-22,12.0207
2005-11-23,12.091
2005-11-24,12.0265
2005-11-25,12.0607
2005-11-28,11.9953
2005-11-29,12.0289
2005-11-30,11.9782
2005-12-01,12.2114
2005-12-02,12.2861
2005-12-05,12.2581
2005-12-06,12.3269
2005-12-07,12.289
2005-12-08,12.3177
2005-12-09,12.2947
2005-12-12,12.3226
2005-12-13,12.3744
2005-12-14,12.3278
2005-12-15,12.3248
2005-12-16,12.3987
2005-12-19,12.377
2005-12-20,12.3979
2005-12-21,12.5195
2005-12-22,12.5165
2005-12-23,12.5305
2005-12-26,12.5305
2005-12-27,12.5644
2005-12-28,12.5315
2005-12-29,12.5754
2005-12-30,12.4328
2006-01-02,13.2706
2006-01-03,13.3328
2006-01-04,13.5037
2006-01-05,13.4953
2006-01-06,13.5839
2006-01-09,13.6093
2006-01-10,13.5734
2006-01-11,13.6546
2006-01-12,13.662
2006-01-13,13.5512
2006-01-16,13.5659
2006-01-17,13.4383
2006-01-18,13.3338
2006-01-19,13.452
2006-01-20,13.337
2006-01-23,13.2789
2006-01-24,13.2778
2006-01-25,13.3876
2006-01-26,13.6229
2006-01-27,13.8392
2006-01-30,13.7854
2006-01-31,13.8124
2006-02-01,13.9538
2006-02-02,13.747
2006-02-03,13.7681
2006-02-06,13.766
2006-02-07,13.7628
2006-02-08,13.6531
2006-02-09,13.8314
2006-02-10,13.7048
2006-02-13,13.8367
2006-02-14,13.843
2006-02-15,13.7766
2006-02-16,13.8662
2006-02-17,13.9348
2006-02-20,13.881
2006-02-21,13.9105
2006-02-22,14.0275
2006-02-23,14.0212
2006-02-24,14.0982
2006-02-27,14.1267
2006-02-28,13.896
2006-03-01,14.0783
2006-03-02,13.9591
2006-03-03,13.9053
2006-03-06,13.9591
2006-03-07,13.8704
2006-03-08,13.8031
2006-03-09,13.9073
2006-03-10,14.0715
2006-03-13,14.183
2006-03-14,14.1988
2006-03-15,14.2325
2006-03-16,14.2283
2006-03-17,14.2662
2006-03-20,14.2715
2006-03-21,14.293
2006-03-22,14.4212
2006-03-23,14.416
2006-03-24,14.4811
2006-03-27,14.3361
2006-03-28,14.3004
2006-03-29,14.3792
2006-03-30,14.5323
2006-03-31,14.102
2006-04-03,14.1692
2006-04-04,14.0415
2006-04-05,14.0875
2006-04-06,14.0987
2006-04-07,13.9894
2006-04-10,14.0241
2006-04-11,13.8096
2006-04-12,13.7329
2006-04-13,13.7738
2006-04-14,13.7738
2006-04-17,13.7738
2006-04-18,13.7544
2006-04-19,13.9209
2006-04-20,14.0486
2006-04-21,14.1692
2006-04-24,14.0967
2006-04-25,14.1243
2006-04-26,14.1702
2006-04-27,14.0679
2006-04-28,13.9811
