Date,pe
2016-12-29,15.3897
2016-12-30,15.5801
2017-01-02,14.1332
2017-01-03,14.1892
2017-01-04,14.1859
2017-01-05,14.4407
2017-01-06,14.4382
2017-01-09,14.3483
2017-01-10,14.4372
2017-01-11,14.4414
2017-01-12,14.6543
2017-01-13,14.6486
2017-01-16,14.4727
2017-01-17,14.6117
2017-01-18,14.5787
2017-01-19,14.5161
2017-01-20,14.5634
2017-01-23,14.782
2017-01-24,14.8324
2017-01-25,14.842
2017-01-26,14.8347
2017-01-27,14.8347
2017-01-30,14.8347
2017-01-31,14.8347
2017-02-01,14.8347
2017-02-02,14.9027
2017-02-03,14.9414
2017-02-06,15.1222
2017-02-07,15.1119
2017-02-08,15.0429
2017-02-09,15.1592
2017-02-10,15.3111
2017-02-13,15.3898
2017-02-14,15.4748
2017-02-15,15.658
2017-02-16,15.5864
2017-02-17,15.558
2017-02-20,15.524000000000001
2017-02-21,15.5487
2017-02-22,15.5718
2017-02-23,15.5826
2017-02-24,15.5609
2017-02-27,15.5609
2017-02-28,15.5609
2017-03-01,15.4108
2017-03-02,15.4293
2017-03-03,15.2266
2017-03-06,15.2888
2017-03-07,15.4246
2017-03-08,15.4748
2017-03-09,15.2431
2017-03-10,15.1915
2017-03-13,15.3759
2017-03-14,15.4317
2017-03-15,15.4791
2017-03-16,15.7493
2017-03-17,15.9004
2017-03-20,15.9187
2017-03-21,16.1079
2017-03-22,15.9739
2017-03-23,15.9748
2017-03-24,15.9256
2017-03-27,16.043
2017-03-28,16.1039
2017-03-29,15.9972
2017-03-30,15.9262
2017-03-31,14.8546
2017-04-03,14.8546
2017-04-04,14.8546
2017-04-05,15.1143
2017-04-06,14.9287
2017-04-07,14.8277
2017-04-10,14.8359
2017-04-11,14.7883
2017-04-12,14.8177
2017-04-13,14.9603
2017-04-14,14.8339
2017-04-17,14.6435
2017-04-18,14.631
2017-04-19,14.4636
2017-04-20,14.47
2017-04-21,14.6313
2017-04-24,14.6901
2017-04-25,14.9631
2017-04-26,14.987400000000001
2017-04-27,14.9656
2017-04-28,14.9716
2017-05-01,14.9716
2017-05-02,15.1613
2017-05-03,15.2133
