Date,pe
2013-10-17,13.3893
2013-10-18,13.4997
2013-10-21,13.4762
2013-10-22,13.4869
2013-10-23,13.3841
2013-10-24,13.3795
2013-10-25,13.2793
2013-10-28,13.411200000000001
2013-10-29,13.4442
2013-10-30,13.5145
2013-10-31,13.2785
2013-11-01,13.3577
2013-11-04,13.226
2013-11-05,13.1826
2013-11-06,13.1811
2013-11-07,13.1099
2013-11-08,12.9251
2013-11-11,12.8278
2013-11-12,12.9744
2013-11-13,12.7087
2013-11-14,12.788
2013-11-15,13.1303
2013-11-18,13.2536
2013-11-19,13.422
2013-11-20,13.276299999999999
2013-11-21,13.0462
2013-11-22,13.1524
2013-11-25,13.1981
2013-11-26,13.2727
2013-11-27,13.4369
2013-11-28,13.5602
2013-11-29,13.5906
2013-12-02,13.515
2013-12-03,13.32
2013-12-04,13.1582
2013-12-05,13.1557
2013-12-06,13.1547
2013-12-09,13.3743
2013-12-10,13.3347
2013-12-11,13.2347
2013-12-12,13.1734
2013-12-13,13.1057
2013-12-16,13.1073
2013-12-17,13.1579
2013-12-18,13.2152
2013-12-19,13.1124
2013-12-20,13.1583
2013-12-23,13.3171
2013-12-24,13.3413
2013-12-25,13.3414
2013-12-26,13.3193
2013-12-27,13.411200000000001
2013-12-30,13.4445
2013-12-31,13.496
2014-01-01,13.4961
2014-01-02,13.2281
2014-01-03,12.9967
2014-01-06,12.9111
2014-01-07,12.9121
2014-01-08,12.9571
2014-01-09,12.8732
2014-01-10,12.818999999999999
2014-01-13,12.9519
2014-01-14,12.9055
2014-01-15,12.9003
2014-01-16,12.9235
2014-01-17,12.8646
2014-01-20,12.8875
2014-01-21,12.9463
2014-01-22,12.9641
2014-01-23,12.7263
2014-01-24,12.5929
2014-01-27,12.3084
2014-01-28,12.3839
2014-01-29,12.669
2014-01-30,12.6691
2014-01-31,12.6692
2014-02-03,12.3383
2014-02-04,12.1153
2014-02-05,12.2345
2014-02-06,12.3474
2014-02-07,12.4854
2014-02-10,12.5193
2014-02-11,12.5819
2014-02-12,12.7095
2014-02-13,12.6063
2014-02-14,12.739
2014-02-17,12.826
2014-02-18,12.7601
2014-02-19,12.734
2014-02-20,12.5398
2014-02-21,12.7631
2014-02-24,12.675
2014-02-25,12.8063
2014-02-26,12.9487
2014-02-27,12.978
2014-02-28,12.9975
2014-03-03,12.5245
2014-03-04,12.3999
2014-03-05,12.5539
2014-03-06,12.649000000000001
2014-03-07,12.679
2014-03-10,12.4692
2014-03-11,12.535
2014-03-12,12.254
2014-03-13,12.2508
2014-03-14,12.0976
2014-03-17,12.214
2014-03-18,12.2721
2014-03-19,12.2266
2014-03-20,12.0229
2014-03-21,12.0882
2014-03-24,12.1926
2014-03-25,12.1406
2014-03-26,12.3783
2014-03-27,12.5253
2014-03-28,12.5705
2014-03-31,12.5639
2014-04-01,12.6666
2014-04-02,12.7357
2014-04-03,12.7133
2014-04-04,12.7631
2014-04-07,12.7698
2014-04-08,12.8345
2014-04-09,12.9941
2014-04-10,13.073
2014-04-11,13.0487
2014-04-14,12.9921
2014-04-15,12.9268
2014-04-16,12.9707
2014-04-17,12.9469
2014-04-18,13.0399
2014-04-21,13.0032
2014-04-22,13.0525
2014-04-23,13.0182
2014-04-24,13.1259
2014-04-25,12.9063
2014-04-28,12.9497
2014-04-29,12.9473
2014-04-30,12.8781
2014-05-01,12.878
2014-05-02,12.9021
2014-05-05,12.902
2014-05-06,12.902
2014-05-07,12.8638
2014-05-08,12.9422
2014-05-09,12.9172
2014-05-12,13.0006
2014-05-13,13.1693
2014-05-14,13.3122
2014-05-15,13.3503
2014-05-16,13.3963
2014-05-19,13.4545
2014-05-20,13.3855
2014-05-21,13.3277
2014-05-22,13.4114
2014-05-23,13.4213
2014-05-26,13.3666
2014-05-27,13.2764
2014-05-28,13.4386
2014-05-29,13.4802
2014-05-30,13.3423
2014-06-02,13.4279
2014-06-03,13.5032
2014-06-04,13.5032
2014-06-05,13.463799999999999
2014-06-06,13.463799999999999
2014-06-09,13.4712
2014-06-10,13.617
2014-06-11,13.6317
2014-06-12,13.5625
2014-06-13,13.3902
2014-06-16,13.3971
2014-06-17,13.4392
2014-06-18,13.3323
2014-06-19,13.3723
2014-06-20,13.1584
2014-06-23,13.2753
2014-06-24,13.4362
2014-06-25,13.3176
2014-06-26,13.482099999999999
2014-06-27,13.5166
2014-06-30,13.3103
2014-07-01,13.2664
2014-07-02,13.415
2014-07-03,13.3657
2014-07-04,13.3267
2014-07-07,13.2818
2014-07-08,13.2711
2014-07-09,13.2018
2014-07-10,13.2102
2014-07-11,12.9998
2014-07-14,13.0468
2014-07-15,13.1038
2014-07-16,13.0661
2014-07-17,13.1589
2014-07-18,13.1369
2014-07-21,13.154
2014-07-22,13.2481
2014-07-23,13.2436
2014-07-24,13.1956
2014-07-25,13.2665
2014-07-28,13.3618
2014-07-29,13.5361
2014-07-30,13.7004
2014-07-31,13.5686
2014-08-01,13.3954
2014-08-04,13.4901
2014-08-05,13.446
2014-08-06,13.3228
2014-08-07,13.2255
2014-08-08,13.0449
2014-08-11,13.1932
2014-08-12,13.2552
2014-08-13,13.3541
2014-08-14,13.4549
2014-08-15,13.4549
2014-08-18,13.4
2014-08-19,13.5262
2014-08-20,13.4661
2014-08-21,13.2405
2014-08-22,13.4091
2014-08-25,13.3668
2014-08-26,13.4436
2014-08-27,13.5183
2014-08-28,13.5289
2014-08-29,13.5086
2014-09-01,12.7786
2014-09-02,12.5693
2014-09-03,12.5134
2014-09-04,12.5764
2014-09-05,12.4423
2014-09-08,12.4423
2014-09-09,12.4423
2014-09-10,12.4423
2014-09-11,12.2078
2014-09-12,12.2893
2014-09-15,12.2024
2014-09-16,12.2593
2014-09-17,12.4077
2014-09-18,12.1706
2014-09-19,12.1558
2014-09-22,12.0835
2014-09-23,12.0072
2014-09-24,12.0088
2014-09-25,11.9616
2014-09-26,11.9368
2014-09-29,11.8223
2014-09-30,12.7503
2014-10-01,12.4518
2014-10-02,12.3013
2014-10-03,12.3013
2014-10-06,12.1985
2014-10-07,12.2706
2014-10-08,12.069
2014-10-09,12.069
2014-10-10,11.9361
2014-10-13,11.9355
2014-10-14,12.0035
2014-10-15,11.9941
2014-10-16,11.937899999999999
2014-10-17,11.7531
2014-10-20,12.0512
2014-10-21,11.9631
2014-10-22,12.1295
2014-10-23,12.0396
2014-10-24,12.0112
2014-10-27,12.1213
2014-10-28,12.1094
2014-10-29,12.4427
2014-10-30,12.3779
2014-10-31,12.327
2014-11-03,12.1735
2014-11-04,12.0045
2014-11-05,11.880700000000001
2014-11-06,11.9659
2014-11-07,11.8609
2014-11-10,12.1356
2014-11-11,12.0485
2014-11-12,12.0362
2014-11-13,11.9649
2014-11-14,11.8198
2014-11-17,11.8963
2014-11-18,11.9475
2014-11-19,13.0164
2014-11-20,12.8466
2014-11-21,12.9085
2014-11-24,13.0754
2014-11-25,11.8698
2014-11-26,12.2757
2014-11-27,12.4579
2014-11-28,12.3622
2014-12-01,12.1102
2014-12-02,12.1576
2014-12-03,12.1057
2014-12-04,12.187
2014-12-05,12.2136
2014-12-08,12.1413
2014-12-09,12.2267
2014-12-10,12.097
2014-12-11,11.9217
2014-12-12,11.9315
2014-12-15,11.9614
2014-12-16,12.008
2014-12-17,11.8695
2014-12-18,11.8038
2014-12-19,12.0057
2014-12-22,12.2104
2014-12-23,12.1013
2014-12-24,12.1587
2014-12-25,12.1587
2014-12-26,12.1959
2014-12-29,12.0429
2014-12-30,11.9032
2014-12-31,12.1876
2015-01-01,12.1876
2015-01-02,12.1753
2015-01-05,12.0632
2015-01-06,12.5288
2015-01-07,12.5525
2015-01-08,12.7975
2015-01-09,13.004
2015-01-12,13.0623
2015-01-13,13.0546
2015-01-14,13.0516
2015-01-15,13.0254
2015-01-16,12.895199999999999
2015-01-19,13.0092
2015-01-20,12.9986
2015-01-21,13.1174
2015-01-22,13.0865
2015-01-23,13.2052
2015-01-26,13.2131
2015-01-27,13.2494
2015-01-28,13.2154
2015-01-29,13.0151
2015-01-30,12.9593
2015-02-02,12.8893
2015-02-03,12.9437
2015-02-04,13.1759
2015-02-05,12.9865
2015-02-06,12.8979
2015-02-09,12.777
2015-02-10,12.7572
2015-02-11,12.7081
2015-02-12,12.5018
2015-02-13,12.7836
2015-02-16,12.734
2015-02-17,12.7697
2015-02-18,12.7697
2015-02-19,12.7697
2015-02-20,12.7697
2015-02-23,12.7235
2015-02-24,12.7385
2015-02-25,12.9603
2015-02-26,12.9853
2015-02-27,12.91
2015-03-02,13.0251
2015-03-03,13.1258
2015-03-04,13.098
2015-03-05,13.0368
2015-03-06,13.188
2015-03-09,12.8681
2015-03-10,12.6994
2015-03-11,12.6702
2015-03-12,12.5861
2015-03-13,12.6316
2015-03-16,12.6191
2015-03-17,12.9497
2015-03-18,12.9365
2015-03-19,13.1142
2015-03-20,13.026
2015-03-23,13.1382
2015-03-24,13.2539
2015-03-25,13.2928
2015-03-26,13.055
2015-03-27,13.0744
2015-03-30,13.0809
2015-03-31,12.9618
2015-04-01,12.9115
2015-04-02,12.9837
2015-04-03,13.0852
2015-04-06,13.2115
2015-04-07,13.1715
2015-04-08,13.2344
2015-04-09,13.1999
2015-04-10,13.401
2015-04-13,13.4342
2015-04-14,13.6211
2015-04-15,13.5767
2015-04-16,13.8009
2015-04-17,13.8541
2015-04-20,13.9359
2015-04-21,13.8485
2015-04-22,13.9283
2015-04-23,14.0998
2015-04-24,14.0461
2015-04-27,14.0665
2015-04-28,14.0209
2015-04-29,13.9986
2015-04-30,13.8763
2015-05-01,13.8763
2015-05-04,13.8475
2015-05-05,13.8475
2015-05-06,13.6776
2015-05-07,13.4827
2015-05-08,13.4792
2015-05-11,13.3526
2015-05-12,13.2943
2015-05-13,13.3239
2015-05-14,13.4698
2015-05-15,13.3964
2015-05-18,13.4179
2015-05-19,13.4386
2015-05-20,13.4563
2015-05-21,13.3169
2015-05-22,13.5447
2015-05-25,13.5447
2015-05-26,13.3589
2015-05-27,13.0409
2015-05-28,13.0412
2015-05-29,13.0372
2015-06-01,12.7343
2015-06-02,12.6596
2015-06-03,12.7145
2015-06-04,12.6897
2015-06-05,12.6826
2015-06-08,12.5095
2015-06-09,12.5075
2015-06-10,12.5556
2015-06-11,12.5418
2015-06-12,12.4419
2015-06-15,12.3649
2015-06-16,12.2444
2015-06-17,12.3038
2015-06-18,12.4233
2015-06-19,12.4312
2015-06-22,12.6052
2015-06-23,12.7063
2015-06-24,12.6955
2015-06-25,12.5906
2015-06-26,12.556000000000001
2015-06-29,12.1923
2015-06-30,12.8312
2015-07-01,12.937899999999999
2015-07-02,12.8635
2015-07-03,12.8217
2015-07-06,12.4454
2015-07-07,12.4152
2015-07-08,12.1758
2015-07-09,12.2778
2015-07-10,12.3127
2015-07-13,12.444
2015-07-14,12.2374
2015-07-15,12.2746
2015-07-16,12.3193
2015-07-17,12.2734
2015-07-20,12.1398
2015-07-21,12.167300000000001
2015-07-22,12.1088
2015-07-23,11.9622
2015-07-24,11.8116
2015-07-27,11.8689
2015-07-28,11.894
2015-07-29,12.0108
2015-07-30,11.7644
2015-07-31,11.7712
2015-08-03,11.657
2015-08-04,11.7655
2015-08-05,11.6564
2015-08-06,11.5611
2015-08-07,11.5383
2015-08-10,11.5478
2015-08-11,11.3351
2015-08-12,11.2205
2015-08-13,11.3631
2015-08-14,11.3631
2015-08-17,11.172
2015-08-18,11.1536
2015-08-19,11.1244
2015-08-20,10.9966
2015-08-21,10.7006
2015-08-24,10.3764
2015-08-25,10.5037
2015-08-26,10.786
2015-08-27,10.9049
2015-08-28,11.1968
2015-08-31,11.1478
2015-09-01,10.968
2015-09-02,10.9081
2015-09-03,10.85
2015-09-04,10.733
2015-09-07,10.6034
2015-09-08,10.6633
2015-09-09,11.0614
2015-09-10,11.1227
2015-09-11,11.0625
2015-09-14,11.0549
2015-09-15,11.0394
2015-09-16,11.4055
2015-09-17,11.5308
2015-09-18,11.6273
2015-09-21,11.2931
2015-09-22,11.3488
2015-09-23,11.0253
2015-09-24,11.0078
2015-09-25,10.9355
2015-09-28,10.9355
2015-09-29,10.9355
2015-09-30,10.6581
2015-10-01,10.8233
2015-10-02,10.7219
2015-10-05,10.8263
2015-10-06,10.9918
2015-10-07,11.2316
2015-10-08,11.3661
2015-10-09,11.3661
2015-10-12,11.5433
2015-10-13,11.4692
2015-10-14,11.4499
2015-10-15,11.7563
2015-10-16,11.7406
2015-10-19,11.8368
2015-10-20,11.7833
2015-10-21,11.8038
2015-10-22,11.6524
2015-10-23,11.9079
2015-10-26,11.8488
2015-10-27,11.8572
2015-10-28,11.8531
2015-10-29,11.7137
2015-10-30,11.8177
2015-11-02,11.9315
2015-11-03,12.0477
2015-11-04,12.0628
2015-11-05,11.9642
2015-11-06,11.8452
2015-11-09,11.6622
2015-11-10,11.4804
2015-11-11,11.5042
2015-11-12,11.4377
2015-11-13,11.2766
2015-11-16,10.9957
2015-11-17,11.1388
2015-11-18,11.1477
2015-11-19,11.4022
2015-11-20,11.4626
2015-11-23,11.4589
2015-11-24,11.5895
2015-11-25,11.6366
2015-11-26,11.7316
2015-11-27,11.653
2015-11-30,11.3643
2015-12-01,11.3383
2015-12-02,11.1712
2015-12-03,11.077
2015-12-04,11.0393
2015-12-07,10.7512
2015-12-08,10.5859
2015-12-09,10.59
2015-12-10,10.6241
2015-12-11,10.6279
2015-12-14,10.4928
2015-12-15,10.531
2015-12-16,10.8115
2015-12-17,10.8058
2015-12-18,10.7194
2015-12-21,10.8037
2015-12-22,10.9287
2015-12-23,10.9668
2015-12-24,10.9552
2015-12-25,10.9552
2015-12-28,10.8154
2015-12-29,10.758
2015-12-30,10.6947
2015-12-31,10.4678
2016-01-01,10.4678
2016-01-04,10.0897
2016-01-05,10.1527
2016-01-06,9.9978
2016-01-07,9.8521
2016-01-08,10.0257
2016-01-11,9.8184
2016-01-12,9.802
2016-01-13,9.9919
2016-01-14,9.825
2016-01-15,9.6571
2016-01-18,9.6734
2016-01-19,9.7816
2016-01-20,9.4846
2016-01-21,9.4564
2016-01-22,9.776299999999999
2016-01-25,9.8941
2016-01-26,9.6707
2016-01-27,9.8447
2016-01-28,9.8221
2016-01-29,9.9231
2016-02-01,9.9734
2016-02-02,9.7905
2016-02-03,9.6134
2016-02-04,9.9244
2016-02-05,9.9786
2016-02-08,9.9786
2016-02-09,9.9786
2016-02-10,9.9786
2016-02-11,9.6501
2016-02-12,9.5027
2016-02-15,9.666
2016-02-16,9.7482
2016-02-17,9.6477
2016-02-18,9.7622
2016-02-19,9.7192
2016-02-22,9.6978
2016-02-23,9.7284
2016-02-24,9.6901
2016-02-25,9.6687
2016-02-26,9.6592
2016-02-29,9.6468
2016-03-01,9.6207
2016-03-02,9.8888
2016-03-03,10.0713
2016-03-04,10.1459
2016-03-07,10.1818
2016-03-08,10.059
2016-03-09,9.9883
2016-03-10,10.2074
2016-03-11,10.3215
2016-03-14,10.4082
2016-03-15,10.3733
2016-03-16,10.3454
2016-03-17,10.6003
2016-03-18,10.7331
2016-03-21,10.7191
2016-03-22,10.8625
2016-03-23,10.7762
2016-03-24,10.6781
2016-03-25,10.6496
2016-03-28,10.6546
2016-03-29,10.756499999999999
2016-03-30,10.9253
2016-03-31,11.1332
2016-04-01,10.8747
2016-04-04,11.1371
2016-04-05,10.9174
2016-04-06,10.9662
2016-04-07,11.0215
2016-04-08,10.977
2016-04-11,11.0572
2016-04-12,11.1442
2016-04-13,11.1442
2016-04-14,11.2618
2016-04-15,11.3578
2016-04-18,11.3013
2016-04-19,11.4314
2016-04-20,11.4079
2016-04-21,11.5334
2016-04-22,11.3831
2016-04-25,11.3319
2016-04-26,11.3328
2016-04-27,11.3463
2016-04-28,11.3138
2016-04-29,11.2471
2016-05-02,11.1876
2016-05-03,11.196
2016-05-04,11.0311
2016-05-05,11.0311
2016-05-06,11.0311
2016-05-09,10.8802
2016-05-10,10.8818
2016-05-11,10.9035
2016-05-12,10.9081
2016-05-13,10.7344
2016-05-16,10.663499999999999
2016-05-17,10.7315
2016-05-18,10.4883
2016-05-19,10.3859
2016-05-20,10.3801
2016-05-23,10.4967
2016-05-24,10.3086
2016-05-25,10.5701
2016-05-26,10.568999999999999
2016-05-27,10.6363
2016-05-30,10.5149
2016-05-31,10.6089
2016-06-01,10.4625
2016-06-02,10.5432
2016-06-03,10.56
2016-06-06,10.56
2016-06-07,10.8964
2016-06-08,11.0465
2016-06-09,11.0573
2016-06-10,10.911200000000001
2016-06-13,10.6183
2016-06-14,10.5981
2016-06-15,10.594
2016-06-16,10.5539
2016-06-17,10.5436
2016-06-20,10.8091
2016-06-21,10.8561
2016-06-22,10.9482
2016-06-23,10.9709
2016-06-24,10.4079
2016-06-27,10.3701
2016-06-28,10.488
2016-06-29,10.681000000000001
2016-06-30,10.7079
2016-07-01,10.8858
2016-07-04,10.9213
2016-07-05,10.8112
2016-07-06,10.4753
2016-07-07,10.6974
2016-07-08,10.5772
2016-07-11,10.871
2016-07-12,10.8649
2016-07-13,10.9797
2016-07-14,11.1064
2016-07-15,11.2796
2016-07-18,11.2709
2016-07-19,11.2636
2016-07-20,11.1932
2016-07-21,11.2294
2016-07-22,11.2189
2016-07-25,11.2335
2016-07-26,11.3391
2016-07-27,11.3409
2016-07-28,11.3984
2016-07-29,11.4293
2016-08-01,11.6716
2016-08-02,11.5547
2016-08-03,11.1909
2016-08-04,11.3604
2016-08-05,11.5437
2016-08-08,11.6541
2016-08-09,11.755700000000001
2016-08-10,11.8529
2016-08-11,11.8348
2016-08-12,11.7942
2016-08-15,11.7942
2016-08-16,11.9179
2016-08-17,11.7458
2016-08-18,11.8641
2016-08-19,11.7909
2016-08-22,11.6389
2016-08-23,11.8053
2016-08-24,11.6833
2016-08-25,11.7408
2016-08-26,11.7043
2016-08-29,11.6152
2016-08-30,11.711500000000001
2016-08-31,11.7387
2016-09-01,11.6853
2016-09-02,11.7538
2016-09-05,12.0258
2016-09-06,12.0933
2016-09-07,12.2336
2016-09-08,12.2329
2016-09-09,12.0084
2016-09-12,11.5386
2016-09-13,11.538
2016-09-14,11.538
2016-09-15,11.538
2016-09-16,11.538
2016-09-19,11.64
2016-09-20,11.6691
2016-09-21,11.7447
2016-09-22,12.0025
2016-09-23,12.0133
2016-09-26,11.9072
2016-09-27,12.1199
2016-09-28,12.0513
2016-09-29,12.1299
2016-09-30,13.0602
2016-10-03,13.1713
2016-10-04,13.1892
2016-10-05,13.1074
2016-10-06,13.2277
2016-10-07,13.1342
2016-10-10,13.231
2016-10-11,12.897
2016-10-12,12.8603
2016-10-13,12.6141
2016-10-14,12.7071
2016-10-17,12.6082
2016-10-18,12.8077
2016-10-19,12.8788
2016-10-20,12.8505
2016-10-21,12.7182
2016-10-24,12.8818
2016-10-25,12.8099
2016-10-26,12.6571
2016-10-27,12.6209
2016-10-28,12.5897
2016-10-31,12.566
2016-11-01,12.6167
2016-11-02,12.3581
2016-11-03,12.4747
2016-11-04,12.4038
2016-11-07,12.5154
2016-11-08,12.6467
2016-11-09,12.2122
2016-11-10,12.4512
2016-11-11,12.1217
2016-11-14,11.9452
2016-11-15,11.9177
2016-11-16,11.984
2016-11-17,11.9243
2016-11-18,11.8458
2016-11-21,11.7816
2016-11-22,12.0247
2016-11-23,12.1121
2016-11-24,11.974
2016-11-25,12.0088
2016-11-28,12.1154
2016-11-29,12.1256
2016-11-30,12.1731
2016-12-01,12.012
2016-12-02,11.8903
2016-12-05,11.8354
2016-12-06,12.0286
2016-12-07,12.0993
2016-12-08,12.5465
2016-12-09,12.2153
2016-12-12,12.1867
2016-12-13,12.2308
2016-12-14,12.2211
2016-12-15,12.0987
2016-12-16,12.1003
2016-12-19,12.0499
2016-12-20,12.0062
2016-12-21,12.1438
2016-12-22,12.0818
2016-12-23,12.03
2016-12-26,12.0442
2016-12-27,12.0297
2016-12-28,11.8539
2016-12-29,12.0124
2016-12-30,12.0124
2017-01-02,11.5814
