Date,pe
2006-12-21,12.2792
2006-12-22,12.2993
2006-12-25,12.2993
2006-12-26,12.4278
2006-12-27,12.6576
2006-12-28,12.7096
2006-12-29,12.7484
2007-01-01,12.8203
2007-01-02,13.0641
2007-01-03,12.7556
2007-01-04,12.5791
2007-01-05,12.0989
2007-01-08,12.2724
2007-01-09,12.0489
2007-01-10,12.0755
2007-01-11,12.2333
2007-01-12,12.3655
2007-01-15,12.3433
2007-01-16,12.2085
2007-01-17,12.292300000000001
2007-01-18,12.2034
2007-01-19,12.5367
2007-01-22,12.5729
2007-01-23,12.7991
2007-01-24,12.9986
2007-01-25,13.0096
2007-01-26,12.8558
2007-01-29,12.5812
2007-01-30,12.7281
2007-01-31,12.9047
2007-02-01,13.0525
2007-02-02,13.172
2007-02-05,13.2065
2007-02-06,13.2784
2007-02-07,13.1049
2007-02-08,13.094
2007-02-09,12.8981
2007-02-12,12.6089
2007-02-13,12.9625
2007-02-14,13.2097
2007-02-15,13.2446
2007-02-16,13.1823
2007-02-19,13.1776
2007-02-20,13.1751
2007-02-21,13.2694
2007-02-22,13.4533
2007-02-23,13.2466
2007-02-26,13.3306
2007-02-27,12.3709
2007-02-28,12.4659
2007-03-01,12.405
2007-03-02,12.1297
2007-03-05,11.6903
2007-03-06,12.34
2007-03-07,12.2791
2007-03-08,12.555
2007-03-09,12.7577
2007-03-12,12.8006
2007-03-13,12.4324
2007-03-14,12.4665
2007-03-15,12.557
2007-03-16,12.3937
2007-03-19,12.7354
2007-03-20,12.8923
2007-03-21,13.2364
2007-03-22,13.3245
2007-03-23,13.2897
2007-03-26,13.4438
2007-03-27,13.29
2007-03-28,13.0076
2007-03-29,13.4208
2007-03-30,13.6086
2007-04-02,12.4683
2007-04-03,12.706
2007-04-04,12.8271
2007-04-05,12.8943
2007-04-06,12.8943
2007-04-09,12.9951
2007-04-10,13.0521
2007-04-11,12.9328
2007-04-12,13.0115
2007-04-13,13.2347
2007-04-16,13.4977
2007-04-17,13.4589
2007-04-18,13.3455
2007-04-19,13.3531
2007-04-20,13.5701
2007-04-23,13.5511
2007-04-24,13.3976
2007-04-25,13.6235
2007-04-26,13.4771
2007-04-27,13.363
2007-04-30,13.2555
2007-05-01,13.2235
2007-05-02,13.4023
2007-05-03,13.6676
2007-05-04,13.7245
2007-05-07,13.6202
2007-05-08,13.6292
2007-05-09,13.9571
2007-05-10,13.7156
2007-05-11,13.8734
2007-05-14,13.7537
2007-05-15,13.868500000000001
2007-05-16,14.4562
2007-05-17,14.4348
2007-05-18,14.5542
2007-05-21,14.7742
2007-05-22,14.7251
2007-05-23,14.6587
2007-05-24,14.0861
2007-05-25,14.47
2007-05-28,14.5984
2007-05-29,14.553
2007-05-30,14.7514
2007-05-31,14.8299
2007-06-01,15.3903
2007-06-04,15.2092
2007-06-05,15.1114
2007-06-06,14.5357
2007-06-07,14.5125
2007-06-08,14.4845
2007-06-11,14.7555
2007-06-12,14.5734
2007-06-13,14.9091
2007-06-14,15.197
2007-06-15,15.6046
2007-06-18,15.7049
2007-06-19,15.6743
2007-06-20,15.4602
2007-06-21,15.4886
2007-06-22,15.3661
2007-06-25,15.1642
2007-06-26,14.9781
2007-06-27,15.0684
2007-06-28,15.2018
2007-06-29,15.3597
2007-07-02,13.9223
2007-07-03,14.0387
2007-07-04,14.0806
2007-07-05,14.1257
2007-07-06,14.3264
2007-07-09,14.3528
2007-07-10,14.2198
2007-07-11,14.436
2007-07-12,14.9691
2007-07-13,15.0437
2007-07-16,15.0025
2007-07-17,15.1854
2007-07-18,15.2257
2007-07-19,15.4429
2007-07-20,15.211
2007-07-23,15.5755
2007-07-24,14.9657
2007-07-25,14.7238
2007-07-26,14.1384
2007-07-27,13.7195
2007-07-30,14.3451
2007-07-31,14.3741
2007-08-01,14.2393
2007-08-02,14.3794
2007-08-03,13.8886
2007-08-06,13.5977
2007-08-07,13.806000000000001
2007-08-08,14.3521
2007-08-09,13.6929
2007-08-10,13.1439
2007-08-13,13.3669
2007-08-14,12.5079
2007-08-15,12.017
2007-08-16,11.1463
2007-08-17,11.576
2007-08-20,12.1679
2007-08-21,12.222
2007-08-22,12.839
2007-08-23,13.0426
2007-08-24,13.3423
2007-08-27,13.5631
2007-08-28,12.8491
2007-08-29,13.0606
2007-08-30,13.2503
2007-08-31,13.7415
2007-09-03,13.8648
2007-09-04,13.9898
2007-09-05,13.7156
2007-09-06,13.8972
2007-09-07,13.9154
2007-09-10,13.3697
2007-09-11,13.9236
2007-09-12,14.0336
2007-09-13,14.4011
2007-09-14,14.2995
2007-09-17,14.1539
2007-09-18,14.8702
2007-09-19,15.3236
2007-09-20,15.3243
2007-09-21,15.5575
2007-09-24,15.8586
2007-09-25,15.8425
2007-09-26,16.2276
2007-09-27,16.72
2007-09-28,16.5051
2007-10-01,16.0162
2007-10-02,15.9605
2007-10-03,15.431
2007-10-04,15.364
2007-10-05,16.0464
2007-10-08,16.1308
2007-10-09,16.4214
2007-10-10,16.406
2007-10-11,16.3252
2007-10-12,16.2149
2007-10-15,16.4762
2007-10-16,15.9202
2007-10-17,16.4699
2007-10-18,16.4851
2007-10-19,15.8187
2007-10-22,15.6378
2007-10-23,16.2869
2007-10-24,16.2308
2007-10-25,16.3722
2007-10-26,17.0529
2007-10-29,17.56
2007-10-30,17.3188
2007-10-31,17.7454
2007-11-01,17.3527
2007-11-02,17.2755
2007-11-05,16.8764
2007-11-06,17.5697
2007-11-07,17.2994
2007-11-08,17.6167
2007-11-09,17.6478
2007-11-12,16.5443
2007-11-13,16.9656
2007-11-14,17.725
2007-11-15,17.6231
2007-11-16,17.5569
2007-11-19,16.8831
2007-11-20,16.8415
2007-11-21,16.0888
2007-11-22,16.3084
2007-11-23,16.1223
2007-11-26,15.5187
2007-11-27,15.3873
2007-11-28,16.3634
2007-11-29,16.541
2007-11-30,16.8046
2007-12-03,16.2795
2007-12-04,16.1934
2007-12-05,16.7719
2007-12-06,17.1247
2007-12-07,17.1936
2007-12-10,17.243
2007-12-11,17.0018
2007-12-12,17.117
2007-12-13,16.498
2007-12-14,16.4089
2007-12-17,15.447
2007-12-18,15.9825
2007-12-19,16.3029
2007-12-20,16.3551
2007-12-21,16.7315
2007-12-24,16.7951
2007-12-25,16.795
2007-12-26,17.1943
2007-12-27,17.1152
2007-12-28,17.3024
2007-12-31,15.9342
2008-01-01,15.9342
2008-01-02,15.6802
2008-01-03,15.7502
2008-01-04,15.102
2008-01-07,14.9599
2008-01-08,15.4992
2008-01-09,15.4476
2008-01-10,15.6259
2008-01-11,15.3379
2008-01-14,14.8965
2008-01-15,14.756
2008-01-16,14.1288
2008-01-17,13.6992
2008-01-18,13.7484
2008-01-21,12.4689
2008-01-22,13.3244
2008-01-23,12.907399999999999
2008-01-24,13.969899999999999
2008-01-25,14.0395
2008-01-28,14.3631
2008-01-29,14.5352
2008-01-30,14.7223
2008-01-31,14.603
2008-02-01,15.1176
2008-02-04,15.1298
2008-02-05,15.0483
2008-02-06,14.5114
2008-02-07,14.4888
2008-02-08,14.5614
2008-02-11,14.9474
2008-02-12,15.3734
2008-02-13,15.5667
2008-02-14,15.3691
2008-02-15,15.1928
2008-02-18,15.7267
2008-02-19,15.7108
2008-02-20,16.0343
2008-02-21,16.2111
2008-02-22,16.4122
2008-02-25,16.5356
2008-02-26,16.7579
2008-02-27,17.0751
2008-02-28,17.1538
2008-02-29,16.3257
2008-03-03,16.4882
2008-03-04,16.2379
2008-03-05,16.6175
2008-03-06,16.2845
2008-03-07,15.785
2008-03-10,15.2131
2008-03-11,15.8341
2008-03-12,15.9775
2008-03-13,15.798
2008-03-14,15.6923
2008-03-17,14.924900000000001
2008-03-18,15.4895
2008-03-19,14.6667
2008-03-20,14.3222
2008-03-21,14.3222
2008-03-24,14.6552
2008-03-25,15.0349
2008-03-26,15.2112
2008-03-27,15.0594
2008-03-28,14.9126
2008-03-31,14.4509
2008-04-01,14.9069
2008-04-02,15.2455
2008-04-03,15.422
2008-04-04,15.6685
2008-04-07,15.6406
2008-04-08,15.7615
2008-04-09,15.6416
2008-04-10,15.7395
2008-04-11,15.426
2008-04-14,15.5944
2008-04-15,15.7503
2008-04-16,16.1429
2008-04-17,16.4157
2008-04-18,16.4478
2008-04-21,16.4378
2008-04-22,16.6655
2008-04-23,16.5286
2008-04-24,16.1789
2008-04-25,16.3359
2008-04-28,16.4062
2008-04-29,15.6782
2008-04-30,16.5444
2008-05-01,16.9358
2008-05-02,17.3866
2008-05-05,17.4496
2008-05-06,17.5842
2008-05-07,17.2466
2008-05-08,17.2443
2008-05-09,17.222
2008-05-12,17.585
2008-05-13,17.7742
2008-05-14,17.6361
2008-05-15,18.0404
2008-05-16,18.5392
2008-05-19,18.7918
2008-05-20,18.7675
