Date,pe
2006-01-02,19.7818
2006-01-03,20.0216
2006-01-04,20.278
2006-01-05,20.3329
2006-01-06,20.3329
2006-01-09,20.5435
2006-01-10,20.8072
2006-01-11,21.0031
2006-01-12,21.0031
2006-01-13,20.9574
2006-01-16,21.265
2006-01-17,21.3272
2006-01-18,21.0324
2006-01-19,21.4096
2006-01-20,21.5305
2006-01-23,21.3089
2006-01-24,21.6404
2006-01-25,21.5635
2006-01-26,21.4536
2006-01-27,21.254
2006-01-30,21.2375
2006-01-31,21.3199
2006-02-01,21.4353
2006-02-02,21.7374
2006-02-03,21.6459
2006-02-06,21.9279
2006-02-07,21.9187
2006-02-08,22.0432
2006-02-09,22.3563
2006-02-10,22.2501
2006-02-13,21.9572
2006-02-14,21.7795
2006-02-15,21.7685
2006-02-16,22.0176
2006-02-17,22.0945
2006-02-20,22.2739
2006-02-21,22.4644
2006-02-22,22.7519
2006-02-23,22.8855
2006-02-24,23.0009
2006-02-27,22.805
2006-02-28,22.9039
2006-03-01,22.4745
2006-03-02,22.0387
2006-03-03,21.8336
2006-03-06,21.8336
2006-03-07,21.3282
2006-03-08,21.2696
2006-03-09,21.7549
2006-03-10,21.8336
2006-03-13,22.1797
2006-03-14,21.8446
2006-03-15,21.8647
2006-03-16,22.1888
2006-03-17,22.469
2006-03-20,22.5605
2006-03-21,22.4983
2006-03-22,22.3298
2006-03-23,22.3078
2006-03-24,22.3701
2006-03-27,22.1559
2006-03-28,21.8867
2006-03-29,21.9599
2006-03-30,22.1614
2006-03-31,20.0409
2006-04-03,20.0773
2006-04-04,20.1849
2006-04-05,20.2445
2006-04-06,20.6769
2006-04-07,20.892
2006-04-10,20.8787
2006-04-11,20.5412
2006-04-12,20.3327
2006-04-13,20.278
2006-04-14,20.278
2006-04-17,20.278
2006-04-18,20.2847
2006-04-19,20.4849
2006-04-20,20.2416
2006-04-21,20.2416
2006-04-24,20.2416
2006-04-25,19.957
2006-04-26,20.1688
2006-04-27,20.0331
2006-04-28,19.9272
2006-05-01,19.9272
2006-05-02,20.24
2006-05-03,20.3674
2006-05-04,20.5296
2006-05-05,20.657
2006-05-08,20.7844
2006-05-09,20.7133
2006-05-10,20.427
2006-05-11,20.2549
2006-05-12,20.005
2006-05-15,19.5417
2006-05-16,19.588
2006-05-17,19.2211
2006-05-18,18.7097
2006-05-19,18.5707
2006-05-22,17.548000000000002
2006-05-23,18.1289
2006-05-24,17.5811
2006-05-25,17.6308
2006-05-26,18.2034
2006-05-29,18.3473
2006-05-30,17.8343
2006-05-31,18.0577
2006-06-01,17.9355
2006-06-02,18.0313
2006-06-05,17.6231
