Date,pe
2008-05-01,18.8039
2008-05-02,18.8009
2008-05-05,18.7444
2008-05-06,18.5698
2008-05-07,18.2431
2008-05-08,18.2305
2008-05-09,18.2315
2008-05-12,17.9339
2008-05-13,18.2353
2008-05-14,18.3167
2008-05-15,18.2991
2008-05-16,18.2996
2008-05-19,17.8071
2008-05-20,17.9367
2008-05-21,17.9218
2008-05-22,17.9291
2008-05-23,17.9253
2008-05-26,17.7286
2008-05-27,17.5877
2008-05-28,17.6414
2008-05-29,17.6492
2008-05-30,17.6487
2008-06-02,18.2059
2008-06-03,18.1629
2008-06-04,18.4819
2008-06-05,18.5087
2008-06-06,18.5091
2008-06-09,18.7888
2008-06-10,18.8128
2008-06-11,18.6732
2008-06-12,18.6664
2008-06-13,18.6669
2008-06-16,18.8927
2008-06-17,18.933
2008-06-18,18.8137
2008-06-19,18.8225
2008-06-20,18.823
2008-06-23,18.8873
2008-06-24,18.7648
2008-06-25,18.4694
2008-06-26,18.4551
2008-06-27,18.4546
2008-06-30,17.5176
2008-07-01,17.5637
2008-07-02,17.7136
2008-07-03,17.7359
2008-07-04,17.7359
2008-07-07,17.6379
2008-07-08,17.264
2008-07-09,16.6211
2008-07-10,16.6095
2008-07-11,16.6095
2008-07-14,16.9056
2008-07-15,16.282
2008-07-16,16.5925
2008-07-17,16.589199999999998
2008-07-18,16.5875
2008-07-21,17.0357
2008-07-22,17.0153
2008-07-23,17.0449
2008-07-24,17.0264
2008-07-25,17.0264
2008-07-28,16.3612
2008-07-29,16.3213
2008-07-30,16.253
2008-07-31,16.2391
2008-08-01,16.2391
2008-08-04,15.6529
2008-08-05,15.7454
2008-08-06,15.7058
2008-08-07,15.7022
2008-08-08,15.7022
2008-08-11,14.9811
2008-08-12,15.1752
2008-08-13,15.1984
2008-08-14,15.2038
2008-08-15,15.2038
2008-08-18,15.4876
2008-08-19,15.6004
2008-08-20,15.7276
2008-08-21,15.7188
2008-08-22,15.7188
2008-08-25,16.6746
2008-08-26,16.7669
2008-08-27,16.6092
2008-08-28,16.6098
2008-08-29,16.6107
2008-09-01,16.2924
2008-09-02,15.9255
2008-09-03,15.7723
2008-09-04,15.7786
2008-09-05,15.7786
2008-09-08,15.3729
2008-09-09,14.907
2008-09-10,15.1094
2008-09-11,15.1145
2008-09-12,15.1141
2008-09-15,13.611
2008-09-16,13.5655
2008-09-17,13.8658
2008-09-18,13.852
2008-09-19,13.8716
2008-09-22,13.9881
2008-09-23,13.984
2008-09-24,13.4095
2008-09-25,13.415
2008-09-26,13.4157
2008-09-29,13.0168
2008-09-30,14.0956
2008-10-01,14.0948
2008-10-02,14.0959
2008-10-03,14.0922
2008-10-06,13.6725
2008-10-07,11.8424
2008-10-08,11.8402
2008-10-09,11.8608
2008-10-10,11.8956
2008-10-13,12.5338
2008-10-14,13.3676
2008-10-15,13.6073
2008-10-16,13.6009
2008-10-17,13.6035
2008-10-20,12.329
2008-10-21,12.4219
2008-10-22,11.9291
2008-10-23,11.9303
2008-10-24,11.9287
2008-10-27,10.3146
2008-10-28,10.8061
2008-10-29,10.5634
2008-10-30,10.5536
2008-10-31,10.5556
2008-11-03,11.0407
2008-11-04,11.2893
2008-11-05,11.2745
2008-11-06,11.2945
2008-11-07,11.2794
2008-11-10,10.6699
2008-11-11,10.1219
2008-11-12,10.0712
2008-11-13,10.0828
2008-11-14,10.0828
2008-11-17,9.4551
2008-11-18,8.9743
2008-11-19,8.7864
2008-11-20,8.7937
2008-11-21,8.7937
2008-11-24,8.1762
2008-11-25,8.1275
2008-11-26,7.9287
2008-11-27,7.927
2008-11-28,7.927
2008-12-01,8.7296
2008-12-02,8.3719
2008-12-03,8.542300000000001
2008-12-04,8.5389
2008-12-05,8.5361
2008-12-08,8.5373
2008-12-09,8.5389
2008-12-10,8.5364
2008-12-11,8.5361
2008-12-12,8.5375
2008-12-15,8.933
2008-12-16,8.9228
2008-12-17,9.0582
2008-12-18,9.0599
2008-12-19,9.0589
2008-12-22,8.7263
2008-12-23,8.7292
2008-12-24,8.568
2008-12-25,8.571
2008-12-26,8.574
2008-12-29,8.7651
2008-12-30,8.8546
2008-12-31,13.766
2009-01-01,13.7814
2009-01-02,13.7741
2009-01-05,14.9859
2009-01-06,15.3634
2009-01-07,15.3635
2009-01-08,15.369
2009-01-09,15.3699
2009-01-12,14.7786
2009-01-13,14.5305
2009-01-14,14.2099
2009-01-15,14.2159
2009-01-16,14.2166
2009-01-19,13.2531
2009-01-20,12.9147
2009-01-21,12.7592
2009-01-22,12.7545
2009-01-23,12.7545
2009-01-26,13.4888
2009-01-27,13.646
2009-01-28,13.6144
2009-01-29,13.614
2009-01-30,13.614
2009-02-02,13.3885
2009-02-03,13.5563
2009-02-04,13.5635
2009-02-05,13.5664
2009-02-06,13.5653
2009-02-09,14.0315
2009-02-10,13.9805
2009-02-11,13.8053
2009-02-12,13.7932
2009-02-13,13.7936
2009-02-16,13.9527
2009-02-17,13.2896
2009-02-18,13.5169
2009-02-19,13.5277
2009-02-20,13.5277
2009-02-23,13.4528
2009-02-24,12.7211
2009-02-25,12.6675
2009-02-26,12.6657
2009-02-27,12.6657
2009-03-02,11.9926
2009-03-03,11.9926
2009-03-04,12.0472
2009-03-05,12.0564
2009-03-06,12.0564
2009-03-09,11.3214
2009-03-10,11.418
2009-03-11,11.4218
2009-03-12,11.4224
2009-03-13,11.4221
2009-03-16,12.2377
2009-03-17,12.0643
2009-03-18,12.2696
2009-03-19,12.2659
2009-03-20,12.2656
2009-03-23,12.753
2009-03-24,12.9022
2009-03-25,12.9997
2009-03-26,13.009
2009-03-27,13.009
2009-03-30,12.8777
2009-03-31,16.0506
2009-04-01,16.1331
2009-04-02,16.1238
2009-04-03,16.1234
2009-04-06,17.4078
2009-04-07,17.1345
2009-04-08,17.0997
2009-04-09,17.1116
2009-04-10,17.1129
2009-04-13,17.9723
2009-04-14,18.3049
2009-04-15,18.1382
2009-04-16,18.1374
2009-04-17,18.1374
2009-04-20,17.5553
2009-04-21,16.9246
2009-04-22,17.5491
2009-04-23,17.5575
2009-04-24,17.5575
2009-04-27,18.17
2009-04-28,18.3187
2009-04-29,18.9775
2009-04-30,18.9949
2009-05-01,18.9944
2009-05-04,19.4932
2009-05-05,19.8546
2009-05-06,19.8972
2009-05-07,19.901
2009-05-08,19.902
2009-05-11,20.5938
2009-05-12,20.8367
2009-05-13,20.9528
2009-05-14,20.9715
2009-05-15,20.971
2009-05-18,20.663
2009-05-19,21.0414
2009-05-20,21.0078
2009-05-21,20.9828
2009-05-22,20.9833
2009-05-25,20.6642
2009-05-26,20.1124
2009-05-27,20.2242
2009-05-28,20.2373
2009-05-29,20.2384
2009-06-01,20.622700000000002
2009-06-02,20.6372
2009-06-03,20.7277
2009-06-04,20.7184
2009-06-05,20.7184
2009-06-08,20.2114
2009-06-09,20.2328
2009-06-10,20.4847
2009-06-11,20.4734
2009-06-12,20.4739
2009-06-15,20.8108
2009-06-16,20.8961
2009-06-17,20.5399
2009-06-18,20.5469
2009-06-19,20.5464
2009-06-22,19.5814
2009-06-23,19.1735
2009-06-24,19.2563
2009-06-25,19.2681
2009-06-26,19.2686
2009-06-29,18.9563
2009-06-30,23.3287
2009-07-01,23.4014
2009-07-02,23.3814
2009-07-03,23.3814
2009-07-06,22.4726
2009-07-07,22.7157
2009-07-08,22.445
2009-07-09,22.4606
2009-07-10,22.4594
2009-07-13,22.8506
2009-07-14,23.4574
2009-07-15,23.6664
2009-07-16,23.6585
2009-07-17,23.6585
2009-07-20,24.0192
2009-07-21,24.2592
2009-07-22,23.7991
2009-07-23,23.7607
2009-07-24,23.762
2009-07-27,24.6798
2009-07-28,24.3546
2009-07-29,24.3948
2009-07-30,24.4073
2009-07-31,24.408
2009-08-03,24.6969
2009-08-04,24.482
2009-08-05,24.4199
2009-08-06,24.4201
2009-08-07,24.4201
2009-08-10,25.1283
2009-08-11,25.0129
2009-08-12,24.872
2009-08-13,24.8763
2009-08-14,24.8776
2009-08-17,24.2502
2009-08-18,24.5253
2009-08-19,23.8134
2009-08-20,23.8371
2009-08-21,23.8371
2009-08-24,24.7613
2009-08-25,24.7681
2009-08-26,24.5964
2009-08-27,24.599
2009-08-28,24.599
2009-08-31,24.1813
2009-09-01,24.0958
2009-09-02,24.1062
2009-09-03,24.1303
2009-09-04,24.1303
2009-09-07,24.4587
2009-09-08,24.8087
2009-09-09,24.6442
2009-09-10,24.6423
2009-09-11,24.6423
2009-09-14,25.264
2009-09-15,25.3951
2009-09-16,25.7086
2009-09-17,25.6922
2009-09-18,25.6922
2009-09-21,25.6922
2009-09-22,25.6922
2009-09-23,25.6922
2009-09-24,25.6922
2009-09-25,25.6922
2009-09-28,26.4658
2009-09-29,26.5731
2009-09-30,31.446
2009-10-01,31.4421
2009-10-02,31.4421
2009-10-05,31.4416
2009-10-06,31.8662
2009-10-07,31.707
2009-10-08,31.7092
2009-10-09,31.7092
2009-10-12,32.0863
2009-10-13,31.779
2009-10-14,32.4134
2009-10-15,32.4106
2009-10-16,32.4106
2009-10-19,32.8811
2009-10-20,32.815
2009-10-21,32.5982
2009-10-22,32.5744
2009-10-23,32.5744
2009-10-26,32.7781
2009-10-27,32.6445
2009-10-28,32.1181
2009-10-29,32.1243
2009-10-30,32.1243
2009-11-02,31.8344
2009-11-03,31.3033
2009-11-04,31.5517
2009-11-05,31.6068
2009-11-06,31.6068
2009-11-09,31.4061
2009-11-10,31.199
2009-11-11,31.3512
2009-11-12,31.3572
2009-11-13,31.3572
2009-11-16,31.5951
2009-11-17,31.682
2009-11-18,31.6406
2009-11-19,31.6192
2009-11-20,31.6192
2009-11-23,31.4566
2009-11-24,31.4305
2009-11-25,31.7559
2009-11-26,31.7713
2009-11-27,31.7713
2009-11-30,31.7553
2009-12-01,32.2696
2009-12-02,32.2739
2009-12-03,32.2739
2009-12-04,32.273
2009-12-07,31.8721
2009-12-08,31.2546
2009-12-09,30.4925
2009-12-10,30.5095
2009-12-11,30.5095
2009-12-14,31.4622
2009-12-15,31.2457
2009-12-16,31.4711
2009-12-17,31.4543
2009-12-18,31.4543
2009-12-21,32.0378
2009-12-22,31.9036
2009-12-23,32.0257
2009-12-24,32.024
2009-12-25,32.024
2009-12-28,31.814799999999998
2009-12-29,31.532
2009-12-30,31.5125
2009-12-31,23.4519
2010-01-01,23.4519
2010-01-04,23.897
2010-01-05,23.9745
2010-01-06,24.0924
2010-01-07,24.0964
2010-01-08,24.0964
2010-01-11,24.2418
2010-01-12,24.1375
2010-01-13,24.2053
2010-01-14,24.1892
2010-01-15,24.1892
2010-01-18,24.5512
2010-01-19,24.4157
2010-01-20,24.485
2010-01-21,24.485
2010-01-22,24.485
2010-01-25,24.3217
2010-01-26,24.0736
2010-01-27,24.0363
2010-01-28,24.0363
2010-01-29,24.0363
2010-02-01,23.9345
2010-02-02,23.9803
2010-02-03,24.0833
2010-02-04,24.0827
2010-02-05,24.082
2010-02-08,23.848300000000002
2010-02-09,23.7471
2010-02-10,23.8808
2010-02-11,23.8808
2010-02-12,23.8808
2010-02-15,24.3387
2010-02-16,24.5326
2010-02-17,24.6416
2010-02-18,24.641
2010-02-19,24.641
2010-02-22,24.9036
2010-02-23,24.7965
2010-02-24,24.7734
2010-02-25,24.7748
2010-02-26,24.7754
2010-03-01,24.6585
2010-03-02,24.8241
2010-03-03,24.9579
2010-03-04,24.9579
2010-03-05,24.9579
2010-03-08,25.2716
2010-03-09,25.1794
2010-03-10,25.3354
2010-03-11,25.3354
2010-03-12,25.3354
2010-03-15,25.3723
2010-03-16,25.5048
2010-03-17,25.7752
2010-03-18,25.7745
2010-03-19,25.7739
2010-03-22,25.7818
2010-03-23,26.0318
2010-03-24,26.1366
2010-03-25,26.1366
2010-03-26,26.1366
2010-03-29,26.3384
2010-03-30,26.5202
2010-03-31,22.4545
2010-04-01,22.4545
2010-04-02,22.4545
2010-04-05,22.4244
2010-04-06,22.1585
2010-04-07,22.2209
2010-04-08,22.2209
2010-04-09,22.2209
2010-04-12,22.7204
2010-04-13,22.7782
2010-04-14,22.8085
2010-04-15,22.8085
2010-04-16,22.8085
2010-04-19,22.6269
2010-04-20,22.0831
2010-04-21,22.1773
2010-04-22,22.1779
2010-04-23,22.1779
2010-04-26,23.0792
2010-04-27,22.9994
2010-04-28,22.8373
2010-04-29,22.8373
2010-04-30,22.8373
2010-05-03,22.9248
2010-05-04,22.9155
2010-05-05,22.6626
2010-05-06,22.6626
2010-05-07,22.660800000000002
2010-05-10,22.4797
2010-05-11,22.1854
2010-05-12,22.2197
2010-05-13,22.2197
2010-05-14,22.2197
2010-05-17,21.3567
2010-05-18,21.6176
2010-05-19,20.9848
2010-05-20,20.9848
2010-05-21,20.9848
2010-05-24,20.1504
2010-05-25,18.6454
2010-05-26,19.1217
2010-05-27,19.4071
2010-05-28,19.4076
2010-05-31,20.3344
2010-06-01,19.8526
2010-06-02,19.8811
2010-06-03,19.8817
2010-06-04,19.8806
2010-06-07,19.9257
2010-06-08,20.001
2010-06-09,20.3992
2010-06-10,20.3976
2010-06-11,20.3992
2010-06-14,21.0553
2010-06-15,21.0577
2010-06-16,21.1311
2010-06-17,21.1306
2010-06-18,21.1317
2010-06-21,21.5443
2010-06-22,21.1633
2010-06-23,21.1094
2010-06-24,21.1094
2010-06-25,21.11
2010-06-28,20.9443
2010-06-29,20.3464
2010-06-30,18.3489
2010-07-01,18.3489
2010-07-02,18.3489
2010-07-05,18.2398
2010-07-06,18.6282
2010-07-07,18.2946
2010-07-08,18.2946
2010-07-09,18.2946
2010-07-12,18.7959
2010-07-13,18.8663
2010-07-14,18.68
2010-07-15,18.68
2010-07-16,18.68
2010-07-19,18.598300000000002
2010-07-20,18.3539
2010-07-21,18.4099
2010-07-22,18.4291
2010-07-23,18.4291
2010-07-26,18.6673
2010-07-27,18.8678
2010-07-28,18.8375
2010-07-29,18.8385
2010-07-30,18.8385
2010-08-02,19.1108
2010-08-03,18.985500000000002
2010-08-04,18.9869
2010-08-05,18.9869
2010-08-06,18.9869
2010-08-09,19.0923
2010-08-10,18.9143
2010-08-11,18.6664
2010-08-12,18.6664
2010-08-13,18.6664
2010-08-16,18.5894
2010-08-17,18.6404
2010-08-18,18.4816
2010-08-19,18.4816
2010-08-20,18.4806
2010-08-23,18.4546
2010-08-24,18.1545
2010-08-25,18.1237
2010-08-26,18.1242
2010-08-27,18.1242
2010-08-30,18.3274
2010-08-31,18.3544
2010-09-01,18.5123
2010-09-02,18.5123
2010-09-03,18.5123
2010-09-06,18.9429
2010-09-07,18.9429
2010-09-08,18.9429
2010-09-09,18.9434
2010-09-10,18.9434
2010-09-13,18.9434
2010-09-14,19.149
2010-09-15,19.01
2010-09-16,19.0095
2010-09-17,19.0095
2010-09-20,19.262
2010-09-21,19.3216
2010-09-22,19.3216
2010-09-23,19.3216
2010-09-24,19.3211
2010-09-27,19.3929
2010-09-28,19.2175
2010-09-29,19.1509
2010-09-30,19.1509
2010-10-01,19.1509
2010-10-04,19.1509
2010-10-05,19.1509
2010-10-06,19.1509
2010-10-07,19.1509
2010-10-08,19.1509
2010-10-11,19.1509
2010-10-12,19.1509
2010-10-13,19.1509
2010-10-14,19.1509
2010-10-15,19.1509
2010-10-18,19.1509
2010-10-19,19.1509
2010-10-20,19.1509
2010-10-21,19.1509
2010-10-22,19.1509
2010-10-25,19.1509
2010-10-26,19.1509
2010-10-27,19.1509
2010-10-28,19.1509
2010-10-29,19.1509
2010-11-01,19.1509
2010-11-02,19.1509
2010-11-03,19.1509
2010-11-04,19.1509
2010-11-05,19.1509
2010-11-08,19.1509
2010-11-09,19.1509
2010-11-10,19.1509
2010-11-11,19.1509
2010-11-12,19.1509
2010-11-15,19.1509
2010-11-16,19.1509
2010-11-17,19.1509
2010-11-18,19.1509
2010-11-19,19.1509
2010-11-22,19.1509
2010-11-23,19.1509
2010-11-24,19.1509
2010-11-25,19.1509
2010-11-26,19.1509
2010-11-29,19.1509
2010-11-30,19.1509
2010-12-01,19.1509
2010-12-02,19.1509
2010-12-03,19.1509
2010-12-06,19.1509
2010-12-07,19.1509
2010-12-08,19.1509
2010-12-09,19.1509
2010-12-10,19.1509
2010-12-13,19.1509
2010-12-14,19.1509
2010-12-15,19.1509
2010-12-16,19.1509
2010-12-17,19.1509
2010-12-20,19.1509
2010-12-21,19.1509
2010-12-22,19.1509
2010-12-23,19.1509
2010-12-24,19.1509
2010-12-27,19.1509
2010-12-28,19.1509
2010-12-29,19.1509
2010-12-30,19.1509
2010-12-31,19.1509
2011-01-03,19.1509
2011-01-04,19.1509
2011-01-05,19.1509
2011-01-06,19.1509
2011-01-07,19.1509
2011-01-10,19.1509
2011-01-11,19.1509
2011-01-12,19.1509
2011-01-13,19.1509
2011-01-14,19.1509
2011-01-17,19.1509
2011-01-18,19.1509
2011-01-19,19.1509
2011-01-20,19.1509
2011-01-21,19.1509
2011-01-24,19.1509
2011-01-25,19.1509
2011-01-26,19.1509
2011-01-27,19.1509
2011-01-28,19.1509
2011-01-31,19.1509
2011-02-01,19.1509
2011-02-02,19.1509
2011-02-03,19.1509
2011-02-04,19.1509
2011-02-07,19.1509
2011-02-08,19.1509
2011-02-09,19.1509
2011-02-10,19.1509
2011-02-11,19.1509
2011-02-14,19.1509
2011-02-15,19.1509
2011-02-16,19.1509
2011-02-17,19.1509
2011-02-18,19.1509
2011-02-21,19.1509
2011-02-22,19.1509
2011-02-23,19.1509
2011-02-24,19.1509
2011-02-25,19.1509
2011-02-28,19.1509
2011-03-01,19.1509
2011-03-02,19.1509
2011-03-03,19.1509
2011-03-04,19.1509
2011-03-07,19.1509
2011-03-08,19.1509
2011-03-09,19.1509
2011-03-10,19.1509
2011-03-11,19.1509
2011-03-14,19.1509
2011-03-15,19.1509
2011-03-16,19.1509
2011-03-17,19.1509
2011-03-18,19.1509
2011-03-21,19.1509
2011-03-22,19.1509
2011-03-23,19.1509
2011-03-24,19.1509
2011-03-25,19.1509
2011-03-28,19.1509
2011-03-29,19.1509
2011-03-30,19.1509
2011-03-31,19.1509
2011-04-01,19.1509
2011-04-04,19.1509
2011-04-05,19.1509
2011-04-06,19.1509
2011-04-07,19.1509
2011-04-08,19.1509
2011-04-11,19.1509
2011-04-12,19.1509
2011-04-13,19.1509
2011-04-14,19.1509
2011-04-15,19.1509
2011-04-18,19.1509
2011-04-19,19.1509
2011-04-20,19.1509
2011-04-21,19.1509
2011-04-22,19.1509
2011-04-25,19.1509
2011-04-26,19.1509
2011-04-27,19.1509
2011-04-28,19.1509
2011-04-29,19.1509
2011-05-02,19.1509
2011-05-03,19.1509
2011-05-04,19.1509
2011-05-05,19.1509
2011-05-06,19.1509
2011-05-09,19.1509
2011-05-10,19.1509
2011-05-11,19.1509
2011-05-12,19.1509
2011-05-13,19.1509
2011-05-16,19.1509
2011-05-17,19.1509
2011-05-18,19.1509
2011-05-19,19.1509
2011-05-20,19.1509
2011-05-23,19.1509
2011-05-24,19.1509
2011-05-25,19.1509
2011-05-26,19.1509
2011-05-27,19.1509
2011-05-30,19.1509
2011-05-31,19.1509
2011-06-01,19.1509
2011-06-02,19.1509
2011-06-03,19.1509
2011-06-06,19.1509
2011-06-07,19.1509
2011-06-08,19.1509
2011-06-09,19.1509
2011-06-10,19.1509
2011-06-13,19.1509
2011-06-14,19.1509
2011-06-15,19.1509
2011-06-16,19.1509
2011-06-17,19.1509
2011-06-20,19.1509
2011-06-21,19.1509
2011-06-22,19.1509
2011-06-23,19.1509
2011-06-24,19.1509
2011-06-27,19.1509
2011-06-28,19.1509
2011-06-29,19.1509
2011-06-30,19.1509
2011-07-01,19.1509
2011-07-04,19.1509
2011-07-05,19.1509
2011-07-06,19.1509
2011-07-07,19.1509
2011-07-08,19.1509
2011-07-11,19.1509
2011-07-12,19.1509
2011-07-13,19.1509
2011-07-14,19.1509
2011-07-15,19.1509
2011-07-18,19.1509
2011-07-19,19.1509
2011-07-20,19.1509
2011-07-21,19.1509
2011-07-22,19.1509
2011-07-25,19.1509
2011-07-26,19.1509
2011-07-27,19.1509
2011-07-28,19.1509
2011-07-29,19.1509
2011-08-01,19.1509
2011-08-02,19.1509
2011-08-03,19.1509
2011-08-04,19.1509
2011-08-05,19.1509
2011-08-08,19.1509
2011-08-09,19.1509
2011-08-10,19.1509
2011-08-11,19.1509
2011-08-12,19.1509
2011-08-15,19.1509
2011-08-16,19.1509
2011-08-17,19.1509
2011-08-18,19.1509
2011-08-19,19.1509
2011-08-22,19.1509
2011-08-23,19.1509
2011-08-24,19.1509
2011-08-25,19.1509
2011-08-26,19.1509
2011-08-29,19.1509
2011-08-30,19.1509
2011-08-31,19.1509
2011-09-01,19.1509
2011-09-02,19.1509
2011-09-05,19.1509
2011-09-06,19.1509
2011-09-07,19.1509
2011-09-08,19.1509
2011-09-09,19.1509
2011-09-12,19.1509
2011-09-13,19.1509
2011-09-14,19.1509
2011-09-15,19.1509
2011-09-16,19.1509
2011-09-19,19.1509
2011-09-20,19.1509
2011-09-21,19.1509
2011-09-22,19.1509
2011-09-23,19.1509
2011-09-26,19.1509
2011-09-27,19.1509
2011-09-28,19.1509
2011-09-29,19.1509
2011-09-30,19.1509
2011-10-03,19.1509
2011-10-04,19.1509
2011-10-05,19.1509
2011-10-06,19.1509
2011-10-07,19.1509
2011-10-10,19.1509
2011-10-11,19.1509
2011-10-12,19.1509
2011-10-13,19.1509
2011-10-14,19.1509
2011-10-17,19.1509
2011-10-18,19.1509
2011-10-19,19.1509
2011-10-20,19.1509
2011-10-21,19.1509
2011-10-24,19.1509
2011-10-25,19.1509
2011-10-26,19.1509
2011-10-27,19.1509
2011-10-28,19.1509
2011-10-31,19.1509
2011-11-01,19.1509
2011-11-02,19.1509
2011-11-03,19.1509
2011-11-04,19.1509
2011-11-07,19.1509
2011-11-08,19.1509
2011-11-09,19.1509
