Date,pe
1999-12-31,11.2777
2000-01-03,11.6059
2000-01-04,11.7685
2000-01-05,11.7685
2000-01-06,11.9235
2000-01-07,11.9235
2000-01-10,11.9235
2000-01-11,11.9235
2000-01-12,12.7223
2000-01-13,12.7061
2000-01-14,13.1732
2000-01-17,13.406
2000-01-18,13.3998
2000-01-19,13.4341
2000-01-20,13.6838
2000-01-21,14.4567
2000-01-24,14.0182
2000-01-25,13.0325
2000-01-26,13.2863
2000-01-27,13.485
2000-01-28,13.7718
2000-01-31,13.9644
2000-02-01,13.7978
2000-02-02,14.0986
2000-02-03,14.014
2000-02-04,13.9787
2000-02-07,14.0713
2000-02-08,14.6487
2000-02-09,14.5275
2000-02-10,14.5241
2000-02-11,13.857
2000-02-14,14.5783
2000-02-15,14.9237
2000-02-16,14.8777
2000-02-17,15.3922
2000-02-18,15.8653
2000-02-21,16.2945
2000-02-22,16.490099999999998
2000-02-23,16.661
2000-02-24,16.4188
2000-02-25,16.1227
2000-02-28,15.6971
2000-02-29,15.06
2000-03-01,14.6546
2000-03-02,15.065
2000-03-03,14.8556
2000-03-06,15.4159
2000-03-07,15.4472
2000-03-08,15.262
2000-03-09,15.1802
2000-03-10,15.0098
2000-03-13,14.9382
2000-03-14,15.1101
2000-03-15,15.17
2000-03-16,15.7625
2000-03-17,15.7625
2000-03-20,16.0203
2000-03-21,16.0534
2000-03-22,16.0525
2000-03-23,16.0525
2000-03-24,15.5602
2000-03-27,15.0185
2000-03-28,15.5494
2000-03-29,15.614
2000-03-30,15.6458
2000-03-31,15.4696
2000-04-03,15.4518
2000-04-04,15.0848
2000-04-05,15.0273
2000-04-06,15.1406
2000-04-07,15.044
2000-04-10,14.8499
2000-04-11,15.2054
2000-04-12,15.1936
2000-04-13,15.0747
2000-04-14,15.4942
2000-04-17,15.5968
2000-04-18,15.8266
2000-04-19,16.2934
2000-04-20,16.1498
2000-04-21,15.8667
2000-04-24,15.5087
2000-04-25,15.5819
2000-04-26,15.5925
2000-04-27,15.8057
2000-04-28,16.2954
2000-05-01,16.4207
2000-05-02,15.9265
2000-05-03,15.9482
2000-05-04,15.7405
2000-05-05,15.886
2000-05-08,15.2623
2000-05-09,14.8315
2000-05-10,15.1251
2000-05-11,14.5796
2000-05-12,13.9404
2000-05-15,13.5099
2000-05-16,13.31
2000-05-17,13.6018
2000-05-18,13.7974
2000-05-19,14.2813
2000-05-22,14.049
2000-05-23,14.1927
2000-05-24,13.599
2000-05-25,13.3804
2000-05-26,12.255
2000-05-29,11.3279
2000-05-30,11.3279
2000-05-31,10.1283
2000-06-01,9.3099
2000-06-02,9.494
2000-06-05,9.317
2000-06-06,9.0145
2000-06-07,9.0867
2000-06-08,8.9714
2000-06-09,8.7791
2000-06-12,9.0859
2000-06-13,9.2626
2000-06-14,9.1839
2000-06-15,9.4244
2000-06-16,9.4244
2000-06-19,9.3868
2000-06-20,9.669
2000-06-21,9.9987
2000-06-22,9.6313
2000-06-23,9.8701
2000-06-26,9.8328
2000-06-27,9.7388
2000-06-28,9.9245
2000-06-29,9.8402
2000-06-30,75.0619
2000-07-03,74.9376
2000-07-04,74.7008
2000-07-05,74.6816
2000-07-06,75.0722
2000-07-07,74.6415
2000-07-10,74.5086
2000-07-11,75.1132
2000-07-12,76.5073
2000-07-13,76.1003
2000-07-14,76.1238
2000-07-17,77.5518
2000-07-18,79.3744
2000-07-19,81.5525
2000-07-20,82.2871
2000-07-21,81.8595
2000-07-24,82.9359
2000-07-25,81.3505
2000-07-26,80.2978
2000-07-27,79.1603
2000-07-28,78.8111
2000-07-31,75.8471
2000-08-01,76.5258
2000-08-02,75.9085
2000-08-03,75.5563
2000-08-04,75.8419
2000-08-07,76.8289
2000-08-08,77.2614
2000-08-09,76.2886
2000-08-10,76.6007
2000-08-11,76.5391
2000-08-14,76.5391
2000-08-15,76.9796
2000-08-16,77.4293
2000-08-17,77.4818
2000-08-18,76.7157
2000-08-21,75.921
2000-08-22,75.9821
2000-08-23,74.7188
2000-08-24,74.2718
2000-08-25,73.161
2000-08-28,72.1927
2000-08-29,72.3131
2000-08-30,72.4796
2000-08-31,72.3766
2000-09-01,71.9329
2000-09-04,74.7632
2000-09-05,74.2252
2000-09-06,75.083
2000-09-07,75.1326
2000-09-08,75.1526
2000-09-11,75.5867
2000-09-12,76.1875
2000-09-13,75.325
2000-09-14,74.5248
2000-09-15,73.9963
2000-09-18,73.2501
2000-09-19,73.9228
2000-09-20,74.4801
2000-09-21,74.4738
2000-09-22,73.4528
2000-09-25,73.8853
2000-09-26,73.7313
2000-09-27,73.6275
2000-09-28,75.3144
2000-09-29,27.7852
2000-10-02,26.0497
2000-10-03,26.2897
2000-10-04,26.5169
2000-10-05,26.1946
2000-10-06,26.0424
2000-10-09,26.1469
2000-10-10,26.1252
2000-10-11,25.9511
2000-10-12,25.7995
2000-10-13,25.4601
2000-10-16,24.8949
2000-10-17,25.0332
2000-10-18,25.0582
2000-10-19,24.7632
2000-10-20,24.7446
2000-10-23,25.0214
2000-10-24,24.9515
2000-10-25,25.0226
2000-10-26,24.5955
2000-10-27,24.3941
2000-10-30,24.1159
2000-10-31,24.1823
2000-11-01,24.2434
2000-11-02,24.5199
2000-11-03,24.9251
2000-11-06,24.912
2000-11-07,24.5354
2000-11-08,24.4711
2000-11-09,24.4711
2000-11-10,23.8804
2000-11-13,23.6013
2000-11-14,23.3902
2000-11-15,23.1694
2000-11-16,22.778
2000-11-17,22.7016
2000-11-20,22.1776
2000-11-21,21.3353
2000-11-22,22.0613
2000-11-23,21.8488
2000-11-24,21.4612
2000-11-27,20.8804
2000-11-28,20.2312
2000-11-29,20.5395
2000-11-30,20.7674
2000-12-01,20.7674
2000-12-04,21.5244
2000-12-05,21.4424
2000-12-06,21.5176
2000-12-07,21.7204
2000-12-08,21.6525
2000-12-11,22.93
2000-12-12,23.107
2000-12-13,22.7238
2000-12-14,22.7973
2000-12-15,22.7973
2000-12-18,24.0343
2000-12-19,23.9382
2000-12-20,24.6493
2000-12-21,25.136
2000-12-22,25.1299
2000-12-25,25.4536
2000-12-26,24.7196
2000-12-27,24.7196
2000-12-28,24.7196
2000-12-29,23.884900000000002
2001-01-01,35.7247
2001-01-02,35.7749
2001-01-03,37.0025
2001-01-04,36.5816
2001-01-05,36.3952
2001-01-08,35.8006
2001-01-09,36.0309
2001-01-10,36.0205
2001-01-11,35.2377
2001-01-12,34.3007
2001-01-15,33.8757
2001-01-16,34.1474
2001-01-17,34.0448
2001-01-18,33.5215
2001-01-19,33.633
2001-01-22,34.3326
2001-01-23,34.4447
2001-01-24,34.1594
2001-01-25,33.3643
2001-01-26,32.8423
2001-01-29,32.551
2001-01-30,33.4329
2001-01-31,242.6727
2001-02-01,241.0986
2001-02-02,244.0598
2001-02-05,245.0722
2001-02-06,244.9163
2001-02-07,246.5139
2001-02-08,246.6178
2001-02-09,248.1221
2001-02-12,253.0325
2001-02-13,249.8353
2001-02-14,251.9276
2001-02-15,251.3789
2001-02-16,253.1557
2001-02-19,253.3391
2001-02-20,248.4839
2001-02-21,248.0943
2001-02-22,342.8992
2001-02-23,335.5235
2001-02-26,333.2254
2001-02-27,336.3934
2001-02-28,243.855
2001-03-01,244.1206
2001-03-02,246.3432
2001-03-05,246.3432
2001-03-06,246.3432
2001-03-07,246.3432
2001-03-08,246.3432
2001-03-09,242.6204
2001-03-12,240.7517
2001-03-13,240.2452
2001-03-14,238.9272
2001-03-15,237.9121
2001-03-16,238.0601
2001-03-19,237.293
2001-03-20,238.1773
2001-03-21,235.9963
2001-03-22,319.9685
2001-03-23,319.9685
2001-03-26,312.9271
2001-03-27,320.2719
2001-03-28,316.6041
2001-03-29,312.4739
2001-03-30,26.747700000000002
2001-04-02,27.1491
2001-04-03,26.8737
2001-04-04,26.8737
2001-04-05,26.8737
2001-04-06,26.8345
2001-04-09,27.0529
2001-04-10,26.8783
2001-04-11,26.8823
2001-04-12,27.6298
2001-04-13,28.1529
2001-04-16,28.3641
2001-04-17,28.4541
2001-04-18,28.3185
2001-04-19,27.9756
2001-04-20,28.4204
2001-04-23,28.5199
2001-04-24,28.1407
2001-04-25,28.1932
2001-04-26,28.292
2001-04-27,27.8176
2001-04-30,27.8211
2001-05-01,27.8211
2001-05-02,28.0576
2001-05-03,27.9941
2001-05-04,27.9009
2001-05-07,28.027
2001-05-08,27.374
2001-05-09,27.6695
2001-05-10,27.6287
2001-05-11,27.5972
2001-05-14,27.3367
2001-05-15,27.2712
2001-05-16,27.889499999999998
2001-05-17,28.0258
2001-05-18,27.8098
2001-05-21,27.9828
2001-05-22,27.623
2001-05-23,27.2704
2001-05-24,27.6262
2001-05-25,27.3502
2001-05-28,27.576999999999998
2001-05-29,27.7499
2001-05-30,27.9282
2001-05-31,27.7597
2001-06-01,27.9079
2001-06-04,28.6289
2001-06-05,29.0088
2001-06-06,27.7487
2001-06-07,27.6603
2001-06-08,27.5179
2001-06-11,27.7585
2001-06-12,27.8268
2001-06-13,27.9345
2001-06-14,27.7868
2001-06-15,28.1343
2001-06-18,28.0352
2001-06-19,27.328
2001-06-20,27.941
2001-06-21,27.509900000000002
2001-06-22,27.608
2001-06-25,27.6366
2001-06-26,27.6696
2001-06-27,27.8792
2001-06-28,28.0198
2001-06-29,33.6142
2001-07-02,3.7842000000000002
2001-07-03,3.6679
2001-07-04,3.6747
2001-07-05,3.6193
2001-07-06,3.5694
2001-07-09,3.55
2001-07-10,3.5463
2001-07-11,3.593
2001-07-12,3.6153
2001-07-13,3.5964
2001-07-16,3.6029999999999998
2001-07-17,3.5122999999999998
2001-07-18,3.5208
2001-07-19,3.4961
2001-07-20,3.4228
2001-07-23,3.4221
2001-07-24,3.4723
2001-07-25,3.3954
2001-07-26,3.3724
2001-07-27,3.3438
2001-07-30,3.3346
