Date,pe
2005-07-28,15.088
2005-07-29,15.1004
2005-08-01,15.0611
2005-08-02,15.1253
2005-08-03,15.2744
2005-08-04,15.2951
2005-08-05,15.3635
2005-08-08,15.3283
2005-08-09,15.2951
2005-08-10,15.3407
2005-08-11,15.350999999999999
2005-08-12,15.3635
2005-08-15,15.438
2005-08-16,15.4525
2005-08-17,15.4153
2005-08-18,15.3075
2005-08-19,15.4401
2005-08-22,15.4898
2005-08-23,15.4567
2005-08-24,15.3428
2005-08-25,15.2454
2005-08-26,15.204
2005-08-29,15.1833
2005-08-30,15.264
2005-08-31,15.4463
2005-09-01,15.483
2005-09-02,15.4332
2005-09-05,15.5824
2005-09-06,15.6549
2005-09-07,15.6155
2005-09-08,15.6072
2005-09-09,15.6176
2005-09-12,15.4871
2005-09-13,15.5306
2005-09-14,15.5451
2005-09-15,15.6528
2005-09-16,15.5948
2005-09-19,15.586500000000001
2005-09-20,15.6839
2005-09-21,15.6342
2005-09-22,15.5741
2005-09-23,15.6797
2005-09-26,15.746
2005-09-27,15.7543
2005-09-28,15.7564
2005-09-29,15.8351
2005-09-30,15.8401
2005-10-03,15.774000000000001
2005-10-04,15.7864
2005-10-05,15.9619
2005-10-06,15.9639
2005-10-07,15.8215
2005-10-10,15.8504
2005-10-11,15.871
2005-10-12,15.8112
2005-10-13,15.6729
2005-10-14,15.7513
2005-10-17,15.7079
2005-10-18,15.6481
2005-10-19,15.4437
2005-10-20,15.4809
2005-10-21,15.452
2005-10-24,15.5407
2005-10-25,15.5841
2005-10-26,15.485
2005-10-27,15.2476
2005-10-28,15.2001
2005-10-31,15.3632
2005-11-01,15.4148
2005-11-02,15.4416
2005-11-03,15.4334
2005-11-04,15.4334
2005-11-07,15.5139
2005-11-08,15.5655
2005-11-09,15.6563
2005-11-10,15.6047
2005-11-11,15.7657
2005-11-14,15.743
2005-11-15,15.7121
2005-11-16,15.7348
2005-11-17,15.7307
2005-11-18,15.7678
2005-11-21,15.7657
2005-11-22,15.741
2005-11-23,15.8215
2005-11-24,15.9412
2005-11-25,15.9908
2005-11-28,15.9763
2005-11-29,16.0197
2005-11-30,15.8793
2005-12-01,15.9474
2005-12-02,15.9495
2005-12-05,16.0052
2005-12-06,16.1477
2005-12-07,16.2323
2005-12-08,16.209600000000002
2005-12-09,16.1993
2005-12-12,16.2055
2005-12-13,16.1662
2005-12-14,16.2282
2005-12-15,16.4202
2005-12-16,16.3747
2005-12-19,16.35
2005-12-20,16.2839
2005-12-21,16.7009
2005-12-22,16.7608
2005-12-23,16.9239
2005-12-26,16.9239
2005-12-27,16.9053
2005-12-28,16.8662
2005-12-29,16.7137
2005-12-30,16.73
2006-01-02,12.2718
2006-01-03,12.4202
2006-01-04,12.5071
2006-01-05,12.5266
2006-01-06,12.5581
2006-01-09,12.7319
