Date,pe
2008-02-28,17.5234
2008-02-29,17.5234
2008-03-03,17.456
2008-03-04,17.457
2008-03-05,17.5153
2008-03-06,17.4273
2008-03-07,17.4273
2008-03-10,17.1298
2008-03-11,17.1406
2008-03-12,17.3144
2008-03-13,17.9351
2008-03-14,17.323
2008-03-17,17.0473
2008-03-18,16.9043
2008-03-19,16.4113
2008-03-20,16.3677
2008-03-21,16.3677
2008-03-24,15.8148
2008-03-25,15.6775
2008-03-26,15.9595
2008-03-27,15.8976
2008-03-28,15.8976
2008-03-31,13.9258
2008-04-01,14.0614
2008-04-02,14.1082
2008-04-03,14.2187
2008-04-04,14.2187
2008-04-07,14.5906
2008-04-08,14.7276
2008-04-09,14.9306
2008-04-10,15.4062
2008-04-11,15.4062
2008-04-14,15.7648
2008-04-15,16.4712
2008-04-16,16.8978
2008-04-17,17.5316
2008-04-18,17.5316
2008-04-21,17.1826
2008-04-22,17.1492
2008-04-23,17.3145
2008-04-24,17.2589
2008-04-25,17.2589
2008-04-28,17.0855
2008-04-29,17.161
2008-04-30,17.1627
2008-05-01,17.1795
2008-05-02,17.1795
2008-05-05,17.2562
2008-05-06,17.6141
2008-05-07,17.7091
2008-05-08,17.6793
2008-05-09,17.6793
2008-05-12,17.7743
2008-05-13,17.8658
2008-05-14,17.9417
2008-05-15,17.9059
2008-05-16,17.9059
2008-05-19,18.171
2008-05-20,18.5565
2008-05-21,18.4242
2008-05-22,18.0669
2008-05-23,18.0669
2008-05-26,18.0235
2008-05-27,18.1916
2008-05-28,18.0071
2008-05-29,18.0104
2008-05-30,18.0104
2008-06-02,19.4948
2008-06-03,19.5072
2008-06-04,19.5452
2008-06-05,19.6172
2008-06-06,19.6172
2008-06-09,20.1536
2008-06-10,20.3197
2008-06-11,20.4802
2008-06-12,20.2467
2008-06-13,20.2467
2008-06-16,20.3195
2008-06-17,20.116
2008-06-18,19.9355
2008-06-19,19.6039
2008-06-20,19.6039
2008-06-23,19.9688
2008-06-24,19.723
2008-06-25,19.610500000000002
2008-06-26,19.2315
2008-06-27,19.2315
2008-06-30,17.5008
2008-07-01,17.7218
2008-07-02,17.8863
2008-07-03,17.8645
2008-07-04,17.8645
2008-07-07,17.5971
2008-07-08,17.4933
2008-07-09,17.4355
2008-07-10,17.266
2008-07-11,17.266
2008-07-14,17.3095
2008-07-15,17.1858
2008-07-16,17.0062
2008-07-17,17.011
2008-07-18,17.011
2008-07-21,17.2619
2008-07-22,17.3409
2008-07-23,17.2177
2008-07-24,17.276
2008-07-25,17.276
2008-07-28,17.183
2008-07-29,16.9547
2008-07-30,16.9668
2008-07-31,17.0545
2008-08-01,17.0545
2008-08-04,17.0593
2008-08-05,16.9457
2008-08-06,16.9465
2008-08-07,16.9301
2008-08-08,16.9301
2008-08-11,16.1862
2008-08-12,16.2203
2008-08-13,16.2882
2008-08-14,16.1552
2008-08-15,16.1552
2008-08-18,16.2455
2008-08-19,16.3165
2008-08-20,16.2779
2008-08-21,15.97
2008-08-22,15.97
2008-08-25,15.7042
2008-08-26,15.2874
