Date,pe
2007-04-02,3.0093
2007-04-03,2.9583
2007-04-04,2.9938000000000002
2007-04-05,3.0773
2007-04-06,3.0773
2007-04-09,3.1121
2007-04-10,3.1283
2007-04-11,3.1632
2007-04-12,3.1765
2007-04-13,3.1765
2007-04-16,3.1479
2007-04-17,3.1704
2007-04-18,3.1799
2007-04-19,3.18
2007-04-20,3.18
2007-04-23,3.1887
2007-04-24,3.189
2007-04-25,3.1565
2007-04-26,3.1507
2007-04-27,3.1507
2007-04-30,3.1463
2007-05-01,3.1765
2007-05-02,3.1502
2007-05-03,3.152
2007-05-04,3.152
2007-05-07,3.229
2007-05-08,3.254
2007-05-09,3.3281
2007-05-10,3.3272
2007-05-11,3.3272
2007-05-14,3.4876
2007-05-15,3.4849
2007-05-16,3.4077
2007-05-17,3.3449999999999998
2007-05-18,3.3449999999999998
2007-05-21,3.391
2007-05-22,3.4213
2007-05-23,3.485
2007-05-24,3.5597
2007-05-25,3.5597
2007-05-28,3.6657
2007-05-29,3.7054
2007-05-30,3.6806
2007-05-31,3.6717
2007-06-01,3.7677
2007-06-04,3.7498
2007-06-05,3.7498
2007-06-06,3.6665
2007-06-07,3.7467
2007-06-08,3.7467
2007-06-11,3.7144
2007-06-12,3.7255000000000003
2007-06-13,3.7732
2007-06-14,3.7752
2007-06-15,3.7752
2007-06-18,3.7845
2007-06-19,3.818
2007-06-20,3.8001
2007-06-21,3.7875
2007-06-22,3.7875
2007-06-25,3.7396000000000003
2007-06-26,3.682
2007-06-27,3.7039999999999997
2007-06-28,3.6848
2007-06-29,3.6848
2007-07-02,3.5206
2007-07-03,3.601
2007-07-04,3.5819
2007-07-05,3.5592
2007-07-06,3.5592
2007-07-09,3.5926
2007-07-10,3.6223
2007-07-11,3.5978
2007-07-12,3.5815
2007-07-13,3.5815
2007-07-16,3.5785
2007-07-17,3.5094
2007-07-18,3.4468
2007-07-19,3.4345
2007-07-20,3.4345
2007-07-23,3.3792
2007-07-24,3.4194
2007-07-25,3.4109
2007-07-26,3.4068
2007-07-27,3.4068
2007-07-30,3.2727
2007-07-31,3.3299
2007-08-01,3.2805
2007-08-02,3.3071
2007-08-03,3.3071
2007-08-06,3.2932
2007-08-07,3.302
2007-08-08,3.322
2007-08-09,3.3318
2007-08-10,3.3318
2007-08-13,3.3612
2007-08-14,3.3581
2007-08-15,3.324
2007-08-16,3.2499000000000002
2007-08-17,3.2499000000000002
2007-08-20,3.1972
2007-08-21,3.1723
2007-08-22,3.0824
2007-08-23,3.2091
2007-08-24,3.2091
2007-08-27,3.2907
2007-08-28,3.3249
2007-08-29,3.2878
2007-08-30,3.2904
2007-08-31,3.2904
2007-09-03,2.9272
2007-09-04,2.9242
2007-09-05,2.9231
2007-09-06,2.9231
2007-09-07,2.9156
2007-09-10,2.8679
2007-09-11,2.8872
2007-09-12,2.8885
2007-09-13,2.8788
2007-09-14,2.8788
2007-09-17,2.8722
2007-09-18,2.8834999999999997
2007-09-19,2.9207
2007-09-20,2.9266
2007-09-21,2.9266
2007-09-24,2.9159
2007-09-25,2.9295
2007-09-26,2.9295
2007-09-27,2.9307
2007-09-28,2.9307
2007-10-01,2.8673
2007-10-02,2.8993
2007-10-03,2.9146
2007-10-04,2.939
2007-10-05,2.939
2007-10-08,2.9685
2007-10-09,3.0101
2007-10-10,3.0101
2007-10-11,3.0395
2007-10-12,3.0395
2007-10-15,3.081
2007-10-16,3.1259
2007-10-17,3.1418
2007-10-18,3.1577
2007-10-19,3.1577
2007-10-22,3.2338
2007-10-23,3.2496
2007-10-24,3.2916
2007-10-25,3.2736
2007-10-26,3.2736
2007-10-29,3.2678
2007-10-30,3.2625
2007-10-31,3.3541
2007-11-01,3.4752
2007-11-02,3.4752
2007-11-05,3.5229
2007-11-06,3.5493
2007-11-07,3.4541
2007-11-08,3.3497
2007-11-09,3.3497
2007-11-12,3.3726
2007-11-13,3.3231
2007-11-14,3.2784
2007-11-15,3.3178
2007-11-16,3.3178
2007-11-19,3.3566
2007-11-20,3.3336
2007-11-21,3.2459
2007-11-22,3.182
2007-11-23,3.182
2007-11-26,3.1665
2007-11-27,3.0673
2007-11-28,3.0294
2007-11-29,3.1174
2007-11-30,3.1174
2007-12-03,2.7188
2007-12-04,2.8114
2007-12-05,2.8741
2007-12-06,2.8962
2007-12-07,2.8962
