Date,pmi
2017-02-28,55.6
2017-03-31,57.7
2017-04-30,50.8
2017-05-31,57.7
2017-06-30,63.5
2017-07-31,63.4
2017-08-31,60.5
2017-09-30,61.8
2017-10-31,58.4
2017-11-30,58.6
2017-12-31,59.6
2018-01-31,66.7
2018-02-28,65.7
2018-03-31,61.6
2018-04-30,53.9
2018-05-31,52.2
2018-06-30,51.9
2018-07-31,57.3
2018-08-31,59.9
2018-09-30,53.9
2018-10-31,67.1
2018-11-30,56.7
2018-12-31,57.6
2019-01-31,47.1
2019-02-28,62.8
2019-03-31,55.2
2019-04-30,57.7
2019-05-31,48.6
2019-06-30,44.4
2019-07-31,49.4
2019-08-31,49.1
2019-09-30,51
2019-10-31,50.5
2019-11-30,53.5
2019-12-31,51.1
2020-01-31,53.2
