Date,pmi
2017-03-31,53.6
2017-04-30,55
2017-05-31,55.9
2017-06-30,56
2017-07-31,54.6
2017-08-31,56.1
2017-09-30,55.4
2017-10-31,54.4
2017-11-30,58.1
2017-12-31,59.1
2018-01-31,57.6
2018-02-28,56.2
2018-03-31,54.1
2018-04-30,55.3
2018-05-31,55.4
2018-06-30,56.6
2018-07-31,56.3
2018-08-31,57.5
2018-09-30,56.3
2018-10-31,54.9
2018-11-30,55.4
2018-12-31,54.5
2019-01-31,52.6
2019-02-28,54
2019-03-31,53.9
2019-04-30,52.5
2019-05-31,50.4
2019-06-30,49.8
2019-07-31,48.7
2019-08-31,48.6
2019-09-30,48.7
2019-10-31,50.7
2019-11-30,49.7
2019-12-31,49.5
2020-01-31,51.4
2020-02-29,51.2
