Date,pmi
2017-02-28,52.5
2017-03-31,52.4
2017-04-30,50.8
2017-05-31,52.4
2017-06-30,50.3
2017-07-31,52.7
2017-08-31,51.6
2017-09-30,51.9
2017-10-31,51.1
2017-11-30,51.5
2017-12-31,52
2018-01-31,52.1
2018-02-28,50.2
2018-03-31,50.6
2018-04-30,51.3
2018-05-31,49.8
2018-06-30,49.5
2018-07-31,48.1
2018-08-31,48.9
2018-09-30,50
2018-10-31,51.3
2018-11-30,52.6
2018-12-31,51.7
2019-01-31,50.9
2019-02-28,50.1
2019-03-31,52.8
2019-04-30,51.8
2019-05-31,49.8
2019-06-30,48.6
2019-07-31,49.3
2019-08-31,49.1
2019-09-30,46.3
2019-10-31,47.2
2019-11-30,45.6
2019-12-31,47.5
2020-01-31,47.9
