Date,pmi
2017-02-28,49.4
2017-03-31,49.5
2017-04-30,50.7
2017-05-31,48.7
2017-06-30,46.9
2017-07-31,48.3
2017-08-31,50.4
2017-09-30,49.9
2017-10-31,48.6
2017-11-30,52
2017-12-31,49.9
2018-01-31,50.5
2018-02-28,49.9
2018-03-31,49.5
2018-04-30,48.6
2018-05-31,47.6
2018-06-30,49.5
2018-07-31,49.7
2018-08-31,51.2
2018-09-30,51.5
2018-10-31,49.2
2018-11-30,48.2
2018-12-31,46.8
2019-01-31,47.9
2019-02-28,47.6
2019-03-31,47.2
2019-04-30,49.4
2019-05-31,48.8
2019-06-30,47.8
2019-07-31,47.6
2019-08-31,47.4
2019-09-30,47.9
2019-10-31,49.3
2019-11-30,49.5
2019-12-31,50
2020-01-31,48.8
