Date,pmi
2017-02-28,57.2
2017-03-31,56.8
2017-04-30,58.1
2017-05-31,58
2017-06-30,60.7
2017-07-31,60
2017-08-31,61.1
2017-09-30,59.4
2017-10-31,59.4
2017-11-30,61.9
2017-12-31,64.3
2018-01-31,61.3
2018-02-28,59.2
2018-03-31,58
2018-04-30,58
2018-05-31,57.3
2018-06-30,56.6
2018-07-31,56.8
2018-08-31,56.4
2018-09-30,55
2018-10-31,53.8
2018-11-30,54.9
2018-12-31,53.9
2019-01-31,52.7
2019-02-28,51.8
2019-03-31,50
2019-04-30,49.2
2019-05-31,48.3
2019-06-30,47.5
2019-07-31,47
2019-08-31,47.9
2019-09-30,45.1
2019-10-31,45.5
2019-11-30,46
2019-12-31,46
2020-01-31,49.2
