Date,pmi
2017-02-28,54.8
2017-03-31,53.9
2017-04-30,54.5
2017-05-31,55.4
2017-06-30,54.7
2017-07-31,54
2017-08-31,52.4
2017-09-30,54.3
2017-10-31,55.8
2017-11-30,56.1
2017-12-31,55.8
2018-01-31,55.2
2018-02-28,56
2018-03-31,54.8
2018-04-30,54.4
2018-05-31,53.4
2018-06-30,53.4
2018-07-31,52.9
2018-08-31,53
2018-09-30,51.4
2018-10-31,51.8
2018-11-30,52.6
2018-12-31,51.1
2019-01-31,52.4
2019-02-28,49.9
2019-03-31,50.9
2019-04-30,51.8
2019-05-31,50.1
2019-06-30,47.9
2019-07-31,48.2
2019-08-31,48.8
2019-09-30,47.7
2019-10-31,46.8
2019-11-30,47.5
2019-12-31,47.4
2020-01-31,48.5
