Date,pmi
2017-03-31,54.1
2017-04-30,57.7
2017-05-31,56.5
2017-06-30,54.2
2017-07-31,55.5
2017-08-31,57
2017-09-30,55.5
2017-10-31,56.6
2017-11-30,58.2
2017-12-31,55.7
2018-01-31,55.2
2018-02-28,55.3
2018-03-31,54.8
2018-04-30,53.8
2018-05-31,54.3
2018-06-30,54
2018-07-31,53.9
2018-08-31,52.9
2018-09-30,53.7
2018-10-31,51.1
2018-11-30,53.3
2018-12-31,54.3
2019-01-31,52.8
2019-02-28,52.1
2019-03-31,55.1
2019-04-30,53.1
2019-05-31,49.4
2019-06-30,48
2019-07-31,48
2019-08-31,47.4
2019-09-30,48.3
2019-10-31,49.6
2019-11-30,48.9
2019-12-31,47.5
2020-01-31,50
2020-02-29,51.7
