Date,pmi
2017-02-28,50.7
2017-03-31,52.5
2017-04-30,52.5
2017-05-31,51.6
2017-06-30,50.9
2017-07-31,47.9
2017-08-31,51.2
2017-09-30,51.2
2017-10-31,50.3
2017-11-30,52.6
2017-12-31,54.7
2018-01-31,52.4
2018-02-28,52.1
2018-03-31,51
2018-04-30,51.6
2018-05-31,51.2
2018-06-30,53.1
2018-07-31,52.3
2018-08-31,51.7
2018-09-30,52.2
2018-10-31,53.1
2018-11-30,54
2018-12-31,53.2
2019-01-31,53.9
2019-02-28,54.3
2019-03-31,52.6
2019-04-30,51.8
2019-05-31,52.7
2019-06-30,52.1
2019-07-31,52.5
2019-08-31,51.4
2019-09-30,51.4
2019-10-31,50.6
2019-11-30,51.2
2019-12-31,52.7
2020-01-31,55.3
