Date,pmi
2017-02-28,51.7
2017-03-31,51.2
2017-04-30,50.3
2017-05-31,49.6
2017-06-30,50.4
2017-07-31,51.1
2017-08-31,51.6
2017-09-30,51
2017-10-31,51
2017-11-30,50.8
2017-12-31,51.5
2018-01-31,51.5
2018-02-28,51.6
2018-03-31,51
2018-04-30,51.1
2018-05-31,51.1
2018-06-30,51
2018-07-31,50.8
2018-08-31,50.6
2018-09-30,50
2018-10-31,50.1
2018-11-30,50.2
2018-12-31,49.7
2019-01-31,48.3
2019-02-28,49.9
2019-03-31,50.8
2019-04-30,50.2
2019-05-31,50.2
2019-06-30,49.4
2019-07-31,49.9
2019-08-31,50.4
2019-09-30,51.4
2019-10-31,51.7
2019-11-30,51.8
2019-12-31,51.5
2020-01-31,51.1
