Date,reer
1998-04-30,104.2
1998-05-31,105.25
1998-06-30,105.41
1998-07-31,104.97
1998-08-31,105.6
1998-09-30,106.81
1998-10-31,107.3
1998-11-30,106.21
1998-12-31,106.44
1999-01-31,105.81
1999-02-28,105.09
1999-03-31,104.43
1999-04-30,103.62
1999-05-31,103.26
1999-06-30,102.38
1999-07-31,101.94
1999-08-31,102.54
1999-09-30,101.81
1999-10-31,102.25
1999-11-30,100.95
1999-12-31,100.25
2000-01-31,100.07
2000-02-29,99.15
2000-03-31,98.62
2000-04-30,97.77
2000-05-31,96.92
2000-06-30,98.44
2000-07-31,97.85
2000-08-31,96.71
2000-09-30,95.77
2000-10-31,94.96
2000-11-30,95.27
2000-12-31,96.56
2001-01-31,97.75
2001-02-28,97.3
2001-03-31,97.55
2001-04-30,97.2
2001-05-31,96.54
2001-06-30,95.83
2001-07-31,96.18
2001-08-31,97.49
2001-09-30,97.74
2001-10-31,97.83
2001-11-30,96.85
2001-12-31,96.98
2002-01-31,96.97
2002-02-28,96.44
2002-03-31,96.64
2002-04-30,96.8
2002-05-31,97.73
2002-06-30,99.01
2002-07-31,100
2002-08-31,99.82
2002-09-30,99.8
2002-10-31,99.91
2002-11-30,100.21
2002-12-31,100.56
2003-01-31,101.72
2003-02-28,102.53
2003-03-31,102.87
2003-04-30,102.71
2003-05-31,104.35
2003-06-30,104.66
2003-07-31,103.92
2003-08-31,103.37
2003-09-30,103.4
2003-10-31,104.42
2003-11-30,104.45
2003-12-31,105.66
2004-01-31,106.04
2004-02-29,106.15
2004-03-31,105.27
2004-04-30,104.31
2004-05-31,104.9
2004-06-30,104.92
2004-07-31,104.99
2004-08-31,104.94
2004-09-30,105.04
2004-10-31,105.48
2004-11-30,106.18
2004-12-31,106.71
2005-01-31,105.56
2005-02-28,105.28
2005-03-31,105.93
2005-04-30,105.38
2005-05-31,104.74
2005-06-30,103.49
2005-07-31,103.18
2005-08-31,103.64
2005-09-30,103.4
2005-10-31,102.85
2005-11-30,102.33
2005-12-31,102.28
2006-01-31,102.43
2006-02-28,102.02
2006-03-31,102.44
2006-04-30,102.82
2006-05-31,103.81
2006-06-30,103.97
2006-07-31,103.77
2006-08-31,103.94
2006-09-30,103.61
2006-10-31,103.06
2006-11-30,103.39
2006-12-31,103.76
2007-01-31,103.03
2007-02-28,102.94
2007-03-31,103.33
2007-04-30,103.68
2007-05-31,103.62
2007-06-30,103.37
2007-07-31,103.3
2007-08-31,103.51
2007-09-30,103.77
2007-10-31,103.93
2007-11-30,104.66
2007-12-31,104.63
2008-01-31,104.48
2008-02-29,103.89
2008-03-31,105.5
2008-04-30,105.99
2008-05-31,105.57
2008-06-30,105.36
2008-07-31,104.97
2008-08-31,103.76
2008-09-30,102.87
2008-10-31,101.56
2008-11-30,101.08
2008-12-31,103.31
2009-01-31,102.91
2009-02-28,102.46
2009-03-31,103.62
2009-04-30,103.16
2009-05-31,103.6
2009-06-30,104.17
2009-07-31,103.8
2009-08-31,104.17
2009-09-30,104.48
2009-10-31,104.82
2009-11-30,104.82
2009-12-31,104.26
2010-01-31,102.99
2010-02-28,101.91
2010-03-31,101.58
2010-04-30,100.82
2010-05-31,99.18
2010-06-30,98.3
2010-07-31,98.99
2010-08-31,98.93
2010-09-30,98.85
2010-10-31,100.27
2010-11-30,99.56
2010-12-31,98.6
2011-01-31,98.18
2011-02-28,98.72
2011-03-31,99.8
2011-04-30,100.5
2011-05-31,100
2011-06-30,100.16
2011-07-31,99.16
2011-08-31,99.65
2011-09-30,98.72
2011-10-31,98.86
2011-11-30,98.75
2011-12-31,98.14
2012-01-31,96.62
2012-02-29,96.9
2012-03-31,97.34
2012-04-30,97.09
2012-05-31,96.46
2012-06-30,96.3
2012-07-31,94.89
2012-08-31,95.23
2012-09-30,95.7
2012-10-31,95.92
2012-11-30,95.54
2012-12-31,96.37
2013-01-31,96.59
2013-02-28,96.85
2013-03-31,96.57
2013-04-30,96.53
2013-05-31,96.53
2013-06-30,97.4
2013-07-31,96.94
2013-08-31,97.88
2013-09-30,97.49
2013-10-31,97.79
2013-11-30,97.63
2013-12-31,98.44
2014-01-31,97.96
2014-02-28,98.34
2014-03-31,99.07
2014-04-30,98.71
2014-05-31,98.36
2014-06-30,97.81
2014-07-31,97.23
2014-08-31,97.23
2014-09-30,95.96
2014-10-31,95.63
2014-11-30,95.5
2014-12-31,95.87
2015-01-31,93.55
2015-02-28,92.87
2015-03-31,91.77
2015-04-30,91.16
2015-05-31,92.17
2015-06-30,92.51
2015-07-31,91.66
2015-08-31,93.09
2015-09-30,93.42
2015-10-31,93.17
2015-11-30,91.76
2015-12-31,92.82
2016-01-31,92.89
2016-02-29,93.44
2016-03-31,93.29
2016-04-30,93.55
2016-05-31,93.85
2016-06-30,93.64
2016-07-31,93.09
2016-08-31,93.6
2016-09-30,93.39
2016-10-31,93.08
2016-11-30,92.97
2016-12-31,92.48
2017-01-31,92.42
2017-02-28,91.88
2017-03-31,92.55
2017-04-30,92.14
2017-05-31,93.19
2017-06-30,93.59
2017-07-31,93.96
2017-08-31,94.96
2017-09-30,94.65
2017-10-31,94.51
2017-11-30,94.63
2017-12-31,94.83
2018-01-31,95.17
2018-02-28,94.92
2018-03-31,95.84
2018-04-30,95.71
2018-05-31,95.14
2018-06-30,94.98
2018-07-31,95.35
2018-08-31,95.79
2018-09-30,95.87
2018-10-31,95.17
2018-11-30,94.78
2018-12-31,94.91
2019-01-31,94.46
2019-02-28,93.74
2019-03-31,94.05
2019-04-30,93.83
2019-05-31,94.07
2019-06-30,94.46
2019-07-31,93.78
2019-08-31,94.42
2019-09-30,93.69
2019-10-31,93.39
2019-11-30,93.29
2019-12-31,93.55
2020-01-31,92.94
