Date,reer
1998-03-30,94.87
1998-03-31,94.11
1998-04-01,93.74
1998-04-02,90.45
1998-04-03,90.57
1998-04-06,92.69
1998-04-07,92.28
1998-04-08,90.69
1998-04-09,91.75
1998-04-10,91.16
1998-04-13,91.18
1998-04-14,90.98
1998-04-15,91.22
1998-04-16,91.27
1998-04-17,93.51
1998-04-20,93.1
1998-04-21,93.14
1998-04-22,92.93
1998-04-23,92.54
1998-04-24,93.33
1998-04-27,94.27
1998-04-28,94.4
1998-04-29,94.69
1998-04-30,94.66
1998-05-01,94.48
1998-05-04,95.03
1998-05-05,94.75
1998-05-06,91.94
1998-05-07,95.43
1998-05-08,94.82
1998-05-11,95.38
1998-05-12,95.76
1998-05-13,94.77
1998-05-14,95.79
1998-05-15,95.59
1998-05-18,95.27
1998-05-19,94.93
1998-05-20,94.81
1998-05-21,94.79
1998-05-22,94.5
1998-05-25,94.95
1998-05-26,95.42
1998-05-27,94.96
1998-05-28,93.23
1998-05-29,93.52
1998-06-01,90.66
1998-06-02,89.8
1998-06-03,89.31
1998-06-04,88.38
1998-06-05,87.6
1998-06-08,87.86
1998-06-09,88.2
1998-06-10,87.92
1998-06-11,88.87
1998-06-12,88.81
1998-06-15,88.8
1998-06-16,89.03
1998-06-17,87.99
1998-06-18,91.7
1998-06-19,92.09
1998-06-22,91.34
1998-06-23,92.57
1998-06-24,93.08
1998-06-25,93.54
1998-06-26,92.37
1998-06-29,90.66
1998-06-30,90.53
1998-07-01,90.45
1998-07-02,91.69
1998-07-03,92.4
1998-07-06,92.66
1998-07-07,92.23
1998-07-08,93.14
1998-07-09,92.88
1998-07-10,92.49
1998-07-13,91.74
1998-07-14,92.69
1998-07-15,92.56
1998-07-16,93.89
1998-07-17,93.7
1998-07-20,92.63
1998-07-21,93.66
1998-07-22,93.37
1998-07-23,92.8
1998-07-24,92.8
1998-07-27,92.97
1998-07-28,92.77
1998-07-29,93.58
1998-07-30,94.16
1998-07-31,94.1
1998-08-03,94.37
1998-08-04,94.54
1998-08-05,93.91
1998-08-06,92.99
1998-08-07,92.4
1998-08-10,92.96
1998-08-11,92.35
1998-08-12,92.73
1998-08-13,91.86
1998-08-14,92.94
1998-08-17,93.04
1998-08-18,92.98
1998-08-19,93.21
1998-08-20,93.62
1998-08-21,93.64
1998-08-24,92.74
1998-08-25,92.99
1998-08-26,93.22
1998-08-27,92.47
1998-08-28,90.92
1998-08-31,91.56
1998-09-01,92.63
1998-09-02,92.51
1998-09-03,91.17
1998-09-04,91.06
1998-09-07,90.92
1998-09-08,91.24
1998-09-09,91.34
1998-09-10,90.95
1998-09-11,90.43
1998-09-14,90.41
1998-09-15,90.68
1998-09-16,90.79
1998-09-17,90.72
1998-09-18,91.08
1998-09-21,91.36
1998-09-22,91.51
1998-09-23,91.87
1998-09-24,94.15
1998-09-25,95.34
1998-09-28,94.77
1998-09-29,94.69
1998-09-30,94.47
1998-10-01,93.81
1998-10-02,93.55
1998-10-05,93.42
1998-10-06,93.4
1998-10-07,91.16
1998-10-08,90.71
1998-10-09,90.73
1998-10-12,91.47
1998-10-13,91.92
1998-10-14,92.04
1998-10-15,91.3
1998-10-16,91.5
1998-10-19,90.98
1998-10-20,91.88
1998-10-21,92.29
1998-10-22,92.27
1998-10-23,93.07
1998-10-26,93.47
1998-10-27,93.59
1998-10-28,94.88
1998-10-29,94.75
1998-10-30,94.78
1998-11-02,94.42
1998-11-03,94.49
1998-11-04,95.46
1998-11-05,95.93
1998-11-06,96.04
1998-11-09,96.06
1998-11-10,95.12
1998-11-11,96.19
1998-11-12,96.06
1998-11-13,96.22
1998-11-16,96.47
1998-11-17,96.82
1998-11-18,97.24
1998-11-19,96.87
1998-11-20,97.36
1998-11-23,97.65
1998-11-24,97.36
1998-11-25,97.78
1998-11-26,98.18
1998-11-27,98.47
1998-11-30,98.19
1998-12-01,97.51
1998-12-02,97.17
1998-12-03,96.89
1998-12-04,97.04
1998-12-07,97.32
1998-12-08,97.09
1998-12-09,97.14
1998-12-10,96.89
1998-12-11,96.82
1998-12-14,96.42
1998-12-15,96.01
1998-12-16,95.62
1998-12-17,94.43
1998-12-18,94.57
1998-12-21,95.7
1998-12-22,95.25
1998-12-23,95.21
1998-12-24,95.03
1998-12-25,94.99
1998-12-28,93.88
1998-12-29,93.99
1998-12-30,94.22
1998-12-31,94.09
1999-01-01,94.67
1999-01-04,94.46
1999-01-05,94.9
1999-01-06,94.26
1999-01-07,94.21
1999-01-08,94.11
1999-01-11,94.14
1999-01-12,94.46
1999-01-13,93.39
1999-01-14,93.29
1999-01-15,93.26
1999-01-18,95.1
1999-01-19,94.75
1999-01-20,94.69
1999-01-21,94.44
1999-01-22,94.64
1999-01-25,94.23
1999-01-26,94.6
1999-01-27,94.88
1999-01-28,94.9
1999-01-29,95.22
1999-02-01,95.39
1999-02-02,94.49
1999-02-03,94.84
1999-02-04,94.21
1999-02-05,94.77
1999-02-08,94.3
1999-02-09,94.26
1999-02-10,94.21
1999-02-11,94.77
1999-02-12,94.35
1999-02-15,95.71
1999-02-16,96.01
1999-02-17,95.8
1999-02-18,95.88
1999-02-19,95.35
1999-02-22,95.01
1999-02-23,95.47
1999-02-24,95.57
1999-02-25,95.39
1999-02-26,95.69
1999-03-01,96.07
1999-03-02,95.47
1999-03-03,95.36
1999-03-04,95.68
1999-03-05,95.82
1999-03-08,95.73
1999-03-09,96.15
1999-03-10,95.07
1999-03-11,94.62
1999-03-12,94.89
1999-03-15,95.02
1999-03-16,95.03
1999-03-17,94.87
1999-03-18,94.51
1999-03-19,94.36
1999-03-22,94.56
1999-03-23,94.58
1999-03-24,94.54
1999-03-25,94.4
1999-03-26,95.29
1999-03-29,94.95
1999-03-30,94.97
1999-03-31,94.88
1999-04-01,95.14
1999-04-02,94.38
1999-04-05,94.75
1999-04-06,94.37
1999-04-07,94.66
1999-04-08,94.41
1999-04-09,94
1999-04-12,93.15
1999-04-13,93.15
1999-04-14,94.02
1999-04-15,94.4
1999-04-16,94.47
1999-04-19,94.74
