Date,sh_out
2014-04-25,0.375
2014-04-28,0.375
2014-04-29,0.375
2014-04-30,0.375
2014-05-01,0.375
2014-05-02,0.375
2014-05-05,0.375
2014-05-06,0.375
2014-05-07,0.375
2014-05-08,0.375
2014-05-09,0.375
2014-05-12,0.375
2014-05-13,0.375
2014-05-14,0.375
2014-05-15,0.425
2014-05-16,0.425
2014-05-19,0.425
2014-05-20,0.425
2014-05-21,0.425
2014-05-22,0.425
2014-05-23,0.425
2014-05-26,0.425
2014-05-27,0.425
2014-05-28,0.425
2014-05-29,0.425
2014-05-30,0.425
2014-06-02,0.425
2014-06-03,0.475
2014-06-04,0.475
2014-06-05,0.475
2014-06-06,0.475
2014-06-09,0.475
2014-06-10,0.475
2014-06-11,0.475
2014-06-12,0.475
2014-06-13,0.475
2014-06-16,0.475
2014-06-17,0.475
2014-06-18,0.475
2014-06-19,0.475
2014-06-20,0.475
2014-06-23,0.475
2014-06-24,0.475
2014-06-25,0.475
2014-06-26,0.475
2014-06-27,0.475
2014-06-30,0.525
2014-07-01,0.525
2014-07-02,0.525
2014-07-03,0.525
2014-07-04,0.525
2014-07-07,0.525
2014-07-08,0.525
2014-07-09,0.525
2014-07-10,0.525
2014-07-11,0.525
2014-07-14,0.575
2014-07-15,0.575
2014-07-16,0.575
2014-07-17,0.575
2014-07-18,0.725
2014-07-21,0.825
2014-07-22,1.325
2014-07-23,1.475
2014-07-24,1.475
2014-07-25,1.475
2014-07-28,1.525
2014-07-29,1.525
2014-07-30,1.525
2014-07-31,1.525
2014-08-01,1.525
2014-08-04,1.625
2014-08-05,1.625
2014-08-06,1.625
2014-08-07,1.625
2014-08-08,1.625
2014-08-11,1.625
2014-08-12,1.625
2014-08-13,1.625
2014-08-14,1.625
2014-08-15,1.625
2014-08-18,1.625
2014-08-19,1.625
2014-08-20,1.625
2014-08-21,1.625
2014-08-22,1.625
2014-08-25,1.625
2014-08-26,1.625
2014-08-27,1.625
2014-08-28,1.625
2014-08-29,1.625
2014-09-01,1.625
2014-09-02,1.625
2014-09-03,1.625
2014-09-04,1.625
2014-09-05,1.625
2014-09-08,1.625
2014-09-09,1.725
2014-09-10,1.725
2014-09-11,1.725
2014-09-12,1.725
2014-09-15,1.825
2014-09-16,1.825
2014-09-17,1.825
2014-09-18,1.825
2014-09-19,1.825
2014-09-22,1.825
2014-09-23,1.825
2014-09-24,1.425
2014-09-25,1.425
2014-09-26,1.325
2014-09-29,1.125
2014-09-30,1.125
2014-10-01,1.125
2014-10-02,1.125
2014-10-03,1.125
2014-10-06,1.025
2014-10-07,1.025
2014-10-08,1.025
2014-10-09,1.025
2014-10-10,1.025
2014-10-13,1.025
2014-10-14,1.025
2014-10-15,1.025
2014-10-16,0.975
2014-10-17,0.975
2014-10-20,0.975
2014-10-21,0.975
2014-10-22,0.975
2014-10-23,0.975
2014-10-24,0.975
2014-10-27,0.975
2014-10-28,0.975
2014-10-29,0.975
2014-10-30,0.975
2014-10-31,0.975
2014-11-03,0.975
2014-11-04,0.975
2014-11-05,0.975
2014-11-06,0.975
2014-11-07,0.975
2014-11-10,0.975
2014-11-11,0.975
2014-11-12,0.975
2014-11-13,0.975
2014-11-14,0.975
2014-11-17,0.975
2014-11-18,0.975
2014-11-19,0.975
2014-11-20,0.975
2014-11-21,0.975
2014-11-24,0.975
2014-11-25,0.975
2014-11-26,0.975
2014-11-27,0.975
2014-11-28,0.975
2014-12-01,0.975
2014-12-02,0.975
2014-12-03,0.975
2014-12-04,0.975
2014-12-05,0.975
