Date,sh_out
2011-08-12,10.7
2011-08-15,10.7
2011-08-16,10.7
2011-08-17,10.65
2011-08-18,10.6
2011-08-19,10.6
2011-08-22,10.55
2011-08-23,10.55
2011-08-24,10.55
2011-08-25,10.55
2011-08-26,10.55
2011-08-29,10.55
2011-08-30,10.55
2011-08-31,10.55
2011-09-01,10.55
2011-09-02,10.55
2011-09-05,10.55
2011-09-06,10.55
2011-09-07,10.55
2011-09-08,10.55
2011-09-09,10.55
2011-09-12,10.55
2011-09-13,10.55
2011-09-14,10.55
2011-09-15,10.55
2011-09-16,10.55
2011-09-19,10.55
2011-09-20,10.5
2011-09-21,10.35
2011-09-22,10
2011-09-23,9.7
2011-09-26,9.6
2011-09-27,9.6
2011-09-28,9.55
2011-09-29,9.55
2011-09-30,9.35
2011-10-03,9.2
2011-10-04,9.15
2011-10-05,9.15
2011-10-06,9.15
2011-10-07,9
2011-10-10,9
2011-10-11,8.95
2011-10-12,8.85
2011-10-13,8.8
2011-10-14,8.8
2011-10-17,8.8
2011-10-18,8.8
2011-10-19,8.8
2011-10-20,8.8
2011-10-21,8.8
2011-10-24,8.8
2011-10-25,8.8
2011-10-26,8.8
2011-10-27,8.8
2011-10-28,8.8
2011-10-31,8.8
2011-11-01,8.8
2011-11-02,8.8
2011-11-03,8.8
2011-11-04,8.8
2011-11-07,8.8
2011-11-08,8.85
2011-11-09,8.85
2011-11-10,8.85
2011-11-11,8.85
2011-11-14,8.85
2011-11-15,8.85
2011-11-16,8.85
2011-11-17,8.85
2011-11-18,8.85
2011-11-21,8.85
2011-11-22,8.85
2011-11-23,8.7
2011-11-24,8.7
2011-11-25,8.6
2011-11-28,8.6
2011-11-29,8.6
2011-11-30,8.65
2011-12-01,8.65
2011-12-02,8.7
2011-12-05,8.7
2011-12-06,8.7
2011-12-07,8.7
2011-12-08,8.7
2011-12-09,8.7
2011-12-12,8.7
2011-12-13,8.7
2011-12-14,8.7
2011-12-15,8.7
2011-12-16,8.7
2011-12-19,8.7
2011-12-20,8.7
2011-12-21,8.7
2011-12-22,8.7
2011-12-23,8.7
2011-12-26,8.7
2011-12-27,8.7
2011-12-28,8.7
2011-12-29,8.7
2011-12-30,8.7
2012-01-02,8.7
2012-01-03,8.6
2012-01-04,8.6
2012-01-05,8.6
2012-01-06,8.6
2012-01-09,8.6
2012-01-10,8.6
2012-01-11,8.6
2012-01-12,8.6
2012-01-13,8.6
2012-01-16,8.6
2012-01-17,8.6
2012-01-18,8.6
2012-01-19,8.6
2012-01-20,8.6
2012-01-23,9.35
2012-01-24,9.35
2012-01-25,9.35
2012-01-26,9.35
2012-01-27,9.35
2012-01-30,9.35
2012-01-31,9.35
2012-02-01,9.35
2012-02-02,9.35
2012-02-03,10.15
2012-02-06,10.15
2012-02-07,10.2
2012-02-08,10.2
2012-02-09,10.2
2012-02-10,10.2
2012-02-13,10.2
2012-02-14,10.2
2012-02-15,10.2
2012-02-16,10.2
2012-02-17,10.2
2012-02-20,10.2
2012-02-21,10.35
2012-02-22,10.35
2012-02-23,10.35
2012-02-24,10.35
2012-02-27,10.35
2012-02-28,10.35
2012-02-29,10.45
2012-03-01,10.6
2012-03-02,10.6
2012-03-05,10.6
2012-03-06,10.75
2012-03-07,10.75
2012-03-08,10.75
2012-03-09,10.75
2012-03-12,10.7
2012-03-13,10.7
2012-03-14,10.7
2012-03-15,10.7
2012-03-16,10.7
2012-03-19,10.7
2012-03-20,10.65
2012-03-21,10.65
2012-03-22,10.65
2012-03-23,10.65
2012-03-26,10.65
2012-03-27,10.65
2012-03-28,10.65
2012-03-29,10.65
2012-03-30,10.65
2012-04-02,10.6
2012-04-03,10.6
2012-04-04,10.6
2012-04-05,10.6
2012-04-06,10.6
2012-04-09,10.6
2012-04-10,10.6
2012-04-11,10.6
2012-04-12,10.6
2012-04-13,10.6
2012-04-16,10.6
2012-04-17,10.6
2012-04-18,10.6
2012-04-19,10.55
2012-04-20,10.55
2012-04-23,10.55
2012-04-24,10.55
2012-04-25,10.55
2012-04-26,10.55
2012-04-27,10.55
2012-04-30,10.55
2012-05-01,10.55
2012-05-02,10.55
2012-05-03,10.55
2012-05-04,10.55
2012-05-07,10.45
2012-05-08,10.45
2012-05-09,10.45
2012-05-10,10.45
2012-05-11,10.45
2012-05-14,10.4
2012-05-15,10.3
2012-05-16,10.25
2012-05-17,10.2
2012-05-18,10.2
2012-05-21,10.2
2012-05-22,9.95
2012-05-23,9.65
2012-05-24,9.6
2012-05-25,9.6
2012-05-28,9.6
2012-05-29,9.6
2012-05-30,9.6
2012-05-31,9.65
2012-06-01,9.65
2012-06-04,9.5
2012-06-05,9.5
2012-06-06,9.5
2012-06-07,9.5
2012-06-08,9.5
2012-06-11,9.5
2012-06-12,9.5
2012-06-13,9.5
2012-06-14,9.5
2012-06-15,9.5
2012-06-18,9.5
2012-06-19,9.5
2012-06-20,9.5
2012-06-21,9.5
2012-06-22,9.5
2012-06-25,9.5
2012-06-26,9.5
2012-06-27,9.5
2012-06-28,9.5
2012-06-29,9.5
2012-07-02,9.5
2012-07-03,9.5
2012-07-04,9.5
2012-07-05,9.5
2012-07-06,9.5
2012-07-09,9.5
2012-07-10,9.5
2012-07-11,9.5
2012-07-12,9.5
2012-07-13,9.45
2012-07-16,9.45
2012-07-17,9.45
2012-07-18,9.45
2012-07-19,9.45
2012-07-20,9.45
2012-07-23,9.5
2012-07-24,9.5
2012-07-25,9.5
2012-07-26,9.5
2012-07-27,9.55
2012-07-30,9.55
2012-07-31,9.55
2012-08-01,9.45
2012-08-02,9.35
2012-08-03,9.35
2012-08-06,9.35
2012-08-07,9.35
2012-08-08,9.35
2012-08-09,9.35
2012-08-10,9.25
2012-08-13,9.25
2012-08-14,9.15
2012-08-15,9.15
2012-08-16,9.15
2012-08-17,9.15
2012-08-20,9.15
2012-08-21,9.15
2012-08-22,9.15
2012-08-23,9.15
2012-08-24,9.15
2012-08-27,9.15
2012-08-28,9.15
2012-08-29,9.15
2012-08-30,9.1
2012-08-31,9.1
2012-09-03,9.1
2012-09-04,9.05
2012-09-05,9.05
2012-09-06,9.05
2012-09-07,9.05
2012-09-10,9.05
2012-09-11,9.05
2012-09-12,9
2012-09-13,9
2012-09-14,9
2012-09-17,9
2012-09-18,9
2012-09-19,9
2012-09-20,8.9
2012-09-21,8.9
2012-09-24,8.9
2012-09-25,8.9
2012-09-26,8.9
2012-09-27,8.9
2012-09-28,8.9
2012-10-01,8.9
2012-10-02,8.9
2012-10-03,8.9
2012-10-04,8.9
2012-10-05,8.9
2012-10-08,8.9
2012-10-09,8.9
2012-10-10,8.9
2012-10-11,8.9
2012-10-12,8.9
2012-10-15,8.9
2012-10-16,8.9
2012-10-17,8.9
2012-10-18,8.9
2012-10-19,8.9
2012-10-22,8.9
2012-10-23,8.9
2012-10-24,8.85
2012-10-25,8.8
2012-10-26,8.8
2012-10-29,8.8
2012-10-30,8.8
2012-10-31,8.8
2012-11-01,8.8
2012-11-02,8.8
2012-11-05,8.75
2012-11-06,8.75
2012-11-07,8.75
2012-11-08,8.75
2012-11-09,8.75
2012-11-12,8.75
2012-11-13,8.7
2012-11-14,8.7
2012-11-15,8.7
2012-11-16,8.7
2012-11-19,8.7
2012-11-20,8.7
2012-11-21,8.7
2012-11-22,8.7
2012-11-23,8.7
2012-11-26,8.7
2012-11-27,8.7
2012-11-28,8.7
2012-11-29,8.7
2012-11-30,8.7
2012-12-03,8.7
2012-12-04,8.8
2012-12-05,8.8
2012-12-06,8.8
2012-12-07,8.8
2012-12-10,8.8
2012-12-11,8.8
2012-12-12,8.8
2012-12-13,8.8
2012-12-14,8.8
2012-12-17,8.8
2012-12-18,8.8
2012-12-19,8.8
2012-12-20,8.8
2012-12-21,8.8
2012-12-24,8.8
2012-12-25,8.8
2012-12-26,8.8
2012-12-27,8.8
2012-12-28,8.8
2012-12-31,8.8
2013-01-01,8.8
2013-01-02,9.05
2013-01-03,9.05
2013-01-04,9.05
2013-01-07,9.05
2013-01-08,9.1
2013-01-09,9.15
2013-01-10,9.15
2013-01-11,9.15
2013-01-14,9.15
2013-01-15,9.15
2013-01-16,9.15
2013-01-17,9.15
2013-01-18,9.15
2013-01-21,9.15
2013-01-22,9.15
2013-01-23,9.15
2013-01-24,9.2
2013-01-25,9.2
2013-01-28,9.2
2013-01-29,9.2
2013-01-30,9.2
2013-01-31,9.2
2013-02-01,9.2
2013-02-04,9.2
2013-02-05,9.4
2013-02-06,9.45
2013-02-07,9.45
2013-02-08,9.55
2013-02-11,9.55
2013-02-12,9.6
2013-02-13,9.6
2013-02-14,9.6
2013-02-15,9.6
2013-02-18,9.6
2013-02-19,9.6
2013-02-20,9.6
2013-02-21,9.6
2013-02-22,9.6
2013-02-25,9.6
2013-02-26,9.55
2013-02-27,9.55
2013-02-28,9.55
2013-03-01,9.55
2013-03-04,9.55
2013-03-05,9.55
2013-03-06,9.55
2013-03-07,9.55
2013-03-08,9.55
2013-03-11,9.55
2013-03-12,9.55
2013-03-13,9.55
2013-03-14,9.55
2013-03-15,9.55
2013-03-18,9.55
2013-03-19,9.55
2013-03-20,9.45
2013-03-21,9.45
2013-03-22,9.4
2013-03-25,9.4
2013-03-26,9.4
2013-03-27,9.4
2013-03-28,9.4
2013-03-29,9.4
2013-04-01,9.4
2013-04-02,9.4
2013-04-03,9.3
2013-04-04,9.3
2013-04-05,9.2
2013-04-08,9.2
2013-04-09,9.1
2013-04-10,9.1
2013-04-11,9.05
2013-04-12,9.05
2013-04-15,8.9
2013-04-16,8.9
2013-04-17,8.9
2013-04-18,8.9
2013-04-19,8.9
2013-04-22,8.8
2013-04-23,8.8
2013-04-24,8.8
2013-04-25,8.8
2013-04-26,8.8
2013-04-29,8.8
2013-04-30,8.8
2013-05-01,8.8
2013-05-02,8.8
2013-05-03,8.8
2013-05-06,8.8
2013-05-07,8.85
2013-05-08,8.85
2013-05-09,8.85
2013-05-10,8.85
2013-05-13,8.85
2013-05-14,8.85
2013-05-15,8.85
2013-05-16,8.65
2013-05-17,8.65
2013-05-20,8.6
2013-05-21,8.6
2013-05-22,8.5
2013-05-23,8.5
2013-05-24,8.45
2013-05-27,8.45
2013-05-28,8.45
2013-05-29,8.45
2013-05-30,8.4
2013-05-31,8.3
2013-06-03,8.3
2013-06-04,8.3
2013-06-05,8.3
2013-06-06,8.3
2013-06-07,8.3
2013-06-10,8.3
2013-06-11,8.2
2013-06-12,8.2
2013-06-13,8.2
2013-06-14,8.2
2013-06-17,8.2
2013-06-18,8.25
2013-06-19,8.25
2013-06-20,8.15
2013-06-21,8.1
2013-06-24,8
2013-06-25,8.05
2013-06-26,8.2
2013-06-27,8.3
2013-06-28,8.35
2013-07-01,8.35
2013-07-02,8.35
2013-07-03,8.4
2013-07-04,8.4
2013-07-05,8.35
2013-07-08,8.35
2013-07-09,8.35
2013-07-10,8.35
2013-07-11,8.4
2013-07-12,8.4
2013-07-15,8.4
2013-07-16,8.4
2013-07-17,8.4
2013-07-18,8.4
2013-07-19,8.4
2013-07-22,8.4
2013-07-23,8.4
2013-07-24,8.35
2013-07-25,8.35
2013-07-26,8.35
2013-07-29,8.35
2013-07-30,8.35
2013-07-31,8.3
2013-08-01,8.2
2013-08-02,8.2
2013-08-05,8.2
2013-08-06,8.2
2013-08-07,8.15
2013-08-08,8.05
2013-08-09,8.1
2013-08-12,8.1
2013-08-13,8.1
2013-08-14,8.1
2013-08-15,8.1
2013-08-16,8.1
2013-08-19,8.1
2013-08-20,8.05
2013-08-21,8.05
2013-08-22,8
2013-08-23,8
2013-08-26,7.95
2013-08-27,7.8
2013-08-28,7.75
2013-08-29,7.75
2013-08-30,7.65
2013-09-02,7.65
2013-09-03,7.65
2013-09-04,7.65
2013-09-05,7.85
2013-09-06,8.3
2013-09-09,8.75
2013-09-10,9.25
2013-09-11,9.15
2013-09-12,8.75
2013-09-13,8.4
2013-09-16,8.4
2013-09-17,7.95
2013-09-18,7.95
2013-09-19,7.95
2013-09-20,7.95
2013-09-23,7.95
2013-09-24,7.95
2013-09-25,7.95
2013-09-26,7.95
2013-09-27,7.95
2013-09-30,7.9
2013-10-01,7.85
2013-10-02,7.85
2013-10-03,7.85
2013-10-04,7.85
2013-10-07,7.9
2013-10-08,7.9
2013-10-09,7.6
2013-10-10,7.6
2013-10-11,7.6
2013-10-14,7.6
2013-10-15,7.55
2013-10-16,7.55
2013-10-17,7.55
2013-10-18,7.55
2013-10-21,7.55
2013-10-22,7.6
2013-10-23,8.05
2013-10-24,8.05
2013-10-25,8.05
2013-10-28,8.05
2013-10-29,8.1
2013-10-30,8.1
2013-10-31,8.1
2013-11-01,8.1
2013-11-04,8.15
2013-11-05,8.15
2013-11-06,8.15
2013-11-07,8.1
