Date,sh_out
2015-08-11,14.7
2015-08-12,14.7
2015-08-13,14.7
2015-08-14,14.7
2015-08-17,14.7
2015-08-18,14.5
2015-08-19,14.5
2015-08-20,14.35
2015-08-21,14.05
2015-08-24,13.7
2015-08-25,13.65
2015-08-26,13.05
2015-08-27,13
2015-08-28,13.2
2015-08-31,13.3
2015-09-01,13
2015-09-02,13
2015-09-03,13
2015-09-04,12.7
2015-09-07,12.7
2015-09-08,12.7
2015-09-09,12.35
2015-09-10,12.3
2015-09-11,12.3
2015-09-14,12.3
2015-09-15,12.1
2015-09-16,12.1
2015-09-17,12.3
2015-09-18,12.4
2015-09-21,12.4
2015-09-22,12.4
2015-09-23,12.4
2015-09-24,12.4
2015-09-25,11.65
2015-09-28,11.4
2015-09-29,11.2
2015-09-30,11.2
2015-10-01,11.2
2015-10-02,11.2
2015-10-05,12.1
2015-10-06,12.2
2015-10-07,12.4
2015-10-08,12.7
2015-10-09,13.65
2015-10-12,14
2015-10-13,14.1
2015-10-14,14.1
2015-10-15,14.25
2015-10-16,14.25
2015-10-19,14.45
2015-10-20,14.45
2015-10-21,14.45
2015-10-22,14.55
2015-10-23,14.65
2015-10-26,14.85
2015-10-27,14.85
2015-10-28,14.85
2015-10-29,13.65
2015-10-30,13.15
2015-11-02,12.7
2015-11-03,12.8
2015-11-04,13.35
2015-11-05,13.35
2015-11-06,13.35
2015-11-09,13.4
2015-11-10,12.9
2015-11-11,12.15
2015-11-12,12.15
2015-11-13,12
2015-11-16,11.85
2015-11-17,11.85
2015-11-18,11.85
2015-11-19,12.35
2015-11-20,12.8
2015-11-23,12.9
2015-11-24,12.9
2015-11-25,12.95
2015-11-26,12.95
2015-11-27,12.9
2015-11-30,12.75
2015-12-01,12.75
2015-12-02,12.75
2015-12-03,12.75
2015-12-04,12.75
2015-12-07,12.8
2015-12-08,12.8
2015-12-09,12.8
2015-12-10,12.9
2015-12-11,12.5
2015-12-14,12.45
2015-12-15,12.45
2015-12-16,12.45
2015-12-17,12.6
2015-12-18,12.75
2015-12-21,12.75
2015-12-22,12.75
2015-12-23,12.75
2015-12-24,12.75
2015-12-25,12.75
