Date,sh_out
2016-02-26,1.7
2016-02-29,1.7
2016-03-01,1.7
2016-03-02,1.75
2016-03-03,1.75
2016-03-04,1.75
2016-03-07,1.75
2016-03-08,1.8
2016-03-09,1.9
2016-03-10,1.9
2016-03-11,1.9
2016-03-14,1.9
2016-03-15,1.95
2016-03-16,1.95
2016-03-17,1.95
2016-03-18,1.95
2016-03-21,1.95
2016-03-22,1.95
2016-03-23,1.95
2016-03-24,1.95
2016-03-25,1.95
2016-03-28,2
2016-03-29,2
2016-03-30,2.1
2016-03-31,2.1
2016-04-01,2.1
2016-04-04,2.1
2016-04-05,2.1
2016-04-06,2.1
2016-04-07,2.1
2016-04-08,2.25
2016-04-11,2.25
2016-04-12,2.25
2016-04-13,2.25
2016-04-14,2.25
2016-04-15,2.35
2016-04-18,2.35
2016-04-19,2.35
2016-04-20,2.45
2016-04-21,2.45
2016-04-22,2.45
2016-04-25,2.45
2016-04-26,2.45
2016-04-27,2.45
2016-04-28,2.45
2016-04-29,2.45
2016-05-02,2.45
2016-05-03,2.45
2016-05-04,2.45
2016-05-05,2.5
2016-05-06,2.6
2016-05-09,2.6
2016-05-10,2.65
2016-05-11,2.65
2016-05-12,2.65
2016-05-13,2.65
2016-05-16,2.65
2016-05-17,2.65
2016-05-18,2.65
2016-05-19,2.65
2016-05-20,2.65
2016-05-23,2.65
2016-05-24,2.65
2016-05-25,2.65
2016-05-26,2.65
2016-05-27,2.75
2016-05-30,2.75
2016-05-31,2.75
2016-06-01,2.75
2016-06-02,2.7
2016-06-03,2.7
2016-06-06,2.7
2016-06-07,2.7
2016-06-08,2.75
2016-06-09,2.75
2016-06-10,2.75
2016-06-13,2.75
2016-06-14,2.75
2016-06-15,2.75
2016-06-16,2.75
2016-06-17,2.75
2016-06-20,2.75
2016-06-21,2.75
2016-06-22,2.75
2016-06-23,2.75
2016-06-24,2.75
2016-06-27,2.75
2016-06-28,2.8
2016-06-29,2.85
2016-06-30,2.85
2016-07-01,2.85
2016-07-04,2.85
2016-07-05,2.85
2016-07-06,2.85
2016-07-07,2.85
2016-07-08,2.85
2016-07-11,2.85
2016-07-12,2.85
2016-07-13,2.85
2016-07-14,2.85
2016-07-15,2.85
2016-07-18,2.85
2016-07-19,2.85
2016-07-20,2.9
2016-07-21,2.9
2016-07-22,2.9
2016-07-25,2.9
2016-07-26,2.9
2016-07-27,2.9
2016-07-28,2.9
2016-07-29,2.9
2016-08-01,2.9
2016-08-02,2.9
2016-08-03,2.9
2016-08-04,2.9
2016-08-05,2.95
2016-08-08,3.15
2016-08-09,3.15
2016-08-10,3.15
2016-08-11,3.15
2016-08-12,3.15
2016-08-15,3.15
2016-08-16,3.15
2016-08-17,3.6
2016-08-18,3.6
