Date,sh_out
2017-09-18,18.3
2017-09-19,18.3
2017-09-20,18.3
2017-09-21,18.3
2017-09-22,18.3
2017-09-25,18.3
2017-09-26,18.3
2017-09-27,18.3
2017-09-28,18.3
2017-09-29,18.3
2017-10-02,18.3
2017-10-03,18.3
2017-10-04,18.3
2017-10-05,18.3
2017-10-06,18.7
2017-10-09,18.7
2017-10-10,18.7
2017-10-11,18.8
2017-10-12,18.8
2017-10-13,18.8
2017-10-16,18.8
2017-10-17,18.8
2017-10-18,18.8
2017-10-19,18.8
2017-10-20,18.8
2017-10-23,18.8
2017-10-24,18.8
2017-10-25,18.8
2017-10-26,18.8
2017-10-27,18.8
2017-10-30,18.8
2017-10-31,18.8
2017-11-01,18.8
2017-11-02,18.8
2017-11-03,18.8
2017-11-06,18.8
2017-11-07,19.05
2017-11-08,19.05
2017-11-09,19.05
2017-11-10,19.05
2017-11-13,19.05
2017-11-14,19.05
2017-11-15,19.05
2017-11-16,19.05
2017-11-17,19.05
2017-11-20,19.05
2017-11-21,19.05
2017-11-22,19.05
2017-11-23,19.05
2017-11-24,19.05
2017-11-27,19.05
2017-11-28,19.05
2017-11-29,19.05
2017-11-30,19.05
2017-12-01,19.05
2017-12-04,19.05
2017-12-05,19.05
2017-12-06,19.3
2017-12-07,19.3
2017-12-08,19.3
2017-12-11,19.3
2017-12-12,19.3
2017-12-13,19.3
2017-12-14,19.3
2017-12-15,19.3
2017-12-18,19.3
2017-12-19,19.9
2017-12-20,19.9
2017-12-21,19.9
2017-12-22,19.9
2017-12-25,19.9
2017-12-26,19.9
2017-12-27,19.9
2017-12-28,19.9
2017-12-29,19.9
2018-01-01,19.9
2018-01-02,19.9
2018-01-03,19.9
2018-01-04,19.9
2018-01-05,19.9
2018-01-08,19.9
2018-01-09,20.4
2018-01-10,20.5
2018-01-11,20.5
2018-01-12,20.5
2018-01-15,20.5
2018-01-16,20.5
2018-01-17,20.7
2018-01-18,20.85
2018-01-19,20.85
2018-01-22,20.95
2018-01-23,20.95
2018-01-24,21.35
2018-01-25,21.6
2018-01-26,21.6
2018-01-29,21.6
2018-01-30,21.6
2018-01-31,21.6
2018-02-01,21.6
2018-02-02,21.6
2018-02-05,21.6
2018-02-06,21.6
2018-02-07,21.6
2018-02-08,21.6
2018-02-09,21.6
2018-02-12,21.6
2018-02-13,21.6
2018-02-14,21.6
2018-02-15,21.6
2018-02-16,21.6
2018-02-19,21.6
2018-02-20,21.6
2018-02-21,21.6
2018-02-22,21.6
2018-02-23,21.6
2018-02-26,21.6
2018-02-27,21.6
2018-02-28,21.6
2018-03-01,21.6
2018-03-02,21.6
2018-03-05,21.6
2018-03-06,21.6
2018-03-07,21.6
2018-03-08,21.6
2018-03-09,21.6
2018-03-12,21.6
2018-03-13,21.6
2018-03-14,21.6
2018-03-15,21.6
2018-03-16,21.6
2018-03-19,21.6
2018-03-20,21.6
2018-03-21,21.6
2018-03-22,21.6
2018-03-23,21.6
2018-03-26,21.5
2018-03-27,19.85
2018-03-28,19.85
2018-03-29,19.55
2018-03-30,19.55
2018-04-02,19.55
2018-04-03,19.55
2018-04-04,19.55
2018-04-05,19.55
2018-04-06,19.55
2018-04-09,19.45
2018-04-10,19.45
2018-04-11,19.45
2018-04-12,19.45
2018-04-13,19.45
2018-04-16,19.45
2018-04-17,19.45
2018-04-18,19.15
2018-04-19,18.85
2018-04-20,18.85
2018-04-23,17.7
2018-04-24,17.7
2018-04-25,17.7
2018-04-26,17.1
2018-04-27,16.8
2018-04-30,16.8
2018-05-01,16.8
2018-05-02,16.8
2018-05-03,16.4
2018-05-04,16.1
2018-05-07,16.1
2018-05-08,16.1
2018-05-09,16.1
2018-05-10,15.8
2018-05-11,15.8
2018-05-14,15.8
2018-05-15,15.8
2018-05-16,15.45
2018-05-17,15
2018-05-18,14.9
2018-05-21,14.9
2018-05-22,14.5
2018-05-23,14.5
2018-05-24,14.05
2018-05-25,14.05
2018-05-28,14.05
2018-05-29,14.05
2018-05-30,14.05
2018-05-31,14.05
2018-06-01,14.05
2018-06-04,14.05
2018-06-05,14.05
2018-06-06,13.95
2018-06-07,13.95
2018-06-08,13.75
2018-06-11,13.75
2018-06-12,13.75
2018-06-13,13.75
2018-06-14,13.55
2018-06-15,13.55
2018-06-18,13.25
2018-06-19,13.25
2018-06-20,13.25
2018-06-21,13.25
2018-06-22,13.25
2018-06-25,13.05
2018-06-26,13.05
2018-06-27,13.05
2018-06-28,13.05
2018-06-29,13.05
2018-07-02,13.05
2018-07-03,13.05
2018-07-04,13.05
2018-07-05,13.05
2018-07-06,13.05
2018-07-09,13.05
2018-07-10,13.05
2018-07-11,13.05
2018-07-12,13.05
2018-07-13,13.05
2018-07-16,13.05
2018-07-17,13.05
2018-07-18,13.05
2018-07-19,13.05
2018-07-20,13.05
2018-07-23,13.05
2018-07-24,13.05
2018-07-25,13.05
2018-07-26,13.05
2018-07-27,13.05
2018-07-30,13.05
2018-07-31,13.05
2018-08-01,13.05
2018-08-02,13.05
2018-08-03,13.05
2018-08-06,13.05
2018-08-07,13.05
2018-08-08,13.05
2018-08-09,13.05
2018-08-10,13.05
2018-08-13,13.05
2018-08-14,13.05
2018-08-15,14.75
2018-08-16,14.75
2018-08-17,14.75
2018-08-20,14.75
2018-08-21,14.75
2018-08-22,14.75
2018-08-23,14.75
2018-08-24,14.75
2018-08-27,14.75
2018-08-28,14.75
2018-08-29,14.75
2018-08-30,14.75
2018-08-31,14.75
2018-09-03,14.75
2018-09-04,14.75
2018-09-05,14.75
2018-09-06,14.75
2018-09-07,14.75
2018-09-10,14.75
2018-09-11,14.6
2018-09-12,14.6
2018-09-13,14.6
2018-09-14,14.6
2018-09-17,14.6
2018-09-18,14.45
2018-09-19,14.45
2018-09-20,14.45
2018-09-21,14.45
2018-09-24,14.45
2018-09-25,14.45
2018-09-26,14.45
2018-09-27,14.45
2018-09-28,14.45
2018-10-01,14.45
2018-10-02,14.45
2018-10-03,14.45
2018-10-04,14.45
2018-10-05,14.45
2018-10-08,14.25
2018-10-09,14.25
2018-10-10,14.25
2018-10-11,14.25
2018-10-12,14.25
2018-10-15,14.25
2018-10-16,14.25
2018-10-17,14.25
2018-10-18,14.25
2018-10-19,14.25
2018-10-22,14.25
2018-10-23,14.25
2018-10-24,14.25
2018-10-25,14.25
2018-10-26,14.25
2018-10-29,14.25
2018-10-30,14.25
2018-10-31,14.25
2018-11-01,14.25
2018-11-02,14.25
2018-11-05,14.25
2018-11-06,14.25
2018-11-07,14.25
2018-11-08,14.25
2018-11-09,15.65
2018-11-12,15.65
2018-11-13,15.65
2018-11-14,15.65
2018-11-15,15.65
2018-11-16,15.65
2018-11-19,15.65
2018-11-20,15.65
2018-11-21,15.65
2018-11-22,15.65
2018-11-23,15.65
2018-11-26,15.65
2018-11-27,15.65
2018-11-28,15.65
2018-11-29,15.65
2018-11-30,15.65
2018-12-03,15.65
2018-12-04,15.65
2018-12-05,15.65
2018-12-06,15.65
2018-12-07,15.65
2018-12-10,15.65
2018-12-11,15.65
2018-12-12,15.65
2018-12-13,15.65
2018-12-14,15.65
2018-12-17,15.65
2018-12-18,15.85
2018-12-19,15.85
2018-12-20,15.85
2018-12-21,15.85
2018-12-24,15.85
2018-12-25,15.85
2018-12-26,15.85
2018-12-27,15.85
2018-12-28,15.85
2018-12-31,15.85
2019-01-01,15.85
2019-01-02,15.85
2019-01-03,15.85
2019-01-04,15.85
2019-01-07,15.85
2019-01-08,15.85
2019-01-09,15.85
2019-01-10,16
2019-01-11,16
2019-01-14,16
2019-01-15,16
2019-01-16,16
2019-01-17,16
2019-01-18,16
2019-01-21,16
2019-01-22,16
2019-01-23,16
2019-01-24,16
2019-01-25,16
2019-01-28,16
2019-01-29,16
2019-01-30,16
2019-01-31,16
2019-02-01,16.8
2019-02-04,16.8
2019-02-05,16.8
2019-02-06,16.8
2019-02-07,16.8
2019-02-08,16.8
2019-02-11,16.8
2019-02-12,16.8
2019-02-13,16.8
2019-02-14,16.8
2019-02-15,16.8
2019-02-18,16.8
2019-02-19,16.8
2019-02-20,16.8
2019-02-21,16.8
2019-02-22,16.8
2019-02-25,16.8
2019-02-26,16.8
2019-02-27,16.8
2019-02-28,16.8
2019-03-01,16.8
2019-03-04,16.8
2019-03-05,16.8
2019-03-06,16.8
2019-03-07,16.8
2019-03-08,16.8
2019-03-11,16.8
2019-03-12,16.8
2019-03-13,16.8
2019-03-14,16.8
2019-03-15,16.8
2019-03-18,16.8
2019-03-19,16.8
2019-03-20,16.8
2019-03-21,16.8
2019-03-22,16.8
2019-03-25,16.8
2019-03-26,16.8
2019-03-27,16.8
2019-03-28,16.8
2019-03-29,16.8
2019-04-01,16.8
2019-04-02,16.8
2019-04-03,16.8
2019-04-04,16.8
2019-04-05,16.8
2019-04-08,16.8
2019-04-09,16.8
2019-04-10,16.8
2019-04-11,16.8
2019-04-12,17.15
2019-04-15,17.15
2019-04-16,17.15
2019-04-17,17.25
2019-04-18,17.25
2019-04-19,17.25
2019-04-22,17.25
2019-04-23,17.25
2019-04-24,17.25
2019-04-25,17.25
2019-04-26,17.25
2019-04-29,17.25
2019-04-30,17.25
2019-05-01,17.25
2019-05-02,17.25
2019-05-03,17.25
2019-05-06,17.25
2019-05-07,17.25
2019-05-08,17.25
2019-05-09,17.25
2019-05-10,17.25
2019-05-13,17.15
2019-05-14,16.75
2019-05-15,16.75
2019-05-16,16.75
2019-05-17,16.75
2019-05-20,16.75
2019-05-21,16.75
2019-05-22,16.75
2019-05-23,16.75
2019-05-24,16.75
2019-05-27,16.75
2019-05-28,16.75
2019-05-29,16.75
2019-05-30,16.75
2019-05-31,16.75
2019-06-03,16.75
2019-06-04,16.75
2019-06-05,16.75
2019-06-06,16.75
2019-06-07,16.75
2019-06-10,16.75
2019-06-11,16.75
2019-06-12,16.75
2019-06-13,16.75
2019-06-14,16.75
2019-06-17,16.6
2019-06-18,16.6
2019-06-19,16.6
2019-06-20,16.6
2019-06-21,16.6
2019-06-24,16.6
2019-06-25,16.6
2019-06-26,16.6
2019-06-27,16.6
2019-06-28,16.6
2019-07-01,16.6
2019-07-02,16.6
2019-07-03,16.6
2019-07-04,16.6
2019-07-05,16.6
2019-07-08,16.6
2019-07-09,16.6
2019-07-10,16.6
2019-07-11,16.6
2019-07-12,16.6
2019-07-15,16.6
2019-07-16,16.6
2019-07-17,16.6
2019-07-18,16.6
2019-07-19,16.6
2019-07-22,16.6
2019-07-23,16.6
2019-07-24,16.6
2019-07-25,16.6
2019-07-26,16.6
