Date,sh_out
2012-09-14,13.575
2012-09-17,13.575
2012-09-18,13.575
2012-09-19,13.575
2012-09-20,13.575
2012-09-21,13.575
2012-09-24,13.575
2012-09-25,13.575
2012-09-26,13.575
2012-09-27,13.575
2012-09-28,13.575
2012-10-01,13.575
2012-10-02,13.575
2012-10-03,13.575
2012-10-04,13.575
2012-10-05,13.575
2012-10-08,13.575
2012-10-09,13.125
2012-10-10,12.675
2012-10-11,12.675
2012-10-12,12.675
2012-10-15,12.675
2012-10-16,12.675
2012-10-17,12.675
2012-10-18,12.6
2012-10-19,12.6
2012-10-22,12.6
2012-10-23,12.6
2012-10-24,12.6
2012-10-25,12.6
2012-10-26,12.6
2012-10-29,12.6
2012-10-30,12.6
2012-10-31,12.6
2012-11-01,12.6
2012-11-02,12.6
2012-11-05,12.6
2012-11-06,12.6
2012-11-07,12.6
2012-11-08,12.6
2012-11-09,12.6
2012-11-12,12.6
2012-11-13,12.6
2012-11-14,12.6
2012-11-15,12.6
2012-11-16,12.6
2012-11-19,12.6
2012-11-20,12.6
2012-11-21,12.6
2012-11-22,12.6
2012-11-23,12.6
2012-11-26,12.6
2012-11-27,12.3
2012-11-28,12.3
2012-11-29,12.3
2012-11-30,12.3
2012-12-03,12.3
2012-12-04,12.3
2012-12-05,12.3
2012-12-06,12.3
2012-12-07,12.3
2012-12-10,12.3
2012-12-11,12.3
2012-12-12,12.3
2012-12-13,12.3
2012-12-14,12.3
2012-12-17,12.3
2012-12-18,12.3
2012-12-19,12.3
2012-12-20,12.3
2012-12-21,12.3
2012-12-24,12.3
2012-12-25,12.3
2012-12-26,12.3
2012-12-27,12.3
2012-12-28,12.3
2012-12-31,12.3
2013-01-01,12.3
2013-01-02,12.3
2013-01-03,12
2013-01-04,12
2013-01-07,12
2013-01-08,11.85
2013-01-09,11.85
2013-01-10,11.85
2013-01-11,11.85
2013-01-14,11.85
2013-01-15,11.85
2013-01-16,12.15
2013-01-17,12.15
2013-01-18,12.15
2013-01-21,12.15
2013-01-22,12.15
2013-01-23,12.15
2013-01-24,12.15
2013-01-25,12.15
2013-01-28,12.15
2013-01-29,12.3
2013-01-30,12.3
2013-01-31,12.3
2013-02-01,12.3
2013-02-04,12.3
2013-02-05,12.3
2013-02-06,12.3
2013-02-07,12.3
2013-02-08,12.3
2013-02-11,12.15
2013-02-12,12.15
2013-02-13,12.15
2013-02-14,12.15
2013-02-15,12.15
2013-02-18,12.15
2013-02-19,12.15
2013-02-20,12.15
2013-02-21,12.15
2013-02-22,12.15
2013-02-25,12.075
2013-02-26,12.075
2013-02-27,12.075
2013-02-28,12.075
2013-03-01,12.075
2013-03-04,12.075
2013-03-05,12.075
2013-03-06,12.075
2013-03-07,12.075
2013-03-08,12.075
2013-03-11,12.45
2013-03-12,12.45
2013-03-13,12.45
2013-03-14,12.45
2013-03-15,12.45
2013-03-18,12.45
2013-03-19,12.45
2013-03-20,12.45
2013-03-21,12.225
2013-03-22,12.225
2013-03-25,12.225
2013-03-26,12.225
2013-03-27,12.225
2013-03-28,12.225
2013-03-29,12.225
2013-04-01,12.225
2013-04-02,12.225
2013-04-03,12.225
2013-04-04,12.225
2013-04-05,12.225
2013-04-08,12.225
2013-04-09,12.225
2013-04-10,12.225
2013-04-11,12.225
2013-04-12,12.225
2013-04-15,12.225
2013-04-16,12.225
2013-04-17,12.225
2013-04-18,12.225
2013-04-19,12.225
2013-04-22,12.225
2013-04-23,12.225
2013-04-24,12.225
2013-04-25,12.225
2013-04-26,12.225
2013-04-29,12.225
2013-04-30,12.075
2013-05-01,12.075
2013-05-02,12.075
2013-05-03,12.075
2013-05-06,12.075
2013-05-07,12.075
2013-05-08,12.075
2013-05-09,12.075
2013-05-10,12.075
2013-05-13,12.075
2013-05-14,12.075
2013-05-15,12.075
2013-05-16,12.075
2013-05-17,12.075
2013-05-20,12.075
2013-05-21,12.075
2013-05-22,12.075
2013-05-23,12.075
2013-05-24,12.075
2013-05-27,12.075
2013-05-28,12.075
2013-05-29,12.075
2013-05-30,12.075
2013-05-31,12.075
2013-06-03,12.075
2013-06-04,12.075
2013-06-05,12.075
2013-06-06,12.075
2013-06-07,12.075
2013-06-10,12.075
2013-06-11,12.075
2013-06-12,12.075
2013-06-13,12.075
2013-06-14,12.075
2013-06-17,12.075
2013-06-18,11.775
2013-06-19,11.775
2013-06-20,11.775
2013-06-21,11.775
2013-06-24,11.85
2013-06-25,12.3
2013-06-26,12.3
2013-06-27,12.3
