Date,sh_out
2011-08-12,91.95
2011-08-15,91.35
2011-08-16,91.35
2011-08-17,91.35
2011-08-18,91.35
2011-08-19,91.35
2011-08-22,91.35
2011-08-23,91.35
2011-08-24,91.35
2011-08-25,91.35
2011-08-26,91.425
2011-08-29,91.425
2011-08-30,91.425
2011-08-31,91.425
2011-09-01,91.425
2011-09-02,91.425
2011-09-05,91.425
2011-09-06,91.2
2011-09-07,91.425
2011-09-08,91.425
2011-09-09,91.425
2011-09-12,91.425
2011-09-13,91.425
2011-09-14,91.425
2011-09-15,91.425
2011-09-16,91.725
2011-09-19,91.725
2011-09-20,91.725
2011-09-21,91.725
2011-09-22,91.725
2011-09-23,91.725
2011-09-26,91.95
2011-09-27,92.1
2011-09-28,92.1
2011-09-29,92.1
2011-09-30,92.1
2011-10-03,92.175
2011-10-04,92.175
2011-10-05,92.925
2011-10-06,102.075
2011-10-07,102.075
2011-10-10,103.575
2011-10-11,103.575
2011-10-12,106.2
2011-10-13,106.35
2011-10-14,106.35
2011-10-17,106.575
2011-10-18,106.5
2011-10-19,106.575
2011-10-20,106.65
2011-10-21,106.8
2011-10-24,109.5
2011-10-25,109.8
2011-10-26,110.55
2011-10-27,110.625
2011-10-28,111.225
2011-10-31,111.225
2011-11-01,113.55
2011-11-02,122.85
2011-11-03,123.9
2011-11-04,127.5
2011-11-07,128.325
2011-11-08,128.475
2011-11-09,132.225
2011-11-10,125.025
2011-11-11,124.725
2011-11-14,124.2
2011-11-15,124.2
2011-11-16,124.425
2011-11-17,124.05
2011-11-18,123.825
2011-11-21,124.575
2011-11-22,124.8
2011-11-23,124.35
2011-11-24,124.35
2011-11-25,124.125
2011-11-28,124.275
2011-11-29,123.75
2011-11-30,123.075
2011-12-01,122.7
2011-12-02,122.7
2011-12-05,123
2011-12-06,123.075
2011-12-07,122.7
2011-12-08,121.95
2011-12-09,119.7
2011-12-12,120.075
2011-12-13,118.65
2011-12-14,117.9
2011-12-15,117
2011-12-16,117
2011-12-19,117
2011-12-20,117.15
2011-12-21,117.3
2011-12-22,117.45
2011-12-23,117.45
2011-12-26,117.45
2011-12-27,117.45
2011-12-28,117.45
2011-12-29,117.45
2011-12-30,117.45
2012-01-02,117.45
2012-01-03,118.5
2012-01-04,118.65
2012-01-05,118.8
2012-01-06,118.8
2012-01-09,119.1
2012-01-10,120.15
2012-01-11,120.45
2012-01-12,120.75
2012-01-13,121.05
2012-01-16,121.05
2012-01-17,121.05
2012-01-18,121.05
2012-01-19,121.35
2012-01-20,121.35
2012-01-23,121.35
2012-01-24,121.35
2012-01-25,121.725
2012-01-26,124.425
2012-01-27,126.6
2012-01-30,127.275
2012-01-31,127.725
2012-02-01,128.4
2012-02-02,110.85
2012-02-03,110.85
2012-02-06,110.85
2012-02-07,110.925
2012-02-08,110.625
2012-02-09,110.625
2012-02-10,109.725
2012-02-13,109.725
2012-02-14,108.3
2012-02-15,108.45
2012-02-16,108.45
2012-02-17,108.45
2012-02-20,108.45
2012-02-21,108.225
2012-02-22,108.225
2012-02-23,108.225
2012-02-24,108.225
2012-02-27,108.225
2012-02-28,108.225
2012-02-29,108.225
2012-03-01,108.525
2012-03-02,108.525
2012-03-05,108.525
2012-03-06,108.525
2012-03-07,108.525
2012-03-08,108.3
2012-03-09,108.15
2012-03-12,108.15
2012-03-13,108.15
2012-03-14,107.25
2012-03-15,107.25
2012-03-16,107.25
2012-03-19,107.25
2012-03-20,107.025
2012-03-21,106.875
2012-03-22,104.925
2012-03-23,102.6
2012-03-26,102.6
2012-03-27,102.3
2012-03-28,102.3
2012-03-29,97.95
2012-03-30,97.425
2012-04-02,97.425
2012-04-03,97.425
2012-04-04,97.425
2012-04-05,97.425
2012-04-06,97.425
2012-04-09,97.425
2012-04-10,97.2
2012-04-11,97.2
2012-04-12,97.2
2012-04-13,97.2
2012-04-16,97.2
2012-04-17,97.2
2012-04-18,97.2
2012-04-19,97.2
2012-04-20,97.2
2012-04-23,97.2
2012-04-24,97.2
2012-04-25,97.2
2012-04-26,97.2
2012-04-27,97.2
2012-04-30,97.2
2012-05-01,97.2
2012-05-02,97.2
2012-05-03,97.2
2012-05-04,97.2
2012-05-07,97.5
2012-05-08,97.5
2012-05-09,97.5
2012-05-10,97.5
2012-05-11,97.5
2012-05-14,97.5
2012-05-15,97.5
2012-05-16,97.5
2012-05-17,97.35
2012-05-18,97.35
2012-05-21,96.675
2012-05-22,96.675
2012-05-23,96.675
2012-05-24,96.675
2012-05-25,96.075
2012-05-28,96.075
2012-05-29,96.075
2012-05-30,96.075
2012-05-31,96.075
2012-06-01,96.075
2012-06-04,95.85
2012-06-05,95.85
2012-06-06,95.85
2012-06-07,95.85
2012-06-08,95.85
2012-06-11,95.85
2012-06-12,95.85
2012-06-13,95.85
2012-06-14,95.85
2012-06-15,95.85
2012-06-18,95.85
2012-06-19,95.85
2012-06-20,95.85
2012-06-21,95.85
2012-06-22,95.775
2012-06-25,95.775
2012-06-26,95.775
2012-06-27,95.775
2012-06-28,95.7
2012-06-29,95.7
2012-07-02,95.7
2012-07-03,95.85
2012-07-04,95.85
2012-07-05,96
2012-07-06,96.45
2012-07-09,95.625
2012-07-10,96
2012-07-11,96.525
2012-07-12,96.525
2012-07-13,96.525
2012-07-16,96.675
2012-07-17,98.55
2012-07-18,98.55
2012-07-19,98.55
2012-07-20,98.55
2012-07-23,98.55
2012-07-24,98.55
2012-07-25,98.85
2012-07-26,98.475
2012-07-27,98.475
2012-07-30,100.2
2012-07-31,100.2
2012-08-01,100.2
2012-08-02,100.2
2012-08-03,100.2
2012-08-06,102.15
2012-08-07,102.75
2012-08-08,104.775
2012-08-09,109.8
2012-08-10,109.8
2012-08-13,109.875
2012-08-14,109.875
2012-08-15,110.85
2012-08-16,111.075
2012-08-17,111.075
2012-08-20,111.075
2012-08-21,111.075
2012-08-22,111.075
2012-08-23,111.075
2012-08-24,110.175
2012-08-27,110.175
2012-08-28,110.175
2012-08-29,110.175
2012-08-30,110.175
2012-08-31,110.175
2012-09-03,110.175
2012-09-04,110.175
2012-09-05,110.175
2012-09-06,110.175
2012-09-07,111.75
2012-09-10,112.575
2012-09-11,113.475
2012-09-12,115.05
2012-09-13,115.05
2012-09-14,115.125
2012-09-17,115.125
2012-09-18,115.125
2012-09-19,115.125
2012-09-20,115.125
2012-09-21,115.125
2012-09-24,114.975
2012-09-25,114.975
2012-09-26,114.975
2012-09-27,115.2
2012-09-28,115.575
2012-10-01,115.575
2012-10-02,115.575
2012-10-03,135.225
2012-10-04,136.35
2012-10-05,136.35
2012-10-08,136.35
2012-10-09,136.35
2012-10-10,136.35
2012-10-11,135.45
2012-10-12,135.45
2012-10-15,135.45
2012-10-16,135.45
2012-10-17,135.45
2012-10-18,135.45
2012-10-19,135.6
2012-10-22,135.75
2012-10-23,135.75
2012-10-24,140.55
2012-10-25,140.775
2012-10-26,140.775
2012-10-29,140.775
2012-10-30,140.775
2012-10-31,141
2012-11-01,141
2012-11-02,141
2012-11-05,141
2012-11-06,141.525
2012-11-07,144.9
2012-11-08,144.9
2012-11-09,144.9
2012-11-12,144.9
2012-11-13,144.9
2012-11-14,144.9
2012-11-15,144.9
2012-11-16,144.9
2012-11-19,146.925
2012-11-20,150.525
2012-11-21,150.75
2012-11-22,150.75
2012-11-23,150.75
2012-11-26,150.75
2012-11-27,152.625
2012-11-28,152.7
2012-11-29,152.7
2012-11-30,152.7
2012-12-03,152.7
2012-12-04,152.7
2012-12-05,152.7
2012-12-06,152.7
2012-12-07,152.7
2012-12-10,152.7
2012-12-11,152.7
2012-12-12,152.7
2012-12-13,152.925
2012-12-14,155.4
2012-12-17,155.7
2012-12-18,155.7
2012-12-19,156.075
2012-12-20,156.075
2012-12-21,156.075
2012-12-24,156.075
2012-12-25,156.075
2012-12-26,156.075
2012-12-27,156.675
2012-12-28,156.825
2012-12-31,157.725
2013-01-01,157.725
2013-01-02,157.725
2013-01-03,157.725
2013-01-04,157.725
2013-01-07,157.8
2013-01-08,157.8
2013-01-09,157.35
2013-01-10,157.35
2013-01-11,157.35
2013-01-14,158.325
2013-01-15,159.45
2013-01-16,159.675
2013-01-17,159.675
2013-01-18,159.825
2013-01-21,159.825
2013-01-22,159.9
2013-01-23,159.9
2013-01-24,159.9
2013-01-25,160.125
2013-01-28,160.125
2013-01-29,160.35
2013-01-30,160.35
2013-01-31,161.25
2013-02-01,161.25
2013-02-04,161.25
2013-02-05,161.25
2013-02-06,173.025
2013-02-07,175.425
2013-02-08,176.175
2013-02-11,176.175
2013-02-12,176.175
2013-02-13,176.175
2013-02-14,176.7
2013-02-15,176.7
2013-02-18,176.7
2013-02-19,176.7
2013-02-20,176.7
2013-02-21,176.7
2013-02-22,175.8
2013-02-25,175.275
2013-02-26,175.275
2013-02-27,175.275
2013-02-28,175.275
2013-03-01,175.425
2013-03-04,175.725
2013-03-05,175.875
2013-03-06,175.875
2013-03-07,178.05
2013-03-08,179.625
2013-03-11,179.925
2013-03-12,180
2013-03-13,180.15
2013-03-14,180.15
2013-03-15,180.15
2013-03-18,180.15
2013-03-19,180
2013-03-20,178.875
2013-03-21,178.875
2013-03-22,178.875
2013-03-25,178.875
2013-03-26,178.725
2013-03-27,178.725
2013-03-28,178.425
2013-03-29,178.425
2013-04-01,178.425
2013-04-02,178.125
2013-04-03,178.8
2013-04-04,178.8
2013-04-05,178.8
2013-04-08,180.3
2013-04-09,180.3
2013-04-10,180.3
2013-04-11,180.3
2013-04-12,180.3
2013-04-15,180.3
2013-04-16,180.3
2013-04-17,180
2013-04-18,180
2013-04-19,179.7
2013-04-22,179.7
2013-04-23,179.7
2013-04-24,179.7
2013-04-25,179.7
2013-04-26,179.7
2013-04-29,179.7
2013-04-30,179.7
2013-05-01,179.7
2013-05-02,179.7
2013-05-03,179.7
2013-05-06,179.7
2013-05-07,177.825
2013-05-08,177.9
2013-05-09,177.9
2013-05-10,177.9
2013-05-13,178.95
2013-05-14,178.95
2013-05-15,178.95
2013-05-16,178.95
2013-05-17,178.95
2013-05-20,178.95
2013-05-21,178.95
2013-05-22,178.95
2013-05-23,178.95
2013-05-24,178.95
2013-05-27,178.95
2013-05-28,178.95
2013-05-29,177.45
2013-05-30,177.45
2013-05-31,177.225
2013-06-03,177.225
2013-06-04,177
2013-06-05,155.7
2013-06-06,144.225
2013-06-07,127.8
2013-06-10,125.025
2013-06-11,123.675
2013-06-12,123.675
2013-06-13,123.675
2013-06-14,123.75
2013-06-17,123.975
2013-06-18,124.275
2013-06-19,125.25
2013-06-20,124.725
2013-06-21,123.675
2013-06-24,119.325
2013-06-25,118.95
2013-06-26,118.95
2013-06-27,118.95
2013-06-28,118.65
2013-07-01,118.65
2013-07-02,118.575
2013-07-03,118.5
2013-07-04,118.5
2013-07-05,118.5
2013-07-08,118.5
2013-07-09,117.75
2013-07-10,117.75
2013-07-11,117.75
2013-07-12,117.75
2013-07-15,117.75
2013-07-16,117.75
2013-07-17,117.75
2013-07-18,117.75
2013-07-19,117.75
2013-07-22,117
2013-07-23,117
2013-07-24,117
2013-07-25,117
2013-07-26,117.75
2013-07-29,117.75
2013-07-30,117.75
2013-07-31,117.75
2013-08-01,117.75
2013-08-02,117.75
2013-08-05,117.75
2013-08-06,117.75
2013-08-07,117.75
2013-08-08,117.6
2013-08-09,117.6
2013-08-12,117.6
2013-08-13,117.6
2013-08-14,117.6
2013-08-15,117.75
2013-08-16,116.25
2013-08-19,115.65
2013-08-20,115.65
2013-08-21,115.65
2013-08-22,114.975
2013-08-23,114.375
2013-08-26,114.375
2013-08-27,113.925
2013-08-28,113.4
2013-08-29,112.5
2013-08-30,112.35
2013-09-02,112.35
2013-09-03,112.05
2013-09-04,112.2
2013-09-05,112.2
2013-09-06,111.45
2013-09-09,111.975
2013-09-10,111.975
2013-09-11,111.975
2013-09-12,111.975
2013-09-13,111.975
2013-09-16,111.975
2013-09-17,111.975
2013-09-18,112.05
2013-09-19,112.05
2013-09-20,112.05
2013-09-23,112.05
2013-09-24,112.575
2013-09-25,113.325
2013-09-26,113.325
2013-09-27,114.3
2013-09-30,115.2
2013-10-01,115.2
2013-10-02,115.95
2013-10-03,115.95
2013-10-04,115.95
2013-10-07,115.95
2013-10-08,115.95
2013-10-09,115.95
2013-10-10,115.95
2013-10-11,115.95
2013-10-14,115.95
2013-10-15,115.95
2013-10-16,115.95
2013-10-17,115.95
2013-10-18,115.575
2013-10-21,115.575
2013-10-22,115.575
2013-10-23,115.575
2013-10-24,114.975
2013-10-25,114.375
2013-10-28,114.375
2013-10-29,111.9
2013-10-30,111.9
2013-10-31,111.9
2013-11-01,111.9
2013-11-04,111.9
2013-11-05,111.9
2013-11-06,111.9
2013-11-07,111.9
2013-11-08,111.9
2013-11-11,111.6
2013-11-12,111.45
2013-11-13,111.225
2013-11-14,110.625
2013-11-15,110.625
2013-11-18,110.625
2013-11-19,110.625
2013-11-20,110.925
2013-11-21,110.925
2013-11-22,110.925
2013-11-25,110.925
2013-11-26,110.925
2013-11-27,110.925
2013-11-28,110.925
2013-11-29,110.925
2013-12-02,110.925
2013-12-03,110.925
2013-12-04,110.925
2013-12-05,110.925
2013-12-06,110.925
2013-12-09,110.925
2013-12-10,110.925
2013-12-11,110.925
2013-12-12,110.925
2013-12-13,110.925
2013-12-16,110.925
2013-12-17,110.925
2013-12-18,110.925
2013-12-19,110.925
2013-12-20,110.925
2013-12-23,110.925
2013-12-24,110.925
2013-12-25,110.925
2013-12-26,110.925
2013-12-27,110.925
2013-12-30,110.925
2013-12-31,110.925
2014-01-01,110.925
2014-01-02,110.925
2014-01-03,110.925
2014-01-06,110.925
2014-01-07,111.375
2014-01-08,111.375
2014-01-09,112.575
2014-01-10,112.575
2014-01-13,112.575
2014-01-14,112.575
2014-01-15,112.575
2014-01-16,112.575
2014-01-17,112.575
2014-01-20,112.575
2014-01-21,112.575
2014-01-22,112.575
2014-01-23,112.575
2014-01-24,112.575
2014-01-27,112.575
2014-01-28,111.675
2014-01-29,111
2014-01-30,110.25
2014-01-31,110.25
2014-02-03,106.875
2014-02-04,106.875
2014-02-05,106.875
2014-02-06,106.875
2014-02-07,106.2
2014-02-10,105.675
2014-02-11,105.675
2014-02-12,105.375
2014-02-13,105.375
2014-02-14,105.375
2014-02-17,105.375
2014-02-18,105.375
2014-02-19,108.525
2014-02-20,108.525
2014-02-21,108.525
2014-02-24,108.525
2014-02-25,108.525
2014-02-26,108.525
2014-02-27,108.525
2014-02-28,108.525
2014-03-03,108.525
2014-03-04,108.525
2014-03-05,108.525
2014-03-06,108.525
2014-03-07,108.525
2014-03-10,108.525
2014-03-11,108.525
2014-03-12,106.2
2014-03-13,103.2
2014-03-14,101.85
2014-03-17,101.85
2014-03-18,101.85
2014-03-19,101.85
2014-03-20,101.85
2014-03-21,101.325
2014-03-24,99.45
2014-03-25,98.7
2014-03-26,98.55
2014-03-27,98.55
2014-03-28,97.575
2014-03-31,97.575
2014-04-01,97.575
2014-04-02,97.575
2014-04-03,97.575
2014-04-04,97.575
2014-04-07,97.575
2014-04-08,97.575
2014-04-09,97.575
2014-04-10,97.575
2014-04-11,97.8
2014-04-14,97.8
2014-04-15,97.8
2014-04-16,97.8
2014-04-17,97.8
2014-04-18,97.8
2014-04-21,97.8
2014-04-22,97.8
2014-04-23,96.9
2014-04-24,96.6
2014-04-25,92.7
2014-04-28,92.7
2014-04-29,92.7
2014-04-30,92.7
2014-05-01,92.7
2014-05-02,92.7
2014-05-05,92.7
2014-05-06,92.7
2014-05-07,91.8
2014-05-08,91.8
2014-05-09,91.8
2014-05-12,91.8
2014-05-13,91.8
2014-05-14,91.8
2014-05-15,91.8
2014-05-16,91.8
2014-05-19,91.8
2014-05-20,91.35
2014-05-21,91.35
2014-05-22,91.35
2014-05-23,91.35
2014-05-26,91.35
2014-05-27,91.35
2014-05-28,91.35
2014-05-29,91.35
2014-05-30,91.35
2014-06-02,91.35
2014-06-03,91.35
2014-06-04,91.35
2014-06-05,91.35
2014-06-06,91.35
2014-06-09,91.35
2014-06-10,91.35
2014-06-11,91.35
2014-06-12,91.35
2014-06-13,91.35
2014-06-16,91.35
2014-06-17,91.875
2014-06-18,91.875
