Date,sh_out
2011-08-12,17.325
2011-08-15,17.325
2011-08-16,17.325
2011-08-17,17.325
2011-08-18,17.325
2011-08-19,17.325
2011-08-22,17.325
2011-08-23,17.325
2011-08-24,17.569
2011-08-25,17.569
2011-08-26,17.569
2011-08-29,17.569
2011-08-30,17.569
2011-08-31,17.569
2011-09-01,17.569
2011-09-02,17.569
2011-09-05,17.569
2011-09-06,17.569
2011-09-07,17.569
2011-09-08,17.569
2011-09-09,17.569
2011-09-12,17.569
2011-09-13,17.569
2011-09-14,17.419
2011-09-15,17.419
2011-09-16,17.419
2011-09-19,17.419
2011-09-20,17.419
2011-09-21,17.419
2011-09-22,17.344
2011-09-23,17.063
2011-09-26,17.063
2011-09-27,17.063
2011-09-28,16.875
2011-09-29,16.875
2011-09-30,16.875
2011-10-03,16.875
2011-10-04,16.725
2011-10-05,16.538
2011-10-06,16.388
2011-10-07,16.388
2011-10-10,16.388
2011-10-11,16.388
2011-10-12,16.388
2011-10-13,16.388
2011-10-14,16.5
2011-10-17,16.5
2011-10-18,16.5
2011-10-19,16.5
2011-10-20,16.65
2011-10-21,16.65
2011-10-24,16.65
2011-10-25,16.612
2011-10-26,16.612
2011-10-27,16.612
2011-10-28,16.481
2011-10-31,16.556
2011-11-01,16.556
2011-11-02,16.556
2011-11-03,16.556
2011-11-04,16.556
2011-11-07,16.556
2011-11-08,16.556
2011-11-09,16.556
2011-11-10,16.556
2011-11-11,16.556
2011-11-14,16.556
2011-11-15,16.462
2011-11-16,16.462
2011-11-17,16.35
2011-11-18,16.181
2011-11-21,16.087
2011-11-22,16.087
2011-11-23,16.087
2011-11-24,16.087
2011-11-25,16.087
2011-11-28,16.087
2011-11-29,16.087
2011-11-30,16.087
2011-12-01,16.087
2011-12-02,16.087
2011-12-05,16.087
2011-12-06,16.237
2011-12-07,16.237
2011-12-08,16.237
2011-12-09,16.237
2011-12-12,16.106
2011-12-13,16.05
2011-12-14,15.825
2011-12-15,15.825
2011-12-16,15.825
2011-12-19,15.825
2011-12-20,15.825
2011-12-21,15.825
2011-12-22,15.825
2011-12-23,15.825
2011-12-26,15.825
2011-12-27,15.825
2011-12-28,15.825
2011-12-29,15.825
2011-12-30,15.825
2012-01-02,15.825
2012-01-03,15.825
2012-01-04,15.825
2012-01-05,15.825
2012-01-06,15.825
2012-01-09,15.825
2012-01-10,15.825
2012-01-11,15.825
2012-01-12,15.825
2012-01-13,15.693999999999999
