Date,sh_out
2011-08-12,65.5
2011-08-15,65.5
2011-08-16,65.5
2011-08-17,65.5
2011-08-18,65.5
2011-08-19,65.5
2011-08-22,65.5
2011-08-23,65.5
2011-08-24,65.5
2011-08-25,65.5
2011-08-26,65.5
2011-08-29,65.5
2011-08-30,65.5
2011-08-31,65.65
2011-09-01,65.4
2011-09-02,65.4
2011-09-05,65.4
2011-09-06,65.4
2011-09-07,65.4
2011-09-08,65.4
2011-09-09,65.2
2011-09-12,65.2
2011-09-13,65.4
2011-09-14,65.4
2011-09-15,65.4
2011-09-16,65.4
2011-09-19,64.9
2011-09-20,64.9
2011-09-21,64.9
2011-09-22,64.9
2011-09-23,64.75
2011-09-26,64.55
2011-09-27,64.55
2011-09-28,64.55
2011-09-29,64.55
2011-09-30,64.2
2011-10-03,64
2011-10-04,64
2011-10-05,63.6
2011-10-06,63.8
2011-10-07,63.8
2011-10-10,63.8
2011-10-11,63.8
2011-10-12,63.8
2011-10-13,63.6
2011-10-14,63.6
2011-10-17,63.6
2011-10-18,63.6
2011-10-19,63.4
2011-10-20,63.4
2011-10-21,63
2011-10-24,63
2011-10-25,63
2011-10-26,63
2011-10-27,63
2011-10-28,63
2011-10-31,63
2011-11-01,63
2011-11-02,63
2011-11-03,63
2011-11-04,63
2011-11-07,63
2011-11-08,63
2011-11-09,63
2011-11-10,63
2011-11-11,63
2011-11-14,63
2011-11-15,63
2011-11-16,63
2011-11-17,62.8
2011-11-18,62.8
2011-11-21,62.8
2011-11-22,62.35
2011-11-23,62.15
2011-11-24,62.15
2011-11-25,62.15
2011-11-28,62.15
2011-11-29,61.9
2011-11-30,61.75
2011-12-01,61.75
2011-12-02,61.75
2011-12-05,61.75
2011-12-06,61.75
2011-12-07,61.75
2011-12-08,61.75
2011-12-09,61.65
2011-12-12,61.65
2011-12-13,61.45
2011-12-14,61
2011-12-15,60.6
2011-12-16,60.6
2011-12-19,59.7
2011-12-20,59.5
2011-12-21,59.5
2011-12-22,59.5
2011-12-23,59.25
2011-12-26,59.25
2011-12-27,59.25
2011-12-28,59.1
2011-12-29,59.1
2011-12-30,58.85
2012-01-02,58.85
2012-01-03,58.85
2012-01-04,58.5
2012-01-05,58.5
2012-01-06,58.35
2012-01-09,58.35
2012-01-10,58.35
2012-01-11,58.35
2012-01-12,58.35
2012-01-13,58.8
2012-01-16,58.8
2012-01-17,58.8
2012-01-18,58.8
2012-01-19,58.8
2012-01-20,58.8
2012-01-23,58.8
2012-01-24,58.8
2012-01-25,58.8
2012-01-26,58.8
2012-01-27,58.8
2012-01-30,58.8
2012-01-31,58.8
2012-02-01,58.8
2012-02-02,58.8
2012-02-03,58.8
2012-02-06,58.8
2012-02-07,58.8
2012-02-08,58.8
2012-02-09,58.8
2012-02-10,58.8
2012-02-13,58.8
2012-02-14,58.8
2012-02-15,58.8
2012-02-16,58.8
2012-02-17,58.8
2012-02-20,58.8
2012-02-21,58.8
2012-02-22,58.8
2012-02-23,59.8
2012-02-24,59.8
2012-02-27,59.8
2012-02-28,59.8
2012-02-29,59.95
2012-03-01,59.95
2012-03-02,59.95
2012-03-05,59.95
2012-03-06,59.95
2012-03-07,59.95
2012-03-08,59.95
2012-03-09,59.95
2012-03-12,59.95
2012-03-13,59.95
2012-03-14,59.95
2012-03-15,59.95
