Date,sh_out
2011-08-12,109
2011-08-15,108
2011-08-16,107.5
2011-08-17,106.9
2011-08-18,106
2011-08-19,105.1
2011-08-22,104.5
2011-08-23,104.5
2011-08-24,104.1
2011-08-25,104.1
2011-08-26,103.7
2011-08-29,103.7
2011-08-30,103.7
2011-08-31,103.7
2011-09-01,103.7
2011-09-02,103.2
2011-09-05,103.2
2011-09-06,103.2
2011-09-07,103.6
2011-09-08,103
2011-09-09,103.8
2011-09-12,103.8
2011-09-13,103.8
2011-09-14,103.8
2011-09-15,103.8
2011-09-16,103.8
2011-09-19,103.8
2011-09-20,102.7
2011-09-21,102.7
2011-09-22,102.2
2011-09-23,101.6
2011-09-26,101
2011-09-27,101
2011-09-28,101
2011-09-29,100
2011-09-30,100
2011-10-03,100
2011-10-04,100
2011-10-05,99.4
2011-10-06,98.8
2011-10-07,98.8
2011-10-10,98.8
2011-10-11,98.8
2011-10-12,98.8
2011-10-13,98.8
2011-10-14,98.8
2011-10-17,98.4
2011-10-18,98.4
2011-10-19,98.4
2011-10-20,98.4
2011-10-21,98.4
2011-10-24,98.4
2011-10-25,97.7
2011-10-26,97.7
2011-10-27,97.7
2011-10-28,97.7
2011-10-31,97.7
2011-11-01,97.7
2011-11-02,97.7
2011-11-03,97.7
2011-11-04,97.7
2011-11-07,97.7
2011-11-08,97.7
2011-11-09,97.7
2011-11-10,97.7
2011-11-11,97.7
2011-11-14,97.7
2011-11-15,97.7
2011-11-16,97.7
2011-11-17,97.7
2011-11-18,97.4
2011-11-21,97.1
2011-11-22,97.1
2011-11-23,96.5
2011-11-24,96.5
2011-11-25,96.5
2011-11-28,96.5
2011-11-29,96.5
2011-11-30,96
2011-12-01,96
2011-12-02,96
2011-12-05,96
2011-12-06,96
2011-12-07,96
2011-12-08,96
2011-12-09,96
2011-12-12,96
2011-12-13,95.6
2011-12-14,95.1
2011-12-15,94.6
2011-12-16,93.8
2011-12-19,93.8
2011-12-20,93.3
2011-12-21,93.3
2011-12-22,93.3
2011-12-23,93.3
2011-12-26,93.3
2011-12-27,93.3
2011-12-28,93.3
2011-12-29,93.3
2011-12-30,93.3
2012-01-02,93.3
2012-01-03,93.3
2012-01-04,93.3
2012-01-05,93.3
2012-01-06,93.3
2012-01-09,93.3
2012-01-10,93.3
2012-01-11,93.3
2012-01-12,93.3
2012-01-13,92.9
2012-01-16,92.9
2012-01-17,92.9
2012-01-18,92.9
2012-01-19,92.9
2012-01-20,92.9
2012-01-23,92.9
2012-01-24,92.9
2012-01-25,92.9
2012-01-26,92.9
2012-01-27,92.9
2012-01-30,92.9
2012-01-31,92.9
2012-02-01,92.9
2012-02-02,92.4
2012-02-03,92.4
2012-02-06,92.4
2012-02-07,92.4
2012-02-08,91.9
2012-02-09,91.9
2012-02-10,91.9
2012-02-13,91.9
2012-02-14,91.9
2012-02-15,91.9
