Date,sh_out
2011-08-12,74.85
2011-08-15,74.85
2011-08-16,74.85
2011-08-17,73.9
2011-08-18,73.2
2011-08-19,72.6
2011-08-22,72.4
2011-08-23,72.4
2011-08-24,72
2011-08-25,71.75
2011-08-26,71.75
2011-08-29,71.75
2011-08-30,71.75
2011-08-31,71.75
2011-09-01,71.75
2011-09-02,71.55
2011-09-05,71.55
2011-09-06,71.55
2011-09-07,71.55
2011-09-08,71.35
2011-09-09,71.35
2011-09-12,71.35
2011-09-13,71.35
2011-09-14,70.75
2011-09-15,71.35
2011-09-16,71.35
2011-09-19,71.35
2011-09-20,71.35
2011-09-21,71.35
2011-09-22,71.35
2011-09-23,70.8
2011-09-26,70.7
2011-09-27,70.7
2011-09-28,70.7
2011-09-29,70.7
2011-09-30,70
2011-10-03,70
2011-10-04,70
2011-10-05,68.15
2011-10-06,68.15
2011-10-07,68.15
2011-10-10,68.15
2011-10-11,68.15
2011-10-12,68.15
2011-10-13,68.15
2011-10-14,68.15
2011-10-17,67.75
2011-10-18,67.65
2011-10-19,67.55
2011-10-20,67.45
2011-10-21,66.95
2011-10-24,66.95
2011-10-25,66.05
2011-10-26,66.05
2011-10-27,65.85
2011-10-28,64.55
2011-10-31,64.55
2011-11-01,64.55
2011-11-02,63.95
2011-11-03,63.75
2011-11-04,63.6
2011-11-07,63.6
2011-11-08,63.6
2011-11-09,63.6
2011-11-10,63.6
2011-11-11,63.05
2011-11-14,63.05
2011-11-15,62.45
2011-11-16,62.45
2011-11-17,61.6
2011-11-18,61.05
2011-11-21,60.4
2011-11-22,59.95
2011-11-23,59.15
2011-11-24,59.15
2011-11-25,59.15
2011-11-28,59.15
2011-11-29,59.15
2011-11-30,59.15
2011-12-01,59.15
2011-12-02,59.15
2011-12-05,59.15
2011-12-06,59.15
2011-12-07,59.15
2011-12-08,59.15
2011-12-09,58.9
2011-12-12,58.9
2011-12-13,58.6
2011-12-14,58.2
2011-12-15,58.2
2011-12-16,57.9
2011-12-19,57.9
2011-12-20,57.9
2011-12-21,58.1
2011-12-22,58.1
2011-12-23,58.1
2011-12-26,58.1
2011-12-27,58.1
2011-12-28,58.1
2011-12-29,58.1
2011-12-30,58.1
2012-01-02,58.1
2012-01-03,58.1
2012-01-04,58.1
2012-01-05,58.1
2012-01-06,58.1
2012-01-09,58.1
2012-01-10,58.1
2012-01-11,58.1
2012-01-12,58.1
2012-01-13,57.9
2012-01-16,57.9
2012-01-17,57.9
2012-01-18,57.9
2012-01-19,57.9
2012-01-20,57.9
2012-01-23,57.9
2012-01-24,57.9
2012-01-25,57.9
2012-01-26,57.9
2012-01-27,57.9
2012-01-30,57.9
2012-01-31,57.9
2012-02-01,57.9
2012-02-02,57.9
2012-02-03,57.9
2012-02-06,58
2012-02-07,58
2012-02-08,58
2012-02-09,58
2012-02-10,58
2012-02-13,58
2012-02-14,58
2012-02-15,58
2012-02-16,58
2012-02-17,58
2012-02-20,58
2012-02-21,58
2012-02-22,58
2012-02-23,58
2012-02-24,58
2012-02-27,58
2012-02-28,58
2012-02-29,58
2012-03-01,58
2012-03-02,58
2012-03-05,58
2012-03-06,58
2012-03-07,58
2012-03-08,57.7
2012-03-09,57.7
2012-03-12,57.7
2012-03-13,57.7
2012-03-14,57.7
2012-03-15,57.7
2012-03-16,57.5
2012-03-19,57.5
2012-03-20,57.25
2012-03-21,57.25
2012-03-22,57.25
2012-03-23,57.05
2012-03-26,56.65
2012-03-27,56.65
2012-03-28,56.65
2012-03-29,56.15
2012-03-30,55.95
2012-04-02,55.95
2012-04-03,55.8
2012-04-04,55.8
2012-04-05,55.8
2012-04-06,55.8
2012-04-09,55.8
2012-04-10,55.2
2012-04-11,55.2
2012-04-12,54.5
2012-04-13,54.5
2012-04-16,54.5
2012-04-17,54.35
2012-04-18,54.35
2012-04-19,54.35
2012-04-20,54.35
2012-04-23,54.35
2012-04-24,54.35
2012-04-25,54.15
2012-04-26,54.05
2012-04-27,54.05
2012-04-30,53.85
2012-05-01,53.85
2012-05-02,53.65
2012-05-03,53.65
2012-05-04,53.65
2012-05-07,53.65
2012-05-08,53.45
2012-05-09,53.45
2012-05-10,52.75
2012-05-11,52.5
2012-05-14,52.5
2012-05-15,52
2012-05-16,51.45
2012-05-17,50.65
2012-05-18,50.65
2012-05-21,50.45
2012-05-22,50.4
2012-05-23,50.15
2012-05-24,49.9
2012-05-25,49.9
2012-05-28,49.9
2012-05-29,49.85
2012-05-30,49.55
2012-05-31,49.55
2012-06-01,49.5
2012-06-04,49.3
2012-06-05,49.25
2012-06-06,49.25
2012-06-07,49.25
2012-06-08,49.25
2012-06-11,49.25
2012-06-12,49.25
2012-06-13,49.25
2012-06-14,49.25
2012-06-15,49.25
2012-06-18,49.25
2012-06-19,49.25
2012-06-20,49.25
2012-06-21,49.25
2012-06-22,49.25
2012-06-25,49.25
2012-06-26,49.25
2012-06-27,49.25
2012-06-28,49.25
2012-06-29,49.05
2012-07-02,49.05
2012-07-03,48.9
2012-07-04,48.9
2012-07-05,48.9
2012-07-06,48.9
2012-07-09,48.9
2012-07-10,48.9
2012-07-11,48.75
2012-07-12,47.75
2012-07-13,47.5
2012-07-16,47.45
2012-07-17,47
2012-07-18,46.9
2012-07-19,46.9
2012-07-20,46.9
2012-07-23,46.9
2012-07-24,46.8
2012-07-25,46.7
2012-07-26,46.7
2012-07-27,46.7
2012-07-30,46.7
2012-07-31,46.5
2012-08-01,46.5
2012-08-02,46.5
2012-08-03,46.35
2012-08-06,46.35
2012-08-07,46.35
2012-08-08,46.35
2012-08-09,46.35
2012-08-10,46.35
2012-08-13,46.35
2012-08-14,46.35
2012-08-15,46.35
2012-08-16,46.35
2012-08-17,46.3
2012-08-20,46.3
2012-08-21,46.45
2012-08-22,46.45
2012-08-23,46.45
2012-08-24,46.6
2012-08-27,46.7
2012-08-28,46.95
2012-08-29,47.35
2012-08-30,47.5
2012-08-31,47.7
2012-09-03,47.7
2012-09-04,47.7
2012-09-05,47.85
2012-09-06,48
2012-09-07,48.15
2012-09-10,48.85
2012-09-11,48.95
2012-09-12,49.3
2012-09-13,49.6
2012-09-14,49.65
2012-09-17,49.7
2012-09-18,49.75
2012-09-19,49.75
2012-09-20,49.8
2012-09-21,49.95
2012-09-24,50
2012-09-25,50
2012-09-26,50
2012-09-27,50
2012-09-28,50
2012-10-01,50
2012-10-02,50
2012-10-03,50
2012-10-04,50
2012-10-05,50
2012-10-08,50
2012-10-09,50
2012-10-10,50
2012-10-11,50
2012-10-12,50
2012-10-15,50
2012-10-16,50
2012-10-17,50
2012-10-18,50
2012-10-19,50
2012-10-22,50
2012-10-23,50
2012-10-24,50
2012-10-25,50
2012-10-26,50
2012-10-29,50
2012-10-30,50
2012-10-31,50
2012-11-01,50
2012-11-02,50
2012-11-05,50
2012-11-06,50
2012-11-07,50
2012-11-08,50
2012-11-09,50
2012-11-12,50
2012-11-13,50
2012-11-14,50
2012-11-15,50
2012-11-16,50
2012-11-19,50
2012-11-20,50
2012-11-21,50
2012-11-22,50
2012-11-23,50
2012-11-26,50
2012-11-27,50
2012-11-28,50.2
2012-11-29,50.3
2012-11-30,50.3
2012-12-03,50.3
2012-12-04,50.3
2012-12-05,50.45
2012-12-06,50.45
2012-12-07,50.45
2012-12-10,50.45
2012-12-11,50.45
2012-12-12,50.45
2012-12-13,51.1
2012-12-14,51.45
2012-12-17,51.7
2012-12-18,52.4
2012-12-19,52.4
2012-12-20,52.8
2012-12-21,52.9
2012-12-24,53.45
2012-12-25,53.45
2012-12-26,53.55
2012-12-27,53.65
2012-12-28,53.65
2012-12-31,53.65
2013-01-01,53.65
2013-01-02,53.65
2013-01-03,53.65
2013-01-04,53.9
2013-01-07,54
2013-01-08,54
2013-01-09,54.05
2013-01-10,54.05
2013-01-11,54.15
2013-01-14,54.25
2013-01-15,54.25
2013-01-16,54.25
2013-01-17,54.25
2013-01-18,54.25
2013-01-21,54.25
2013-01-22,54.25
2013-01-23,54.25
2013-01-24,54.25
2013-01-25,54.25
2013-01-28,54.25
2013-01-29,54.25
2013-01-30,54.25
2013-01-31,54.25
2013-02-01,54.25
2013-02-04,54.25
2013-02-05,54.25
2013-02-06,54.25
2013-02-07,54.25
2013-02-08,54.25
2013-02-11,54.25
2013-02-12,54.25
2013-02-13,54.25
2013-02-14,54.25
2013-02-15,54.25
2013-02-18,54.25
2013-02-19,54.25
2013-02-20,54.5
2013-02-21,54.5
2013-02-22,54.5
2013-02-25,54.5
2013-02-26,54.5
2013-02-27,54.5
2013-02-28,54.5
2013-03-01,54.5
2013-03-04,54.5
2013-03-05,54.5
2013-03-06,54.5
2013-03-07,54.5
2013-03-08,54.5
2013-03-11,54.5
2013-03-12,54.5
2013-03-13,54.5
2013-03-14,54.5
2013-03-15,54.5
2013-03-18,54.5
2013-03-19,54.5
2013-03-20,54.5
2013-03-21,54.5
2013-03-22,54.5
2013-03-25,54.5
2013-03-26,54.5
2013-03-27,54.5
2013-03-28,54.5
2013-03-29,54.5
2013-04-01,54.5
2013-04-02,54.5
2013-04-03,54.5
2013-04-04,54.5
2013-04-05,54.5
2013-04-08,54.5
2013-04-09,54.5
2013-04-10,54.5
2013-04-11,56.15
2013-04-12,57.65
2013-04-15,57.65
2013-04-16,57.35
2013-04-17,57.35
2013-04-18,57.35
2013-04-19,57.35
2013-04-22,57.35
2013-04-23,57.35
2013-04-24,57.35
2013-04-25,57.35
2013-04-26,57.35
2013-04-29,57.35
2013-04-30,57.35
2013-05-01,57.35
2013-05-02,57.35
2013-05-03,57.35
2013-05-06,57.35
2013-05-07,57.35
2013-05-08,57.35
2013-05-09,57.35
2013-05-10,57.35
2013-05-13,57.35
2013-05-14,57.35
2013-05-15,57.35
2013-05-16,57.35
2013-05-17,57.35
2013-05-20,57.5
2013-05-21,57.5
2013-05-22,57.5
2013-05-23,57.5
2013-05-24,57.5
2013-05-27,57.5
2013-05-28,57.5
2013-05-29,57.5
2013-05-30,57.5
2013-05-31,58.3
2013-06-03,58.8
2013-06-04,58.8
2013-06-05,58.8
2013-06-06,58.8
2013-06-07,58.8
2013-06-10,58.8
2013-06-11,58.9
2013-06-12,58.9
2013-06-13,58.9
2013-06-14,58.9
2013-06-17,58.9
2013-06-18,58.9
2013-06-19,58.9
2013-06-20,58.9
2013-06-21,58.75
2013-06-24,58.75
2013-06-25,58.75
2013-06-26,58.75
2013-06-27,58.75
2013-06-28,58.5
2013-07-01,58.5
2013-07-02,58.5
2013-07-03,58.9
2013-07-04,58.9
2013-07-05,58.9
2013-07-08,58.9
2013-07-09,58.9
2013-07-10,58.7
2013-07-11,58.55
2013-07-12,58.55
2013-07-15,58.55
2013-07-16,58.55
2013-07-17,58.55
2013-07-18,58.55
2013-07-19,58.55
2013-07-22,58.55
2013-07-23,58.55
2013-07-24,58.55
2013-07-25,58.55
2013-07-26,58.55
2013-07-29,58.55
2013-07-30,58.55
2013-07-31,58.55
2013-08-01,58.55
2013-08-02,58.55
2013-08-05,58.55
2013-08-06,58.55
2013-08-07,58.55
2013-08-08,58.55
2013-08-09,58.55
2013-08-12,58.55
2013-08-13,58.55
2013-08-14,58.55
2013-08-15,58.55
2013-08-16,58.55
2013-08-19,58.55
2013-08-20,58.55
2013-08-21,58.55
2013-08-22,58.55
2013-08-23,58.55
2013-08-26,58.55
2013-08-27,58.55
2013-08-28,58.55
2013-08-29,58.55
2013-08-30,58.55
2013-09-02,58.55
2013-09-03,59
2013-09-04,59
2013-09-05,59
2013-09-06,59
2013-09-09,60.35
2013-09-10,60.5
2013-09-11,60.85
2013-09-12,61.45
2013-09-13,61.45
2013-09-16,61.7
2013-09-17,61.7
2013-09-18,61.7
2013-09-19,61.7
2013-09-20,61.7
2013-09-23,61.7
2013-09-24,61.7
2013-09-25,61.7
2013-09-26,61.7
2013-09-27,62.3
2013-09-30,62.3
2013-10-01,62.3
2013-10-02,62.45
2013-10-03,62.45
2013-10-04,62.55
2013-10-07,62.55
2013-10-08,62.55
2013-10-09,62.55
2013-10-10,64.95
2013-10-11,64.95
2013-10-14,65.35
2013-10-15,65.35
2013-10-16,65.35
2013-10-17,65.45
2013-10-18,65.65
2013-10-21,65.95
2013-10-22,67.35
2013-10-23,67.5
2013-10-24,67.5
2013-10-25,68
2013-10-28,68.35
2013-10-29,68.35
2013-10-30,68.7
2013-10-31,68.7
2013-11-01,68.85
2013-11-04,68.85
2013-11-05,68.85
2013-11-06,68.85
2013-11-07,68.85
2013-11-08,68.85
2013-11-11,68.85
2013-11-12,68.85
2013-11-13,68.85
2013-11-14,68.85
2013-11-15,68.85
2013-11-18,68.85
2013-11-19,68.85
2013-11-20,68.85
2013-11-21,68.85
2013-11-22,68.85
2013-11-25,68.85
2013-11-26,68.85
2013-11-27,68.85
2013-11-28,68.85
2013-11-29,68.85
2013-12-02,68.85
2013-12-03,68.85
2013-12-04,68.85
2013-12-05,68.85
2013-12-06,68.85
2013-12-09,68.85
2013-12-10,68.85
2013-12-11,68.85
2013-12-12,68.85
2013-12-13,68.85
2013-12-16,68.85
2013-12-17,68.85
2013-12-18,68.85
2013-12-19,68.85
2013-12-20,68.85
2013-12-23,68.85
2013-12-24,68.85
2013-12-25,68.85
2013-12-26,69.15
2013-12-27,69.15
