Date,sh_out
2011-08-12,211.75
2011-08-15,211.7
2011-08-16,211.8
2011-08-17,211.7
2011-08-18,211.4
2011-08-19,212.3
2011-08-22,213.05
2011-08-23,214.4
2011-08-24,214.25
2011-08-25,214
2011-08-26,214
2011-08-29,214
2011-08-30,214.4
2011-08-31,214.4
2011-09-01,214.4
2011-09-02,214
2011-09-05,214
2011-09-06,213.1
2011-09-07,213.35
2011-09-08,213.7
2011-09-09,214.5
2011-09-12,213.1
2011-09-13,213.1
2011-09-14,213.25
2011-09-15,213.25
2011-09-16,211.25
2011-09-19,211.25
2011-09-20,211.25
2011-09-21,211.25
2011-09-22,210.7
2011-09-23,211
2011-09-26,210.65
2011-09-27,211.2
2011-09-28,210.9
2011-09-29,211.15
2011-09-30,210.35
2011-10-03,210.3
2011-10-04,210.15
2011-10-05,210.5
2011-10-06,210.5
2011-10-07,210.85
2011-10-10,211.05
2011-10-11,210.95
2011-10-12,208.95
2011-10-13,208.6
2011-10-14,208.55
2011-10-17,208.3
2011-10-18,213
2011-10-19,215.6
2011-10-20,215.8
2011-10-21,218.25
2011-10-24,217.9
2011-10-25,217.7
2011-10-26,218.25
2011-10-27,218
2011-10-28,218.15
2011-10-31,217.85
2011-11-01,208.15
2011-11-02,208.7
2011-11-03,209
2011-11-04,208.8
2011-11-07,208.7
2011-11-08,206.6
2011-11-09,206.3
2011-11-10,207
2011-11-11,207
2011-11-14,206.6
2011-11-15,206.6
2011-11-16,206.1
2011-11-17,205.6
2011-11-18,205.6
2011-11-21,205.6
2011-11-22,205.25
2011-11-23,204.65
2011-11-24,204.65
2011-11-25,204.65
2011-11-28,204.75
2011-11-29,205.05
2011-11-30,205.55
2011-12-01,205.55
2011-12-02,205.15
2011-12-05,205.15
2011-12-06,205.3
2011-12-07,204.1
2011-12-08,203.95
2011-12-09,204.2
2011-12-12,204.05
2011-12-13,204.45
2011-12-14,205.45
2011-12-15,206.05
2011-12-16,206.35
2011-12-19,206.45
2011-12-20,207.2
2011-12-21,207.2
2011-12-22,207.45
2011-12-23,207.6
2011-12-26,207.6
2011-12-27,207.75
2011-12-28,207.6
2011-12-29,208.05
2011-12-30,207.85
2012-01-02,207.85
2012-01-03,209.8
2012-01-04,210.35
2012-01-05,210.7
2012-01-06,210.5
2012-01-09,211.9
2012-01-10,212.25
2012-01-11,212.25
2012-01-12,213.15
2012-01-13,211.9
2012-01-16,211.9
2012-01-17,212
2012-01-18,213.3
2012-01-19,213.95
2012-01-20,213.8
2012-01-23,213.8
2012-01-24,213.6
2012-01-25,213.6
2012-01-26,213.6
2012-01-27,213.3
2012-01-30,213.75
2012-01-31,213.15
2012-02-01,211.95
2012-02-02,211.8
2012-02-03,211.8
2012-02-06,211.6
2012-02-07,211.3
2012-02-08,211.3
2012-02-09,211.25
2012-02-10,211.25
2012-02-13,211.25
2012-02-14,211.45
2012-02-15,212.3
2012-02-16,212.55
2012-02-17,212.55
2012-02-20,212.55
2012-02-21,212.4
2012-02-22,212.65
2012-02-23,210.7
2012-02-24,207.65
2012-02-27,207.55
2012-02-28,207.8
2012-02-29,207.25
2012-03-01,208.5
2012-03-02,208.6
2012-03-05,208.15
2012-03-06,209.8
2012-03-07,210.1
2012-03-08,210.3
2012-03-09,210.6
2012-03-12,210.6
2012-03-13,210.5
2012-03-14,210.8
2012-03-15,210.9
2012-03-16,210.5
2012-03-19,210.35
2012-03-20,210.7
2012-03-21,211.15
2012-03-22,211.45
2012-03-23,211.6
2012-03-26,211.75
2012-03-27,211.45
2012-03-28,211.35
2012-03-29,211
2012-03-30,212.3
2012-04-02,212.3
2012-04-03,212.8
2012-04-04,212.8
2012-04-05,212.6
2012-04-06,212.6
2012-04-09,213
2012-04-10,211.7
2012-04-11,212.65
2012-04-12,212.65
2012-04-13,212.25
2012-04-16,212.25
2012-04-17,212.25
2012-04-18,212.7
2012-04-19,213.5
2012-04-20,214.55
2012-04-23,214
2012-04-24,214.2
2012-04-25,214.2
2012-04-26,214.6
2012-04-27,214.95
2012-04-30,215.05
2012-05-01,214.05
2012-05-02,211.75
2012-05-03,211.5
2012-05-04,211.3
2012-05-07,210.85
2012-05-08,210.4
2012-05-09,210.5
2012-05-10,210.5
2012-05-11,210.25
2012-05-14,210.35
2012-05-15,210.55
2012-05-16,212.6
2012-05-17,213.8
2012-05-18,213.45
2012-05-21,212.95
2012-05-22,212.9
2012-05-23,212.85
2012-05-24,212.85
2012-05-25,213
2012-05-28,213
2012-05-29,213.2
2012-05-30,213.25
2012-05-31,214.65
2012-06-01,212.45
2012-06-04,214
2012-06-05,214.75
2012-06-06,216.15
2012-06-07,216.35
2012-06-08,216.5
2012-06-11,217.1
2012-06-12,217.35
2012-06-13,216.65
2012-06-14,217.5
2012-06-15,216.45
2012-06-18,215.95
2012-06-19,216
2012-06-20,215.3
2012-06-21,214.65
2012-06-22,216.35
2012-06-25,216.45
2012-06-26,217.35
2012-06-27,217.2
2012-06-28,216.25
2012-06-29,218.1
2012-07-02,221.55
